Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Mohamed Ali Cho,FRA,"MF,FW",Real Sociedad,18,2004,1.3,0,1,1,100.0,0.79,0.79,0.00,0.00,23.8,0,0,0,0.0,0.0,0.03,0.0,0.0
Ezgjan Alioski,MKD,DF,Fenerbahçe,30,1992,3.5,0,2,2,100.0,0.57,0.57,0.00,0.00,17.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Fidan Aliti,KVX,DF,Zürich,28,1993,3.5,0,3,0,0.0,0.85,0.00,0.00,,16.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Richard Almeida,AZE,MF,Qarabağ,33,1989,3.4,0,1,0,0.0,0.30,0.00,0.00,,31.1,0,0,0,0.0,0.0,0.01,0.0,0.0
Marcos Alonso,ESP,DF,Barcelona,31,1990,0.8,1,2,1,50.0,2.40,1.20,0.50,1.00,16.2,1,0,0,0.2,0.2,0.12,+0.8,+0.8
Omri Altman,ISR,"FW,MF",AÉK Lárnaka,28,1994,4.2,2,7,2,28.6,1.68,0.48,0.29,1.00,17.7,0,0,0,0.4,0.4,0.06,+1.6,+1.6
Edson Álvarez,MEX,MF,Ajax,24,1997,2.0,0,2,1,50.0,1.01,0.50,0.00,0.00,21.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Nadiem Amiri,GER,"MF,FW",Leverkusen,25,1996,3.0,0,3,1,33.3,1.01,0.34,0.00,0.00,20.7,0,0,0,0.3,0.3,0.10,-0.3,-0.3
Isak Amundsen,NOR,DF,Bodø/Glimt,22,1999,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Felipe Anderson,BRA,FW,Lazio,29,1993,4.9,1,8,5,62.5,1.65,1.03,0.13,0.20,15.3,0,0,0,0.7,0.7,0.08,+0.3,+0.3
Joel Andersson,SWE,DF,Midtjylland,25,1996,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Leandro Andrade,CPV,"FW,MF",Qarabağ,22,1999,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Valdemar Andreasen,DEN,FW,Midtjylland,17,2005,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
