Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
David Turnbull,SCO,MF,Celtic,23,1999,1.1,0,3,1,33.3,2.62,0.87,0.00,0.00,25.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Tuta,BRA,DF,Eint Frankfurt,23,1999,6.7,0,2,1,50.0,0.30,0.15,0.00,0.00,12.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Marián Tvrdoň,SVK,GK,Viktoria Plzeň,27,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Manuel Ugarte Ribeiro,URU,MF,Sporting CP,21,2001,5.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Andreas Ulmer,AUT,DF,RB Salzburg,36,1985,4.2,0,2,0,0.0,0.48,0.00,0.00,,16.5,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Sven Ulreich,GER,GK,Bayern Munich,33,1988,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Cengiz Ünder,TUR,MF,Marseille,25,1997,1.9,0,6,1,16.7,3.12,0.52,0.00,0.00,20.1,0,0,0,0.5,0.5,0.09,-0.5,-0.5
Dayot Upamecano,FRA,DF,Bayern Munich,23,1998,7.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mateus Uribe,COL,MF,Porto,31,1991,6.8,1,9,2,22.2,1.33,0.30,0.00,0.00,27.1,0,1,1,1.4,0.6,0.06,-0.4,-0.6
Jesús Vallejo,ESP,DF,Real Madrid,25,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Federico Valverde,URU,"MF,FW",Real Madrid,24,1998,10.7,2,24,8,33.3,2.23,0.74,0.08,0.25,22.3,1,0,0,1.7,1.7,0.07,+0.3,+0.3
Virgil van Dijk,NED,DF,Liverpool,31,1991,8.0,0,12,5,41.7,1.50,0.62,0.00,0.00,10.5,0,0,0,1.0,1.0,0.09,-1.0,-1.0
Hans Vanaken,BEL,MF,Club Brugge,29,1992,7.8,0,4,0,0.0,0.51,0.00,0.00,,17.7,1,0,0,0.3,0.3,0.07,-0.3,-0.3
Denis Vavro,SVK,DF,FC Copenhagen,26,1996,4.0,0,3,2,66.7,0.75,0.50,0.00,0.00,22.9,2,0,0,0.2,0.2,0.06,-0.2,-0.2
Lucas Vázquez,ESP,DF,Real Madrid,31,1991,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jordan Veretout,FRA,MF,Marseille,29,1993,5.4,0,3,2,66.7,0.56,0.37,0.00,0.00,23.1,1,0,0,0.1,0.1,0.04,-0.1,-0.1
Lucas Veríssimo,BRA,DF,Benfica,27,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Gabriel Veron,BRA,"MF,FW",Porto,19,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marco Verratti,ITA,MF,Paris S-G,29,1992,6.9,0,2,0,0.0,0.29,0.00,0.00,,25.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Vitinha,POR,MF,Paris S-G,22,2000,6.5,0,5,2,40.0,0.77,0.31,0.00,0.00,22.6,0,0,0,0.6,0.6,0.11,-0.6,-0.6
Odisseas Vlachodimos,GRE,GK,Benfica,28,1994,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
