Player,Nation,Pos,Squad,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Rémy Descamps,FRA,GK,Lyon,28-136,1996,1.0,2,0,0,0,0,2.2,0.22,+0.2,+0.20,4,14,28.6,37,5,32.4,33.4,4,50.0,38.0,22,0,0.0,2,2.00,27.0
Ersin Destanoğlu,TUR,GK,Beşiktaş,23-312,2001,2.0,3,1,0,0,0,3.1,0.18,+0.1,+0.03,3,22,13.6,50,12,36.0,33.8,15,26.7,27.9,22,0,0.0,1,0.50,15.3
Dénes Dibusz,HUN,GK,Ferencváros,33-358,1990,4.0,4,1,0,0,0,5.4,0.29,+1.4,+0.34,16,32,50.0,97,19,26.8,29.1,20,30.0,34.1,54,1,1.9,3,0.75,13.2
Fraser Forster,ENG,GK,Tottenham,36-236,1988,2.0,3,0,0,0,0,2.9,0.29,-0.1,-0.04,3,12,25.0,63,11,12.7,23.8,18,22.2,26.7,29,2,6.9,4,2.00,15.5
Mert Günok,TUR,GK,Beşiktaş,35-252,1989,2.0,5,0,0,0,0,6.9,0.43,+1.9,+0.96,7,26,26.9,47,12,36.2,34.5,10,90.0,57.4,17,1,5.9,0,0.00,8.8
Günay Güvenç,,GK,Galatasaray,33-136,1991,3.0,6,1,0,0,0,5.9,0.34,-0.1,-0.04,12,20,60.0,109,12,16.5,26.4,11,18.2,27.3,23,1,4.3,5,1.67,15.8
Nikita Haikin,RUS,GK,Bodø/Glimt,29-120,1995,4.0,5,0,0,2,0,6.5,0.24,+1.5,+0.38,25,72,34.7,188,25,30.9,33.3,28,50.0,43.3,67,6,9.0,7,1.75,15.7
Lukáš Horníček,CZE,GK,Braga,22-118,2002,1.0,1,0,0,0,0,1.2,0.39,+0.2,+0.18,1,10,10.0,35,7,25.7,26.9,6,16.7,33.0,13,2,15.4,4,4.00,12.0
Martin Jedlička,CZE,GK,Viktoria Plzeň,26-289,1998,4.0,6,0,0,1,0,5.9,0.24,-0.1,-0.01,25,74,33.8,91,12,57.1,43.6,28,78.6,57.7,63,5,7.9,6,1.50,13.7
Antonín Kinský,CZE,GK,Slavia Prague,21-240,2003,4.0,3,1,1,0,0,2.9,0.20,-0.1,-0.02,17,37,45.9,149,15,22.8,30.1,16,18.8,26.6,32,2,6.3,3,0.75,14.0
Mateusz Kochalski,POL,GK,Qarabağ,24-106,2000,3.0,7,1,0,2,0,7.8,0.34,+0.8,+0.26,14,42,33.3,89,11,37.1,34.8,16,56.3,42.6,28,2,7.1,2,0.67,12.1
Dominik Kotarski,CRO,GK,PAOK,24-272,2000,4.0,8,0,0,0,1,8.0,0.39,+1.0,+0.26,14,61,23.0,148,7,32.4,34.1,22,59.1,46.1,54,1,1.9,4,1.00,17.6
Dominik Livaković,CRO,GK,Fenerbahçe,29-304,1995,4.0,6,0,0,1,0,7.0,0.27,+1.0,+0.25,22,58,37.9,147,21,36.1,32.3,11,45.5,40.2,36,2,5.6,3,0.75,13.1
Christos Mandas,GRE,GK,Lazio,23-052,2001,3.0,2,0,0,0,0,3.2,0.46,+1.2,+0.41,12,41,29.3,93,8,35.5,37.3,12,66.7,47.3,25,3,12.0,2,0.67,13.4
Unai Marrero,ESP,GK,Real Sociedad,23-030,2001,1.0,1,0,0,0,0,0.9,0.29,-0.1,-0.13,2,7,28.6,31,2,16.1,21.4,8,25.0,26.5,10,0,0.0,1,1.00,11.0
Roei Mashpati,ISR,GK,Maccabi Tel Aviv,31-351,1992,4.0,11,1,0,1,0,12.1,0.38,+1.1,+0.28,15,44,34.1,138,26,27.5,29.4,19,31.6,32.2,52,2,3.8,2,0.50,11.2
Matheus,BRA,GK,Braga,32-112,1992,3.0,6,1,0,1,0,3.1,0.19,-2.9,-0.98,8,23,34.8,106,9,19.8,30.2,18,11.1,23.6,30,2,6.7,11,3.67,20.9
Anthony Moris,LUX,GK,Union SG,34-193,1990,4.0,4,0,0,2,1,3.5,0.27,+0.5,+0.14,38,77,49.4,135,11,51.1,39.9,17,47.1,39.4,48,4,8.3,3,0.75,11.2
Fernando Muslera,URU,GK,Galatasaray,38-145,1986,1.0,2,0,0,0,0,2.5,0.82,+0.5,+0.45,6,11,54.5,20,1,55.0,42.2,2,0.0,20.0,2,1,50.0,4,4.00,26.8
Ruslan Neshcheret,UKR,GK,Dynamo Kyiv,22-291,2002,1.0,1,1,0,0,0,1.3,0.10,+0.3,+0.31,5,18,27.8,36,5,38.9,39.4,7,57.1,45.7,18,0,0.0,0,0.00,5.0
André Onana,CMR,GK,Manchester Utd,28-220,1996,4.0,5,0,0,0,0,5.8,0.33,+0.8,+0.19,19,43,44.2,129,14,29.5,30.4,11,45.5,36.1,46,0,0.0,2,0.50,13.6
Fabrice Ondoa,CMR,GK,FK Rīgas FS,28-320,1995,4.0,8,0,0,0,0,7.6,0.35,-0.4,-0.11,20,61,32.8,93,17,51.6,42.9,23,56.5,45.4,85,4,4.7,2,0.50,11.0
Rome-Jayden Owusu-Oduro,NED,GK,AZ Alkmaar,20-129,2004,4.0,6,1,0,0,0,5.9,0.22,-0.1,-0.04,9,42,21.4,108,17,29.6,33.3,20,50.0,45.4,44,6,13.6,4,1.00,12.7
Sergio Padt,NED,GK,Ludogorets,34-155,1990,2.0,4,0,0,1,0,3.6,0.34,-0.4,-0.21,5,29,17.2,53,5,41.5,34.5,18,38.9,35.6,41,0,0.0,3,1.50,16.3
Remko Pasveer,NED,GK,Ajax,41-000,1983,4.0,1,0,0,1,0,2.1,0.18,+1.1,+0.27,10,32,31.3,124,19,21.8,26.9,12,41.7,36.1,53,6,11.3,0,0.00,11.6
Lucas Perri,BRA,GK,Lyon,26-334,1997,3.0,2,0,0,0,0,3.0,0.26,+1.0,+0.33,4,33,12.1,85,8,32.9,33.3,21,23.8,29.9,30,0,0.0,3,1.00,12.8
Isak Pettersson,SWE,GK,Elfsborg,27-155,1997,4.0,8,1,0,0,2,7.9,0.30,+1.9,+0.49,19,89,21.3,119,16,62.2,43.7,22,68.2,50.0,82,4,4.9,2,0.50,10.2
Ivan Provedel,ITA,GK,Lazio,30-236,1994,1.0,0,0,0,0,0,1.0,0.17,+1.0,+1.04,4,12,33.3,29,3,31.0,36.4,4,75.0,52.5,17,0,0.0,0,0.00,3.0
Elías Rafn Ólafsson,ISL,GK,Midtjylland,24-242,2000,4.0,3,0,1,0,0,3.5,0.19,+0.5,+0.12,17,64,26.6,103,21,42.7,37.8,33,60.6,49.4,39,2,5.1,11,2.75,24.4
Álex Remiro,ESP,GK,Real Sociedad,29-229,1995,3.0,5,0,0,0,0,4.3,0.29,-0.7,-0.22,10,33,30.3,91,9,27.5,30.4,16,50.0,44.1,41,4,9.8,3,1.00,12.0
Ricardo,BRA,GK,Malmö,31-264,1993,1.5,2,0,0,0,0,1.2,0.25,-0.8,-0.56,3,18,16.7,27,5,37.0,34.2,12,66.7,49.3,16,2,12.5,1,0.67,13.7
Kauã Santos,BRA,GK,Eint Frankfurt,21-211,2003,2.0,4,0,0,0,0,4.1,0.22,+0.1,+0.04,9,21,42.9,58,13,25.9,28.5,11,54.5,47.5,28,5,17.9,1,0.50,9.7
Mile Svilar,SRB,GK,Roma,25-073,1999,4.0,3,1,0,1,0,4.4,0.29,+1.4,+0.35,19,55,34.5,160,17,24.4,29.9,19,84.2,57.0,46,3,6.5,3,0.75,13.0
Stefan Târnovanu,ROU,GK,FCSB,24-183,2000,4.0,5,0,0,1,0,6.1,0.28,+1.1,+0.29,25,60,41.7,111,8,41.4,36.3,38,36.8,37.1,71,3,4.2,1,0.25,11.3
Kevin Trapp,GER,GK,Eint Frankfurt,34-123,1990,2.0,0,0,0,0,0,1.1,0.22,+1.1,+0.56,7,22,31.8,51,4,29.4,30.5,17,41.2,38.4,41,0,0.0,2,1.00,21.3
Przemysław Tytoń,POL,GK,Twente,37-309,1987,1.9,4,0,0,0,0,4.2,0.46,+0.2,+0.09,21,46,45.7,68,7,54.4,37.4,12,75.0,47.7,31,1,3.2,2,1.08,12.7
Kostas Tzolakis,GRE,GK,Olympiacos,22-000,2002,4.0,3,0,0,0,0,5.8,0.29,+2.8,+0.70,19,76,25.0,96,15,60.4,44.1,23,78.3,54.7,35,2,5.7,11,2.75,17.7
Lars Unnerstall,GER,GK,Twente,34-111,1990,2.1,2,0,0,0,0,1.9,0.28,-0.1,-0.03,13,39,33.3,77,8,48.1,37.0,11,18.2,29.3,30,0,0.0,4,1.89,19.3
Guglielmo Vicario,ITA,GK,Tottenham,28-032,1996,2.0,1,0,0,0,0,1.7,0.17,+0.7,+0.34,2,7,28.6,69,18,8.7,22.9,12,8.3,21.7,38,3,7.9,4,2.00,15.5
