Player,Nation,Pos,Squad,Comp,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
David de Gea,ESP,GK,Fiorentina,Serie A,33-345,1990,4.0,5,0,0,0,0,5.5,0.17,+0.5,+0.13,22,51,43.1,103,17,36.9,33.7,31,41.9,39.3,63,2,3.2,1,0.25,8.6
Pierluigi Gollini,ITA,GK,Genoa,Serie A,29-213,1995,7.0,15,3,0,1,0,12.2,0.29,-2.8,-0.39,33,75,44.0,198,21,24.7,30.4,52,50.0,44.4,92,2,2.2,2,0.29,9.6
Kamil Grabara,POL,GK,Wolfsburg,Bundesliga,25-283,1999,6.0,12,1,0,3,1,13.3,0.33,+2.3,+0.39,53,165,32.1,220,18,63.6,44.0,27,92.6,65.1,77,1,1.3,2,0.33,11.5
Dominik Greif,SVK,GK,Mallorca,La Liga,27-194,1997,6.0,7,0,0,1,0,6.0,0.24,-1.0,-0.16,23,74,31.1,145,23,40.0,37.2,30,53.3,44.4,81,2,2.5,1,0.17,7.8
Vicente Guaita,ESP,GK,Celta Vigo,La Liga,37-281,1987,5.0,6,0,0,0,0,5.8,0.32,-0.2,-0.05,14,41,34.1,104,32,25.0,30.1,31,48.4,42.4,81,6,7.4,3,0.60,11.6
Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,34-164,1990,6.0,2,0,0,0,0,5.1,0.17,+3.1,+0.51,14,35,40.0,144,23,18.1,27.8,37,24.3,31.6,73,6,8.2,4,0.67,13.8
Dean Henderson,ENG,GK,Crystal Palace,Premier League,27-219,1997,7.0,10,0,0,0,0,11.1,0.39,+1.1,+0.16,16,87,18.4,154,37,40.9,34.8,61,39.3,36.5,92,5,5.4,12,1.71,15.7
Mads Hermansen,DEN,GK,Leicester City,Premier League,24-098,2000,7.0,12,1,0,0,1,15.4,0.34,+4.4,+0.63,39,108,36.1,209,38,36.4,34.5,47,68.1,46.8,142,8,5.6,7,1.00,12.4
Sergio Herrera,ESP,GK,Osasuna,La Liga,31-134,1993,9.0,14,0,0,2,1,12.2,0.32,-0.8,-0.09,61,157,38.9,244,26,46.7,39.9,70,61.4,50.6,141,10,7.1,29,3.22,20.1
Dinko Horkaš,CRO,GK,Las Palmas,La Liga,25-221,1999,2.0,4,0,0,0,0,3.1,0.32,-0.9,-0.44,6,14,42.9,73,7,15.1,26.1,7,42.9,30.4,26,0,0.0,6,3.00,24.4
Lukáš Hrádecký,FIN,GK,Leverkusen,Bundesliga,34-328,1989,5.0,9,1,0,2,1,6.3,0.25,-1.7,-0.34,17,40,42.5,110,21,27.3,29.9,25,40.0,35.9,47,3,6.4,4,0.80,15.1
Karl Jakob Hein,EST,GK,Valladolid,La Liga,22-187,2002,9.0,19,0,1,1,1,15.5,0.32,-2.5,-0.27,42,110,38.2,275,45,30.2,33.1,48,56.3,50.6,132,10,7.6,10,1.11,14.6
Vitezslav Jaros,CZE,GK,Liverpool,Premier League,23-086,2001,0.1,0,0,0,0,0,0.0,0.03,0.0,+0.25,5,7,71.4,7,2,85.7,50.9,1,100.0,59.0,2,0,0.0,0,0.00,11.0
