Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Ebenezer Akinsanmiro,NGA,MF,Inter,Serie A,18,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,21,2002,17.9,7,36,22,61.1,2.01,1.23,0.19,0.32,15.7,1,0,0,5.4,5.4,0.15,+1.6,+1.6
Paul Akouokou,CIV,MF,Betis,La Liga,25,1997,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Paul Akouokou,CIV,MF,Lyon,Ligue 1,25,1997,3.4,0,2,0,0.0,0.59,0.00,0.00,,15.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,30,1992,7.8,0,7,3,42.9,0.89,0.38,0.00,0.00,26.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5
David Akpan Ankeye,NGA,FW,Genoa,Serie A,21,2002,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,28,1995,12.2,0,2,0,0.0,0.16,0.00,0.00,,6.8,0,0,0,0.3,0.3,0.15,-0.3,-0.3
David Alaba,AUT,DF,Real Madrid,La Liga,31,1992,12.8,0,14,3,21.4,1.09,0.23,0.00,0.00,19.8,6,0,0,1.0,1.0,0.07,-1.0,-1.0
Luis Alberto,ESP,MF,Lazio,Serie A,30,1992,25.7,5,56,15,26.8,2.18,0.58,0.09,0.33,22.0,4,0,0,4.7,4.7,0.08,+0.3,+0.3
Raúl Albiol,ESP,DF,Villarreal,La Liga,37,1985,22.6,0,6,1,16.7,0.27,0.04,0.00,0.00,9.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Thiago Alcántara,ESP,MF,Liverpool,Premier League,32,1991,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Carlos Alcaraz,ARG,MF,Juventus,Serie A,20,2002,4.2,0,11,2,18.2,2.61,0.47,0.00,0.00,24.0,2,0,0,0.4,0.4,0.03,-0.4,-0.4
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,32,1991,34.8,3,46,10,21.7,1.32,0.29,0.02,0.10,24.9,8,2,2,3.3,1.7,0.04,-0.3,-0.7
Omar Alderete,PAR,DF,Getafe,La Liga,26,1996,24.4,0,24,5,20.8,0.98,0.21,0.00,0.00,19.7,3,0,0,1.2,1.2,0.05,-1.2,-1.2
Iván Alejo,ESP,MF,Cádiz,La Liga,28,1995,18.8,0,11,2,18.2,0.59,0.11,0.00,0.00,21.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Carles Aleñá,ESP,MF,Getafe,La Liga,25,1998,11.3,1,16,5,31.3,1.41,0.44,0.06,0.20,18.8,0,0,0,1.2,1.2,0.08,-0.2,-0.2
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,24,1998,23.9,3,47,8,17.0,1.96,0.33,0.06,0.38,24.4,5,0,0,2.6,2.3,0.05,+0.4,+0.7
Aboubacar Ali,FRA,"MF,FW",Strasbourg,Ligue 1,17,2006,1.4,0,4,2,50.0,2.77,1.38,0.00,0.00,19.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,19,2004,2.8,0,3,0,0.0,1.08,0.00,0.00,,17.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4
Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,19,2004,9.6,1,18,6,33.3,1.88,0.63,0.06,0.17,21.1,0,0,0,1.1,1.1,0.06,-0.1,-0.1
Faride Alidou,GER,"FW,MF",Köln,Bundesliga,22,2001,14.2,4,33,11,33.3,2.32,0.77,0.12,0.36,14.5,0,0,0,3.0,3.0,0.09,+1.0,+1.0
Nabil Alioui,FRA,"MF,FW",Le Havre,Ligue 1,24,1999,11.2,4,28,9,32.1,2.50,0.80,0.14,0.44,19.0,1,0,0,2.4,2.4,0.09,+1.6,+1.6
Alisson,BRA,GK,Liverpool,Premier League,30,1992,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tadeo Allende,ARG,"MF,FW",Celta Vigo,La Liga,24,1999,3.7,1,8,2,25.0,2.14,0.54,0.13,0.50,17.4,0,0,0,1.2,1.2,0.16,-0.2,-0.2
Jim Allevinah,GAB,"MF,DF",Clermont Foot,Ligue 1,28,1995,20.7,2,37,11,29.7,1.79,0.53,0.05,0.18,14.8,0,0,0,2.6,2.6,0.07,-0.6,-0.6
Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,23,2000,10.7,2,10,4,40.0,0.93,0.37,0.20,0.50,19.3,0,0,0,0.6,0.6,0.06,+1.4,+1.4
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,29,1994,21.5,3,41,12,29.3,1.91,0.56,0.07,0.25,16.1,0,0,0,4.5,4.5,0.11,-1.5,-1.5
Pontus Almqvist,SWE,"FW,MF",Lecce,Serie A,24,1999,23.4,2,40,15,37.5,1.71,0.64,0.05,0.13,19.7,0,0,0,2.3,2.3,0.06,-0.3,-0.3
Marcos Alonso,ESP,DF,Barcelona,La Liga,32,1990,2.8,0,3,2,66.7,1.07,0.71,0.00,0.00,20.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Adrià Altimira,ESP,"DF,MF",Villarreal,La Liga,22,2001,8.6,0,1,0,0.0,0.12,0.00,0.00,,27.2,0,0,0,0.0,0.0,0.03,0.0,0.0
Sergi Altimira,ESP,MF,Betis,La Liga,21,2001,6.3,1,7,2,28.6,1.11,0.32,0.14,0.50,22.3,0,0,0,0.2,0.2,0.03,+0.8,+0.8
Edson Álvarez,MEX,MF,West Ham,Premier League,25,1997,26.4,1,17,3,17.6,0.64,0.11,0.06,0.33,21.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3
Gastón Álvarez,URU,DF,Getafe,La Liga,23,2000,28.2,2,14,3,21.4,0.50,0.11,0.14,0.67,16.5,0,0,0,0.7,0.7,0.05,+1.3,+1.3
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,20,2003,8.5,1,12,4,33.3,1.42,0.47,0.08,0.25,13.9,0,0,0,1.0,1.0,0.09,0.0,0.0
Julián Álvarez,ARG,"MF,FW",Manchester City,Premier League,23,2000,29.4,11,96,37,38.5,3.26,1.26,0.09,0.24,17.8,13,2,2,13.0,11.5,0.12,-2.0,-2.5
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,28,1995,12.8,0,7,2,28.6,0.55,0.16,0.00,0.00,14.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Skelly Alvero,FRA,MF,Lyon,Ligue 1,21,2002,4.7,1,9,3,33.3,1.90,0.63,0.11,0.33,22.9,0,0,0,0.4,0.4,0.05,+0.6,+0.6
Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,21,2002,1.4,1,5,3,60.0,3.66,2.20,0.20,0.33,15.1,0,0,0,0.3,0.3,0.07,+0.7,+0.7
Papa Amadou Diallo,SEN,FW,Metz,Ligue 1,19,2004,9.9,2,13,5,38.5,1.32,0.51,0.15,0.40,14.7,0,0,0,2.6,2.6,0.20,-0.6,-0.6
Selim Amallah,MAR,"FW,MF",Valencia,La Liga,26,1996,6.7,0,11,4,36.4,1.64,0.60,0.00,0.00,21.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Amath,SEN,"FW,MF",Mallorca,La Liga,27,1996,4.4,0,12,2,16.7,2.74,0.46,0.00,0.00,14.1,0,0,0,1.6,1.6,0.13,-1.6,-1.6
Lorenzo Amatucci,ITA,MF,Fiorentina,Serie A,19,2004,0.2,0,1,0,0.0,4.09,0.00,0.00,,29.5,0,0,0,0.0,0.0,0.01,0.0,0.0
Jordan Amavi,FRA,DF,Brest,Ligue 1,29,1994,1.0,1,1,1,100.0,0.99,0.99,1.00,1.00,26.9,1,0,0,0.1,0.1,0.10,+0.9,+0.9
Zeki Amdouni,SUI,FW,Burnley,Premier League,22,2000,21.7,5,48,21,43.8,2.21,0.97,0.08,0.19,17.8,0,1,1,5.8,5.0,0.10,-0.8,-1.0
Kelvin Amian,FRA,DF,Nantes,Ligue 1,25,1998,8.9,0,1,0,0.0,0.11,0.00,0.00,,22.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Bruno Amione,ARG,DF,Hellas Verona,Serie A,21,2002,6.4,0,5,3,60.0,0.78,0.47,0.00,0.00,9.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,27,1996,11.1,3,6,4,66.7,0.54,0.36,0.50,0.75,16.8,0,0,0,0.8,0.8,0.14,+2.2,+2.2
Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,26,1996,14.6,1,35,8,22.9,2.40,0.55,0.03,0.13,26.8,11,0,1,2.2,1.4,0.04,-1.2,-0.4
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,26,1996,1.0,0,3,2,66.7,3.14,2.09,0.00,0.00,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Kofi Amoako,GER,MF,Wolfsburg,Bundesliga,18,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,Premier League,26,1996,10.4,0,3,0,0.0,0.29,0.00,0.00,,26.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,27,1996,37.9,2,21,8,38.1,0.55,0.21,0.10,0.25,12.8,1,0,0,1.7,1.7,0.08,+0.3,+0.3
Elliot Anderson,ENG,"MF,FW",Newcastle Utd,Premier League,20,2002,11.4,0,19,4,21.1,1.67,0.35,0.00,0.00,14.5,0,0,0,1.5,1.5,0.08,-1.5,-1.5
Felipe Anderson,BRA,"FW,MF",Lazio,Serie A,30,1993,30.8,5,43,11,25.6,1.40,0.36,0.12,0.45,17.3,1,0,0,4.4,4.4,0.10,+0.6,+0.6
Benjamin André,FRA,MF,Lille,Ligue 1,32,1990,28.6,4,23,9,39.1,0.81,0.32,0.17,0.44,17.0,0,0,0,2.6,2.6,0.11,+1.4,+1.4
Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,28,1995,1.9,0,2,0,0.0,1.07,0.00,0.00,,19.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,28,1994,18.8,4,23,9,39.1,1.22,0.48,0.17,0.44,20.0,2,0,0,1.7,1.7,0.07,+2.3,+2.3
Miguel Ángel Rubio,ESP,DF,Granada,La Liga,25,1998,17.3,1,9,2,22.2,0.52,0.12,0.11,0.50,10.4,0,0,0,0.8,0.8,0.09,+0.2,+0.2
Angeliño,ESP,DF,Roma,Serie A,26,1997,12.7,0,8,2,25.0,0.63,0.16,0.00,0.00,24.1,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Ângelo,BRA,"FW,MF",Strasbourg,Ligue 1,18,2004,12.2,0,9,4,44.4,0.74,0.33,0.00,0.00,22.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Fabrizio Angileri,ARG,"DF,MF",Getafe,La Liga,29,1994,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jaidon Anthony,ENG,FW,Bournemouth,Premier League,23,1999,1.7,0,2,1,50.0,1.18,0.59,0.00,0.00,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,27,1996,32.1,0,28,6,21.4,0.87,0.19,0.00,0.00,15.9,0,0,0,1.7,1.7,0.06,-1.7,-1.7
Michail Antonio,JAM,FW,West Ham,Premier League,33,1990,18.8,6,30,14,46.7,1.59,0.74,0.20,0.43,13.1,0,0,0,5.8,5.8,0.19,+0.2,+0.2
Antony,BRA,FW,Manchester Utd,Premier League,23,2000,14.7,1,43,15,34.9,2.92,1.02,0.02,0.07,18.9,0,0,0,3.4,3.4,0.08,-2.4,-2.4
Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,29,1994,13.5,2,29,9,31.0,2.15,0.67,0.07,0.22,18.2,0,0,0,2.2,2.2,0.08,-0.2,-0.2
Houssem Aouar,ALG,"MF,FW",Roma,Serie A,25,1998,8.4,4,12,7,58.3,1.43,0.83,0.33,0.57,13.3,0,0,0,2.3,2.3,0.19,+1.7,+1.7
Stredair Appuah,FRA,"FW,MF",Nantes,Ligue 1,19,2004,0.9,0,4,0,0.0,4.29,0.00,0.00,,23.3,0,0,0,0.4,0.4,0.11,-0.4,-0.4
Mauro Arambarri,URU,MF,Getafe,La Liga,27,1995,3.8,0,9,2,22.2,2.39,0.53,0.00,0.00,21.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Jon Aramburu,VEN,DF,Real Sociedad,La Liga,21,2002,6.0,0,4,0,0.0,0.66,0.00,0.00,,23.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Asaf Arania,ISR,MF,Darmstadt 98,Bundesliga,17,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Julian Araujo,MEX,DF,Las Palmas,La Liga,21,2001,16.2,1,7,2,28.6,0.43,0.12,0.14,0.50,20.5,0,0,0,0.7,0.7,0.10,+0.3,+0.3
Ronald Araújo,URU,DF,Barcelona,La Liga,24,1999,22.2,1,23,9,39.1,1.04,0.41,0.04,0.11,12.4,0,0,0,2.1,2.1,0.09,-1.1,-1.1
Oliver Arblaster,ENG,MF,Sheffield Utd,Premier League,19,2004,10.5,0,1,1,100.0,0.10,0.10,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0
Cameron Archer,ENG,"FW,MF",Sheffield Utd,Premier League,22,2001,20.4,4,42,9,21.4,2.06,0.44,0.10,0.44,16.7,0,0,0,5.5,5.5,0.14,-1.5,-1.5
Cameron Archer,ENG,MF,Aston Villa,Premier League,22,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Alphonse Areola,FRA,GK,West Ham,Premier League,30,1993,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Adu Ares,ESP,FW,Athletic Club,La Liga,21,2001,2.9,0,4,0,0.0,1.36,0.00,0.00,,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Jesús Areso,ESP,DF,Osasuna,La Liga,24,1999,29.6,1,9,2,22.2,0.30,0.07,0.11,0.50,27.1,0,0,0,0.2,0.2,0.02,+0.8,+0.8
Simone Aresti,ITA,GK,Cagliari,Serie A,37,1986,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Matias Arezo,URU,FW,Granada,La Liga,20,2002,4.1,0,12,4,33.3,2.93,0.98,0.00,0.00,18.1,0,0,0,1.2,1.2,0.10,-1.2,-1.2
Iñigo Arguibide,ESP,DF,Osasuna,La Liga,18,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Yoël Armougom,FRA,"DF,MF",Clermont Foot,Ligue 1,25,1998,2.6,0,2,0,0.0,0.77,0.00,0.00,,28.1,0,0,0,0.0,0.0,0.02,0.0,0.0
José Arnaiz,ESP,"FW,MF",Osasuna,La Liga,28,1995,10.3,2,29,9,31.0,2.81,0.87,0.07,0.22,22.7,5,0,0,1.7,1.7,0.06,+0.3,+0.3
Hákon Arnar Haraldsson,ISL,"FW,MF",Lille,Ligue 1,20,2003,14.3,2,12,6,50.0,0.84,0.42,0.17,0.33,18.2,0,0,0,0.8,0.8,0.06,+1.2,+1.2
Marko Arnautović,AUT,FW,Inter,Serie A,34,1989,8.9,5,17,9,52.9,1.91,1.01,0.29,0.56,11.5,0,0,0,5.0,5.0,0.29,0.0,0.0
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,29,1994,27.8,2,32,12,37.5,1.15,0.43,0.06,0.17,27.8,8,0,0,1.0,1.0,0.03,+1.0,+1.0
Mohamed El Arouch,FRA,FW,Lyon,Ligue 1,19,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sergio Arribas,ESP,"MF,FW",Almería,La Liga,21,2001,22.7,9,60,22,36.7,2.64,0.97,0.15,0.41,16.8,1,0,0,8.6,8.6,0.15,+0.4,+0.4
Kepa Arrizabalaga,ESP,GK,Real Madrid,La Liga,28,1994,13.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Arthur,BRA,DF,Leverkusen,Bundesliga,20,2003,2.0,0,2,1,50.0,0.98,0.49,0.00,0.00,21.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Takuma Asano,JPN,"FW,MF",Bochum,Bundesliga,28,1994,22.1,6,65,23,35.4,2.95,1.04,0.09,0.26,14.9,0,0,0,7.9,7.9,0.12,-1.9,-1.9
Marco Asensio,ESP,"MF,FW",Paris S-G,Ligue 1,27,1996,12.4,4,27,10,37.0,2.18,0.81,0.15,0.40,19.2,1,0,0,3.2,3.2,0.12,+0.8,+0.8
Kristjan Asllani,ALB,MF,Inter,Serie A,21,2002,8.7,1,15,4,26.7,1.72,0.46,0.07,0.25,27.1,1,0,0,0.6,0.6,0.04,+0.4,+0.4
Joel Asoro,SWE,"FW,MF",Metz,Ligue 1,24,1999,9.4,2,6,3,50.0,0.64,0.32,0.33,0.67,15.4,0,0,0,0.6,0.6,0.10,+1.4,+1.4
Jonathan Asp Jensen,DEN,FW,Bayern Munich,Bundesliga,17,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
