Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Nachon Nsingi,BEL,"FW,MF",OH Leuven,22,2001,26,"1,211",47,44.9,13.5,14,77,2,12,12,3,1.08,22,24,-2,-0.15,+0.52,18.9,18.3,+0.6,+0.05,+0.76
Mitchy Ntelo,BEL,"FW,DF",Charleroi,22,2001,4,38,10,1.4,0.4,0,,0,4,10,2,0.50,0,2,-2,-4.74,-4.06,0.5,1.5,-1.0,-2.35,-1.94
Isaac Nuhu,GHA,"FW,MF",Eupen,21,2002,30,"2,279",76,84.4,25.3,27,82,13,3,26,0,0.77,21,48,-27,-1.07,+0.43,24.7,48.2,-23.5,-0.93,+0.15
Erick Nunes,BRA,MF,Cercle Brugge,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Manaf Nurudeen,GHA,GK,Eupen,24,1999,2,180,90,6.7,2.0,2,90,2,0,,15,1.67,3,2,+1,+0.50,+1.75,1.5,4.6,-3.1,-1.55,-0.64
Antonio Nusa,NOR,"FW,MF",Club Brugge,18,2005,20,"1,009",50,37.4,11.2,9,82,2,11,24,1,1.93,22,13,+9,+0.80,-0.47,22.1,10.2,+11.9,+1.06,-0.11
Aiden O'Neill,AUS,MF,Standard Liège,25,1998,23,"1,503",65,55.7,16.7,16,86,14,7,18,1,1.22,15,23,-8,-0.48,-0.48,14.1,26.9,-12.8,-0.77,-0.86
Denis Odoi,GHA,"DF,MF",Club Brugge,35,1988,17,575,34,21.3,6.4,5,68,2,12,20,4,2.00,15,10,+5,+0.78,-0.40,12.7,7.8,+4.9,+0.77,-0.46
Ryoya Ogawa,JPN,"DF,MF",Sint-Truiden,26,1996,4,199,50,7.4,2.2,2,87,1,2,13,8,1.14,3,2,+1,+0.45,+0.88,3.9,3.3,+0.5,+0.25,+0.49
Noah Ohio,NED,FW,Standard Liège,20,2003,14,317,23,11.7,3.5,2,61,0,12,16,5,1.00,1,3,-2,-0.57,-0.34,2.6,5.9,-3.3,-0.94,-0.63
Sheyi Ojo,ENG,"DF,FW",Kortrijk,26,1997,25,"1,538",62,57.0,17.1,17,81,11,8,21,1,0.76,12,30,-18,-1.05,+0.26,15.3,32.3,-17.0,-0.99,-0.03
Shinji Okazaki,JPN,"FW,MF",Sint-Truiden,37,1986,5,59,12,2.2,0.7,0,,0,5,12,5,1.29,2,1,+1,+1.53,+1.93,1.5,0.6,+0.8,+1.26,+1.50
Nathan Okumu,BEL,FW,Charleroi,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Kazeem Olaigbe,BEL,"FW,MF",Cercle Brugge,20,2003,20,606,30,22.4,6.7,3,74,0,17,23,4,1.36,12,9,+3,+0.45,+0.14,14.8,9.7,+5.1,+0.76,+0.47
Jacob Ondrejka,SWE,"FW,MF",Antwerp,20,2002,14,691,49,25.6,7.7,8,69,0,6,23,1,1.43,19,6,+13,+1.69,+1.02,15.5,6.9,+8.6,+1.12,+0.62
Raphael Onyedika,NGA,MF,Club Brugge,22,2001,21,"1,582",75,58.6,17.6,19,81,11,2,18,2,1.87,37,16,+21,+1.19,+0.23,34.5,15.4,+19.2,+1.09,-0.09
Nathan Opoku,GHA,FW,OH Leuven,22,2001,18,815,45,30.2,9.1,9,74,2,9,17,4,0.50,5,13,-8,-0.88,-0.64,7.6,15.8,-8.3,-0.91,-0.77
