Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Paulo Dybala,ARG,"AT,MT",Roma,30-334,1993,5,3,285,3.2,1,0,1,0,1,1,0,0,1.2,0.4,1.4,1.7,7,10,24,0.32,0.00,0.32,0.00,0.00,0.37,0.43,0.80,0.12,0.55,https://fbref.com/fr/joueurs/e0921a4f/Paulo-Dybala
Éderson,BRA,MT,Atalanta,25-099,1999,7,7,595,6.6,1,1,2,1,0,0,2,0,0.5,0.5,0.4,0.9,3,45,16,0.15,0.15,0.30,0.15,0.30,0.08,0.05,0.14,0.08,0.14,https://fbref.com/fr/joueurs/a9202def/Ederson
Kingsley Ehizibue,NED,DF,Udinese,29-142,1995,7,7,606,6.7,0,1,1,0,0,0,3,0,0.2,0.2,0.8,1.0,16,11,41,0.00,0.15,0.15,0.00,0.15,0.03,0.11,0.14,0.03,0.14,https://fbref.com/fr/joueurs/76b2817e/Kingsley-Ehizibue
Jeff Ekhator,ITA,"AT,MT",Genoa,17-338,2006,5,0,59,0.7,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,1,1,9,1.53,0.00,1.53,1.53,1.53,0.88,0.03,0.91,0.88,0.91,https://fbref.com/fr/joueurs/faf739d2/Jeff-Ekhator
Jurgen Ekkelenkamp,NED,MT,Udinese,24-192,2000,7,2,290,3.2,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,4,19,9,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,https://fbref.com/fr/joueurs/73d6a176/Jurgen-Ekkelenkamp
Emmanuel Ekong,SWE,"MT,AT",Empoli,22-111,2002,5,0,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,2,6,0.00,0.00,0.00,0.00,0.00,0.06,0.12,0.17,0.06,0.17,https://fbref.com/fr/joueurs/c20892ee/Emmanuel-Ekong
Caleb Ekuban,GHA,AT,Genoa,30-205,1994,4,2,210,2.3,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,1,3,11,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.14,0.11,0.14,https://fbref.com/fr/joueurs/7afbd2c3/Caleb-Ekuban
Mikael Ellertsson,ISL,MT,Venezia,22-217,2002,6,5,428,4.8,0,1,1,0,0,0,0,0,0.6,0.6,0.5,1.0,5,6,15,0.00,0.21,0.21,0.00,0.21,0.12,0.10,0.22,0.12,0.22,https://fbref.com/fr/joueurs/c55967eb/Mikael-Ellertsson
Emerson,BRA,DF,Milan,25-274,1999,6,5,453,5.0,0,0,0,0,0,0,2,0,0.0,0.0,0.5,0.5,8,18,32,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,https://fbref.com/fr/joueurs/df8b52a5/Emerson
Yannik Engelhardt,GER,MT,Como,23-250,2001,3,0,79,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/fac66db3/Yannik-Engelhardt
