Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Eberechi Eze,ENG,"MT,AT",Crystal Palace,26-107,1998,7,7,629,7.0,1,0,1,1,0,0,0,0,2.5,2.5,0.8,3.3,20,39,49,0.14,0.00,0.14,0.14,0.14,0.36,0.11,0.47,0.36,0.47,https://fbref.com/fr/joueurs/ae4fc6a4/Eberechi-Eze
Łukasz Fabiański,POL,GB,West Ham,39-179,1985,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/9328b835/Lukasz-Fabianski
Wout Faes,BEL,DF,Leicester City,26-194,1998,7,7,630,7.0,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,2,13,1,0.14,0.00,0.14,0.14,0.14,0.06,0.00,0.06,0.06,0.06,https://fbref.com/fr/joueurs/9c221d14/Wout-Faes
Abdul Fatawu Issahaku,GHA,AT,Leicester City,20-220,2004,7,3,277,3.1,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,12,8,17,0.00,0.32,0.32,0.00,0.32,0.05,0.15,0.20,0.05,0.20,https://fbref.com/fr/joueurs/bceda5ff/Abdul-Fatawu-Issahaku
João Félix,POR,"MT,AT",Chelsea,24-339,1999,5,0,122,1.4,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.7,7,8,11,0.74,0.00,0.74,0.74,0.74,0.51,0.02,0.52,0.51,0.52,https://fbref.com/fr/joueurs/8aafd64f/Joao-Felix
Evan Ferguson,IRL,AT,Brighton,19-361,2004,3,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27,https://fbref.com/fr/joueurs/4596da74/Evan-Ferguson
Bruno Fernandes,POR,"MT,AT",Manchester Utd,30-036,1994,7,7,569,6.3,0,1,1,0,0,0,1,1,1.9,1.9,1.2,3.1,15,54,34,0.00,0.16,0.16,0.00,0.16,0.30,0.19,0.49,0.30,0.49,https://fbref.com/fr/joueurs/507c7bdf/Bruno-Fernandes
Mateus Fernandes,POR,MT,Southampton,20-096,2004,6,4,371,4.1,0,1,1,0,0,0,1,0,0.4,0.4,0.8,1.2,10,16,18,0.00,0.24,0.24,0.00,0.24,0.11,0.19,0.30,0.11,0.30,https://fbref.com/fr/joueurs/ef491564/Mateus-Fernandes
Enzo Fernández,ARG,MT,Chelsea,23-271,2001,6,6,511,5.7,0,0,0,0,0,0,1,0,0.3,0.3,1.0,1.3,4,31,16,0.00,0.00,0.00,0.00,0.00,0.05,0.18,0.23,0.05,0.23,https://fbref.com/fr/joueurs/5ff4ab71/Enzo-Fernandez
Mark Flekken,NED,GB,Brentford,31-123,1993,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/a92ab7be/Mark-Flekken
Phil Foden,ENG,"MT,AT",Manchester City,24-139,2000,4,1,168,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,4,6,19,0.00,0.00,0.00,0.00,0.00,0.13,0.16,0.29,0.13,0.29,https://fbref.com/fr/joueurs/ed1e53f3/Phil-Foden
Wesley Fofana,FRA,DF,Chelsea,23-302,2000,7,7,596,6.6,0,0,0,0,0,0,5,0,0.0,0.0,0.4,0.4,7,14,3,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,https://fbref.com/fr/joueurs/132a82f1/Wesley-Fofana
Carlos Forbs,POR,MT,Wolves,20-209,2004,3,1,111,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,6,14,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12,https://fbref.com/fr/joueurs/8a310070/Carlos-Forbs
Ryan Fraser,SCO,AT,Southampton,30-233,1994,3,2,130,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/fr/joueurs/d56543a0/Ryan-Fraser
Niclas Füllkrug,GER,AT,West Ham,31-248,1993,3,0,66,0.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,0,3,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.35,0.35,0.35,https://fbref.com/fr/joueurs/4f16405e/Niclas-Fullkrug
Cody Gakpo,NED,AT,Liverpool,25-160,1999,7,1,214,2.4,0,1,1,0,0,0,2,0,0.5,0.5,0.7,1.2,4,7,35,0.00,0.42,0.42,0.00,0.42,0.21,0.30,0.51,0.21,0.51,https://fbref.com/fr/joueurs/1971591f/Cody-Gakpo
Idrissa Gana Gueye,SEN,MT,Everton,35-018,1989,6,4,374,4.2,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,2,18,3,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,https://fbref.com/fr/joueurs/72c812f3/Idrissa-Gana-Gueye
Alejandro Garnacho,ARG,AT,Manchester Utd,20-105,2004,7,4,412,4.6,1,1,2,1,0,0,1,0,2.4,2.4,0.4,2.8,21,6,53,0.22,0.22,0.44,0.22,0.44,0.52,0.09,0.61,0.52,0.61,https://fbref.com/fr/joueurs/7aa8adfe/Alejandro-Garnacho
James Garner,ENG,"DF,MT",Everton,23-215,2001,4,2,253,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,3,4,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,https://fbref.com/fr/joueurs/4e015693/James-Garner
Morgan Gibbs-White,ENG,MT,Nott'ham Forest,24-261,2000,6,6,506,5.6,1,0,1,1,0,0,3,1,0.8,0.8,0.8,1.7,11,28,24,0.18,0.00,0.18,0.18,0.18,0.15,0.15,0.30,0.15,0.30,https://fbref.com/fr/joueurs/32f60ed8/Morgan-Gibbs-White
Billy Gilmour,SCO,MT,Brighton,23-125,2001,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,https://fbref.com/fr/joueurs/df10e27c/Billy-Gilmour
João Gomes,BRA,MT,Wolves,23-245,2001,7,7,569,6.3,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,13,27,10,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,https://fbref.com/fr/joueurs/8b57ad2c/Joao-Gomes
Rodrigo Gomes,POR,"AT,MT",Wolves,21-099,2003,3,1,117,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,1,12,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,https://fbref.com/fr/joueurs/8dcf77c0/Rodrigo-Gomes
Toti Gomes,POR,DF,Wolves,25-272,1999,5,5,450,5.0,0,1,1,0,0,0,2,0,0.0,0.0,0.5,0.5,3,9,2,0.00,0.20,0.20,0.00,0.20,0.00,0.10,0.10,0.00,0.10,https://fbref.com/fr/joueurs/f0caab96/Toti-Gomes
Joe Gomez,ENG,DF,Liverpool,27-144,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/7a11550b/Joe-Gomez
Anthony Gordon,ENG,AT,Newcastle Utd,23-233,2001,7,7,598,6.6,2,0,2,1,1,2,0,0,2.8,1.2,1.2,2.4,24,6,49,0.30,0.00,0.30,0.15,0.15,0.42,0.18,0.60,0.19,0.37,https://fbref.com/fr/joueurs/2bd83368/Anthony-Gordon
Ryan Gravenberch,NED,MT,Liverpool,22-151,2002,7,7,629,7.0,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,19,50,13,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,https://fbref.com/fr/joueurs/b8e740fb/Ryan-Gravenberch
Archie Gray,ENG,"MT,DF",Tottenham,18-216,2006,3,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/f58515f5/Archie-Gray
Jack Grealish,ENG,"AT,MT",Manchester City,29-034,1995,6,4,328,3.6,0,1,1,0,0,0,2,0,0.5,0.5,0.9,1.4,37,14,56,0.00,0.27,0.27,0.00,0.27,0.14,0.24,0.38,0.14,0.38,https://fbref.com/fr/joueurs/b0b4fd3e/Jack-Grealish
Jacob Greaves,ENG,DF,Ipswich Town,24-032,2000,7,7,630,7.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,1,14,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,https://fbref.com/fr/joueurs/1f169636/Jacob-Greaves
Brajan Gruda,GER,AT,Brighton,20-136,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/ae9b998d/Brajan-Gruda
Gonçalo Guedes,POR,"MT,AT",Wolves,27-320,1996,4,0,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,6,0.00,0.00,0.00,0.00,0.00,0.05,0.14,0.19,0.05,0.19,https://fbref.com/fr/joueurs/e6bc67d7/Goncalo-Guedes
Marc Guéhi,ENG,DF,Crystal Palace,24-093,2000,7,7,630,7.0,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,3,26,0,0.14,0.00,0.14,0.14,0.14,0.03,0.01,0.03,0.03,0.03,https://fbref.com/fr/joueurs/d0706b27/Marc-Guehi
