Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Ibrahim Mbaye,FRA,"AT,MT",Paris S-G,16-264,2008,4,1,78,0.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,2,12,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,https://fbref.com/fr/joueurs/201b4ee4/Ibrahim-Mbaye
Mark McKenzie,USA,DF,Toulouse,25-232,1999,5,5,424,4.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,12,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/a5f5d094/Mark-McKenzie
Facundo Medina,ARG,"DF,MT",Lens,25-139,1999,7,7,630,7.0,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.4,13,41,3,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,https://fbref.com/fr/joueurs/6f5ec8bb/Facundo-Medina
Henrik Meister,DEN,AT,Rennes,20-332,2003,4,0,63,0.7,1,0,1,1,0,0,0,0,0.1,0.1,0.3,0.3,2,1,4,1.43,0.00,1.43,1.43,1.43,0.09,0.37,0.45,0.09,0.45,https://fbref.com/fr/joueurs/e1a873eb/Henrik-Meister
Bamo Meïté,CIV,"DF,MT",Marseille,22-316,2001,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/04ac78d2/Bamo-Meite
Farid El Melali,ALG,"AT,DF",Angers,27-162,1997,6,4,389,4.3,1,1,2,1,0,0,1,0,0.7,0.7,0.3,1.1,10,6,21,0.23,0.23,0.46,0.23,0.46,0.17,0.07,0.24,0.17,0.24,https://fbref.com/fr/joueurs/d21e361a/Farid-El-Melali
Nuno Mendes,POR,DF,Paris S-G,22-117,2002,4,3,250,2.8,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.9,10,23,13,0.00,0.36,0.36,0.00,0.36,0.06,0.26,0.31,0.06,0.31,https://fbref.com/fr/joueurs/f20e4cc9/Nuno-Mendes
Antoine Mendy,FRA,"DF,MT",Nice,20-140,2004,5,3,285,3.2,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,6,3,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,https://fbref.com/fr/joueurs/3322e296/Antoine-Mendy
Nampalys Mendy,SEN,MT,Lens,32-113,1992,3,1,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/1598599e/Nampalys-Mendy
Gideon Mensah,GHA,DF,Auxerre,26-088,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,4,5,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,https://fbref.com/fr/joueurs/9bdd8118/Gideon-Mensah
Quentin Merlin,FRA,"DF,MT",Marseille,22-151,2002,3,3,270,3.0,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,3,14,25,0.00,0.33,0.33,0.00,0.33,0.03,0.11,0.14,0.03,0.14,https://fbref.com/fr/joueurs/0bfca6a1/Quentin-Merlin
Thomas Meunier,BEL,DF,Lille,33-032,1991,7,4,331,3.7,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.7,11,28,21,0.27,0.00,0.27,0.27,0.27,0.18,0.01,0.18,0.18,0.18,https://fbref.com/fr/joueurs/e162b013/Thomas-Meunier
