Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Marco Asensio,ESP,"AT,MT",Paris S-G,28-267,1996,5,4,278,3.1,1,2,3,1,0,0,0,0,2.5,2.5,1.3,3.9,10,15,23,0.32,0.65,0.97,0.32,0.97,0.82,0.42,1.25,0.82,1.25,https://fbref.com/fr/joueurs/45af8a54/Marco-Asensio
Lorenz Assignon,TOG,"DF,MT",Rennes,24-114,2000,7,5,406,4.5,0,1,1,0,0,0,3,0,0.0,0.0,0.1,0.1,12,19,26,0.00,0.22,0.22,0.00,0.22,0.01,0.02,0.03,0.01,0.03,https://fbref.com/fr/joueurs/b026bbf6/Lorenz-Assignon
Dehmaine Assoumani,FRA,"MT,AT",Nantes,19-180,2005,4,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,2,0,10,0.00,0.00,0.00,0.00,0.00,0.11,0.77,0.89,0.11,0.89,https://fbref.com/fr/joueurs/fb32896c/Dehmaine-Assoumani
Valentin Atangana Edoa,FRA,MT,Reims,19-050,2005,7,7,597,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,27,5,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,https://fbref.com/fr/joueurs/6b5edd5d/Valentin-Atangana-Edoa
Florian Ayé,FRA,AT,Auxerre,27-269,1997,6,1,152,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,2,10,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,https://fbref.com/fr/joueurs/718b8afd/Florian-Aye
Neil El Aynaoui,FRA,MT,Lens,23-104,2001,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/17e1261b/Neil-El-Aynaoui
Shavy Babicka,GAB,MT,Toulouse,24-135,2000,6,2,268,3.0,3,0,3,3,0,0,1,0,1.4,1.4,0.0,1.5,3,4,28,1.01,0.00,1.01,1.01,1.01,0.48,0.01,0.49,0.48,0.49,https://fbref.com/fr/joueurs/c6f0d5d4/Shavy-Babicka
Theo Bair,CAN,AT,Auxerre,25-048,1999,6,3,220,2.4,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.9,1,2,9,0.41,0.00,0.41,0.41,0.41,0.26,0.09,0.35,0.26,0.35,https://fbref.com/fr/joueurs/c724745e/Theo-Bair
Mitchel Bakker,NED,DF,Lille,24-116,2000,4,0,74,0.8,1,0,1,1,0,0,0,0,1.3,1.3,0.0,1.4,2,5,12,1.22,0.00,1.22,1.22,1.22,1.61,0.06,1.67,1.61,1.67,https://fbref.com/fr/joueurs/a8567629/Mitchel-Bakker
Dilane Bakwa,FRA,"AT,MT",Strasbourg,22-049,2002,7,7,616,6.8,0,2,2,0,0,0,0,0,1.0,1.0,2.0,3.0,20,19,37,0.00,0.29,0.29,0.00,0.29,0.15,0.29,0.44,0.15,0.44,https://fbref.com/fr/joueurs/2b5a35e5/Dilane-Bakwa
