Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Omar Mascarell,EQG,MT,Mallorca,31-255,1993,8,5,460,5.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,5,17,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,https://fbref.com/fr/joueurs/11fd2b75/Omar-Mascarell
Jaime Mata,ESP,AT,Las Palmas,35-356,1988,8,2,210,2.3,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,3,2,11,0.00,0.00,0.00,0.00,0.00,0.21,0.01,0.22,0.21,0.22,https://fbref.com/fr/joueurs/02319ad7/Jaime-Mata
Borja Mayoral,ESP,AT,Getafe,27-192,1997,5,0,130,1.4,1,0,1,0,1,1,0,0,1.2,0.4,0.3,0.8,0,0,7,0.69,0.00,0.69,0.00,0.00,0.83,0.24,1.07,0.28,0.52,https://fbref.com/fr/joueurs/64e8ed6d/Borja-Mayoral
Kylian Mbappé,FRA,AT,Real Madrid,25-299,1998,8,8,676,7.5,5,1,6,2,3,3,1,0,7.0,4.6,0.5,5.1,34,37,101,0.67,0.13,0.80,0.27,0.40,0.93,0.06,1.00,0.62,0.68,https://fbref.com/fr/joueurs/42fd9c7f/Kylian-Mbappe
Oliver McBurnie,SCO,AT,Las Palmas,28-132,1996,9,7,638,7.1,0,2,2,0,0,0,0,0,1.0,1.0,1.1,2.0,1,12,35,0.00,0.28,0.28,0.00,0.28,0.13,0.15,0.29,0.13,0.29,https://fbref.com/fr/joueurs/78b8ac63/Oliver-McBurnie
Scott McKenna,SCO,DF,Las Palmas,27-337,1996,5,4,368,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,https://fbref.com/fr/joueurs/4e5a4cbc/Scott-McKenna
Mateo Mejía,ESP,AT,Sevilla,21-197,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/a96e9b5c/Mateo-Mejia
Brais Méndez,ESP,MT,Real Sociedad,27-281,1997,6,4,323,3.6,1,1,2,1,0,0,0,0,1.2,1.2,0.7,1.8,8,16,15,0.28,0.28,0.56,0.28,0.56,0.32,0.19,0.52,0.32,0.52,https://fbref.com/fr/joueurs/c9e39d91/Brais-Mendez
Ferland Mendy,FRA,DF,Real Madrid,29-128,1995,7,7,558,6.2,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,6,23,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/3cefcaef/Ferland-Mendy
Víctor Meseguer,ESP,MT,Valladolid,25-127,1999,7,2,265,2.9,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,6,10,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,https://fbref.com/fr/joueurs/428a06a7/Victor-Meseguer
Miguel,ESP,AT,Leganés,25-041,1999,8,5,490,5.4,0,0,0,0,0,0,2,0,0.8,0.8,0.0,0.8,6,2,27,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,https://fbref.com/fr/joueurs/6763373d/Miguel
Éder Militão,BRA,DF,Real Madrid,26-270,1998,9,8,729,8.1,1,1,2,1,0,0,1,0,0.6,0.6,0.5,1.1,7,43,1,0.12,0.12,0.25,0.12,0.25,0.07,0.06,0.13,0.07,0.13,https://fbref.com/fr/joueurs/2784f898/Eder-Militao
Luis Milla,ESP,MT,Getafe,30-007,1994,9,9,794,8.8,1,1,2,0,1,1,0,0,1.0,0.3,1.0,1.3,12,39,7,0.11,0.11,0.23,0.00,0.11,0.12,0.12,0.24,0.03,0.15,https://fbref.com/fr/joueurs/19c36442/Luis-Milla
Pere Milla,ESP,"MT,AT",Espanyol,32-021,1992,5,1,142,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,1,7,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,https://fbref.com/fr/joueurs/335039a2/Pere-Milla
Óscar Mingueza,ESP,"MT,DF",Celta Vigo,25-154,1999,8,8,588,6.5,2,4,6,2,0,0,2,0,0.3,0.3,2.4,2.7,21,36,47,0.31,0.61,0.92,0.31,0.92,0.04,0.37,0.42,0.04,0.42,https://fbref.com/fr/joueurs/056269d7/Oscar-Mingueza
Bojan Miovski,MKD,AT,Girona,25-112,1999,3,2,172,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,0,1,10,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.13,0.12,0.13,https://fbref.com/fr/joueurs/72e442c5/Bojan-Miovski
Rafa Mir,ESP,"MT,AT",Valencia,27-118,1997,4,3,239,2.7,0,1,1,0,0,0,1,0,0.2,0.2,0.4,0.6,2,3,3,0.00,0.38,0.38,0.00,0.38,0.07,0.15,0.22,0.07,0.22,https://fbref.com/fr/joueurs/bbf5c11b/Rafa-Mir
Luka Modrić,CRO,MT,Real Madrid,39-035,1985,9,5,496,5.5,0,1,1,0,0,0,3,0,0.3,0.3,1.9,2.2,13,45,21,0.00,0.18,0.18,0.00,0.18,0.05,0.34,0.39,0.05,0.39,https://fbref.com/fr/joueurs/6025fab1/Luka-Modric
Johan Mojica,COL,DF,Mallorca,32-054,1992,9,7,638,7.1,0,0,0,0,0,0,1,0,0.2,0.2,0.9,1.1,14,38,39,0.00,0.00,0.00,0.00,0.00,0.02,0.13,0.16,0.02,0.16,https://fbref.com/fr/joueurs/608f2092/Johan-Mojica
Alberto Moleiro,ESP,"AT,MT",Las Palmas,21-014,2003,9,8,681,7.6,3,0,3,3,0,0,1,0,2.0,2.0,1.5,3.5,30,35,58,0.40,0.00,0.40,0.40,0.40,0.26,0.20,0.46,0.26,0.46,https://fbref.com/fr/joueurs/c2c8897d/Alberto-Moleiro
Nahuel Molina,ARG,DF,Atlético Madrid,26-191,1998,6,5,390,4.3,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.6,9,12,23,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.13,0.10,0.13,https://fbref.com/fr/joueurs/23610943/Nahuel-Molina
Jon Moncayola,ESP,"MT,AT",Osasuna,26-154,1998,8,6,520,5.8,0,0,0,0,0,0,3,0,0.3,0.3,1.3,1.6,4,21,13,0.00,0.00,0.00,0.00,0.00,0.06,0.22,0.28,0.06,0.28,https://fbref.com/fr/joueurs/9939e168/Jon-Moncayola
Gonzalo Montiel,ARG,MT,Sevilla,27-287,1997,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,1.34,0.00,1.34,1.34,1.34,https://fbref.com/fr/joueurs/374d5158/Gonzalo-Montiel
Gerard Moreno,ESP,AT,Villarreal,32-190,1992,2,2,115,1.3,0,1,1,0,0,0,0,0,0.3,0.3,1.3,1.5,0,9,8,0.00,0.78,0.78,0.00,0.78,0.21,0.99,1.20,0.21,1.20,https://fbref.com/fr/joueurs/81f0781e/Gerard-Moreno
Ilaix Moriba,GUI,MT,Celta Vigo,21-269,2003,7,4,310,3.4,0,0,0,0,0,0,4,1,0.1,0.1,0.3,0.5,6,17,7,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13,https://fbref.com/fr/joueurs/f4c69aa6/Ilaix-Moriba
Manu Morlanes,ESP,MT,Mallorca,25-276,1999,8,4,352,3.9,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,8,24,12,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,https://fbref.com/fr/joueurs/a0255c67/Manu-Morlanes
Raúl Moro,ESP,"AT,MT",Valladolid,21-314,2002,9,5,581,6.5,2,1,3,2,0,0,0,0,1.3,1.3,1.7,3.0,31,29,66,0.31,0.15,0.46,0.31,0.46,0.20,0.26,0.46,0.20,0.46,https://fbref.com/fr/joueurs/919dd4b1/Raul-Moro
Cristhian Mosquera,ESP,DF,Valencia,20-109,2004,9,9,810,9.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,11,33,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/fr/joueurs/dc1ce4f5/Cristhian-Mosquera
Santiago Mouriño,URU,DF,Alavés,22-244,2002,5,2,245,2.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,5,10,0,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,https://fbref.com/fr/joueurs/91ee5785/Santiago-Mourino
Abdul Mumin,GHA,DF,Rayo Vallecano,26-130,1998,9,9,810,9.0,1,1,2,1,0,0,3,0,0.1,0.1,0.2,0.2,4,17,2,0.11,0.11,0.22,0.11,0.22,0.01,0.02,0.03,0.01,0.03,https://fbref.com/fr/joueurs/5487adcd/Abdul-Mumin
Aihen Muñoz,ESP,DF,Real Sociedad,27-059,1997,3,1,128,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,11,3,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,https://fbref.com/fr/joueurs/228b0d9d/Aihen-Munoz
Álex Muñoz,ESP,DF,Las Palmas,30-076,1994,7,6,517,5.7,1,0,1,1,0,0,0,0,0.3,0.3,0.4,0.7,4,23,21,0.17,0.00,0.17,0.17,0.17,0.05,0.07,0.12,0.05,0.12,https://fbref.com/fr/joueurs/853f211e/Alex-Munoz
Iker Muñoz,ESP,MT,Osasuna,21-344,2002,2,1,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/175ece4c/Iker-Munoz
Javier Muñoz,ESP,MT,Las Palmas,29-229,1995,9,7,615,6.8,0,1,1,0,0,0,0,0,0.4,0.4,0.8,1.2,7,28,22,0.00,0.15,0.15,0.00,0.15,0.05,0.12,0.17,0.05,0.17,https://fbref.com/fr/joueurs/ec7c84c2/Javier-Munoz
Vedat Muriqi,KVX,AT,Mallorca,30-173,1994,6,5,469,5.2,1,1,2,1,0,0,0,0,1.4,1.4,0.6,2.0,4,8,28,0.19,0.19,0.38,0.19,0.38,0.28,0.11,0.38,0.28,0.38,https://fbref.com/fr/joueurs/0cadc46d/Vedat-Muriqi
Juan Musso,ARG,GB,Atlético Madrid,30-161,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/a111cf41/Juan-Musso
Matija Nastasić,SRB,DF,Leganés,31-200,1993,4,3,315,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/f35430a4/Matija-Nastasic
Natan,BRA,DF,Betis,23-251,2001,8,7,635,7.1,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,9,23,0,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.08,0.02,0.08,https://fbref.com/fr/joueurs/94bccc82/Natan
Pau Navarro,ESP,DF,Villarreal,19-172,2005,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/3171351c/Pau-Navarro
Roberto Navarro,ESP,"MT,AT",Mallorca,22-185,2002,6,4,347,3.9,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,14,11,19,0.00,0.00,0.00,0.00,0.00,0.08,0.12,0.20,0.08,0.20,https://fbref.com/fr/joueurs/c997b942/Roberto-Navarro
Jesús Navas,ESP,"AT,MT",Sevilla,38-328,1985,8,2,220,2.4,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9,4,7,29,0.41,0.00,0.41,0.41,0.41,0.21,0.14,0.35,0.21,0.35,https://fbref.com/fr/joueurs/3f10bd22/Jesus-Navas
Yvan Neyou,CMR,MT,Leganés,27-285,1997,6,5,444,4.9,0,1,1,0,0,0,3,0,0.1,0.1,0.1,0.2,4,16,7,0.00,0.20,0.20,0.00,0.20,0.01,0.02,0.03,0.01,0.03,https://fbref.com/fr/joueurs/0ad37003/Yvan-Neyou
Tanguy Nianzou,FRA,DF,Sevilla,22-129,2002,5,5,428,4.8,0,0,0,0,0,0,3,1,0.2,0.2,0.0,0.2,4,10,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,https://fbref.com/fr/joueurs/5853ac44/Tanguy-Nianzou
Saúl Ñíguez,ESP,MT,Sevilla,29-328,1994,4,4,320,3.6,0,1,1,0,0,0,1,1,0.8,0.8,0.4,1.2,2,22,11,0.00,0.28,0.28,0.00,0.28,0.21,0.13,0.34,0.21,0.34,https://fbref.com/fr/joueurs/c14bc029/Saul-Niguez
Hugo Novoa,ESP,"DF,AT",Alavés,21-287,2003,4,2,222,2.5,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,6,2,9,0.00,0.00,0.00,0.00,0.00,0.20,0.07,0.26,0.20,0.26,https://fbref.com/fr/joueurs/5458f670/Hugo-Novoa
Randy Nteka,ANG,AT,Rayo Vallecano,26-313,1997,7,3,291,3.2,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,1,4,13,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15,https://fbref.com/fr/joueurs/a6103274/Randy-Nteka
Unai Núñez,ESP,DF,Athletic Club,27-258,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,6,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,https://fbref.com/fr/joueurs/be170419/Unai-Nunez
Ørjan Nyland,NOR,GB,Sevilla,34-034,1990,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,https://fbref.com/fr/joueurs/bdedffac/Orjan-Nyland
Jan Oblak,SVN,GB,Atlético Madrid,31-281,1993,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/ee8508c0/Jan-Oblak
Lucas Ocampos,ARG,AT,Sevilla,30-095,1994,2,2,175,1.9,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,5,7,20,0.00,0.51,0.51,0.00,0.51,0.08,0.17,0.25,0.08,0.25,https://fbref.com/fr/joueurs/a08b974a/Lucas-Ocampos
Álvaro Odriozola,ESP,DF,Real Sociedad,28-305,1995,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/1d1691ad/Alvaro-Odriozola
Olasagasti,ESP,MT,Real Sociedad,24-059,2000,3,0,65,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,2,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,https://fbref.com/fr/joueurs/3d99999d/Olasagasti
Brian Oliván,ESP,DF,Espanyol,30-196,1994,5,2,173,1.9,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,2,8,15,0.00,0.52,0.52,0.00,0.52,0.00,0.05,0.05,0.00,0.05,https://fbref.com/fr/joueurs/a3e4bf46/Brian-Olivan
Lucas Oliveira Rosa,BRA,DF,Valladolid,24-194,2000,9,9,810,9.0,0,0,0,0,0,0,5,0,0.1,0.1,0.9,1.0,13,23,33,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.11,0.01,0.11,https://fbref.com/fr/joueurs/5132b92c/Lucas-Oliveira-Rosa
Dani Olmo,ESP,MT,Barcelona,26-160,1998,3,2,187,2.1,3,0,3,3,0,0,0,0,1.1,1.1,0.7,1.8,6,17,16,1.44,0.00,1.44,1.44,1.44,0.51,0.34,0.85,0.51,0.85,https://fbref.com/fr/joueurs/ae44e8e2/Dani-Olmo
Aimar Oroz,ESP,"MT,AT",Osasuna,22-322,2001,9,9,697,7.7,1,0,1,1,0,0,0,0,1.1,1.1,0.4,1.5,6,31,27,0.13,0.00,0.13,0.13,0.13,0.14,0.06,0.19,0.14,0.19,https://fbref.com/fr/joueurs/7c363088/Aimar-Oroz
Gabriel Osei Misehouy,NED,"AT,MT",Girona,19-088,2005,4,0,66,0.7,1,0,1,1,0,0,0,0,0.9,0.9,0.1,1.0,1,4,9,1.36,0.00,1.36,1.36,1.36,1.17,0.14,1.31,1.17,1.31,https://fbref.com/fr/joueurs/349a7574/Gabriel-Osei-Misehouy
David Otorbi,ESP,MT,Valencia,16-364,2007,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/c83e3553/David-Otorbi
Mikel Oyarzabal,ESP,AT,Real Sociedad,27-176,1997,7,6,415,4.6,0,1,1,0,0,0,1,1,0.9,0.9,0.0,1.0,1,4,20,0.00,0.22,0.22,0.00,0.22,0.20,0.01,0.21,0.20,0.21,https://fbref.com/fr/joueurs/8c3c640c/Mikel-Oyarzabal
