Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Ido Shahar,ISR,FW,Maccabi Tel Aviv,23-079,2001,0.8,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,
Mykola Shaparenko,UKR,MF,Dynamo Kyiv,26-034,1998,2.0,1,0,0,1,4,0,14,2,0,0,0,0,13,0,1,0.0
Volodymyr Shepelyev,UKR,MF,Dynamo Kyiv,27-159,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Raz Shlomo,ISR,DF,Maccabi Tel Aviv,25-086,1999,3.0,1,0,0,2,1,0,0,5,4,0,1,0,11,3,6,33.3
Eldor Shomurodov,UZB,FW,Roma,29-131,1995,1.2,0,0,0,2,2,0,0,0,0,0,0,0,6,3,2,60.0
Shola Shoretire,ENG,FW,PAOK,20-279,2004,0.1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,
Luka Silagadze,GEO,MF,FK Rīgas FS,25-200,1999,0.2,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,
Matheus Silva,BRA,DF,Qarabağ,27-035,1997,0.9,0,0,0,0,1,0,1,2,1,0,0,0,4,0,1,0.0
Rafa Silva,POR,"MF,FW",Beşiktaş,31-174,1993,3.6,1,0,0,2,5,0,7,2,4,0,0,0,15,1,3,25.0
Jan-Carlo Simic,SRB,DF,Anderlecht,19-189,2005,3.0,0,0,0,6,1,0,1,3,3,0,0,0,7,3,6,33.3
Aral Şimşir,DEN,MF,Midtjylland,22-141,2002,2.3,0,0,0,0,5,0,9,0,1,0,0,0,6,1,0,100.0
Issouf Sissokho,MLI,MF,Maccabi Tel Aviv,22-282,2002,2.8,1,0,0,7,1,0,0,6,6,0,0,0,27,1,2,33.3
Fredrik Sjøvold,NOR,DF,Bodø/Glimt,21-082,2003,2.5,0,0,0,1,3,0,0,4,4,0,0,0,11,3,0,100.0
Ellyes Skhiri,TUN,MF,Eint Frankfurt,29-181,1995,1.3,0,0,0,0,3,0,0,4,3,0,0,0,6,1,2,33.3
Alexandr Sojka,,MF,Viktoria Plzeň,21-219,2003,1.0,0,0,0,1,0,0,7,1,1,0,0,0,3,2,2,50.0
Dominic Solanke,ENG,"FW,MF",Tottenham,27-054,1997,1.3,0,0,0,1,4,1,1,1,2,0,0,0,4,2,0,100.0
Son,ESP,DF,Ludogorets,30-222,1994,3.0,1,0,0,4,1,0,10,1,3,0,0,0,17,3,4,42.9
Matìas Soulé,ARG,"MF,FW",Roma,21-206,2003,1.2,0,0,0,0,3,2,2,0,0,0,0,0,8,0,1,0.0
John Souttar,SCO,DF,Rangers,28-043,1996,3.0,1,0,0,1,1,0,0,2,0,0,0,0,10,14,0,100.0
Çağlar Söyüncü,TUR,DF,Fenerbahçe,28-168,1996,2.0,0,0,0,2,2,0,0,2,0,0,0,0,3,6,4,60.0
Anton Stach,GER,DF,Hoffenheim,25-358,1998,2.0,0,0,0,0,2,0,0,4,2,0,0,0,6,2,4,33.3
Marko Stamenic,NZL,"MF,FW",Olympiacos,22-262,2002,0.3,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,
Marius Ştefănescu,ROU,FW,FCSB,26-085,1998,1.2,1,0,0,2,3,0,3,1,4,0,0,0,4,1,0,100.0
Sem Steijn,NED,MF,Twente,22-356,2001,2.3,0,0,0,1,1,0,3,2,1,0,0,0,8,0,4,0.0
Orri Steinn Óskarsson,ISL,FW,Real Sociedad,20-070,2004,0.9,1,0,0,1,0,0,0,0,0,0,0,0,0,2,3,40.0
Dujon Sterling,ENG,FW,Rangers,25-014,1999,0.3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0.0
Nemanja Stojić,SRB,DF,Maccabi Tel Aviv,26-297,1998,3.0,0,0,0,1,2,0,0,3,2,0,0,0,10,5,1,83.3
Mario Stroeykens,BEL,"MF,FW",Anderlecht,20-039,2004,2.4,0,0,0,5,4,0,6,2,6,0,0,0,16,3,1,75.0
Jens Stryger Larsen,DEN,DF,Malmö,33-260,1991,3.0,0,0,0,4,1,0,6,2,1,0,0,0,11,3,1,75.0
Elvis Stuglis,LVA,"FW,DF",FK Rīgas FS,31-126,1993,0.2,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,100.0
Luka Sučić,CRO,MF,Real Sociedad,22-060,2002,0.2,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,100.0
Pavel Šulc,CZE,MF,Viktoria Plzeň,23-314,2000,3.0,1,0,0,2,1,0,3,3,5,0,0,0,24,4,4,50.0
Adrian Șut,ROU,MF,FCSB,25-191,1999,1.3,0,0,0,1,2,0,1,0,2,0,0,0,7,0,3,0.0
Josip Šutalo,CRO,DF,Ajax,24-253,2000,3.0,0,0,0,3,5,0,0,6,3,0,0,0,13,6,7,46.2
Jonas Svensson,NOR,DF,Beşiktaş,31-246,1993,3.7,0,0,0,4,5,0,1,8,7,0,0,0,9,3,1,75.0
Mile Svilar,SRB,GK,Roma,25-072,1999,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Ross Sykes,ENG,DF,Union SG,25-226,1999,1.0,0,0,0,0,1,0,2,3,0,0,0,0,13,4,2,66.7
Gábor Szalai,HUN,DF,Ferencváros,24-151,2000,1.0,0,0,0,0,0,0,1,0,2,0,0,0,4,2,1,66.7
Sebastian Szymański,POL,MF,Fenerbahçe,25-181,1999,3.0,0,0,0,1,7,0,13,3,1,0,0,0,9,1,0,100.0
Adam Sørensen,DEN,DF,Bodø/Glimt,23-362,2000,0.1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,
Sondre Sørli,NOR,FW,Bodø/Glimt,29-008,1995,0.2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,
Haris Tabakovic,BIH,FW,Hoffenheim,30-140,1994,0.9,0,0,0,1,0,0,0,0,2,0,0,0,2,2,2,50.0
Dušan Tadić,SRB,FW,Fenerbahçe,35-353,1988,2.0,0,0,0,1,2,0,4,0,2,0,0,0,6,2,1,66.7
Nicolás Tagliafico,ARG,DF,Lyon,32-068,1992,3.0,1,0,0,3,5,1,5,5,2,0,0,0,11,4,4,50.0
Benjamin Tahirovic,BIH,MF,Ajax,21-249,2003,0.5,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,50.0
Taison,BRA,FW,PAOK,36-299,1988,2.7,0,0,0,2,1,2,7,2,1,0,0,0,9,5,4,55.6
Florin Tănase,ROU,FW,FCSB,29-313,1994,1.2,1,0,0,2,4,2,1,0,1,0,0,0,10,2,0,100.0
Stefan Târnovanu,ROU,GK,FCSB,24-182,2000,3.0,1,0,0,0,1,0,0,0,0,0,0,0,5,2,0,100.0
James Tavernier,ENG,DF,Rangers,33-007,1991,2.7,1,0,0,3,4,0,10,2,6,0,0,0,12,4,3,57.1
Kenneth Taylor,NED,MF,Ajax,22-175,2002,2.2,2,0,0,7,3,0,6,2,5,0,0,0,7,2,0,100.0
Loum Tchaouna,FRA,FW,Lazio,21-060,2003,2.1,0,0,0,3,4,0,5,0,3,0,0,0,5,0,4,0.0
Georgi Terziev,BUL,DF,Ludogorets,32-203,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tanner Tessmann,USA,MF,Lyon,23-044,2001,1.0,1,0,0,2,1,0,0,1,3,0,0,0,10,0,1,0.0
Arthur Theate,BEL,DF,Eint Frankfurt,24-166,2000,2.0,0,0,0,0,1,0,0,3,3,0,0,0,10,8,3,72.7
Tarik Tissoudali,MAR,FW,PAOK,31-219,1993,0.7,1,0,0,1,1,2,1,0,0,0,0,0,1,1,2,33.3
Umut Tohumcu,GER,MF,Hoffenheim,20-088,2004,1.6,0,0,0,1,2,0,0,1,0,0,0,0,9,0,0,
Corentin Tolisso,FRA,MF,Lyon,30-096,1994,3.0,1,0,0,4,6,2,5,7,2,0,0,0,22,6,15,28.6
Michal Tomič,SVK,DF,Bodø/Glimt,25-222,1999,0.5,0,0,0,0,0,0,1,3,1,0,0,0,2,0,0,
Emir Topçu,TUR,DF,Beşiktaş,24-027,2000,1.1,1,0,0,1,0,0,0,2,1,0,0,0,4,2,1,66.7
Lucas Torreira,URU,MF,Galatasaray,28-270,1996,2.8,0,0,0,1,4,0,0,2,4,0,0,0,21,0,0,
Cenk Tosun,TUR,"FW,MF",Fenerbahçe,33-153,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Adama Traoré,MLI,FW,Ferencváros,29-155,1995,2.8,1,0,0,2,2,1,6,0,3,0,0,0,13,1,1,50.0
Bertrand Traoré,BFA,FW,Ajax,29-062,1995,0.8,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0.0
Kevin Trapp,GER,GK,Eint Frankfurt,34-122,1990,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Dor Turgeman,ISR,FW,Maccabi Tel Aviv,21-014,2003,1.0,0,0,0,0,2,0,0,2,0,0,0,0,1,2,1,66.7
Beñat Turrientes,ESP,MF,Real Sociedad,22-281,2002,1.6,0,0,0,1,2,0,2,0,0,0,0,0,7,1,1,50.0
Tuta,BRA,"DF,MF",Eint Frankfurt,25-126,1999,1.9,0,0,0,1,1,1,0,0,2,0,0,0,17,6,3,66.7
Oleksandr Tymchyk,UKR,DF,Dynamo Kyiv,27-292,1997,2.0,0,0,0,1,2,0,5,2,2,0,0,0,9,0,2,0.0
Przemysław Tytoń,POL,GK,Twente,37-308,1987,0.9,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Kostas Tzolakis,GRE,GK,Olympiacos,21-365,2002,3.0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,
Salih Uçan,TUR,MF,Beşiktaş,30-306,1994,0.4,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,
Destiny Udogie,ITA,DF,Tottenham,21-345,2002,1.9,0,0,0,2,2,0,0,3,3,0,0,0,9,1,0,100.0
Manuel Ugarte Ribeiro,URU,MF,Manchester Utd,23-210,2001,2.0,0,0,0,5,0,0,0,5,3,0,0,0,9,3,1,75.0
Cengiz Ünder,TUR,FW,Fenerbahçe,27-116,1997,0.8,0,0,0,1,1,0,4,1,2,0,0,0,0,0,2,0.0
Lars Unnerstall,GER,GK,Twente,34-110,1990,2.1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,
Can Uzun,TUR,MF,Eint Frankfurt,18-362,2005,0.6,0,0,0,2,0,0,1,0,1,0,0,0,2,1,0,100.0
Vladyslav Vanat,UKR,FW,Dynamo Kyiv,22-308,2002,2.0,0,0,0,2,4,1,0,0,0,0,0,0,2,1,3,25.0
Charles Vanhoutte,BEL,MF,Union SG,26-052,1998,3.0,1,0,0,5,4,0,7,4,5,0,0,0,19,3,2,60.0
Alan Varela,ARG,MF,Porto,23-126,2001,2.0,1,0,0,2,2,0,10,6,1,0,0,0,8,1,2,33.3
Barnabás Varga,HUN,FW,Ferencváros,30-287,1994,2.9,2,0,0,4,10,2,1,1,1,0,0,0,7,16,10,61.5
Daniel Vašulín,,"MF,FW",Viktoria Plzeň,26-149,1998,0.7,0,0,0,0,1,1,1,0,1,0,0,0,4,2,4,33.3
Luis Vázquez,ARG,FW,Anderlecht,23-288,2001,2.2,0,0,0,3,0,1,0,0,3,0,0,0,3,5,6,45.5
Matías Vecino,URU,MF,Lazio,33-075,1991,2.4,0,0,0,5,1,0,2,0,3,0,0,0,9,1,1,50.0
Kristoffer Velde,NOR,MF,Olympiacos,25-059,1999,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Micky van de Ven,NED,DF,Tottenham,23-202,2001,1.0,0,0,0,1,0,0,0,1,0,0,0,0,2,5,0,100.0
Olivier Verdon,BEN,DF,Ludogorets,29-033,1995,3.0,1,0,0,3,2,0,1,3,4,0,0,0,12,4,4,50.0
Jordan Veretout,FRA,MF,Lyon,31-251,1993,0.8,1,0,0,1,0,0,0,1,2,0,0,0,7,0,2,0.0
Yari Verschaeren,BEL,MF,Anderlecht,23-118,2001,1.7,0,0,0,0,3,0,8,0,1,0,0,0,8,1,1,50.0
Guglielmo Vicario,ITA,GK,Tottenham,28-031,1996,2.0,0,0,0,0,1,0,0,1,1,0,0,0,4,4,0,100.0
Caio Vidal,BRA,FW,Ludogorets,24-003,2000,1.5,1,1,0,6,6,1,3,1,0,0,0,0,8,0,3,0.0
Fabio Vieira,POR,"MF,FW",Porto,24-161,2000,0.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
