Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Kasper Dolberg,DEN,FW,Anderlecht,27-027,1997,9.6,1,0,0,7,14,4,4,0,4,0,0,0,14,20,5,80.0
Mahamadou Doumbia,MLI,MF,Antwerp,20-171,2004,10.4,1,0,0,18,15,0,2,9,14,0,1,0,64,10,7,58.8
Souleyman Doumbia,CIV,DF,Standard Liège,28-039,1996,0.1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,
Vetle Dragsnes,NOR,DF,Charleroi,30-270,1994,11.3,1,0,0,10,6,3,27,6,11,0,0,0,40,8,7,53.3
Anders Dreyer,DEN,"FW,MF",Anderlecht,26-184,1998,8.1,0,0,0,3,2,5,39,1,4,0,0,0,19,0,3,0.0
Olivier Dumont,BEL,"FW,MF",Sint-Truiden,22-241,2002,1.9,0,0,0,3,2,0,3,1,5,0,0,0,6,1,5,16.7
Dennis Eckert,GER,FW,Standard Liège,27-298,1997,4.4,0,0,0,5,10,2,5,2,2,0,0,0,20,16,16,50.0
Dennis Eckert,GER,FW,Union SG,27-298,1997,2.2,0,0,0,0,2,1,1,0,0,0,0,0,2,2,7,22.2
Samuel Edozie,ENG,"FW,MF",Anderlecht,21-279,2003,4.0,1,0,0,2,11,3,12,0,3,0,0,0,20,1,4,20.0
Malamine Efekele,FRA,"MF,FW",Cercle Brugge,20-106,2004,1.6,0,0,0,1,3,0,3,1,1,0,0,0,5,0,5,0.0
Jurgen Ekkelenkamp,NED,MF,Antwerp,24-211,2000,0.7,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,
Matthieu Epolo,BEL,GK,Standard Liège,20-292,2004,12.0,0,0,0,0,2,0,0,0,1,0,0,0,10,6,1,85.7
Alieu Fadera,GAM,MF,Genk,22-365,2001,2.0,1,0,0,5,6,0,9,2,10,0,0,0,15,1,1,50.0
Noah Fadiga,SEN,DF,Gent,24-335,1999,8.4,1,0,0,13,8,0,9,4,6,1,0,0,22,7,10,41.2
Omar Fayed,EGY,MF,Beerschot,21-121,2003,0.3,1,0,0,1,1,0,0,0,3,0,0,0,4,2,3,40.0
Matias Fernandez-Pardo,BEL,"MF,FW",Gent,19-273,2005,1.8,1,0,0,5,3,1,0,0,0,0,0,0,7,0,2,0.0
Andrés Ferrari,URU,"FW,DF",Sint-Truiden,21-304,2003,0.6,0,0,0,2,0,1,0,0,0,0,0,0,3,2,4,33.3
Fabio Ferraro,BEL,DF,Dender,22-060,2002,10.6,0,0,0,3,3,0,50,11,16,0,0,0,46,6,11,35.3
Nacho Ferri,ESP,FW,Kortrijk,20-028,2004,8.3,1,0,0,9,9,1,6,0,9,0,0,0,22,42,40,51.2
Karol Fila,POL,DF,Dender,26-142,1998,2.8,2,0,0,5,2,1,6,6,4,0,0,0,11,1,2,33.3
Mathias Fixelles,BEL,MF,Westerlo,28-083,1996,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0
Alexis Flips,FRA,FW,Anderlecht,24-289,2000,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Alexis Flips,FRA,"FW,MF",Charleroi,24-289,2000,2.2,1,0,0,3,3,0,21,2,0,0,0,0,7,4,2,66.7
Thomas Foket,BEL,DF,Anderlecht,30-038,1994,1.2,0,0,0,1,1,0,5,2,0,0,0,0,4,2,2,50.0
Núrio Fortuna,ANG,"MF,DF",Gent,29-223,1995,0.1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,
Marlon Fossey,USA,DF,Standard Liège,26-054,1998,10.1,0,0,0,3,8,4,27,12,8,0,0,1,26,24,13,64.9
Iver Fossum,NOR,MF,Kortrijk,28-110,1996,2.2,0,0,0,0,1,0,2,1,5,0,0,0,10,2,3,40.0
Daam Foulon,BEL,"DF,MF",Mechelen,25-224,1999,10.4,2,0,0,8,20,2,21,6,10,1,0,1,32,23,17,57.5
Guillaume François,BEL,"FW,DF",Union SG,34-152,1990,1.2,0,0,0,2,0,0,3,3,0,0,0,0,6,0,1,0.0
Matija Frigan,CRO,FW,Westerlo,21-265,2003,7.1,4,0,0,12,7,4,3,1,1,1,0,0,15,14,20,41.2
Haruya Fujii,JPN,DF,Kortrijk,23-312,2000,9.2,0,0,0,6,8,0,1,8,7,0,0,0,34,25,9,73.5
Joel Fujita,JPN,MF,Sint-Truiden,22-260,2002,9.7,1,0,0,13,4,0,2,14,9,0,0,0,79,6,10,37.5
Mohammed Fuseini,GHA,FW,Union SG,22-170,2002,9.0,2,0,0,11,11,8,6,5,4,0,0,0,34,2,10,16.7
