Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Till Cissokho,FRA,DF,Estrela,24-268,2000,4.0,1,0,0,5,4,0,0,2,0,0,0,0,19,9,6,60.0
Clayton,BRA,DF,AVS Futebol,24-212,2000,2.0,1,0,0,0,1,0,0,1,0,0,0,0,6,0,2,0.0
Clayton,BRA,FW,Rio Ave,25-296,1999,8.6,2,0,0,19,26,21,3,0,1,1,0,0,13,19,25,43.2
Diego Collado,ESP,"MF,FW",Gil Vicente FC,23-298,2001,0.2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
Fábio Conceição,POR,"DF,MF",Rio Ave,23-188,2001,2.2,0,0,0,1,6,0,7,1,5,0,0,0,10,1,3,25.0
Leo Cordeiro,BRA,MF,Estrela,29-036,1995,7.7,1,0,0,7,9,1,1,3,6,0,0,0,43,4,9,30.8
Félix Correia,POR,"FW,MF",Gil Vicente FC,23-285,2001,8.9,0,0,0,3,23,2,31,13,6,0,0,0,37,1,6,14.3
Alberto costa,POR,DF,Vitória,21-034,2003,1.3,0,0,0,1,2,0,2,1,0,0,1,0,2,2,3,40.0
Bruno Xavier Almeida Costa,POR,"MF,FW",Nacional,27-197,1997,2.1,0,0,0,3,9,0,11,0,0,0,1,0,9,1,1,50.0
Diogo Costa,POR,GK,Porto,25-044,1999,9.0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,
Gonçalo Costa,POR,DF,Estoril,24-258,2000,0.3,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,
Hélder Costa,ANG,FW,Estoril,30-295,1994,2.3,0,0,0,7,1,1,8,0,0,0,0,0,6,0,8,0.0
João Costa,POR,FW,Santa Clara,24-240,2000,1.2,0,0,0,2,1,0,0,0,0,0,0,0,6,2,7,22.2
Michel Costa,BRA,MF,Estoril,22-318,2001,6.5,4,0,0,19,18,0,3,7,3,0,0,0,25,2,7,22.2
Sandro Cruz,ANG,DF,Gil Vicente FC,23-174,2001,7.8,7,1,1,11,12,2,8,8,7,0,2,0,22,5,5,50.0
Augusto Dabo,POR,DF,Boavista,20-234,2004,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,71.4
Amadou Dante,MLI,"DF,MF",Arouca,24-026,2000,4.8,0,0,0,2,5,1,10,8,8,0,0,0,9,1,3,25.0
Mathias De Amorim,FRA,MF,Famalicão,19-328,2004,0.8,0,0,0,2,1,0,1,3,0,0,0,0,3,0,1,0.0
Zeno Debast,BEL,DF,Sporting CP,21-009,2003,5.5,0,0,0,5,0,0,1,4,6,0,0,0,33,6,3,66.7
Depú,ANG,FW,Gil Vicente FC,24-299,2000,0.5,0,0,0,1,0,1,0,0,0,0,0,0,2,1,3,25.0
Derick,BRA,"DF,MF",Farense,31-062,1993,4.3,0,0,0,7,3,0,15,3,0,0,0,0,13,0,4,0.0
Ángel Di María,ARG,FW,Benfica,36-262,1988,4.6,1,0,0,3,7,4,39,2,3,0,0,0,17,0,1,0.0
Matheus Dias,BRA,"MF,DF",Nacional,27-269,1997,7.2,2,0,0,15,8,0,0,12,18,0,0,0,36,10,4,71.4
Tiago Dias,POR,FW,Casa Pia,26-182,1998,0.3,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,
Ousmane Diomande,CIV,DF,Sporting CP,20-334,2003,6.8,0,0,0,7,4,1,0,7,5,0,0,0,40,24,12,66.7
Tiago Djaló,POR,DF,Porto,24-207,2000,1.0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,5,16.7
Maxime Dominguez,SUI,MF,Gil Vicente FC,28-275,1996,2.8,0,0,0,0,4,1,4,3,3,0,0,0,14,1,2,33.3
Issiar Dramé,MLI,"DF,MF",Estrela,25-260,1999,2.2,0,0,0,5,3,0,0,6,2,1,1,0,6,4,4,50.0
Marcus Edwards,ENG,"FW,MF",Sporting CP,25-335,1998,0.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Ricardo Esgaio,POR,"FW,DF",Sporting CP,31-170,1993,0.3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0.0
Tiago Esgaio,POR,"DF,MF",Arouca,29-093,1995,8.9,2,0,0,11,10,0,12,12,17,0,0,0,38,22,6,78.6
Dario Essugo,POR,MF,Sporting CP,19-233,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Luís Esteves,POR,MF,Nacional,26-207,1998,7.9,2,0,0,8,21,0,8,6,8,0,0,0,74,4,9,30.8
Stephen Eustáquio,CAN,MF,Porto,27-317,1996,3.0,2,0,0,5,3,2,5,4,5,0,0,0,9,3,10,23.1
Evanilson,BRA,FW,Porto,25-027,1999,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
Fabiano,BRA,DF,Moreirense,24-233,2000,6.3,2,0,0,20,14,0,14,8,7,0,0,0,31,2,7,22.2
Claudio Falcão,BRA,"MF,DF",Farense,30-122,1994,9.0,3,0,0,29,7,1,0,10,22,0,0,0,48,15,14,51.7
Jorge Filipe Oliveira Fernandes,POR,DF,Vitória,27-214,1997,1.5,0,0,0,0,1,0,0,3,0,0,0,0,4,4,1,80.0
