Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Lucien Agoume,FRA,MF,Sevilla,La Liga,22-272,2002,6.7,1,0,0,15,2,2,3,8,5,0,0,0,33,10,14,41.7
Felix Agu,GER,DF,Werder Bremen,Bundesliga,25-041,1999,7.9,1,0,0,7,11,2,20,6,4,0,0,1,23,6,6,50.0
Álvaro Aguado,ESP,MF,Espanyol,La Liga,28-190,1996,3.2,1,0,0,2,7,0,9,2,2,0,0,0,24,2,1,66.7
Nayef Aguerd,MAR,DF,Real Sociedad,La Liga,28-222,1996,7.7,1,0,0,2,8,0,0,6,8,0,0,0,30,18,12,60.0
Ruben Aguilar,FRA,DF,Lens,Ligue 1,31-195,1993,3.0,1,0,0,5,2,1,9,5,6,0,0,0,21,2,2,50.0
Honest Ahanor,ITA,DF,Genoa,Serie A,16-258,2008,0.9,0,0,0,0,4,0,1,0,1,0,0,0,5,0,1,0.0
Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30-232,1994,7.8,2,0,0,16,4,0,0,13,15,0,0,0,32,11,7,61.1
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,29-039,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,Ligue 1,19-135,2005,1.0,0,0,0,2,1,0,1,1,3,0,0,0,4,1,3,25.0
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,28-030,1996,9.6,1,0,0,5,12,1,20,13,14,0,0,0,57,4,9,30.8
Rayan Aït-Nouri,ALG,DF,Wolves,Premier League,23-154,2001,9.3,4,0,0,14,5,1,18,11,9,0,0,0,40,5,7,41.7
Kristoffer Ajer,NOR,DF,Brentford,Premier League,26-204,1998,7.1,3,0,0,6,3,0,5,6,5,0,0,0,16,8,11,42.1
Ludovic Ajorque,FRA,FW,Brest,Ligue 1,30-256,1994,7.8,2,0,0,14,12,5,0,2,6,2,0,0,16,38,28,57.6
Manuel Akanji,SUI,DF,Manchester City,Premier League,29-111,1995,8.7,1,0,0,5,4,0,8,4,5,0,0,0,33,11,16,40.7
Ümit Akdag,ROU,DF,Toulouse,Ligue 1,21-032,2003,1.6,0,0,0,5,0,0,1,6,2,0,0,0,10,14,3,82.4
Nathan Aké,NED,DF,Manchester City,Premier League,29-263,1995,0.8,0,0,0,0,0,0,0,1,1,0,0,0,2,1,2,33.3
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,20-205,2004,6.0,1,0,0,9,20,1,16,3,7,0,0,0,27,6,5,54.5
Sergio Akieme,ESP,DF,Reims,Ligue 1,26-327,1997,6.9,0,0,0,6,4,0,22,4,7,0,0,0,34,10,11,47.6
Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,22-256,2002,6.4,0,0,0,9,10,2,13,3,7,0,0,0,35,1,2,33.3
Clément Akpa,CIV,DF,Auxerre,Ligue 1,22-349,2001,7.0,2,0,0,2,10,0,21,10,8,0,0,0,31,12,10,54.5
David Akpan Ankeye,NGA,"FW,MF",Genoa,Serie A,22-267,2002,0.5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0.0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,29-202,1995,8.0,2,0,0,15,8,0,4,4,3,0,2,0,33,17,14,54.8
Andreas Albers,DEN,FW,St. Pauli,Bundesliga,34-229,1990,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1,6,5,54.5
Raúl Albiol,ESP,DF,Villarreal,La Liga,39-064,1985,7.2,3,0,0,5,3,0,0,4,3,0,1,1,15,14,8,63.6
Carlos Alcaraz,ARG,MF,Southampton,Premier League,21-343,2002,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0
Omar Alderete,PAR,DF,Getafe,La Liga,27-317,1996,11.0,3,0,0,9,4,3,0,11,10,0,0,0,44,36,23,61.0
Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,26-307,1998,3.4,1,0,0,6,6,2,5,0,3,0,0,0,9,8,8,50.0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,26-031,1998,9.4,2,0,0,3,5,1,48,8,23,0,0,0,39,2,7,22.2
Alfon,ESP,"FW,MF",Celta Vigo,La Liga,25-187,1999,2.4,0,1,0,7,7,0,5,2,0,0,0,0,1,0,3,0.0
Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,20-293,2004,6.3,1,0,0,5,20,7,17,1,3,0,0,0,25,6,10,37.5
Faride Alidou,GER,"FW,MF",Hellas Verona,Serie A,23-112,2001,0.8,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,100.0
Alisson,BRA,GK,Liverpool,Premier League,32-036,1992,5.9,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,100.0
Tadeo Allende,ARG,FW,Celta Vigo,La Liga,25-261,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Jim Allevinah,GAB,FW,Angers,Ligue 1,29-254,1995,5.0,1,0,0,5,3,3,10,3,3,0,0,0,21,6,7,46.2
Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,24-161,2000,5.0,0,0,0,8,4,2,14,3,7,0,0,0,23,2,4,33.3
Iker Almena,ESP,"FW,DF",Girona,La Liga,20-187,2004,0.5,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,30-271,1994,1.2,0,0,0,1,1,1,0,0,1,0,0,0,4,0,2,0.0
Pontus Almqvist,SWE,"FW,MF",Parma,Serie A,25-120,1999,3.6,0,0,0,5,5,0,1,6,5,1,0,0,19,4,5,44.4
Marcos Alonso,ESP,"DF,MF",Celta Vigo,La Liga,33-315,1990,7.1,1,0,0,6,7,1,6,7,7,0,0,0,34,18,11,62.1
Giorgio Altare,ITA,DF,Venezia,Serie A,26-090,1998,3.8,1,0,0,8,1,0,6,8,4,0,0,1,13,12,8,60.0
Adrià Altimira,ESP,"DF,FW",Leganés,La Liga,23-224,2001,4.8,0,0,0,5,9,2,7,7,5,0,0,0,23,6,7,46.2
Sergi Altimira,ESP,MF,Betis,La Liga,23-074,2001,6.2,2,0,0,10,11,0,1,3,7,0,0,0,40,3,6,33.3
Edson Álvarez,MEX,"MF,DF",West Ham,Premier League,27-014,1997,4.5,4,1,1,13,5,0,0,8,7,0,0,0,23,6,3,66.7
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,21-128,2003,9.7,3,0,0,14,11,1,19,6,5,0,1,0,48,3,2,60.0
Julián Álvarez,ARG,"FW,MF",Atlético Madrid,La Liga,24-281,2000,7.8,1,0,0,8,1,4,8,0,1,0,0,0,21,7,11,38.9
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,29-288,1995,5.0,2,0,0,5,6,0,2,12,5,0,0,0,16,9,9,50.0
Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,22-187,2002,1.1,0,0,0,2,3,0,0,2,3,0,0,0,3,1,1,50.0
Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,27-358,1996,7.4,1,0,0,14,12,0,18,7,7,0,0,0,34,2,5,28.6
Amath,SEN,"FW,DF",Valladolid,La Liga,28-114,1996,3.3,0,0,0,3,5,2,4,2,0,0,0,0,11,1,3,25.0
Jordan Amavi,FRA,DF,Brest,Ligue 1,30-243,1994,6.3,2,0,0,10,4,0,9,7,15,0,1,0,24,11,4,73.3
Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,21-099,2003,0.8,1,0,0,3,1,0,0,1,0,0,0,0,1,4,1,80.0
Kelvin Amian,FRA,DF,Nantes,Ligue 1,26-273,1998,6.4,1,0,0,11,2,0,10,1,12,0,0,0,21,4,5,44.4
Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,28-270,1996,8.7,0,0,0,10,8,1,6,8,15,0,0,0,43,13,3,81.3
Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,28-011,1996,7.1,3,1,1,10,13,0,40,5,1,0,0,0,50,4,3,57.1
Samuel Amo-Ameyaw,ENG,DF,Southampton,Premier League,18-112,2006,0.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Mathis Amougou,FRA,MF,Saint-Étienne,Ligue 1,18-294,2006,7.0,2,0,0,5,3,0,1,11,6,0,0,0,29,1,9,10.0
Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,24-182,2000,6.4,3,0,0,12,4,8,10,2,3,1,0,0,25,2,7,22.2
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,28-078,1996,2.0,0,0,0,4,1,0,3,0,2,0,0,0,7,1,1,50.0
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,28-160,1996,1.0,1,0,0,2,0,0,1,0,1,0,0,0,7,2,0,100.0
Joachim Andersen,DEN,DF,Fulham,Premier League,28-160,1996,5.7,0,1,0,2,5,0,1,10,3,0,0,0,22,14,12,53.8
Elliot Anderson,ENG,"MF,FW",Nott'ham Forest,Premier League,22-001,2002,6.6,3,0,0,12,19,1,21,4,14,0,0,0,38,10,6,62.5
André,BRA,MF,Wolves,Premier League,23-114,2001,4.0,2,0,0,6,8,0,0,2,5,0,0,0,25,0,0,
Benjamin André,FRA,MF,Lille,Ligue 1,34-096,1990,7.9,5,0,0,12,12,2,4,10,10,0,0,0,48,24,26,48.0
Marcos André,BRA,FW,Valladolid,La Liga,28-018,1996,2.9,2,0,0,3,12,1,0,1,0,0,0,0,13,8,9,47.1
Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,30-046,1994,6.5,3,0,0,11,7,0,4,8,7,0,1,0,33,8,3,72.7
Angeliño,ESP,DF,Roma,Serie A,27-308,1997,10.0,0,0,0,10,7,3,32,9,6,0,0,0,29,13,11,54.2
Lorenzo Anghelè,ITA,FW,Juventus,Serie A,19-255,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
Faustino Anjorin,ENG,MF,Empoli,Serie A,22-350,2001,4.8,1,0,0,10,10,0,5,4,5,0,1,0,22,3,6,33.3
Waldemar Anton,GER,DF,Dortmund,Bundesliga,28-110,1996,7.5,2,0,0,9,10,0,8,7,9,0,0,0,37,20,14,58.8
Michail Antonio,JAM,FW,West Ham,Premier League,34-224,1990,6.7,1,0,0,7,3,4,17,0,0,0,0,0,14,10,19,34.5
Antoniu,ESP,"MF,DF",Espanyol,La Liga,22-063,2002,0.7,2,0,0,3,3,0,2,1,0,0,0,0,2,0,0,
Antony,BRA,FW,Manchester Utd,Premier League,24-257,2000,0.3,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,
Anuar,MAR,"FW,MF",Valladolid,La Liga,29-297,1995,2.8,1,0,0,2,8,1,3,3,3,1,0,0,9,9,4,69.2
Dennis Appiah,FRA,DF,Saint-Étienne,Ligue 1,32-151,1992,7.2,0,0,0,12,1,0,22,6,16,0,2,0,25,5,6,45.5
Aritz Arambarri,ESP,DF,Leganés,La Liga,26-281,1998,2.0,0,0,0,0,0,0,0,3,1,0,0,0,4,6,8,42.9
Mauro Arambarri,URU,MF,Getafe,La Liga,29-038,1995,8.2,4,0,0,13,11,1,4,3,4,0,0,0,31,22,21,51.2
Jon Aramburu,VEN,DF,Real Sociedad,La Liga,22-107,2002,7.7,3,0,0,13,5,2,14,5,25,0,1,0,33,13,7,65.0
Julian Araujo,MEX,DF,Bournemouth,Premier League,23-086,2001,3.9,1,0,0,4,1,0,4,4,3,0,0,0,22,2,4,33.3
Cameron Archer,ENG,FW,Southampton,Premier League,23-109,2001,5.8,0,0,0,4,7,3,1,1,4,0,0,0,15,3,8,27.3
Carlens Arcus,HAI,DF,Angers,Ligue 1,28-132,1996,8.2,1,0,0,11,5,1,14,16,11,0,0,0,31,10,6,62.5
Alphonse Areola,FRA,GK,West Ham,Premier League,31-254,1993,7.5,0,0,0,0,0,0,0,0,1,0,0,1,10,0,0,
Adu Ares,ESP,FW,Athletic Club,La Liga,23-026,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Jesús Areso,ESP,DF,Osasuna,La Liga,25-128,1999,10.8,1,0,0,16,6,3,51,4,13,0,0,0,43,6,5,54.5
David Argüelles,ESP,MF,Getafe,La Liga,22-311,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joe Aribo,NGA,MF,Southampton,Premier League,28-109,1996,5.9,0,0,0,5,9,0,6,6,5,0,0,0,28,7,2,77.8
Adam Armstrong,ENG,"FW,MF",Southampton,Premier League,27-271,1997,4.1,2,0,0,4,2,2,8,2,1,0,0,0,7,0,3,0.0
Harrison Armstrong,ENG,MF,Everton,Premier League,17-293,2007,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
José Arnaiz,ESP,FW,Osasuna,La Liga,29-206,1995,0.2,0,0,0,0,3,0,4,0,1,0,0,0,4,0,0,
Hákon Arnar Haraldsson,ISL,MF,Lille,Ligue 1,21-211,2003,1.9,0,0,0,2,3,1,4,1,2,0,0,0,11,0,2,0.0
Marko Arnautović,AUT,FW,Inter,Serie A,35-202,1989,0.4,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,30-164,1994,7.4,5,0,0,10,19,0,34,6,8,0,0,0,31,6,8,42.9
Jann-Fiete Arp,GER,FW,Holstein Kiel,Bundesliga,24-306,2000,3.1,3,1,1,8,5,2,7,0,4,0,0,0,4,1,5,16.7
Kepa Arrizabalaga,ESP,GK,Bournemouth,Premier League,30-035,1994,5.0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,100.0
Arthur,BRA,DF,Leverkusen,Bundesliga,21-235,2003,0.1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,
Takuma Asano,JPN,FW,Mallorca,La Liga,29-363,1994,3.5,0,0,0,1,4,1,11,2,3,0,0,0,15,2,4,33.3
Marco Asensio,ESP,"FW,MF",Paris S-G,Ligue 1,28-291,1996,4.6,0,0,0,0,3,1,6,0,1,0,0,0,13,1,2,33.3
Kristjan Asllani,ALB,MF,Inter,Serie A,22-243,2002,1.6,2,0,0,2,3,0,4,1,0,0,0,0,13,1,3,25.0
Iago Aspas,ESP,"FW,MF",Celta Vigo,La Liga,37-098,1987,9.0,3,1,1,9,19,4,5,3,4,1,0,0,26,3,4,42.9
Yaser Asprilla,COL,"FW,MF",Girona,La Liga,20-354,2003,3.8,1,0,0,7,8,0,20,3,4,0,0,0,18,1,0,100.0
Lorenz Assignon,TOG,"DF,MF",Rennes,Ligue 1,24-138,2000,5.1,3,0,0,15,5,1,7,7,4,0,1,0,22,7,7,50.0
Dehmaine Assoumani,FRA,"MF,FW",Nantes,Ligue 1,19-204,2005,0.4,0,0,0,0,1,0,4,0,1,0,0,0,3,0,0,
Valentin Atangana Edoa,FRA,MF,Reims,Ligue 1,19-074,2005,9.5,2,0,0,13,18,1,6,14,14,0,0,0,43,10,10,50.0
Arthur Atta,FRA,MF,Udinese,Serie A,21-298,2003,0.3,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0.0
Noah Atubolu,GER,GK,Freiburg,Bundesliga,22-166,2002,7.0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0.0
Emil Audero,ITA,GK,Como,Serie A,27-294,1997,7.0,0,0,0,0,1,0,0,0,0,0,0,0,11,2,1,66.7
Tommaso Augello,ITA,DF,Cagliari,Serie A,30-069,1994,8.2,1,0,0,6,4,1,45,8,8,0,0,0,43,11,3,78.6
Carlos Augusto,BRA,DF,Inter,Serie A,25-305,1999,2.1,0,0,0,4,1,0,3,1,2,0,0,0,8,5,5,50.0
Yann Aurel Bisseck,GER,DF,Inter,Serie A,23-344,2000,4.3,1,0,0,3,4,0,3,3,3,0,1,0,14,14,4,77.8
Ezequiel Ávila,ARG,FW,Betis,La Liga,30-275,1994,4.2,3,0,0,6,11,4,13,1,2,0,0,0,17,4,3,57.1
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,27-087,1997,1.2,0,0,0,4,5,0,1,0,0,0,0,0,8,3,8,27.3
Yasin Ayari,SWE,MF,Brighton,Premier League,21-032,2003,5.0,1,0,0,6,12,1,20,6,10,0,0,0,35,3,6,33.3
Florian Ayé,FRA,FW,Auxerre,Ligue 1,27-293,1997,3.3,0,0,0,6,4,2,1,3,1,0,0,0,7,7,16,30.4
André Ayew,GHA,FW,Le Havre,Ligue 1,34-326,1989,2.3,0,0,0,0,2,2,0,1,1,0,0,0,5,11,9,55.0
Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,33-057,1991,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,50.0
Jordan Ayew,GHA,"FW,MF",Leicester City,Premier League,33-057,1991,4.6,3,0,0,10,19,2,11,3,4,0,0,0,24,8,13,38.1
Neil El Aynaoui,FRA,MF,Lens,Ligue 1,23-128,2001,0.5,0,0,0,0,1,0,0,1,1,0,0,0,3,1,0,100.0
Ayman Azhil,MAR,MF,Dortmund,Bundesliga,23-211,2001,0.3,1,0,0,2,0,1,0,0,1,0,0,0,2,0,0,
Adam Aznou,MAR,DF,Bayern Munich,Bundesliga,18-158,2006,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
César Azpilicueta,ESP,DF,Atlético Madrid,La Liga,35-071,1989,4.3,0,0,0,3,5,0,2,1,3,0,0,0,6,7,4,63.6
Paulo Azzi,BRA,DF,Cagliari,Serie A,30-115,1994,4.7,2,0,0,5,3,0,22,5,9,0,0,0,24,6,5,54.5
Papa Ba,ESP,MF,Girona,La Liga,20-056,2004,0.5,0,0,0,1,4,0,1,0,1,0,0,0,1,0,0,
Shavy Babicka,GAB,"MF,FW",Toulouse,Ligue 1,24-159,2000,4.2,1,0,0,8,7,2,11,0,7,0,0,0,18,1,3,25.0
Aliou Badara Baldé,GUI,"MF,FW",Bochum,Bundesliga,21-331,2002,1.0,1,0,0,1,0,2,4,0,1,0,0,0,3,0,2,0.0
Loïc Bade,FRA,DF,Sevilla,La Liga,24-210,2000,8.2,2,0,0,9,0,0,2,9,11,0,0,0,33,22,11,66.7
Milan Badelj,CRO,MF,Genoa,Serie A,35-256,1989,6.5,0,0,0,4,8,0,5,7,4,0,0,0,23,7,2,77.8
Benoît Badiashile,FRA,DF,Chelsea,Premier League,23-226,2001,0.4,0,0,0,2,1,0,0,1,1,0,0,0,1,2,0,100.0
Alex Baena,ESP,"MF,FW",Villarreal,La Liga,23-110,2001,8.2,3,0,0,13,13,4,58,7,3,0,0,0,41,7,7,50.0
Leon Bailey,JAM,"FW,MF",Aston Villa,Premier League,27-090,1997,4.9,2,0,0,6,8,2,13,1,0,0,0,0,21,2,3,40.0
Eric Bailly,CIV,DF,Villarreal,La Liga,30-209,1994,5.9,2,0,0,6,1,0,0,6,2,0,1,0,16,8,7,53.3
Theo Bair,CAN,FW,Auxerre,Ligue 1,25-072,1999,3.5,0,0,0,6,2,6,2,0,1,0,0,0,3,15,14,51.7
Cédric Bakambu,COD,FW,Betis,La Liga,33-210,1991,2.4,0,0,0,2,1,3,2,0,0,0,0,0,2,3,10,23.1
Mitchel Bakker,NED,MF,Atalanta,Serie A,24-140,2000,0.2,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,50.0
Mitchel Bakker,NED,"DF,FW",Lille,Ligue 1,24-140,2000,1.3,0,0,0,3,0,0,8,6,5,0,0,0,5,1,0,100.0
Ridle Baku,GER,"FW,MF",Wolfsburg,Bundesliga,26-213,1998,7.0,1,0,0,8,4,1,20,8,5,0,0,0,37,3,9,25.0
Dilane Bakwa,FRA,"DF,FW",Strasbourg,Ligue 1,22-073,2002,9.6,0,0,0,3,33,2,46,4,6,0,0,0,32,5,3,62.5
Tommaso Baldanzi,ITA,"MF,DF",Roma,Serie A,21-229,2003,3.5,1,0,0,4,7,0,4,4,1,0,0,0,21,1,1,50.0
Alejandro Balde,ESP,DF,Barcelona,La Liga,21-020,2003,9.1,0,0,0,6,22,0,20,4,4,0,0,0,31,7,5,58.3
Carlos Baleba,CMR,MF,Brighton,Premier League,20-309,2004,6.4,1,0,0,9,11,0,1,14,10,0,1,0,43,9,6,60.0
Leonardo Balerdi,ARG,DF,Marseille,Ligue 1,25-286,1999,6.0,4,1,1,6,4,0,0,8,9,0,0,1,23,7,4,63.6
Iván Balliu,ALB,DF,Rayo Vallecano,La Liga,32-311,1992,6.6,2,0,0,9,4,0,8,6,8,0,0,0,21,7,13,35.0
Botond Balogh,HUN,DF,Parma,Serie A,22-154,2002,10.4,2,0,0,5,5,0,0,11,7,0,0,0,32,15,11,57.7
Folarin Balogun,USA,FW,Monaco,Ligue 1,23-127,2001,4.5,0,0,0,3,6,4,3,0,0,0,0,0,4,1,11,8.3
Mario Balotelli,ITA,FW,Genoa,Serie A,34-087,1990,0.1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,34-196,1990,2.8,1,0,0,2,2,0,1,5,2,0,0,0,6,3,1,75.0
Jonathan Bamba,CIV,FW,Celta Vigo,La Liga,28-226,1996,5.3,1,0,0,5,12,1,14,4,3,0,0,0,30,1,5,16.7
Mohamed Bamba,CIV,MF,Reims,Ligue 1,20-030,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
Samuel Bamba,GER,"FW,MF",Bochum,Bundesliga,20-268,2004,0.1,0,0,0,0,0,1,3,0,0,0,0,0,1,1,1,50.0
Lameck Banda,ZAM,"FW,MF",Lecce,Serie A,23-283,2001,5.3,1,0,0,8,18,2,20,1,4,0,0,0,20,2,11,15.4
Daniel Bandeira,POR,MF,Hellas Verona,Serie A,24-210,2000,3.3,0,0,0,1,3,0,8,6,0,0,0,0,30,5,3,62.5
Mattia Bani,ITA,DF,Genoa,Serie A,30-333,1993,4.0,1,0,0,2,2,1,0,8,1,0,0,0,11,6,9,40.0
Scott Banks,SCO,"FW,MF",St. Pauli,Bundesliga,23-042,2001,0.6,1,0,0,2,2,0,1,1,0,0,0,0,2,1,3,25.0
Antonín Barák,CZE,MF,Fiorentina,Serie A,29-340,1994,0.6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0
