Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Felipe Carballo,URU,MF,Grêmio,28-013,1996,5.3,3,0,0,10,2,0,2,4,10,0,0,0,30,6,7,46.2
Tomás Cardona,ARG,DF,Fortaleza,29-007,1995,15.0,3,0,0,20,3,1,0,25,17,0,0,0,36,37,23,61.7
Edson Carioca,BRA,"FW,MF",Juventude,27-105,1997,3.9,0,0,0,6,8,0,4,0,7,0,0,0,19,2,12,14.3
Carlinhos,BRA,FW,Flamengo,27-248,1997,4.7,2,1,0,8,3,4,0,0,1,0,0,0,6,16,14,53.3
Antonio Carlos,BRA,DF,Fluminense,31-224,1993,12.0,1,0,0,11,12,1,4,20,4,0,0,0,40,47,21,69.1
Jan Carlos Hurtado,VEN,FW,Atl Goianiense,24-226,2000,6.6,1,1,0,18,8,3,1,2,3,0,0,0,16,15,31,32.6
João Carlos,BRA,"MF,FW",Criciúma,23-118,2001,0.3,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,
Jean Carlos Vicente,BRA,"MF,FW",Juventude,32-245,1992,10.0,2,0,0,12,6,1,72,6,3,0,1,0,36,5,7,41.7
André Carrillo,PER,MF,Corinthians,33-125,1991,1.8,1,0,0,6,1,0,4,2,2,0,0,0,9,0,1,0.0
Ronie Carrillo,ECU,FW,Juventude,28-039,1996,6.9,0,0,0,10,9,5,7,2,3,0,0,0,15,19,41,31.7
Gabriel Carvalho,BRA,"FW,MF",Internacional,17-061,2007,10.6,3,0,0,18,12,1,39,3,16,0,0,0,50,7,19,26.9
Cássio,BRA,GK,Cruzeiro,37-133,1987,14.0,2,0,0,0,3,0,0,1,1,0,0,0,10,4,0,100.0
Cássio,BRA,GK,Corinthians,37-133,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0
Iury de Castilho,BRA,"FW,MF",Vitória,29-041,1995,1.4,1,0,0,7,9,1,1,0,0,0,0,0,6,1,7,12.5
Erick Castillo,ECU,"FW,MF",Vitória,29-255,1995,3.0,0,0,0,3,2,2,4,0,0,0,0,0,5,5,8,38.5
Ivan Cavaleiro,POR,"FW,MF",Red Bull Bragantino,30-365,1993,0.6,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,100.0
Murilo Cerqueira,BRA,DF,Palmeiras,27-204,1997,20.5,6,1,1,29,5,1,4,19,22,0,0,0,78,57,33,63.3
Reynaldo Cesar Moraes,BRA,DF,Vitória,27-288,1997,4.0,1,0,0,6,0,0,1,0,6,0,1,0,9,7,5,58.3
Christian,BRA,"MF,FW",Ath Paranaense,23-303,2000,14.8,6,0,0,35,24,3,27,10,14,0,0,0,43,12,10,54.5
Eliel Chrystian,BRA,"FW,MF",Cuiabá,21-265,2003,3.9,1,0,0,4,14,1,4,1,5,0,0,0,11,8,7,53.3
Chumbinho,BRA,"MF,FW",Red Bull Bragantino,21-025,2003,0.1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,
Cicinho,BUL,"DF,FW",Bahia,35-296,1988,0.9,1,0,0,3,2,0,2,0,1,0,0,0,3,2,3,40.0
José Cifuentes,ECU,MF,Cruzeiro,25-219,1999,0.8,0,0,0,1,0,0,0,0,2,0,0,0,8,1,1,50.0
Claudinho,BRA,DF,Criciúma,24-023,2000,19.0,3,0,0,11,4,4,56,26,35,0,0,0,100,6,14,30.0
Mateus Claus,BRA,GK,Juventude,30-075,1994,3.5,3,0,0,0,1,0,0,0,0,0,0,0,7,1,0,100.0
Clayson,BRA,"FW,MF",Cuiabá,29-212,1995,15.0,5,0,0,14,28,4,64,7,5,1,0,0,54,3,10,23.1
Clayton,BRA,DF,Internacional,24-196,2000,2.0,1,0,0,5,1,0,0,1,0,0,0,0,4,3,2,60.0
Clayton,BRA,FW,Vasco da Gama,25-280,1999,1.6,0,0,0,7,1,3,2,1,3,0,0,0,4,6,7,46.2
Cleiton,BRA,DF,Flamengo,21-175,2003,1.1,0,0,0,2,0,0,1,0,2,0,0,0,5,0,2,0.0
Mateus Cocão,BRA,MF,Vasco da Gama,22-213,2002,16.5,8,1,0,31,23,2,7,24,39,0,0,0,102,19,12,61.3
Robert Conceição,BRA,"MF,DF",Atlético Mineiro,21-089,2003,0.2,0,0,0,1,1,0,2,0,0,0,0,0,3,0,0,
Igor Coronado,BRA,"MF,FW",Corinthians,32-060,1992,13.4,5,0,0,21,24,0,98,9,15,0,0,0,50,3,10,23.1
Diego Costa,ESP,FW,Grêmio,36-010,1988,3.2,2,1,0,3,6,1,2,0,1,0,0,0,5,7,9,43.8
Douglas Costa,BRA,FW,Fluminense,34-033,1990,3.2,1,0,0,4,3,0,26,2,6,0,0,0,16,2,2,50.0
Philippe Coutinho,BRA,MF,Vasco da Gama,32-127,1992,3.4,0,0,0,6,6,0,16,4,4,0,0,0,17,3,6,33.3
Franco Cristaldo,ARG,"MF,FW",Grêmio,28-063,1996,19.1,1,0,0,8,33,2,117,11,21,1,0,0,92,19,37,33.9
Alejo Cruz,URU,"MF,FW",Atl Goianiense,24-046,2000,16.1,4,0,0,13,22,2,131,17,18,0,0,0,72,13,17,43.3
Tomás Cuello,ARG,"FW,MF",Ath Paranaense,24-226,2000,13.0,2,0,0,15,18,5,71,11,15,0,0,0,83,8,13,38.1
Víctor Cuesta,ARG,DF,Bahia,35-333,1988,5.6,3,0,0,7,5,1,1,5,9,0,0,0,19,7,6,53.8
Cuiabano,BRA,DF,Grêmio,21-244,2003,1.8,0,0,0,1,5,0,2,5,0,0,0,0,9,4,3,57.1
Cuiabano,BRA,DF,Botafogo (RJ),21-244,2003,13.4,4,0,0,27,22,0,83,21,29,0,1,0,48,21,14,60.0
Lucas Cunha,BRA,DF,Red Bull Bragantino,27-268,1997,5.7,2,1,0,4,3,0,0,3,7,0,0,0,13,10,10,50.0
Matheus Cunha,BRA,GK,Flamengo,23-146,2001,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0
Danielzinho,BRA,"MF,FW",Atl Goianiense,28-280,1996,1.1,0,0,0,3,2,0,6,0,1,0,0,0,8,0,1,0.0
David,BRA,FW,Vasco da Gama,29-000,1995,17.6,7,1,1,24,23,9,15,9,15,0,0,0,93,18,16,52.9
David,BRA,"MF,FW",Juventude,24-282,2000,0.7,0,0,0,0,1,0,2,0,0,0,0,0,4,1,0,100.0
Giorgian De Arrascaeta,URU,MF,Flamengo,30-138,1994,10.0,2,0,0,11,26,2,49,4,10,1,0,0,42,5,9,35.7
Nicolás De La Cruz,URU,MF,Flamengo,27-138,1997,9.5,1,0,0,15,32,0,35,8,13,0,0,0,57,9,16,36.0
Sergio Antonio De Luiz Junior,BRA,MF,Criciúma,29-194,1995,0.2,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,
Sergio Antonio De Luiz Junior,BRA,"FW,MF",Vasco da Gama,29-194,1995,0.5,1,0,0,2,4,1,3,0,0,0,0,0,1,0,3,0.0
Denilson,BRA,MF,Cuiabá,23-208,2001,17.4,7,0,0,28,18,0,24,8,13,0,1,0,118,6,11,35.3
Derek,BRA,FW,Atl Goianiense,26-320,1997,5.2,1,1,0,12,8,1,2,2,6,0,0,0,13,12,38,24.0
Deyverson,BRA,FW,Atlético Mineiro,33-162,1991,6.0,3,0,0,7,8,5,1,0,0,1,0,0,17,18,17,51.4
