Player,Nation,Pos,Squad,Comp,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Lukáš Hrádecký,FIN,GK,Leverkusen,Bundesliga,34-344,1989,7,7,630,7.0,12,1.71,32,21,68.8,4,3,0,0,0.0,2,2,0,0,0.0
Karl Jakob Hein,EST,GK,Valladolid,La Liga,22-203,2002,11,11,990,11.0,23,2.09,62,40,62.9,2,2,7,3,27.3,0,0,0,0,
Vitezslav Jaros,CZE,GK,Liverpool,Premier League,23-102,2001,1,0,12,0.1,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,
Karl-Johan Johnsson,SWE,GK,Strasbourg,Ligue 1,34-279,1990,3,3,270,3.0,6,2.00,22,16,77.3,1,1,1,0,0.0,1,1,0,0,0.0
Sam Johnstone,ENG,GK,Wolves,Premier League,31-222,1993,5,5,450,5.0,13,2.60,32,19,65.6,0,1,4,0,0.0,2,2,0,0,0.0
Jesse Joronen,FIN,GK,Venezia,Serie A,31-226,1993,7,7,630,7.0,12,1.71,35,25,74.3,1,1,5,2,28.6,3,3,0,0,0.0
Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,25-345,1998,3,3,270,3.0,3,1.00,11,8,72.7,2,1,0,1,33.3,0,0,0,0,
Gregor Kobel,SUI,GK,Dortmund,Bundesliga,26-332,1997,8,8,720,8.0,14,1.75,33,19,63.6,4,1,3,2,25.0,2,2,0,0,0.0
Philipp Köhn,SUI,GK,Monaco,Ligue 1,26-214,1998,7,7,630,7.0,4,0.57,18,14,83.3,6,1,0,3,42.9,1,1,0,0,0.0
Matej Kovar,CZE,GK,Leverkusen,Bundesliga,24-169,2000,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,
Nediljko Labrović,CRO,GK,Augsburg,Bundesliga,25-023,1999,8,8,720,8.0,19,2.37,39,20,53.8,3,1,4,0,0.0,1,1,0,0,0.0
