Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Paulo Gazzaniga,ARG,GK,Girona,32-310,1992,4,4,360,4.0,8,2.00,21,16,61.9,1,0,3,1,25.0,1,0,1,0,100.0
Omri Glazer,ISR,GK,Red Star,28-241,1996,2,2,180,2.0,6,3.00,10,4,50.0,0,0,2,0,0.0,1,1,0,0,0.0
Péter Gulácsi,HUN,GK,RB Leipzig,34-185,1990,4,4,360,4.0,9,2.25,21,12,57.1,0,0,4,0,0.0,0,0,0,0,
Lukáš Hrádecký,FIN,GK,Leverkusen,34-349,1989,3,3,270,3.0,4,1.33,16,12,75.0,2,0,1,2,66.7,0,0,0,0,
Marko Ilić,SRB,GK,Red Star,26-278,1998,2,2,180,2.0,10,5.00,17,7,41.2,0,0,2,0,0.0,0,0,0,0,
Franco Israel,URU,GK,Sporting CP,24-199,2000,4,4,360,4.0,2,0.50,18,16,88.9,3,1,0,2,50.0,1,0,0,1,
Caoimhín Kelleher,IRL,GK,Liverpool,25-350,1998,2,2,180,2.0,0,0.00,10,10,100.0,2,0,0,2,100.0,0,0,0,0,
Marvin Keller,SUI,GK,Young Boys,22-127,2002,2,2,180,2.0,7,3.50,14,8,50.0,0,0,2,0,0.0,0,0,0,0,
Gregor Kobel,SUI,GK,Dortmund,26-337,1997,3,3,270,3.0,6,2.00,17,11,64.7,2,0,1,1,33.3,0,0,0,0,
Philipp Köhn,SUI,GK,Monaco,26-219,1998,2,2,180,2.0,3,1.50,4,1,25.0,1,1,0,0,0.0,0,0,0,0,
Matej Kovar,CZE,GK,Leverkusen,24-174,2000,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
Andriy Lunin,UKR,GK,Real Madrid,25-270,1999,2,2,180,2.0,4,2.00,12,8,75.0,0,0,2,0,0.0,1,1,0,0,0.0
Mike Maignan,FRA,GK,Milan,29-127,1995,4,4,320,3.6,5,1.41,31,26,87.1,2,0,2,0,0.0,1,1,0,0,0.0
Radosław Majecki,POL,GK,Monaco,24-357,1999,2,2,180,2.0,1,0.50,4,3,100.0,2,0,0,1,50.0,1,1,0,0,0.0
Emiliano Martínez,ARG,GK,Aston Villa,32-066,1992,4,4,360,4.0,1,0.25,23,22,100.0,3,0,1,3,75.0,1,1,0,0,0.0
Alexander Meyer,GER,GK,Dortmund,33-208,1991,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
Simon Mignolet,BEL,GK,Club Brugge,36-246,1988,4,4,360,4.0,6,1.50,13,7,61.5,2,0,2,2,50.0,1,1,0,0,0.0
Manuel Neuer,GER,GK,Bayern Munich,38-225,1986,4,4,315,3.5,5,1.43,6,1,16.7,2,0,2,1,25.0,0,0,0,0,
Ivan Nevistić,CRO,GK,Dinamo Zagreb,26-099,1998,3,3,270,3.0,11,3.67,25,14,72.0,1,1,1,1,33.3,4,4,0,0,0.0
Alexander Nübel,GER,GK,Stuttgart,28-038,1996,4,4,360,4.0,6,1.50,16,10,62.5,1,1,2,1,25.0,0,0,0,0,
Jan Oblak,SVN,GK,Atlético Madrid,31-305,1993,4,4,360,4.0,9,2.25,25,16,76.0,2,0,2,0,0.0,3,3,0,0,0.0
Stefan Ortega,GER,GK,Manchester City,32-001,1992,2,2,180,2.0,0,0.00,1,1,100.0,2,0,0,2,100.0,0,0,0,0,
Iñaki Peña,ESP,GK,Barcelona,25-250,1999,3,3,270,3.0,3,1.00,6,3,50.0,3,0,0,1,33.3,0,0,0,0,
Mattia Perin,ITA,GK,Juventus,31-363,1992,2,1,121,1.3,2,1.49,15,12,93.3,0,0,1,0,0.0,2,1,1,0,50.0
David Raya,ESP,GK,Arsenal,29-053,1995,4,4,360,4.0,1,0.25,6,4,100.0,2,1,1,3,75.0,2,1,1,0,50.0
Dmytro Riznyk,UKR,GK,Shakhtar,25-282,1999,4,4,360,4.0,5,1.25,15,10,66.7,1,1,2,1,25.0,1,0,1,0,100.0
Matvei Safonov,RUS,GK,Paris S-G,25-256,1999,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
Kjell Scherpen,NED,GK,Sturm Graz,24-289,2000,4,4,360,4.0,6,1.50,21,15,71.4,0,0,4,0,0.0,0,0,0,0,
Alexander Schlager,AUT,GK,RB Salzburg,28-280,1996,1,1,65,0.7,1,1.38,2,1,50.0,,,1,,,,,,,
Kasper Schmeichel,DEN,GK,Celtic,38-002,1986,4,4,360,4.0,9,2.25,24,15,70.8,2,1,1,1,25.0,2,2,0,0,0.0
Łukasz Skorupski,POL,GK,Bologna,33-186,1991,4,4,360,4.0,5,1.25,15,9,66.7,0,1,3,1,25.0,1,0,1,0,100.0
Yann Sommer,SUI,GK,Inter,35-326,1988,4,4,360,4.0,0,0.00,14,14,100.0,3,1,0,4,100.0,0,0,0,0,
Dominik Takáč,SVK,GK,Slovan Bratislava,25-300,1999,4,4,360,4.0,15,3.75,37,21,62.2,0,0,4,0,0.0,2,1,1,0,50.0
Marc-André ter Stegen,GER,GK,Barcelona,32-191,1992,1,1,90,1.0,2,2.00,8,6,75.0,0,0,1,0,0.0,0,0,0,0,
Lorenzo Torriani,ITA,GK,Milan,19-281,2005,1,0,40,0.4,1,2.25,4,3,75.0,0,0,0,0,,0,0,0,0,
Anatolii Trubin,UKR,GK,Benfica,23-098,2001,4,4,360,4.0,5,1.25,19,14,73.7,2,0,2,1,25.0,0,0,0,0,
Sven Ulreich,GER,GK,Bayern Munich,36-096,1988,1,0,45,0.5,2,4.00,3,1,33.3,0,0,0,0,,0,0,0,0,
Peter Vindahl Jensen,DEN,GK,Sparta Prague,26-265,1998,4,4,360,4.0,8,2.00,28,21,75.0,1,1,2,1,25.0,1,1,0,0,0.0
Timon Wellenreuther,GER,GK,Feyenoord,28-340,1995,4,4,360,4.0,10,2.50,21,11,52.4,2,0,2,0,0.0,2,0,1,1,100.0
Danijel Zagorac,CRO,GK,Dinamo Zagreb,37-274,1987,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,
