Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
João Pedro,BRA,"FW,MF",Cruzeiro,21-258,2003,0.9,35,1,6,15,14,1,35,3,1,33.3,0,0.0,18,90,27,1,1,0,3,1,27,2
João Pedro,BRA,MF,Vasco da Gama,19-181,2005,4.8,229,7,49,132,52,6,229,14,4,28.6,9,64.3,103,427,171,4,3,2,8,10,137,14
João Pedro,BRA,DF,Corinthians,20-291,2003,0.1,5,3,3,2,0,0,5,1,1,100.0,0,0.0,1,6,0,0,0,0,0,0,1,0
João Pedro,ITA,FW,Grêmio,32-222,1992,6.4,153,4,11,83,60,15,153,9,3,33.3,5,55.6,86,399,86,2,6,1,17,15,121,26
João Pedro,BRA,DF,Grêmio,27-337,1996,21.9,1292,57,323,582,400,30,1292,51,25,49.0,21,41.2,669,4001,2100,49,36,10,25,17,751,111
João Pedro Pepê,BRA,MF,Grêmio,26-285,1998,11.1,685,39,169,391,136,11,685,22,10,45.5,10,45.5,394,2022,1093,17,13,2,12,13,461,18
Peixoto,BRA,MF,Juventude,27-109,1997,0.2,21,1,6,10,5,2,21,0,0,,0,,15,73,33,1,1,1,0,1,15,0
Léo Pelé,BRA,DF,Vasco da Gama,28-225,1996,22.0,1122,159,582,500,42,10,1122,4,2,50.0,1,25.0,640,3662,2135,18,13,0,4,2,744,2
Carlos de Pena,URU,MF,Bahia,32-220,1992,7.0,609,12,108,333,181,9,609,13,8,61.5,4,30.8,319,1506,695,12,16,1,6,4,394,26
Fabrizio Peralta,PAR,"MF,FW",Cruzeiro,22-076,2002,1.0,84,4,24,47,14,0,84,2,2,100.0,0,0.0,45,231,104,1,1,0,0,2,52,1
Léo Pereira,BRA,DF,Flamengo,28-260,1996,17.3,1186,114,472,607,113,12,1186,9,6,66.7,2,22.2,696,3964,2171,14,19,1,6,2,791,24
Matheus Pereira,BRA,"FW,MF",Cruzeiro,28-165,1996,24.5,1467,5,86,753,645,62,1467,68,34,50.0,25,36.8,928,5153,2445,70,66,9,60,27,1141,125
Yago Pikachu,BRA,"FW,MF",Fortaleza,32-134,1992,16.3,600,13,88,275,248,47,600,30,12,40.0,15,50.0,363,1859,966,24,23,11,22,18,416,105
Joaquín Piquerez,URU,DF,Palmeiras,26-054,1998,14.6,935,36,207,434,305,10,934,19,8,42.1,8,42.1,487,2403,1337,29,25,1,16,5,560,73
Rafael Pires,BRA,GK,São Paulo,35-116,1989,18.0,513,472,511,2,0,0,513,0,0,,0,,258,1135,590,0,0,0,0,0,245,0
Lucas Piton,BRA,DF,Vasco da Gama,24-008,2000,23.1,1388,82,443,534,425,17,1388,37,23,62.2,13,35.1,684,3730,1729,50,36,3,28,12,786,112
Isidro Pitta,PAR,FW,Cuiabá,25-064,1999,23.3,646,18,37,287,328,115,642,35,13,37.1,19,54.3,379,1860,773,38,22,21,52,31,478,130
Gonzalo Plata,ECU,FW,Flamengo,23-351,2000,1.8,121,2,7,27,88,10,121,10,4,40.0,6,60.0,69,406,169,6,6,2,5,5,97,24
Tomas Pochettino,ARG,MF,Fortaleza,28-259,1996,15.6,774,19,88,367,331,30,773,41,20,48.8,19,46.3,427,2611,1024,40,24,11,35,13,497,95
Mateo Ponte,URU,DF,Botafogo (RJ),21-146,2003,10.1,560,22,144,286,137,20,560,20,7,35.0,11,55.0,270,1318,638,16,8,6,12,11,325,71
Werik Popó,BRA,FW,Criciúma,23-000,2001,0.1,6,0,0,4,2,1,6,1,1,100.0,0,0.0,5,22,1,0,0,0,2,0,3,1
Werik Popó,BRA,FW,Juventude,23-000,2001,0.5,25,1,2,12,11,4,25,2,0,0.0,2,100.0,16,138,73,2,1,0,4,1,19,7
Gustavo Prado,BRA,"FW,MF",Internacional,19-133,2005,6.2,329,3,34,144,157,18,329,24,10,41.7,12,50.0,215,1293,551,15,15,1,22,17,236,55
Bruno Praxedes,BRA,MF,Ath Paranaense,22-252,2002,1.6,103,4,17,45,42,2,103,4,1,25.0,3,75.0,47,318,173,4,2,0,0,1,64,10
Bruno Praxedes,BRA,MF,Vasco da Gama,22-252,2002,2.9,132,1,17,58,61,11,132,10,4,40.0,5,50.0,79,479,247,6,7,2,2,5,88,22
Erick Pulgar,CHI,MF,Flamengo,30-276,1994,13.2,901,24,194,587,123,14,901,6,3,50.0,2,33.3,473,2276,943,7,14,0,22,11,598,15
Du Queiroz,BRA,MF,Grêmio,24-272,2000,6.5,478,11,75,304,106,10,478,11,6,54.5,5,45.5,278,1359,718,13,11,0,10,4,354,19
Igor Rabello,BRA,DF,Atlético Mineiro,29-172,1995,7.2,521,66,253,252,18,6,521,2,1,50.0,1,50.0,246,1174,711,2,3,0,2,1,324,0
Zé Rafael,BRA,MF,Palmeiras,31-123,1993,9.2,481,9,65,324,105,11,481,18,5,27.8,10,55.6,280,1411,770,9,11,1,15,16,319,19
Rafinha,BRA,DF,São Paulo,39-040,1985,4.1,350,11,135,173,44,0,350,1,0,0.0,1,100.0,193,631,354,4,6,0,4,1,254,13
Railan,BRA,"DF,FW",Cuiabá,24-221,2000,9.3,575,15,146,285,151,10,575,39,21,53.8,15,38.5,281,1658,996,26,14,3,15,9,350,44
André Ramalho,BRA,DF,Corinthians,32-244,1992,9.7,580,71,280,274,28,9,580,5,4,80.0,1,20.0,314,2048,1307,6,3,0,2,0,359,2
Eric Ramires,BRA,MF,Red Bull Bragantino,24-068,2000,11.7,562,16,98,290,177,22,562,20,10,50.0,8,40.0,320,1416,600,9,12,2,16,23,377,31
Ramon,BRA,DF,Cuiabá,23-218,2001,20.4,1117,65,371,482,270,16,1117,32,15,46.9,16,50.0,524,2459,1413,37,19,4,18,15,647,68
Randerson,BRA,MF,Atl Goianiense,20-219,2004,0.2,16,0,2,11,3,0,16,1,1,100.0,0,0.0,9,27,7,0,0,0,1,0,13,1
Pedro Rangel,BRA,GK,Atl Goianiense,24-110,2000,6.0,213,160,212,1,0,0,213,1,1,100.0,0,0.0,124,697,465,0,1,1,0,0,91,0
Raniele,BRA,"MF,DF",Corinthians,27-291,1996,19.5,886,66,305,486,105,32,886,10,6,60.0,3,30.0,404,1993,885,15,9,1,19,7,472,22
Rafael Ratão,BRA,"FW,MF",Bahia,28-322,1995,3.5,203,2,26,77,102,22,203,20,11,55.0,9,45.0,126,697,375,14,10,8,13,5,155,49
Wellington Rato,BRA,"FW,MF",São Paulo,32-111,1992,10.6,553,6,65,259,232,28,553,13,8,61.5,5,38.5,340,1871,756,21,20,16,14,13,414,79
Raul,BRA,MF,Red Bull Bragantino,28-098,1996,13.0,711,39,190,429,101,5,711,10,6,60.0,2,20.0,381,1770,713,9,14,0,10,7,435,8
Pedro Raul,BRA,FW,Corinthians,27-347,1996,5.8,181,6,14,95,77,34,181,5,4,80.0,1,20.0,81,307,127,5,3,2,20,7,113,40
Leonardo Realpe,ECU,DF,Red Bull Bragantino,23-234,2001,1.0,55,10,28,26,1,1,55,0,0,,0,,21,103,46,0,0,0,0,0,23,0
Reinaldo,BRA,DF,Grêmio,35-019,1989,20.1,1324,64,334,601,404,24,1323,41,22,53.7,18,43.9,633,3057,1469,25,20,6,25,13,714,83
Vitor Reis,BRA,DF,Palmeiras,18-279,2006,9.2,561,48,227,319,17,7,561,0,0,,0,,311,1853,880,3,3,0,2,0,345,0
Robert Renan,BRA,DF,Internacional,21-006,2003,10.7,724,67,297,370,64,6,724,16,8,50.0,8,50.0,464,2564,1475,16,9,1,7,7,483,15
Renê,BRA,DF,Internacional,32-033,1992,10.6,834,33,214,450,182,12,834,9,4,44.4,4,44.4,467,2685,1472,29,28,0,8,8,507,21
Rezende,BRA,"MF,DF",Bahia,29-289,1995,6.4,416,44,183,218,18,6,416,4,3,75.0,1,25.0,210,1090,548,2,1,0,7,6,272,1
Rhaldney,BRA,MF,Atl Goianiense,25-332,1998,18.4,1038,30,177,605,272,22,1038,18,14,77.8,4,22.2,636,3284,1496,28,29,4,34,16,717,46
Everton Ribeiro,BRA,MF,Bahia,35-190,1989,22.0,1652,12,212,877,580,30,1652,54,21,38.9,30,55.6,1075,5201,2927,62,62,7,42,32,1325,123
