Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
José Luis Rodríguez Bebanz,URU,DF,Vasco da Gama,27-217,1997,6.2,16,11,13,3,0,10,22,45.5,12,8,1,7,6,22,31,0
Muriel Becker,BRA,GK,Vitória,37-246,1987,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ramiro Benetti,BRA,MF,Cruzeiro,31-148,1993,12.0,23,14,7,12,4,16,37,43.2,21,14,3,11,15,38,21,0
Bento,BRA,GK,Ath Paranaense,25-129,1999,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Alexandro Bernabei,ARG,DF,Internacional,24-023,2000,13.9,33,20,13,17,3,16,34,47.1,18,16,6,10,28,61,27,0
Facundo Bernal,URU,MF,Fluminense,21-057,2003,5.1,9,3,4,5,0,4,10,40.0,6,7,1,6,5,14,12,0
Bernard,BRA,"MF,FW",Atlético Mineiro,32-039,1992,6.4,12,7,3,7,2,5,12,41.7,7,3,1,2,2,14,4,0
Raul Bicalho,BRA,DF,Corinthians,25-176,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,4,4,2,0
Matheus Bidu,BRA,DF,Corinthians,25-166,1999,8.6,20,11,11,9,0,10,16,62.5,6,10,2,8,13,33,22,0
Biel,BRA,"FW,MF",Bahia,23-199,2001,7.7,5,4,2,2,1,1,10,10.0,9,6,1,5,5,10,7,0
Biro,BRA,"MF,DF",Corinthians,20-180,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Damián Bobadilla,PAR,MF,São Paulo,23-098,2001,11.3,34,18,16,17,1,14,28,50.0,14,16,1,15,8,42,6,1
Yannick Bolasie,COD,FW,Criciúma,35-146,1989,20.1,23,16,6,5,12,7,15,46.7,8,10,1,9,3,26,9,0
Thiago Borbas,URU,FW,Red Bull Bragantino,22-193,2002,10.6,7,4,0,5,2,3,6,50.0,3,8,4,4,2,9,14,0
Marllon Borges,BRA,DF,Cuiabá,32-184,1992,24.0,29,20,24,5,0,19,25,76.0,6,37,22,15,26,55,121,0
Pedro Borges,BRA,MF,Fortaleza,27-228,1997,12.9,58,31,31,23,4,24,33,72.7,9,22,12,10,20,78,40,0
Rafael Borré,COL,FW,Internacional,29-032,1995,12.6,10,8,3,5,2,3,14,21.4,11,9,0,9,3,13,11,0
Danilo Boza,BRA,DF,Juventude,26-164,1998,22.5,19,9,13,6,0,8,19,42.1,11,34,27,7,21,40,95,1
Martin Braithwaite,DEN,FW,Grêmio,33-134,1991,7.9,3,2,0,2,1,1,3,33.3,2,3,0,3,1,4,12,0
Breno,BRA,FW,Fortaleza,28-267,1996,18.7,12,5,6,6,0,3,7,42.9,4,13,2,11,4,16,11,0
Breno,BRA,MF,Corinthians,19-240,2005,13.6,21,11,4,13,4,8,21,38.1,13,23,5,18,15,36,20,0
José Breno,BRA,MF,Vitória,20-133,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Emanuel Brítez,ARG,DF,Fortaleza,32-205,1992,22.0,49,32,35,11,3,26,43,60.5,17,23,13,10,22,71,102,0
Bruninho,BRA,"FW,MF",Red Bull Bragantino,21-217,2003,0.9,1,0,0,0,1,1,3,33.3,2,0,0,0,0,1,1,0
Fabrício Bruno,BRA,DF,Flamengo,28-248,1996,19.6,22,13,15,6,1,12,14,85.7,2,13,11,2,12,34,82,0
Fabricio Bustos,ARG,DF,Internacional,28-172,1996,9.6,38,23,20,12,6,18,25,72.0,7,10,2,8,11,49,29,0
Rafael Cabral,BRA,GK,Grêmio,34-150,1990,5.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Cacá,BRA,DF,Corinthians,25-175,1999,22.8,25,13,20,4,1,20,24,83.3,4,39,30,9,13,38,100,1
Raúl Cáceres,PAR,DF,Vitória,33-029,1991,10.9,27,14,12,12,3,19,31,61.3,12,8,2,6,9,36,34,0
Caetano,BRA,DF,Corinthians,25-115,1999,3.1,4,3,2,2,0,2,3,66.7,1,4,4,0,4,8,20,0
Jonathan Cafu,BRA,"FW,MF",Cuiabá,33-099,1991,13.5,16,11,7,8,1,7,22,31.8,15,8,0,8,9,25,8,0
Rodrigo Caio,BRA,DF,Grêmio,31-061,1993,2.2,6,4,4,2,0,3,6,50.0,3,7,5,2,1,7,10,0
Caíque,BRA,GK,Grêmio,27-078,1997,3.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Calebe,BRA,"FW,MF",Fortaleza,24-170,2000,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Lucas Calegari,BRA,DF,Fluminense,22-233,2002,0.9,4,4,2,1,1,2,2,100.0,0,1,1,0,1,5,1,0
