Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Mayke,BRA,DF,Palmeiras,31-342,1992,17,865,51,33.1,9.6,10,74,5,7,18,1,1.94,14,9,+5,+0.52,-0.56,17.2,10.7,+6.5,+0.67,-0.23
Gary Medel,CHI,DF,Vasco da Gama,37-075,1987,2,108,54,4.1,1.2,2,54,0,0,,3,1.50,2,1,+1,+0.83,+1.19,2.0,0.7,+1.4,+1.14,+1.59
Eduardo Melo,BRA,FW,Criciúma,23-157,2001,0,,,,,0,,0,0,,8,,,,,,,,,,,
Felipe Melo,BRA,DF,Fluminense,41-113,1983,10,416,42,16.5,4.6,7,54,1,3,13,4,1.20,7,7,0,0.00,+0.34,4.0,6.8,-2.8,-0.57,-0.28
Memphis,NED,"FW,MF",Corinthians,30-247,1994,3,139,46,5.3,1.5,1,84,0,2,28,0,1.33,4,3,+1,+0.65,+1.01,2.9,1.8,+1.1,+0.72,+0.85
Douglas Mendes,BRA,DF,Red Bull Bragantino,20-126,2004,17,"1,289",76,49.4,14.3,13,90,13,4,30,10,1.47,18,19,-1,-0.07,+0.13,16.3,19.7,-3.5,-0.24,+0.07
Matheus Mendes,BRA,GK,Atlético Mineiro,25-221,1999,12,997,83,38.2,11.1,11,90,11,1,7,17,1.50,15,19,-4,-0.36,-0.53,15.0,15.6,-0.7,-0.06,-0.26
Nathan Mendes,BRA,DF,Red Bull Bragantino,22-059,2002,15,"1,120",75,42.9,12.4,11,90,10,4,33,0,1.07,11,13,-2,-0.16,-0.04,11.0,16.4,-5.5,-0.44,-0.28
Vinicius Mendonça,BRA,"FW,MF",Red Bull Bragantino,20-240,2004,11,271,25,10.4,3.0,2,50,0,9,19,11,0.45,5,5,0,0.00,+0.15,4.4,5.9,-1.5,-0.51,-0.26
Jean Meneses,CHI,"FW,MF",Vasco da Gama,31-215,1993,4,191,48,7.3,2.1,1,62,0,3,43,2,1.25,2,1,+1,+0.47,+0.84,1.5,2.9,-1.4,-0.65,-0.28
Gabriel Menino,BRA,"MF,FW",Palmeiras,24-018,2000,21,934,44,35.8,10.4,11,69,1,10,17,3,1.86,17,9,+8,+0.77,-0.20,18.5,9.9,+8.6,+0.83,0.00
Gabriel Mercado,ARG,DF,Internacional,37-213,1987,17,"1,186",70,47.1,13.2,13,86,12,4,18,4,2.00,15,10,+5,+0.38,-0.03,22.7,10.9,+11.8,+0.89,+0.39
Higor Meritão,BRA,MF,Criciúma,30-116,1994,16,970,61,37.2,10.8,12,76,5,4,15,12,1.25,16,17,-1,-0.09,+0.18,10.8,17.5,-6.8,-0.63,-0.58
Michael,BRA,FW,Flamengo,28-219,1996,2,106,53,4.2,1.2,1,90,1,1,16,0,3.00,3,1,+2,+1.70,+1.29,2.3,1.1,+1.1,+0.95,+0.70
Carlos Miguel,BRA,GK,Corinthians,26-008,1998,6,540,90,20.7,6.0,6,90,6,0,,2,1.00,7,7,0,0.00,+0.39,6.7,8.2,-1.5,-0.25,-0.21
Luis Miguel,BRA,"MF,FW",Vitória,19-256,2005,1,15,15,0.6,0.2,0,,0,1,15,4,0.00,0,1,-1,-6.00,-5.62,0.0,0.8,-0.8,-4.69,-4.56
Lucas Milla,BRA,MF,Grêmio,21-263,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
Lucas Mineiro,BRA,MF,Cuiabá,28-236,1996,25,"1,933",77,76.7,21.5,23,83,15,2,7,1,1.04,21,30,-9,-0.42,+0.35,18.9,27.3,-8.4,-0.39,-0.24
Moises,BRA,FW,Fortaleza,28-045,1996,18,685,38,25.4,7.6,6,69,1,12,23,3,1.89,9,7,+2,+0.26,-0.05,11.6,10.5,+1.0,+0.14,+0.23
Miguel Monsalve,COL,"FW,MF",Grêmio,20-233,2004,10,656,66,25.1,7.3,8,77,0,2,21,3,1.40,13,8,+5,+0.69,+1.10,10.3,6.9,+3.4,+0.46,+0.60
Rafael Monteiro,BRA,DF,Fluminense,20-246,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Jacob Montes,NCA,"FW,MF",Botafogo (RJ),25-363,1998,1,19,19,0.7,0.2,0,,0,1,19,4,3.00,1,1,0,0.00,-0.76,0.1,0.2,-0.1,-0.26,-0.62
João Moreira,POR,"DF,MF",São Paulo,20-149,2004,3,173,58,6.4,1.9,3,58,0,0,,7,2.00,2,1,+1,+0.52,+0.24,1.6,2.6,-0.9,-0.49,-0.83
Aníbal Moreno,ARG,MF,Palmeiras,25-157,1999,26,"1,969",76,75.4,21.9,23,83,15,3,23,0,1.96,37,14,+23,+1.05,+0.63,39.3,20.5,+18.8,+0.86,+0.14
Kauã Moroso,BRA,GK,Criciúma,20-220,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
Gabriel Moscardo,BRA,MF,Corinthians,19-019,2005,2,81,41,3.1,0.9,1,45,0,1,36,4,1.00,3,4,-1,-1.11,-0.83,0.6,2.6,-2.0,-2.23,-2.22
