Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Yago Souza,BRA,MF,América (MG),16,2006,0.2,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
Everaldo Stum,BRA,FW,Bahia,31,1991,24.2,473,416,55,1,2,5,21,0,0,0,0,0,296,2,12
Luis Suárez,URU,FW,Grêmio,36,1987,32.0,1091,999,87,13,7,8,31,9,2,1,0,0,761,5,36
Bruno Tabata,BRA,"MF,FW",Palmeiras,25,1997,1.4,72,67,5,0,1,2,10,5,0,0,0,0,51,0,5
Tadeu,BRA,GK,Goiás,30,1992,35.0,1204,758,436,143,0,7,0,0,0,0,0,0,837,10,1
Talisson,BRA,FW,Red Bull Bragantino,20,2002,1.7,33,31,0,0,0,0,3,0,0,0,0,0,19,2,3
Tchê Tchê,BRA,"MF,DF",Botafogo (RJ),30,1992,29.5,1297,1209,88,33,4,9,57,31,22,3,18,0,1115,0,14
Alex Teixeira,BRA,"FW,MF",Vasco da Gama,33,1990,12.6,307,285,21,7,0,0,22,3,5,0,4,0,251,1,8
David Terans,URU,"MF,FW",Ath Paranaense,28,1994,4.4,139,114,23,5,2,4,20,4,13,4,8,0,102,2,3
Miguel Terceros,BOL,"MF,FW",Santos,18,2004,0.4,18,15,3,1,0,0,2,0,2,2,0,0,15,0,1
Thaciano,BRA,"MF,FW",Bahia,27,1995,32.1,1083,1046,32,25,2,7,21,3,0,0,0,0,880,5,11
Thiago,BRA,"FW,MF",Ath Paranaense,22,2000,2.5,82,81,1,0,0,0,2,1,0,0,0,0,69,0,3
Guilherme Tinga,BRA,DF,Fortaleza,29,1993,28.7,1546,1251,289,28,1,13,86,260,1,0,0,0,1064,6,34
Titi,BRA,DF,Fortaleza,34,1988,31.6,1412,1310,97,89,1,6,7,7,0,0,0,0,1183,5,10
Stênio Toledo,BRA,"FW,MF",Cruzeiro,19,2003,3.2,116,111,5,0,1,2,8,5,0,0,0,0,87,0,8
Uendel,BRA,DF,Cuiabá,34,1988,4.0,146,115,30,6,0,0,17,23,1,0,1,0,109,1,2
Júnior Urso,BRA,MF,Coritiba,33,1989,3.3,122,117,5,5,0,1,1,0,0,0,0,0,109,0,2
Bruno Uvini,BRA,DF,Grêmio,31,1991,16.1,521,502,17,17,0,1,0,0,0,0,0,0,391,2,4
Enner Valencia,ECU,FW,Internacional,33,1989,16.0,273,250,21,1,0,2,19,6,0,0,0,0,197,2,10
Vanderlan,BRA,DF,Palmeiras,20,2002,10.1,368,295,71,7,0,1,28,64,0,0,0,0,261,2,18
Rodrigo Varanda,BRA,"FW,MF",América (MG),20,2003,5.7,173,158,14,1,2,0,10,10,0,0,0,0,136,1,7
Guillermo Varela,URU,DF,Flamengo,29,1993,2.6,152,141,11,1,0,0,10,10,0,0,0,0,132,0,3
Eduardo Vargas,CHI,FW,Atlético Mineiro,33,1989,5.2,159,156,3,0,1,6,4,2,0,0,0,0,127,0,1
Pablo Vegetti,ARG,FW,Vasco da Gama,34,1988,19.9,352,309,42,1,0,3,21,2,0,0,0,0,210,1,15
Raphael Veiga,BRA,MF,Palmeiras,27,1995,27.3,1211,941,262,66,9,16,224,9,157,61,65,0,895,8,28
Fausto Vera,ARG,MF,Corinthians,22,2000,15.3,824,808,13,11,6,11,7,2,0,0,0,0,694,3,10
Patrick Verhon,BRA,FW,Bahia,18,2004,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Veríssimo,BRA,DF,Corinthians,27,1995,14.5,786,760,25,22,0,3,0,3,0,0,0,0,703,1,2
Bruno Viana,BRA,DF,Coritiba,27,1995,9.0,427,401,26,24,1,9,2,0,0,0,0,0,356,0,3
Marcos Victor,BRA,DF,Bahia,21,2001,0.1,10,8,2,0,0,0,0,2,0,0,0,0,10,0,0
Paulo Victor,BRA,DF,Vasco da Gama,21,2001,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Arturo Vidal,CHI,MF,Ath Paranaense,35,1987,4.2,179,162,16,8,0,2,7,5,2,1,0,0,143,1,4
Arturo Vidal,CHI,"MF,DF",Flamengo,35,1987,2.8,206,200,5,4,0,1,3,1,0,0,0,0,183,1,5
Felipe Vieira,,DF,Fluminense,,,2.3,106,94,12,1,0,0,2,11,0,0,0,0,88,0,3
Luan Vieira,BRA,"FW,MF",Grêmio,29,1993,0.6,46,42,4,0,1,0,4,0,3,1,2,0,37,0,1
Gustavo Vilar,BRA,DF,Coritiba,22,2000,1.0,59,58,1,1,0,0,0,0,0,0,0,0,50,0,0
