Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Massimo Decoene,BEL,FW,Kortrijk,19,2004,0.1,15,1,3,4,8,0,15,0,0,,0,,11,74,30,1,0,0,0,1,9,0
Robbe Decostere,BEL,DF,Cercle Brugge,25,1998,0.0,8,1,2,5,1,0,8,0,0,,0,,4,11,5,0,0,0,0,0,3,1
Théo Defourny,BEL,GK,RWD Molenbeek,31,1992,29.8,1001,850,991,10,1,1,1001,0,0,,0,,583,2885,1414,0,0,0,0,0,403,0
Tristan Degreef,BEL,MF,Anderlecht,18,2005,0.0,4,0,0,1,3,0,4,2,0,0.0,2,100.0,1,5,5,0,0,0,0,0,1,0
Thomas Delaney,DEN,"MF,DF",Anderlecht,31,1991,10.1,629,60,183,306,148,29,629,4,1,25.0,3,75.0,390,1835,583,6,19,1,5,8,350,29
Martin Delavallée,BEL,GK,Charleroi,19,2004,0.0,3,2,3,0,0,0,3,0,0,,0,,1,5,0,0,0,0,0,0,0,0
Hannes Delcroix,BEL,DF,Anderlecht,24,1999,0.1,5,2,3,2,0,0,5,0,0,,0,,1,4,4,0,0,0,0,0,1,0
Mathias Delorge,BEL,MF,Sint-Truiden,19,2004,29.5,2159,87,564,1335,277,23,2159,28,11,39.3,17,60.7,1619,8545,3599,27,43,5,32,16,1513,38
Olivier Deman,BEL,"DF,MF",Cercle Brugge,23,2000,4.2,298,15,67,117,114,17,298,13,2,15.4,11,84.6,138,751,265,6,4,3,6,3,106,25
Kévin Denkey,TOG,FW,Cercle Brugge,22,2000,27.7,1130,13,32,380,728,211,1127,71,37,52.1,28,39.4,778,4351,1154,44,29,27,165,61,857,271
Jerome Deom,BEL,"MF,FW",Eupen,24,1999,8.5,433,13,81,181,174,17,433,20,4,20.0,16,80.0,279,1619,623,19,12,5,24,20,257,46
Laurent Depoitre,BEL,FW,Gent,34,1988,4.3,168,7,16,76,77,25,168,3,1,33.3,2,66.7,118,676,176,5,0,0,14,13,134,36
Gilles Dewaele,BEL,"DF,MF",Standard Liège,27,1996,7.5,559,26,173,250,142,13,559,10,4,40.0,6,60.0,326,1784,697,11,13,1,9,4,304,30
Sada Diallo,BEL,"MF,DF",RWD Molenbeek,21,2002,1.0,56,3,36,20,0,0,56,1,1,100.0,0,0.0,38,166,59,0,0,0,1,1,32,0
Amadou Diawara,GUI,MF,Anderlecht,26,1997,6.6,341,22,116,179,48,5,341,3,0,0.0,3,100.0,229,1099,346,5,5,1,4,6,194,3
Moussa Djenepo,MLI,"DF,FW",Standard Liège,25,1998,16.6,737,27,132,288,334,62,737,122,49,40.2,53,43.4,570,4281,2031,70,35,33,50,34,510,147
Noah Dodeigne,BEL,"DF,FW",Standard Liège,20,2003,0.4,25,2,9,16,1,0,25,0,0,,0,,14,68,37,0,0,0,1,1,9,0
Kasper Dolberg,DEN,FW,Anderlecht,25,1997,23.9,664,33,81,280,309,97,661,38,13,34.2,22,57.9,508,3031,799,26,15,12,83,31,519,133
Joren Dom,BEL,"MF,DF",OH Leuven,33,1989,16.0,777,91,306,316,163,28,777,14,4,28.6,9,64.3,406,2237,829,11,14,0,16,4,356,37
Djovkar Doudaev,BEL,DF,RWD Molenbeek,19,2003,2.3,135,13,66,61,8,0,135,1,1,100.0,0,0.0,87,466,176,1,1,0,1,0,80,1
Mahamadou Doumbia,MLI,MF,Antwerp,19,2004,4.1,207,3,23,122,67,8,207,22,15,68.2,6,27.3,151,964,501,10,9,3,10,6,141,8
Souleyman Doumbia,CIV,DF,Standard Liège,26,1996,6.2,518,27,177,288,63,2,518,16,10,62.5,6,37.5,339,1937,812,7,8,0,9,5,311,4
