Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
José Luis Rodríguez Bebanz,URU,DF,Vasco da Gama,25,1997,22.2,59,2.66,40,9,4,4,1,1,3,0.14,3,0,0,0,0,0
Matheus Belém,BRA,DF,São Paulo,19,2003,1.9,1,0.53,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lucas Belezi,BRA,DF,Ath Paranaense,19,2003,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ramiro Benetti,BRA,MF,Cruzeiro,29,1993,4.5,8,1.77,7,0,0,1,0,0,1,0.22,1,0,0,0,0,0
Martín Benítez,ARG,"MF,FW",América (MG),28,1994,12.4,75,6.03,39,14,9,3,10,0,6,0.48,4,1,0,1,0,0
Bento,BRA,GK,Ath Paranaense,23,1999,33.0,6,0.18,4,2,0,0,0,0,2,0.06,2,0,0,0,0,0
Lucas Beraldo,BRA,DF,São Paulo,19,2003,24.0,19,0.79,19,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lucas Besozzi,ARG,"FW,MF",Grêmio,20,2003,4.4,14,3.16,10,0,2,1,1,0,2,0.45,2,0,0,0,0,0
Matheus Bianqui,BRA,MF,Coritiba,25,1998,15.8,23,1.46,20,0,1,2,0,0,3,0.19,2,0,0,1,0,0
Raul Bicalho,BRA,DF,Bahia,23,1999,3.6,2,0.56,0,0,0,1,1,0,1,0.28,0,0,0,1,0,0
Matheus Bidu,BRA,DF,Corinthians,23,1999,18.4,46,2.50,32,9,2,0,2,1,4,0.22,2,0,0,0,1,1
Biel,BRA,"FW,MF",Bahia,21,2001,15.1,89,5.88,47,12,10,6,13,1,4,0.26,0,1,0,2,1,0
Rafael Bilu,BRA,FW,Cruzeiro,23,1999,1.0,7,7.33,3,0,3,1,0,0,0,0.00,0,0,0,0,0,0
Biro,BRA,"FW,MF",Corinthians,18,2004,6.4,20,3.16,14,0,2,2,2,0,1,0.16,1,0,0,0,0,0
Bitelo,BRA,"MF,FW",Grêmio,23,2000,17.2,71,4.12,50,10,6,3,1,1,6,0.35,6,0,0,0,0,0
Paulinho Bóia,BRA,FW,América (MG),24,1998,1.5,7,4.63,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Thiago Borbas,URU,FW,Red Bull Bragantino,20,2002,15.9,33,2.08,25,0,3,3,2,0,4,0.25,3,0,0,0,1,0
Daniel Borges,BRA,DF,América (MG),29,1993,8.9,22,2.48,18,2,2,0,0,0,2,0.23,2,0,0,0,0,0
Daniel Borges,BRA,DF,Botafogo (RJ),29,1993,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marllon Borges,BRA,DF,Cuiabá,30,1992,36.0,10,0.28,8,0,0,2,0,0,1,0.03,0,0,0,1,0,0
Pedro Borges,BRA,"MF,FW",Fortaleza,25,1997,6.3,12,1.91,9,0,0,1,0,2,2,0.32,1,0,0,1,0,0
Gabriel Boschilia,BRA,"MF,FW",Coritiba,26,1996,3.8,11,2.88,6,2,2,1,0,0,1,0.26,1,0,0,0,0,0
Lucas Braga,BRA,"DF,FW",Santos,26,1996,22.1,41,1.84,28,5,5,1,2,0,2,0.09,1,0,0,0,1,0
