Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Valdemar Lund,DEN,DF,FC Copenhagen,20,2003,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Andriy Lunin,UKR,GK,Real Madrid,24,1999,8.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,1
Fabian Lustenberger,SUI,DF,Young Boys,35,1988,1.0,2,1,1,1,0,1,1,100.0,0,2,1,1,3,5,2,0
Ian Maatsen,NED,DF,Dortmund,21,2002,7.0,15,11,8,7,0,8,17,47.1,9,12,2,10,12,27,31,2
Deiver Machado,COL,DF,Lens,29,1993,4.1,10,7,5,5,0,5,6,83.3,1,5,0,5,2,12,10,0
Daizen Maeda,JPN,FW,Celtic,25,1997,3.1,2,1,0,2,0,2,7,28.6,5,2,0,2,3,5,3,0
Gabriel Magalhães,BRA,DF,Arsenal,25,1997,10.3,9,7,3,5,1,3,4,75.0,1,8,6,2,3,12,35,0
Harry Maguire,ENG,DF,Manchester Utd,30,1993,3.4,1,1,1,0,0,1,1,100.0,0,6,3,3,4,5,13,0
Jon Magunacelaya,ESP,MF,Real Sociedad,23,2000,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Mike Maignan,FRA,GK,Milan,28,1995,5.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Kobbie Mainoo,ENG,MF,Manchester Utd,18,2005,0.5,2,1,1,1,0,0,0,,0,1,1,0,0,2,2,0
Donyell Malen,NED,FW,Dortmund,24,1999,5.1,3,1,0,3,0,0,0,,0,4,0,4,0,3,5,0
Darian Males,SUI,MF,Young Boys,22,2001,1.9,3,2,1,2,0,1,1,100.0,0,3,0,3,1,4,1,0
Reinildo Mandava,MOZ,DF,Atlético Madrid,29,1994,0.3,1,0,1,0,0,0,0,,0,2,2,0,2,3,2,1
José María Giménez,URU,DF,Atlético Madrid,28,1995,5.3,1,1,1,0,0,0,3,0.0,3,8,6,2,5,6,34,0
Mariano,DOM,"MF,FW",Sevilla,29,1993,0.7,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0
Adrián Marín,ESP,DF,Braga,26,1997,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
João Mário,POR,"FW,MF",Benfica,30,1993,3.6,2,1,1,0,1,2,8,25.0,6,2,0,2,2,4,3,0
João Mário Lopes,POR,DF,Porto,23,2000,6.6,21,15,14,6,1,14,26,53.8,12,8,0,8,2,23,11,0
Marquinhos,BRA,DF,Paris S-G,29,1994,10.0,17,7,14,2,1,11,17,64.7,6,12,9,3,12,29,29,1
Anthony Martial,FRA,"FW,DF",Manchester Utd,27,1995,0.6,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Gabriel Martinelli,BRA,FW,Arsenal,22,2001,5.3,4,2,2,0,2,3,4,75.0,1,8,0,8,2,6,1,0
Iñigo Martínez,ESP,DF,Barcelona,32,1991,3.5,2,1,1,0,1,2,4,50.0,2,3,2,1,3,5,13,0
Lautaro Martínez,ARG,FW,Inter,25,1997,5.9,5,1,1,3,1,1,5,20.0,4,6,0,6,1,6,3,0
Lisandro Martínez,ARG,DF,Manchester Utd,25,1998,1.0,0,0,0,0,0,0,0,,0,4,2,2,2,2,1,1
Toni Martínez,ESP,FW,Porto,26,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Adam Marušić,MNE,DF,Lazio,30,1992,5.7,9,8,2,7,0,5,7,71.4,2,6,5,1,8,17,10,0
Matheus,BRA,GK,Braga,31,1992,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
