Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,2.7,3,1,0,1,2,0,0,,0,1,0,1,0,3,4,0
Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,26.5,22,13,16,6,0,11,14,78.6,3,20,13,7,32,54,77,1
Joshua Acheampong,ENG,DF,Chelsea,Premier League,17,2006,0.1,0,0,0,0,0,0,0,,0,3,3,0,0,0,0,0
Marcos Acuña,ARG,DF,Sevilla,La Liga,31,1991,14.4,33,21,20,12,1,9,14,64.3,5,12,2,10,4,37,25,0
Akor Adams,NGA,FW,Montpellier,Ligue 1,23,2000,25.0,12,4,3,4,5,3,7,42.9,4,9,2,7,5,17,11,0
Tyler Adams,USA,MF,Bournemouth,Premier League,24,1999,1.3,4,3,1,3,0,2,3,66.7,1,2,0,2,4,8,2,0
Junior Adamu,AUT,"FW,MF",Freiburg,Bundesliga,22,2001,1.2,5,1,1,2,2,1,2,50.0,1,1,0,1,0,5,2,0
Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,30,1993,8.9,14,9,2,9,3,6,11,54.5,5,16,1,15,5,19,7,0
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25,1997,18.0,21,11,16,5,0,12,21,57.1,9,16,11,5,25,46,80,0
Elijah Adebayo,ENG,FW,Luton Town,Premier League,25,1998,15.8,4,1,1,0,3,1,12,8.3,11,13,2,11,6,10,25,0
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21,2002,10.1,16,14,9,4,3,8,20,40.0,12,11,0,11,3,19,5,0
Simon Adingra,CIV,FW,Brighton,Premier League,21,2002,24.7,45,20,23,11,11,19,42,45.2,23,31,1,30,19,64,22,0
Nathaniel Adjei,GHA,DF,Lorient,Ligue 1,20,2002,13.8,13,9,8,3,2,6,7,85.7,1,15,8,7,18,31,64,1
Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,23,2000,10.0,16,7,2,10,4,7,17,41.2,10,10,2,8,6,22,5,0
Yacine Adli,FRA,MF,Milan,Serie A,23,2000,15.6,34,17,17,13,4,13,35,37.1,22,22,8,14,20,54,15,1
Adryelson,BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0
Adson,BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,7,6,1,6,0,2,2,100.0,0,5,0,5,2,9,2,0
Michel Aebischer,SUI,MF,Bologna,Serie A,26,1997,24.8,35,20,9,20,6,15,34,44.1,19,28,6,22,12,47,22,0
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,26,1997,28.8,65,41,38,23,4,44,64,68.8,20,47,25,22,55,120,116,1
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2000,2.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lucien Agoume,FRA,MF,Inter,Serie A,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lucien Agoume,FRA,MF,Sevilla,La Liga,21,2002,8.6,23,18,7,14,2,9,12,75.0,3,6,1,5,7,30,8,0
Felix Agu,GER,"DF,MF",Werder Bremen,Bundesliga,23,1999,17.9,45,29,28,13,4,29,41,70.7,12,27,7,20,13,58,41,0
Nayef Aguerd,MAR,DF,West Ham,Premier League,27,1996,20.6,26,14,19,7,0,16,22,72.7,6,33,24,9,17,43,85,2
Ruben Aguilar,FRA,DF,Lens,Ligue 1,30,1993,21.4,53,31,27,23,3,27,45,60.0,18,35,5,30,26,79,46,0
Brandon Aguilera,CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,13,9,5,6,2,8,17,47.1,9,3,0,3,2,15,4,0
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,64,36,48,14,2,30,49,61.2,19,43,26,17,35,99,137,2
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27,1995,4.5,8,3,6,2,0,4,8,50.0,4,3,1,2,4,12,28,0
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,26,1996,18.8,47,31,31,12,4,29,41,70.7,12,19,3,16,18,65,51,1
Rayan Aït-Nouri,ALG,"DF,MF",Wolves,Premier League,22,2001,25.9,71,44,41,23,7,28,49,57.1,21,32,6,26,15,86,38,0
Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,25,1998,10.0,6,4,2,3,1,3,9,33.3,6,4,1,3,2,8,8,0
Kristoffer Ajer,NOR,DF,Brentford,Premier League,25,1998,20.4,38,21,25,9,4,23,36,63.9,13,26,11,15,25,63,79,1
Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,29,1994,15.1,3,2,1,2,0,2,11,18.2,9,6,2,4,4,7,11,0
Manuel Akanji,SUI,"DF,MF",Manchester City,Premier League,28,1995,27.9,42,28,16,18,8,22,39,56.4,17,28,12,16,23,65,70,3
Marley Aké,FRA,FW,Udinese,Serie A,22,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Nathan Aké,NED,DF,Manchester City,Premier League,28,1995,22.7,26,16,15,8,3,13,20,65.0,7,17,2,15,14,40,54,0
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,19,2004,16.8,36,21,11,16,9,10,20,50.0,10,10,2,8,13,49,13,0
Sergio Akieme,ESP,DF,Almería,La Liga,25,1997,18.6,27,15,18,7,2,13,16,81.3,3,14,4,10,10,37,34,0
Sergio Akieme,ESP,DF,Reims,Ligue 1,25,1997,9.1,11,5,6,3,2,8,11,72.7,3,9,3,6,10,21,25,0
Ebenezer Akinsanmiro,NGA,MF,Inter,Serie A,18,2004,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,21,2002,17.9,37,23,12,20,5,12,36,33.3,24,21,0,21,9,46,3,0
Paul Akouokou,CIV,MF,Betis,La Liga,25,1997,0.3,5,3,0,2,3,3,3,100.0,0,3,1,2,1,6,1,0
Paul Akouokou,CIV,MF,Lyon,Ligue 1,25,1997,3.4,14,9,2,10,2,6,7,85.7,1,5,1,4,6,20,11,0
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,30,1992,7.8,20,11,14,4,2,3,9,33.3,6,10,4,6,12,32,15,1
David Akpan Ankeye,NGA,FW,Genoa,Serie A,21,2002,0.6,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,28,1995,12.2,35,18,22,12,1,26,35,74.3,9,28,8,20,18,53,32,0
David Alaba,AUT,DF,Real Madrid,La Liga,31,1992,12.8,13,9,7,5,1,4,8,50.0,4,10,7,3,15,28,34,0
Luis Alberto,ESP,MF,Lazio,Serie A,30,1992,25.7,35,20,16,12,7,15,53,28.3,38,34,4,30,7,42,13,0
Raúl Albiol,ESP,DF,Villarreal,La Liga,37,1985,22.6,25,14,15,9,1,18,27,66.7,9,31,24,7,16,41,102,0
Thiago Alcántara,ESP,MF,Liverpool,Premier League,32,1991,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Carlos Alcaraz,ARG,MF,Juventus,Serie A,20,2002,4.2,6,6,0,6,0,5,10,50.0,5,5,2,3,5,11,4,0
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,32,1991,34.8,97,59,39,52,6,50,121,41.3,71,60,14,46,33,130,55,2
Omar Alderete,PAR,DF,Getafe,La Liga,26,1996,24.4,28,21,15,13,0,19,35,54.3,16,30,18,12,13,41,111,0
Iván Alejo,ESP,MF,Cádiz,La Liga,28,1995,18.8,40,23,23,11,6,17,57,29.8,40,20,0,20,7,47,17,0
Carles Aleñá,ESP,MF,Getafe,La Liga,25,1998,11.3,24,8,7,14,3,10,24,41.7,14,14,3,11,4,28,13,0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,24,1998,23.9,39,26,26,11,2,27,87,31.0,60,22,2,20,31,70,48,5
Aboubacar Ali,FRA,"MF,FW",Strasbourg,Ligue 1,17,2006,1.4,2,0,0,2,0,0,0,,0,1,0,1,1,3,2,0
Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,19,2004,2.8,4,3,3,1,0,2,7,28.6,5,6,0,6,1,5,1,0
Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,19,2004,9.6,12,9,4,7,1,3,11,27.3,8,10,0,10,3,15,6,0
Faride Alidou,GER,"FW,MF",Köln,Bundesliga,22,2001,14.2,10,4,3,6,1,4,18,22.2,14,23,2,21,8,18,15,1
Nabil Alioui,FRA,"MF,FW",Le Havre,Ligue 1,24,1999,11.2,3,2,2,1,0,2,4,50.0,2,6,1,5,3,6,4,0
Alisson,BRA,GK,Liverpool,Premier League,30,1992,28.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,11,4
Tadeo Allende,ARG,"MF,FW",Celta Vigo,La Liga,24,1999,3.7,6,1,3,2,1,4,6,66.7,2,3,0,3,3,9,3,0
Jim Allevinah,GAB,"MF,DF",Clermont Foot,Ligue 1,28,1995,20.7,30,18,11,14,5,14,35,40.0,21,20,3,17,13,43,30,0
Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,23,2000,10.7,25,15,9,12,4,9,19,47.4,10,13,1,12,6,31,5,0
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,29,1994,21.5,36,24,13,15,8,11,29,37.9,18,29,2,27,10,46,13,0
Pontus Almqvist,SWE,"FW,MF",Lecce,Serie A,24,1999,23.4,45,29,16,22,7,23,51,45.1,28,21,2,19,14,59,10,0
Marcos Alonso,ESP,DF,Barcelona,La Liga,32,1990,2.8,5,3,2,3,0,3,4,75.0,1,2,0,2,4,9,6,0
Adrià Altimira,ESP,"DF,MF",Villarreal,La Liga,22,2001,8.6,16,7,9,6,1,9,24,37.5,15,18,5,13,5,21,18,0
Sergi Altimira,ESP,MF,Betis,La Liga,21,2001,6.3,15,8,8,6,1,11,23,47.8,12,12,1,11,9,24,10,0
Edson Álvarez,MEX,MF,West Ham,Premier League,25,1997,26.4,80,39,47,26,7,31,66,47.0,35,59,20,39,42,122,81,0
Gastón Álvarez,URU,DF,Getafe,La Liga,23,2000,28.2,68,37,43,20,5,37,57,64.9,20,40,11,29,35,103,80,0
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,20,2003,8.5,14,9,8,3,3,9,20,45.0,11,4,1,3,5,19,9,0
Julián Álvarez,ARG,"MF,FW",Manchester City,Premier League,23,2000,29.4,24,13,5,8,11,8,32,25.0,24,30,0,30,2,26,14,1
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,28,1995,12.8,18,9,15,3,0,12,19,63.2,7,8,5,3,11,29,34,1
Skelly Alvero,FRA,MF,Lyon,Ligue 1,21,2002,4.7,8,7,5,2,1,2,9,22.2,7,5,1,4,2,10,5,0
Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,21,2002,1.4,6,4,1,5,0,3,3,100.0,0,3,1,2,1,7,1,0
Papa Amadou Diallo,SEN,FW,Metz,Ligue 1,19,2004,9.9,18,8,10,7,1,7,21,33.3,14,11,1,10,11,29,16,0
Selim Amallah,MAR,"FW,MF",Valencia,La Liga,26,1996,6.7,17,12,7,7,3,3,9,33.3,6,13,0,13,11,28,6,0
Amath,SEN,"FW,MF",Mallorca,La Liga,27,1996,4.4,9,6,7,2,0,2,10,20.0,8,2,0,2,3,12,6,0
Lorenzo Amatucci,ITA,MF,Fiorentina,Serie A,19,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jordan Amavi,FRA,DF,Brest,Ligue 1,29,1994,1.0,1,1,0,1,0,1,3,33.3,2,2,1,1,3,4,2,0
Zeki Amdouni,SUI,FW,Burnley,Premier League,22,2000,21.7,27,18,1,15,11,7,25,28.0,18,23,10,13,9,36,10,0
Kelvin Amian,FRA,DF,Nantes,Ligue 1,25,1998,8.9,16,7,12,4,0,11,15,73.3,4,6,0,6,7,23,28,0
Bruno Amione,ARG,DF,Hellas Verona,Serie A,21,2002,6.4,11,3,9,2,0,4,5,80.0,1,4,2,2,9,20,19,2
Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,27,1996,11.1,23,11,13,6,4,15,23,65.2,8,9,2,7,11,34,34,2
Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,26,1996,14.6,22,14,8,10,4,13,19,68.4,6,16,2,14,14,36,18,0
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,26,1996,1.0,4,2,0,3,1,0,3,0.0,3,0,0,0,0,4,1,0
Kofi Amoako,GER,MF,Wolfsburg,Bundesliga,18,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,Premier League,26,1996,10.4,27,16,17,8,2,17,31,54.8,14,20,7,13,8,35,19,2
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,27,1996,37.9,56,35,33,21,2,29,39,74.4,10,33,18,15,41,97,207,1
Elliot Anderson,ENG,"MF,FW",Newcastle Utd,Premier League,20,2002,11.4,24,18,12,9,3,15,29,51.7,14,23,4,19,8,32,23,0
Felipe Anderson,BRA,"FW,MF",Lazio,Serie A,30,1993,30.8,78,45,32,33,13,34,90,37.8,56,45,3,42,27,105,23,0
Benjamin André,FRA,MF,Lille,Ligue 1,32,1990,28.6,89,49,39,45,5,43,81,53.1,38,34,5,29,35,124,60,0
Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,28,1995,1.9,2,1,0,1,1,0,4,0.0,4,2,0,2,0,2,1,0
Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,28,1994,18.8,30,18,8,14,8,13,24,54.2,11,15,4,11,20,50,17,0
Miguel Ángel Rubio,ESP,DF,Granada,La Liga,25,1998,17.3,20,12,14,6,0,14,21,66.7,7,31,18,13,28,48,74,2
Angeliño,ESP,DF,Roma,Serie A,26,1997,12.7,21,11,12,6,3,11,19,57.9,8,11,5,6,12,33,37,1
Ângelo,BRA,"FW,MF",Strasbourg,Ligue 1,18,2004,12.2,24,11,9,7,8,11,31,35.5,20,18,0,18,9,33,2,0
Fabrizio Angileri,ARG,"DF,MF",Getafe,La Liga,29,1994,1.8,1,1,1,0,0,1,3,33.3,2,0,0,0,4,5,8,0
Jaidon Anthony,ENG,FW,Bournemouth,Premier League,23,1999,1.7,3,1,1,0,2,1,7,14.3,6,3,0,3,1,4,3,0
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,27,1996,32.1,39,25,21,16,2,23,42,54.8,19,33,20,13,40,79,150,1
Michail Antonio,JAM,FW,West Ham,Premier League,33,1990,18.8,15,8,5,6,4,3,11,27.3,8,16,3,13,4,19,4,0
Antony,BRA,FW,Manchester Utd,Premier League,23,2000,14.7,40,21,15,19,6,20,40,50.0,20,29,1,28,12,52,9,0
Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,29,1994,13.5,21,12,10,6,5,12,22,54.5,10,13,2,11,2,23,11,1
Houssem Aouar,ALG,"MF,FW",Roma,Serie A,25,1998,8.4,16,11,4,10,2,3,12,25.0,9,5,0,5,4,20,2,1
Stredair Appuah,FRA,"FW,MF",Nantes,Ligue 1,19,2004,0.9,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,1,0
Mauro Arambarri,URU,MF,Getafe,La Liga,27,1995,3.8,6,2,3,2,1,1,6,16.7,5,1,0,1,2,8,7,0
Jon Aramburu,VEN,DF,Real Sociedad,La Liga,21,2002,6.0,24,15,12,10,2,15,25,60.0,10,8,3,5,7,31,17,0
Asaf Arania,ISR,MF,Darmstadt 98,Bundesliga,17,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Julian Araujo,MEX,DF,Las Palmas,La Liga,21,2001,16.2,41,22,29,7,5,23,33,69.7,10,23,16,7,10,51,52,1
Ronald Araújo,URU,DF,Barcelona,La Liga,24,1999,22.2,27,22,11,15,1,12,17,70.6,5,20,11,9,12,39,66,2
Oliver Arblaster,ENG,MF,Sheffield Utd,Premier League,19,2004,10.5,23,14,11,8,4,7,15,46.7,8,17,7,10,15,38,9,0
Cameron Archer,ENG,"FW,MF",Sheffield Utd,Premier League,22,2001,20.4,18,13,6,6,6,8,18,44.4,10,22,3,19,1,19,11,0
Cameron Archer,ENG,MF,Aston Villa,Premier League,22,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alphonse Areola,FRA,GK,West Ham,Premier League,30,1993,30.0,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,16,0
Adu Ares,ESP,FW,Athletic Club,La Liga,21,2001,2.9,8,4,4,2,2,2,3,66.7,1,1,0,1,1,9,0,0
Jesús Areso,ESP,DF,Osasuna,La Liga,24,1999,29.6,45,24,25,13,7,31,38,81.6,7,36,15,21,18,63,58,0
Simone Aresti,ITA,GK,Cagliari,Serie A,37,1986,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Matias Arezo,URU,FW,Granada,La Liga,20,2002,4.1,7,3,2,5,0,1,5,20.0,4,4,1,3,1,8,4,0
Iñigo Arguibide,ESP,DF,Osasuna,La Liga,18,2005,0.2,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0
Yoël Armougom,FRA,"DF,MF",Clermont Foot,Ligue 1,25,1998,2.6,3,3,2,0,1,2,3,66.7,1,1,0,1,1,4,3,0
José Arnaiz,ESP,"FW,MF",Osasuna,La Liga,28,1995,10.3,14,8,6,4,4,6,21,28.6,15,11,2,9,3,17,2,0
Hákon Arnar Haraldsson,ISL,"FW,MF",Lille,Ligue 1,20,2003,14.3,12,8,4,7,1,5,21,23.8,16,7,2,5,3,15,5,0
Marko Arnautović,AUT,FW,Inter,Serie A,34,1989,8.9,10,4,3,5,2,4,7,57.1,3,8,1,7,5,15,5,0
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,29,1994,27.8,51,31,15,27,9,28,57,49.1,29,23,4,19,24,75,60,0
Mohamed El Arouch,FRA,FW,Lyon,Ligue 1,19,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sergio Arribas,ESP,"MF,FW",Almería,La Liga,21,2001,22.7,34,17,16,17,1,14,31,45.2,17,20,1,19,16,50,8,1
Kepa Arrizabalaga,ESP,GK,Real Madrid,La Liga,28,1994,13.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0
Arthur,BRA,DF,Leverkusen,Bundesliga,20,2003,2.0,4,3,2,0,2,2,2,100.0,0,1,1,0,0,4,7,0
Takuma Asano,JPN,"FW,MF",Bochum,Bundesliga,28,1994,22.1,17,6,2,9,6,7,23,30.4,16,17,3,14,4,21,11,0
Marco Asensio,ESP,"MF,FW",Paris S-G,Ligue 1,27,1996,12.4,12,10,4,7,1,4,13,30.8,9,7,0,7,5,17,2,0
Kristjan Asllani,ALB,MF,Inter,Serie A,21,2002,8.7,7,2,3,4,0,2,11,18.2,9,9,3,6,11,18,8,0
Joel Asoro,SWE,"FW,MF",Metz,Ligue 1,24,1999,9.4,13,9,7,6,0,3,10,30.0,7,7,1,6,6,19,9,0
Jonathan Asp Jensen,DEN,FW,Bayern Munich,Bundesliga,17,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Iago Aspas,ESP,FW,Celta Vigo,La Liga,35,1987,30.1,11,6,4,6,1,1,15,6.7,14,23,3,20,10,21,8,0
Lorenz Assignon,TOG,DF,Burnley,Premier League,23,2000,13.7,35,17,18,13,4,14,27,51.9,13,22,7,15,19,54,43,1
Lorenz Assignon,TOG,DF,Rennes,Ligue 1,23,2000,11.2,24,12,12,8,4,9,24,37.5,15,9,4,5,9,33,27,1
Youcef Atal,ALG,DF,Nice,Ligue 1,27,1996,4.0,9,3,6,2,1,6,8,75.0,2,7,1,6,4,13,1,0
Valentin Atangana Edoa,FRA,MF,Reims,Ligue 1,17,2005,6.2,19,13,6,9,4,5,13,38.5,8,5,1,4,6,25,9,0
Arthur Atta,FRA,"MF,FW",Metz,Ligue 1,20,2003,10.3,18,14,8,7,3,8,19,42.1,11,13,3,10,10,28,23,0
Noah Atubolu,GER,GK,Freiburg,Bundesliga,21,2002,34.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,8,1
Pierre-Emerick Aubameyang,GAB,FW,Marseille,Ligue 1,34,1989,29.1,22,14,4,11,7,7,26,26.9,19,30,5,25,9,31,26,0
Emil Audero,ITA,GK,Inter,Serie A,26,1997,3.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Tommaso Augello,ITA,DF,Cagliari,Serie A,28,1994,26.9,26,19,18,6,2,16,25,64.0,9,21,10,11,17,43,89,0
Carlos Augusto,BRA,DF,Inter,Serie A,24,1999,19.2,29,21,20,9,0,15,22,68.2,7,20,8,12,16,45,52,0
Yann Aurel Bisseck,GER,DF,Inter,Serie A,22,2000,10.0,14,6,10,3,1,6,9,66.7,3,10,7,3,5,19,23,0
Serge Aurier,CIV,"DF,MF",Nott'ham Forest,Premier League,30,1992,9.3,20,14,9,11,0,5,11,45.5,6,10,3,7,9,29,36,1
Ezequiel Ávila,ARG,"FW,MF",Osasuna,La Liga,29,1994,9.6,3,2,1,1,1,3,11,27.3,8,14,0,14,4,7,8,0
Ezequiel Ávila,ARG,FW,Betis,La Liga,29,1994,3.3,2,1,0,2,0,1,3,33.3,2,2,0,2,1,3,4,0
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,25,1997,11.6,9,7,1,4,4,1,2,50.0,1,7,2,5,1,10,9,0
André Ayew,GHA,FW,Le Havre,Ligue 1,33,1989,12.3,15,11,7,6,2,6,9,66.7,3,8,3,5,2,17,11,0
Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,31,1991,28.3,65,36,23,28,14,21,42,50.0,21,43,2,41,16,81,15,0
Neil El Aynaoui,FRA,MF,Lens,Ligue 1,22,2001,17.4,37,20,13,20,4,20,46,43.5,26,20,6,14,32,69,21,1
Sardar Azmoun,IRN,"FW,MF",Roma,Serie A,28,1995,6.5,8,5,2,5,1,4,8,50.0,4,4,1,3,3,11,6,1
César Azpilicueta,ESP,DF,Atlético Madrid,La Liga,33,1989,15.8,25,14,15,9,1,12,19,63.2,7,25,6,19,16,41,46,0
Paulo Azzi,BRA,"DF,MF",Cagliari,Serie A,29,1994,10.6,19,11,10,6,3,9,18,50.0,9,11,2,9,16,35,23,0
Oussama El Azzouzi,MAR,MF,Bologna,Serie A,22,2001,6.1,12,7,4,5,3,7,14,50.0,7,8,2,6,6,18,12,0
Abdellah Baallal,MAR,MF,Clermont Foot,Ligue 1,18,2004,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Iddrisu Baba,GHA,MF,Almería,La Liga,27,1996,15.9,46,26,27,18,1,17,39,43.6,22,20,6,14,11,57,27,2
Srđan Babić,SRB,DF,Almería,La Liga,27,1996,1.0,2,2,0,2,0,1,1,100.0,0,1,1,0,0,2,2,0
Shavy Babicka,GAB,"FW,MF",Toulouse,Ligue 1,23,2000,4.1,11,8,2,7,2,2,5,40.0,3,6,1,5,0,11,2,0
Aliou Badara Baldé,GUI,"FW,DF",Nice,Ligue 1,20,2002,0.8,4,1,0,3,1,1,1,100.0,0,2,1,1,3,7,0,0
Loïc Bade,FRA,DF,Sevilla,La Liga,23,2000,25.3,65,41,53,12,0,30,49,61.2,19,23,15,8,38,103,116,2
Milan Badelj,CRO,MF,Genoa,Serie A,34,1989,28.2,51,27,23,24,4,24,61,39.3,37,45,13,32,50,101,54,1
Matthias Bader,GER,"DF,MF",Darmstadt 98,Bundesliga,26,1997,20.0,51,25,32,11,8,33,65,50.8,32,22,4,18,25,76,20,0
Benoît Badiashile,FRA,DF,Chelsea,Premier League,22,2001,14.9,21,15,12,9,0,9,14,64.3,5,21,14,7,18,39,66,2
Alex Baena,ESP,"MF,FW",Villarreal,La Liga,22,2001,28.7,34,21,10,16,8,20,47,42.6,27,23,2,21,13,47,17,1
Jaime Báez,URU,"FW,MF",Frosinone,Serie A,28,1995,5.6,4,1,0,2,2,0,7,0.0,7,5,0,5,4,8,1,0
Nicola Bagnolini,ITA,GK,Bologna,Serie A,19,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Leon Bailey,JAM,"MF,FW",Aston Villa,Premier League,25,1997,23.0,13,7,7,4,2,5,20,25.0,15,18,1,17,9,22,6,0
Eric Bailly,CIV,DF,Villarreal,La Liga,29,1994,9.3,5,3,4,1,0,2,2,100.0,0,8,8,0,9,14,38,2
Stefan Bajcetic,ESP,MF,Liverpool,Premier League,18,2004,0.3,4,1,3,1,0,3,5,60.0,2,0,0,0,0,4,0,0
Nedim Bajrami,ALB,"MF,FW",Sassuolo,Serie A,24,1999,14.6,13,6,6,3,4,5,13,38.5,8,5,1,4,6,19,8,0
Cédric Bakambu,COD,FW,Betis,La Liga,32,1991,2.2,1,0,0,1,0,0,0,,0,2,0,2,0,1,0,0
Tiemoué Bakayoko,FRA,MF,Lorient,Ligue 1,28,1994,14.6,34,17,14,17,3,15,28,53.6,13,10,4,6,26,60,15,1
Mitchel Bakker,NED,DF,Atalanta,Serie A,23,2000,4.2,7,3,6,1,0,2,12,16.7,10,5,0,5,3,10,6,0
