Player,Pos,Squad,Age,Club,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Cho Gue-sung,FW,Korea Republic,24,Jeonbuk,1998,4,3,275,3.1,2,0,2,2,0,0,1,0,1.1,1.1,0.0,1.1,0,4,13,0.65,0.00,0.65,0.65,0.65,0.35,0.01,0.36,0.35,0.36
Mattéo Guendouzi,"FW,MF",France,23,Marseille,1999,1,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Raphaël Guerreiro,DF,Portugal,28,Dortmund,1993,4,3,279,3.1,1,2,3,1,0,0,0,0,0.4,0.4,0.5,0.9,10,13,20,0.32,0.65,0.97,0.32,0.97,0.14,0.17,0.30,0.14,0.30
Pape Gueye,MF,Senegal,23,Marseille,1999,3,1,153,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,1,7,4,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.18,0.06,0.18
Bruno Guimarães,MF,Brazil,24,Newcastle Utd,1997,2,0,69,0.8,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,2,8,3,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.92,0.92,0.92
İlkay Gündoğan,MF,Germany,31,Manchester City,1990,3,3,189,2.1,1,0,1,0,1,1,0,0,1.1,0.4,0.1,0.5,3,24,6,0.48,0.00,0.48,0.00,0.00,0.54,0.05,0.60,0.17,0.22
Erick Gutiérrez,MF,Mexico,26,PSV Eindhoven,1995,1,0,49,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joško Gvardiol,DF,Croatia,20,RB Leipzig,2002,7,7,690,7.7,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.2,11,32,4,0.13,0.00,0.13,0.13,0.13,0.02,0.01,0.03,0.02,0.03
Asiri Haitham,FW,Saudi Arabia,21,Al-Ahli,2001,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ehsan Hajsafi,"MF,DF",IR Iran,32,AEK Athens,1990,3,3,237,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,7,8,5,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.15,0.06,0.15
Achraf Hakimi,DF,Morocco,23,Paris S-G,1998,7,7,631,7.0,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,10,20,24,0.00,0.14,0.14,0.00,0.14,0.02,0.07,0.09,0.02,0.09
Abderrazak Hamdallah,FW,Morocco,31,Al-Ittihad,1990,4,0,68,0.8,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,0,5,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52,0.52,0.52
Abdelkarim Hassan,DF,Qatar,28,Al Sadd,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,14,11,5,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11
Ali Al Hassan,MF,Saudi Arabia,25,Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15
Abdulaziz Hatem,MF,Qatar,31,Al Rayyan SC,1990,3,2,196,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,3,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Kai Havertz,FW,Germany,23,Chelsea,1999,2,1,102,1.1,2,0,2,2,0,0,0,0,1.4,1.4,0.2,1.6,1,4,8,1.76,0.00,1.76,1.76,1.76,1.19,0.17,1.36,1.19,1.36
Hassan Al-Haydos,MF,Qatar,31,Al Sadd,1990,3,3,206,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,5,12,8,0.00,0.00,0.00,0.00,0.00,0.01,0.27,0.27,0.01,0.27
Eden Hazard,MF,Belgium,31,Real Madrid,1991,3,2,124,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,7,7,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Thorgan Hazard,FW,Belgium,29,Dortmund,1993,2,1,106,1.2,0,0,0,0,0,0,0,0,0.0,0.0,1.3,1.3,1,4,13,0.00,0.00,0.00,0.00,0.00,0.00,1.07,1.07,0.00,1.07
Hwang Hee-chan,"MF,FW",Korea Republic,26,Wolves,1996,2,1,115,1.3,1,0,1,1,0,0,1,0,0.9,0.9,0.0,1.0,7,3,16,0.78,0.00,0.78,0.78,0.78,0.72,0.03,0.75,0.72,0.75
Jordan Henderson,MF,England,31,Liverpool,1990,4,3,271,3.0,1,0,1,1,0,0,0,0,0.2,0.2,0.3,0.5,2,16,13,0.33,0.00,0.33,0.33,0.33,0.06,0.11,0.16,0.06,0.16
Wayne Hennessey,GK,Wales,35,Nott'ham Forest,1987,2,2,175,1.9,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lucas Hernández,DF,France,26,Bayern Munich,1996,1,1,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Theo Hernández,DF,France,24,Milan,1997,6,5,508,5.6,1,2,3,1,0,0,1,0,0.4,0.4,1.2,1.6,18,23,33,0.18,0.35,0.53,0.18,0.53,0.07,0.22,0.29,0.07,0.29
Héctor Herrera,MF,Mexico,32,Houston Dynamo,1990,2,2,160,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Son Heung-min,"FW,MF",Korea Republic,29,Tottenham,1992,4,4,360,4.0,0,1,1,0,0,0,0,0,0.4,0.4,1.0,1.4,12,8,33,0.00,0.25,0.25,0.00,0.25,0.11,0.24,0.35,0.11,0.35
Piero Hincapié,DF,Ecuador,20,Leverkusen,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jonas Hofmann,FW,Germany,29,Gladbach,1992,2,0,30,0.3,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,1,1,3,0.00,0.00,0.00,0.00,0.00,0.82,0.16,0.98,0.82,0.98
Junior Hoilett,"FW,MF",Canada,32,Reading,1990,3,2,161,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,5,6,8,0.00,0.00,0.00,0.00,0.00,0.08,0.21,0.28,0.08,0.28
Martin Hongla,MF,Cameroon,24,Hellas Verona,1998,2,2,121,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,1,4,4,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
Ricardo Horta,FW,Portugal,27,Braga,1994,3,1,119,1.3,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.8,2,3,9,0.76,0.00,0.76,0.76,0.76,0.58,0.05,0.63,0.58,0.63
Hossein Hosseini,GK,IR Iran,29,Esteghlal,1992,2,1,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Majid Hosseini,DF,IR Iran,25,Kayserispor,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ajdin Hrustic,"MF,FW",Australia,25,Hellas Verona,1996,3,0,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,4,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Atiba Hutchinson,MF,Canada,39,Beşiktaş,1983,3,2,159,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,15,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Pierre Højbjerg,MF,Denmark,26,Tottenham,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,29,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Romario Ibarra,MF,Ecuador,27,Pachuca,1994,2,1,68,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,5,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19
Ivan Ilić,MF,Serbia,21,Hellas Verona,2001,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Hwang In-beom,MF,Korea Republic,25,Olympiacos,1996,4,4,334,3.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,5,37,6,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08
Jackson Irvine,"MF,FW",Australia,29,St. Pauli,1993,4,4,354,3.9,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.6,2,17,5,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.14,0.13,0.14
Ko Itakura,DF,Japan,25,Gladbach,1997,3,3,270,3.0,0,1,1,0,0,0,2,0,0.2,0.2,0.1,0.2,3,5,1,0.00,0.33,0.33,0.00,0.33,0.05,0.03,0.08,0.05,0.08
Hiroki Ito,DF,Japan,23,Stuttgart,1999,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,10,2,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09
Junya Ito,"MF,FW",Japan,29,Reims,1993,4,3,324,3.6,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,9,4,19,0.00,0.28,0.28,0.00,0.28,0.05,0.07,0.12,0.05,0.12
Yahya Jabrane,MF,Morocco,30,Wydad Casablanca,1991,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nicolas Jackson,FW,Senegal,20,Villarreal,2001,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lee Jae-sung,"MF,FW",Korea Republic,29,Mainz 05,1992,3,3,211,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,10,14,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Alireza Jahanbakhsh,MF,IR Iran,28,Feyenoord,1993,2,1,59,0.7,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,2,3,5,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29
Kristijan Jakić,FW,Croatia,25,Eint Frankfurt,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ismail Jakobs,DF,Senegal,22,Monaco,1999,4,3,278,3.1,0,1,1,0,0,0,1,0,0.0,0.0,0.3,0.3,6,9,4,0.00,0.32,0.32,0.00,0.32,0.00,0.11,0.11,0.00,0.11
Abolfazl Jalali,DF,IR Iran,23,Esteghlal,1998,1,0,19,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Daniel James,"FW,MF",Wales,24,Fulham,1997,3,2,154,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,10,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Vincent Janssen,FW,Netherlands,27,Antwerp,1994,2,1,86,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,3,3,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13
Ardon Jashari,FW,Switzerland,19,Luzern,2002,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Issam Jebali,FW,Tunisia,30,Odense,1991,3,2,182,2.0,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,2,0,11,0.00,0.00,0.00,0.00,0.00,0.26,0.08,0.34,0.26,0.34
Artur Jędrzejczyk,DF,Poland,34,Legia Warsaw,1987,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mathias Jensen,MF,Denmark,26,Brentford,1996,2,1,84,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,1,5,8,0.00,0.00,0.00,0.00,0.00,0.11,0.38,0.50,0.11,0.50
Gabriel Jesus,FW,Brazil,25,Arsenal,1997,3,1,93,1.0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,1,7,6,0.00,0.00,0.00,0.00,0.00,0.35,0.23,0.58,0.35,0.58
Raúl Jiménez,FW,Mexico,31,Wolves,1991,3,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kim Jin-su,DF,Korea Republic,30,Jeonbuk,1992,4,4,315,3.5,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,2,8,15,0.00,0.29,0.29,0.00,0.29,0.09,0.17,0.27,0.09,0.27
Brennan Johnson,"FW,MF",Wales,21,Nott'ham Forest,2001,3,0,91,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,0,5,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21
Alistair Johnston,DF,Canada,23,CF Montréal,1998,3,3,270,3.0,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,2,14,6,0.00,0.00,0.00,0.00,0.00,0.27,0.06,0.33,0.27,0.33
Frenkie de Jong,MF,Netherlands,25,Barcelona,1997,5,5,475,5.3,1,1,2,1,0,0,1,0,0.9,0.9,0.2,1.1,7,26,8,0.19,0.19,0.38,0.19,0.38,0.18,0.04,0.22,0.18,0.22
Luuk de Jong,FW,Netherlands,31,PSV Eindhoven,1990,1,0,57,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,4,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25
Luka Jović,FW,Serbia,24,Fiorentina,1997,1,0,36,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,1,0,3,0.00,0.00,0.00,0.00,0.00,0.13,0.40,0.53,0.13,0.53
Son Jun-ho,"MF,DF",Korea Republic,30,Shandong Lunen,1992,3,0,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vinicius Júnior,FW,Brazil,21,Real Madrid,2000,4,4,299,3.3,1,2,3,1,0,0,0,0,1.0,1.0,0.7,1.7,18,4,42,0.30,0.60,0.90,0.30,0.90,0.30,0.20,0.50,0.30,0.50
Josip Juranović,DF,Croatia,26,Celtic,1995,6,6,600,6.7,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.4,15,34,38,0.00,0.15,0.15,0.00,0.15,0.01,0.05,0.06,0.01,0.06
Daichi Kamada,"FW,MF",Japan,25,Eint Frankfurt,1996,4,4,322,3.6,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.7,5,13,15,0.00,0.00,0.00,0.00,0.00,0.18,0.01,0.19,0.18,0.19
Jakub Kamiński,MF,Poland,20,Wolfsburg,2002,4,2,233,2.6,0,0,0,0,0,0,0,0,0.4,0.3,0.2,0.5,3,0,13,0.00,0.00,0.00,0.00,0.00,0.14,0.09,0.23,0.10,0.19
Hossein Kanaanizadegan,DF,IR Iran,28,Al Ahli SC,1994,1,0,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Harry Kane,FW,England,28,Tottenham,1993,5,5,402,4.5,2,3,5,1,1,2,0,0,2.7,1.1,1.5,2.6,7,18,24,0.45,0.67,1.12,0.22,0.90,0.60,0.33,0.93,0.25,0.58
Lee Kang-in,"MF,FW",Korea Republic,21,Mallorca,2001,4,1,147,1.6,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.4,4,11,5,0.00,0.61,0.61,0.00,0.61,0.09,0.17,0.27,0.09,0.27
Mohamed Kanno,"MF,FW",Saudi Arabia,27,Al-Hilal,1994,3,3,270,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,6,17,8,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
Fran Karačić,DF,Australia,26,Brescia,1996,2,1,93,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,7,3,0.00,0.00,0.00,0.00,0.00,0.17,0.09,0.27,0.17,0.27
Ali Karimi,MF,IR Iran,28,Kayserispor,1994,3,1,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mark-Anthony Kaye,MF,Canada,27,Toronto FC,1994,1,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Wajdi Kechrida,DF,Tunisia,26,Atromitos,1995,3,1,111,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,5,11,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08
Thilo Kehrer,DF,Germany,25,West Ham,1996,1,1,69,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bilal El Khannouss,MF,Morocco,18,Genk,2004,1,1,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Wahbi Khazri,"FW,MF",Tunisia,31,Montpellier,1991,2,1,83,0.9,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,0,2,8,1.08,0.00,1.08,1.08,1.08,0.47,0.00,0.47,0.47,0.47
Musab Kheder,DF,Qatar,28,Al Sadd,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Boualem Khoukhi,DF,Qatar,31,Al Sadd,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joshua Kimmich,"MF,DF",Germany,27,Bayern Munich,1995,3,3,270,3.0,0,0,0,0,0,0,1,0,0.4,0.4,1.1,1.5,4,28,16,0.00,0.00,0.00,0.00,0.00,0.12,0.37,0.49,0.12,0.49
Jakub Kiwior,DF,Poland,22,Spezia,2000,4,4,355,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Simon Kjær,DF,Denmark,33,Milan,1989,1,1,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Davy Klaassen,"MF,FW",Netherlands,29,Ajax,1993,4,3,190,2.1,1,2,3,1,0,0,0,0,0.2,0.2,0.3,0.5,0,6,9,0.47,0.95,1.42,0.47,1.42,0.11,0.14,0.25,0.11,0.25
Lukas Klostermann,DF,Germany,26,RB Leipzig,1996,2,0,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gregor Kobel,GK,Switzerland,24,Dortmund,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Koke,MF,Spain,30,Atlético Madrid,1992,2,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Randal Kolo Muani,FW,France,23,Eint Frankfurt,1998,3,1,182,2.0,1,0,1,1,0,0,0,0,1.1,1.1,0.0,1.1,2,1,10,0.49,0.00,0.49,0.49,0.49,0.66,0.00,0.66,0.66,0.66
Ibrahima Konaté,DF,France,23,Liverpool,1999,5,3,294,3.3,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.7,1,18,1,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.24,0.12,0.24
Ismaël Koné,"MF,DF",Canada,20,CF Montréal,2002,3,0,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Teun Koopmeiners,MF,Netherlands,24,Atalanta,1998,5,1,219,2.4,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,4,7,7,0.00,0.41,0.41,0.00,0.41,0.04,0.09,0.13,0.04,0.13
Filip Kostić,DF,Serbia,29,Juventus,1992,2,2,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,5,21,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Kalidou Koulibaly,DF,Senegal,30,Chelsea,1991,4,4,360,4.0,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,0,11,0,0.25,0.00,0.25,0.25,0.25,0.12,0.01,0.13,0.12,0.13
Jules Koundé,DF,France,23,Barcelona,1998,6,5,480,5.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,7,20,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Cheikhou Kouyaté,MF,Senegal,32,Nott'ham Forest,1989,1,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Mateo Kovačić,MF,Croatia,28,Chelsea,1994,7,7,635,7.1,0,0,0,0,0,0,2,0,0.3,0.3,1.0,1.3,24,52,23,0.00,0.00,0.00,0.00,0.00,0.05,0.14,0.18,0.05,0.18
Andrej Kramarić,"FW,MF",Croatia,30,Hoffenheim,1991,7,7,474,5.3,2,0,2,2,0,0,0,0,1.6,1.6,0.2,1.9,10,7,44,0.38,0.00,0.38,0.38,0.38,0.31,0.04,0.36,0.31,0.36
Rasmus Kristensen,DF,Denmark,24,Leeds United,1997,3,3,224,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6,23,23,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Grzegorz Krychowiak,MF,Poland,32,Al-Shabab,1990,4,4,332,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,1,10,2,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.05,0.01,0.05
Takefusa Kubo,FW,Japan,21,Real Sociedad,2001,2,2,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mohammed Kudus,"FW,MF",Ghana,21,Ajax,2000,3,3,247,2.7,2,0,2,2,0,0,1,0,0.8,0.8,0.0,0.8,9,4,15,0.73,0.00,0.73,0.73,0.73,0.30,0.00,0.30,0.30,0.30
Pierre Kunde,MF,Cameroon,26,Olympiacos,1995,2,2,131,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,4,1,0.00,0.00,0.00,0.00,0.00,0.15,0.05,0.20,0.15,0.20
Garang Kuol,"FW,MF",Australia,17,Central Coast,2004,2,0,37,0.4,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,0,4,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.92,0.92,0.92
Daniel Kyereh,"MF,DF",Ghana,26,Freiburg,1996,3,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kwon Kyung-won,DF,Korea Republic,30,Gamba Osaka,1992,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Aïssa Laïdouni,MF,Tunisia,25,Ferencváros,1996,3,3,243,2.7,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.6,8,18,9,0.00,0.37,0.37,0.00,0.37,0.05,0.16,0.21,0.05,0.21
Tariq Lamptey,DF,Ghana,21,Brighton,2000,2,1,102,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,2,3,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Noa Lang,MF,Netherlands,22,Club Brugge,1999,1,0,8,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,
Aymeric Laporte,DF,Spain,28,Manchester City,1994,3,3,300,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,7,19,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Cyle Larin,FW,Canada,27,Club Brugge,1995,3,2,137,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,3,5,6,0.00,0.00,0.00,0.00,0.00,0.16,0.34,0.49,0.16,0.49
Richie Laryea,"DF,MF",Canada,27,Toronto FC,1995,3,2,160,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,8,1,12,0.00,0.00,0.00,0.00,0.00,0.04,0.30,0.34,0.04,0.34
Darko Lazović,DF,Serbia,31,Hellas Verona,1990,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Rafael Leão,FW,Portugal,23,Milan,1999,5,0,88,1.0,2,0,2,2,0,0,0,0,0.4,0.4,0.2,0.6,16,3,19,2.05,0.00,2.05,2.05,2.05,0.42,0.16,0.57,0.42,0.57
Mathew Leckie,"MF,FW",Australia,31,Melb City,1991,4,4,333,3.7,1,1,2,1,0,0,0,0,0.1,0.1,0.3,0.5,4,13,22,0.27,0.27,0.54,0.27,0.54,0.04,0.08,0.12,0.04,0.12
