Player,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Alexander Bah,DF,Denmark,24,1997,0.5,65,1,22,19,24,3,65,2,0,0.0,1,50.0,39,147,81,3,2,1,0,0,36,7
Hattan Bahebri,MF,Saudi Arabia,29,1992,0.0,7,2,2,3,2,1,7,0,0,,0,,4,15,14,0,0,0,0,0,6,1
Alejandro Balde,DF,Spain,18,2003,1.4,135,0,17,86,33,3,135,2,0,0.0,0,0.0,78,329,164,5,2,1,2,3,109,12
Gareth Bale,FW,Wales,32,1989,2.5,68,2,13,30,26,2,67,3,1,33.3,1,33.3,38,166,39,1,3,0,4,4,51,12
Fodé Ballo-Touré,DF,Senegal,25,1997,0.1,10,0,1,7,2,1,10,1,0,0.0,0,0.0,6,44,8,2,0,1,0,0,6,0
Badr Banoun,DF,Morocco,28,1993,0.6,28,5,20,8,0,0,28,0,0,,0,,19,129,82,0,0,0,0,1,19,0
Borna Barišić,DF,Croatia,29,1992,1.3,82,5,22,42,19,2,82,0,0,,0,,39,161,88,2,3,0,1,0,44,2
Meshaal Barsham,GK,Qatar,24,1998,2.0,69,61,69,0,0,0,69,0,0,,0,,33,162,67,0,0,0,0,0,29,0
Christian Bassogog,MF,Cameroon,26,1995,0.3,14,0,1,2,11,3,14,4,2,50.0,2,50.0,8,108,82,4,0,2,0,0,10,5
Michy Batshuayi,FW,Belgium,28,1993,1.7,42,0,0,25,17,6,42,3,1,33.3,2,66.7,25,103,9,0,0,0,5,4,35,10
Jan Bednarek,DF,Poland,26,1996,0.1,6,0,1,5,0,0,6,0,0,,0,,4,28,4,0,0,0,0,0,3,0
Aziz Behich,DF,Australia,31,1990,4.0,251,16,90,112,53,5,251,14,8,57.1,5,35.7,132,715,329,7,3,2,5,5,141,5
Alireza Beiranvand,GK,IR Iran,29,1992,1.2,33,29,32,1,0,0,33,0,0,,0,,22,149,135,0,0,0,0,0,17,0
Jude Bellingham,MF,England,18,2003,4.6,324,2,44,202,83,15,324,13,6,46.2,7,53.8,217,1011,407,9,8,3,8,6,234,30
Anis Ben Slimane,MF,Tunisia,21,2001,1.6,72,1,11,22,40,5,72,1,0,0.0,1,100.0,36,161,15,0,2,0,8,11,48,11
Jewison Bennette,MF,Costa Rica,17,2004,1.1,30,1,7,9,14,2,30,4,1,25.0,3,75.0,25,242,121,3,3,0,5,1,22,8
Rodrigo Bentancur,MF,Uruguay,24,1997,2.4,195,7,51,126,25,2,195,6,3,50.0,2,33.3,133,671,333,3,5,1,6,3,119,2
Bartosz Bereszyński,DF,Poland,29,1992,3.8,200,18,72,92,38,3,200,7,1,14.3,6,85.7,80,356,137,7,3,3,4,3,88,8
Steven Berghuis,MF,Netherlands,30,1991,2.2,145,0,10,85,51,2,145,4,1,25.0,3,75.0,107,568,219,6,6,0,1,1,111,11
Steven Bergwijn,FW,Netherlands,24,1997,2.4,86,0,5,45,37,5,86,4,1,25.0,2,50.0,58,220,82,2,6,0,4,2,74,23
Krystian Bielik,MF,Poland,24,1998,2.4,130,13,44,77,10,2,130,3,1,33.3,2,66.7,63,331,149,1,1,0,1,3,76,0
Daley Blind,DF,Netherlands,32,1990,4.7,341,6,65,190,87,10,341,2,1,50.0,1,50.0,196,624,289,2,10,0,2,1,231,20
Celso Borges,MF,Costa Rica,34,1988,2.8,144,15,56,84,6,0,144,2,2,100.0,0,0.0,69,263,104,0,0,0,2,0,83,1
Milan Borjan,GK,Canada,34,1987,3.0,105,82,103,1,1,0,105,0,0,,0,,53,313,189,0,0,0,1,0,43,0
Karim Boudiaf,MF,Qatar,31,1990,2.1,121,4,25,90,7,2,121,3,1,33.3,2,66.7,76,369,126,1,1,0,4,2,83,6
Sofiane Boufal,FW,Morocco,28,1993,5.3,200,3,29,95,78,11,200,27,14,51.9,10,37.0,138,942,563,21,18,3,14,5,144,26
Yassine Bounou,GK,Morocco,31,1991,6.3,218,184,216,2,0,0,218,0,0,,0,,122,669,289,0,0,0,0,0,100,0
Martin Braithwaite,"FW,MF",Denmark,31,1991,1.1,24,0,1,10,13,3,24,2,1,50.0,1,50.0,16,63,8,1,0,1,2,1,20,2
Mohammed Al-Breik,DF,Saudi Arabia,29,1992,0.7,56,3,15,22,20,2,56,0,0,,0,,35,180,69,1,1,0,1,0,38,3
Gleison Bremer,DF,Brazil,25,1997,1.2,95,12,56,36,4,1,95,0,0,,0,,71,310,147,0,0,0,1,0,69,0
Dylan Bronn,DF,Tunisia,26,1995,1.8,106,2,41,54,12,1,106,0,0,,0,,47,164,87,0,2,0,0,2,70,1
Marcelo Brozović,MF,Croatia,29,1992,6.1,594,25,138,385,76,3,594,8,3,37.5,3,37.5,386,1948,799,11,14,0,5,8,449,18
Tajon Buchanan,"MF,DF",Canada,23,1999,2.9,130,3,19,42,72,8,130,25,7,28.0,12,48.0,84,829,488,11,10,1,8,7,95,27
Ante Budimir,FW,Croatia,30,1991,0.6,12,1,1,5,6,2,12,0,0,,0,,4,15,10,0,1,0,1,1,5,2
Osman Bukari,MF,Ghana,23,1998,0.7,30,0,1,10,19,4,30,2,0,0.0,2,100.0,18,111,60,2,1,1,1,1,17,7
Ali Al-Bulaihi,DF,Saudi Arabia,32,1989,2.4,110,7,54,55,1,0,110,0,0,,0,,63,489,308,2,1,0,2,0,65,0
Firas Al-Buraikan,"MF,FW",Saudi Arabia,22,2000,3.0,93,7,16,30,49,9,93,7,1,14.3,4,57.1,55,319,138,6,6,0,4,3,63,11
Sergio Busquets,MF,Spain,33,1988,4.0,310,6,46,210,54,1,310,1,1,100.0,0,0.0,152,465,272,5,1,1,2,2,237,12
Martín Cáceres,DF,Uruguay,35,1987,1.0,83,3,21,49,13,0,83,1,1,100.0,0,0.0,56,179,106,0,0,0,1,0,60,1
Moisés Caicedo,MF,Ecuador,20,2001,3.0,174,4,29,122,24,3,174,0,0,,0,,72,352,149,5,1,1,3,1,117,2
Francisco Calvo,DF,Costa Rica,29,1992,2.0,122,8,77,43,3,0,122,2,2,100.0,0,0.0,72,283,197,0,2,0,4,1,76,0
Eduardo Camavinga,DF,France,19,2002,1.6,141,10,42,64,37,1,141,6,1,16.7,2,33.3,78,415,248,3,3,0,3,3,75,4
Joel Campbell,"FW,MF",Costa Rica,29,1992,3.0,176,1,20,117,44,1,176,13,6,46.2,3,23.1,117,503,154,4,9,0,10,8,130,11
João Cancelo,DF,Portugal,28,1994,3.4,315,8,74,144,99,7,315,11,4,36.4,5,45.5,182,885,482,10,7,4,6,1,208,23
Agustín Canobbio,MF,Uruguay,23,1998,0.1,11,1,5,1,5,0,11,0,0,,0,,7,49,33,1,1,0,0,0,6,0
Yannick Carrasco,"FW,DF",Belgium,28,1993,1.3,67,3,16,27,24,5,67,3,1,33.3,2,66.7,42,215,105,5,2,3,2,2,45,11
Cameron Carter-Vickers,DF,United States,24,1997,1.0,64,9,33,30,1,0,64,0,0,,0,,37,224,147,0,0,0,0,0,42,0
Dani Carvajal,DF,Spain,30,1992,1.5,139,3,32,83,25,0,139,0,0,,0,,74,252,98,2,0,0,1,0,91,4
William Carvalho,MF,Portugal,30,1992,2.4,183,5,51,111,22,1,183,0,0,,0,,127,435,204,1,2,0,2,0,147,0
Casemiro,MF,Brazil,30,1992,4.3,303,10,59,174,71,5,303,3,1,33.3,1,33.3,132,510,231,3,6,0,1,4,203,6
Matty Cash,DF,Poland,24,1997,4.0,199,19,58,96,46,1,199,4,1,25.0,1,25.0,90,547,272,9,4,0,3,2,111,6
Timothy Castagne,DF,Belgium,26,1995,3.0,231,11,81,119,31,2,231,2,0,0.0,2,100.0,122,461,200,2,2,1,3,0,164,9
Jean-Charles Castelletto,DF,Cameroon,27,1995,2.0,109,21,59,44,6,2,109,1,1,100.0,0,0.0,58,339,225,3,1,0,1,0,61,0
Lucas Cavallini,FW,Canada,29,1992,0.2,3,0,0,2,1,0,3,0,0,,0,,2,9,0,0,0,0,0,0,3,0
Edinson Cavani,FW,Uruguay,35,1987,1.4,45,0,3,23,19,5,45,1,1,100.0,0,0.0,27,88,39,1,0,0,3,0,34,5
Ghaylène Chaalali,MF,Tunisia,28,1994,0.2,12,2,8,4,0,0,12,0,0,,0,,5,21,5,0,1,0,1,1,2,0
Daniel Chacón,MF,Costa Rica,21,2001,0.0,2,1,2,0,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,0
Ilias Chair,MF,Morocco,24,1997,0.5,18,0,1,12,5,1,18,1,0,0.0,1,100.0,15,94,38,3,0,1,0,1,15,2
Kwon Chang-hoon,"FW,MF",Korea Republic,27,1994,0.6,28,0,1,14,13,3,28,0,0,,0,,21,64,24,0,0,0,1,1,22,6
Luis Chávez,MF,Mexico,26,1996,3.0,171,3,21,96,55,1,171,6,2,33.3,2,33.3,102,635,210,2,3,0,1,2,105,5
Walid Cheddira,FW,Morocco,24,1998,0.7,19,2,2,10,7,5,19,1,0,0.0,1,100.0,8,78,33,1,1,1,3,0,13,4
Roozbeh Cheshmi,"DF,MF",IR Iran,28,1993,0.6,19,4,13,5,1,0,19,0,0,,0,,5,18,0,0,0,0,1,0,4,0
Andreas Christensen,DF,Denmark,26,1996,3.0,280,24,106,173,4,2,280,0,0,,0,,218,950,514,2,1,0,2,1,217,1
Hong Chul,DF,Korea Republic,31,1990,0.5,25,2,7,9,9,0,25,1,0,0.0,1,100.0,17,57,12,0,1,0,0,0,15,4
José Cifuentes,MF,Ecuador,23,1999,0.7,53,1,7,37,9,0,53,0,0,,0,,25,127,65,2,0,0,4,1,40,3
Pathé Ciss,MF,Senegal,28,1994,1.6,77,6,21,49,9,1,77,3,1,33.3,2,66.7,42,212,96,1,0,0,4,1,42,0
Sebastián Coates,DF,Uruguay,31,1990,2.0,107,8,50,53,4,3,107,0,0,,0,,62,279,175,3,1,0,0,2,66,1
Rubin Colwill,MF,Wales,20,2002,0.1,6,1,1,3,2,0,6,0,0,,0,,1,2,0,0,0,0,0,0,3,0
Kingsley Coman,"FW,MF",France,26,1996,1.9,102,3,15,39,53,2,102,11,6,54.5,1,9.1,68,537,303,7,3,1,6,7,69,18
Eray Cömert,DF,Switzerland,24,1998,0.5,50,4,32,20,1,0,50,1,0,0.0,0,0.0,41,278,139,1,1,0,1,0,37,1
Anthony Contreras,"FW,MF",Costa Rica,22,2000,1.4,39,0,4,25,10,2,39,0,0,,0,,17,40,1,0,0,0,3,7,22,2
Andreas Cornelius,FW,Denmark,29,1993,1.0,48,1,3,15,30,11,48,1,1,100.0,0,0.0,24,70,27,1,0,0,4,1,41,13
Ángel Correa,MF,Argentina,27,1995,0.1,6,1,3,1,2,0,6,0,0,,0,,3,16,8,0,0,0,1,0,4,0
Diogo Costa,GK,Portugal,22,1999,5.0,170,156,170,0,0,0,170,0,0,,0,,97,370,198,0,0,0,0,1,87,0
Thibaut Courtois,GK,Belgium,30,1992,3.0,130,122,129,1,0,0,130,1,1,100.0,0,0.0,62,215,110,0,0,0,0,0,66,0
Jason Cummings,FW,Australia,26,1995,0.4,8,0,0,8,1,0,8,1,0,0.0,1,100.0,2,16,3,0,1,0,0,0,4,1
Aymen Dahmen,GK,Tunisia,25,1997,3.0,82,73,82,0,0,0,82,0,0,,0,,45,277,174,0,0,0,0,0,34,0
Diogo Dalot,DF,Portugal,23,1999,2.9,174,8,43,84,48,5,174,3,1,33.3,1,33.3,89,377,193,6,4,4,2,1,104,12
Mikkel Damsgaard,"MF,FW",Denmark,21,2000,1.7,90,1,10,54,26,2,90,2,0,0.0,1,50.0,62,236,99,2,3,0,2,2,62,9
Danilo,DF,Brazil,30,1991,3.1,291,10,70,178,43,1,291,1,1,100.0,0,0.0,174,593,318,5,3,0,2,1,215,16
Achraf Dari,DF,Morocco,23,1999,2.1,139,24,84,51,4,1,139,0,0,,0,,88,389,175,0,1,0,0,1,85,0
Jonathan David,"FW,MF",Canada,22,2000,2.1,85,1,7,45,33,12,85,4,0,0.0,3,75.0,41,252,85,4,2,1,8,2,58,17
Alphonso Davies,"MF,DF",Canada,21,2000,3.0,158,3,12,60,92,8,157,24,11,45.8,10,41.7,86,755,354,11,14,3,11,7,95,20
Ben Davies,DF,Wales,29,1993,2.6,186,14,76,96,14,3,186,3,2,66.7,1,33.3,93,459,312,1,0,0,1,0,103,2
Nasser Al-Dawsari,FW,Saudi Arabia,23,1998,0.1,13,1,3,6,4,0,13,0,0,,0,,9,53,12,0,0,0,0,1,10,1
Salem Al-Dawsari,MF,Saudi Arabia,30,1991,3.0,151,1,20,64,72,14,150,10,2,20.0,6,60.0,107,633,390,8,10,1,13,6,108,20
Giorgian De Arrascaeta,MF,Uruguay,28,1994,1.2,70,0,9,24,37,5,70,1,0,0.0,1,100.0,42,120,62,1,0,0,4,4,45,14
Kevin De Bruyne,"FW,MF",Belgium,30,1991,3.0,167,0,17,75,79,3,167,8,4,50.0,3,37.5,95,576,366,9,9,1,7,4,113,22
Charles De Ketelaere,FW,Belgium,21,2001,0.2,6,0,2,2,2,1,6,0,0,,0,,5,37,28,2,1,0,1,1,5,0
Nicolás De La Cruz,MF,Uruguay,25,1997,0.4,29,0,2,16,12,2,29,1,0,0.0,1,100.0,21,122,55,3,1,2,1,1,23,2
Rodrigo De Paul,MF,Argentina,28,1994,6.7,626,4,81,373,178,12,626,10,1,10.0,4,40.0,445,1901,849,16,14,2,9,7,482,20
Miloš Degenek,DF,Australia,28,1994,2.0,127,15,68,44,16,0,127,2,0,0.0,2,100.0,44,138,45,2,0,0,1,1,57,3
Thomas Delaney,MF,Denmark,30,1991,0.5,31,2,6,19,6,1,31,0,0,,0,,22,60,39,0,0,0,0,0,23,1
Ousmane Dembélé,FW,France,25,1997,4.8,244,2,25,80,144,16,244,23,9,39.1,11,47.8,164,1256,664,23,15,4,8,6,180,45
Leander Dendoncker,"DF,MF",Belgium,27,1995,1.8,144,18,70,67,8,3,144,1,0,0.0,1,100.0,90,339,150,2,1,1,1,1,112,1
Sergiño Dest,DF,United States,21,2000,3.4,253,10,59,118,79,6,253,13,5,38.5,6,46.2,161,1030,616,11,10,2,9,8,179,12
