Player,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Denis Odoi,DF,Ghana,34,1988,1,13,13,4.8,0.1,0,,0,1,13,2,3.00,0,0,0,0.00,+0.70,0.0,0.4,-0.4,-2.64,-2.27
Noah Okafor,"FW,MF",Switzerland,22,2000,3,45,15,12.5,0.5,0,,0,3,15,0,2.00,0,2,-2,-4.00,-3.43,0.4,0.5,-0.1,-0.13,-0.17
Mathías Olivera,DF,Uruguay,24,1997,3,253,84,93.7,2.8,3,84,1,0,,0,1.33,2,1,+1,+0.36,+5.65,3.5,2.5,+1.0,+0.35,+4.73
Dani Olmo,FW,Spain,24,1998,4,367,92,94.1,4.1,4,92,3,0,,0,1.25,9,3,+6,+1.47,+1.47,5.8,3.1,+2.7,+0.67,+0.60
Jonas Omlin,GK,Switzerland,28,1994,0,,,,,0,,0,0,,4,,,,,,,,,,,
Amadou Onana,MF,Belgium,20,2001,2,104,52,38.5,1.2,1,59,0,1,45,0,1.50,0,0,0,0.00,+0.54,1.2,0.7,+0.4,+0.36,+0.49
André Onana,GK,Cameroon,26,1996,1,80,80,29.6,0.9,1,80,0,0,,0,0.00,0,1,-1,-1.13,-1.60,0.7,1.4,-0.7,-0.70,+0.12
Gaël Ondoua,MF,Cameroon,26,1995,2,47,24,17.4,0.5,0,,0,2,24,1,0.50,0,0,0,0.00,0.00,0.1,0.6,-0.6,-1.10,-0.39
Loïs Openda,FW,Belgium,22,2000,1,13,13,4.8,0.1,0,,0,1,13,2,3.00,0,0,0,0.00,+0.35,0.2,0.2,0.0,-0.07,-0.13
Mislav Oršić,FW,Croatia,29,1992,6,162,27,23.5,1.8,1,89,0,5,15,1,1.50,4,2,+2,+1.11,+1.28,1.9,2.1,-0.2,-0.13,+0.50
Jonathan Osorio,"MF,FW",Canada,30,1992,3,119,40,44.1,1.3,1,64,0,2,28,0,0.00,1,4,-3,-2.27,-1.08,1.0,2.4,-1.4,-1.08,-2.13
