Player,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Yuki Soma,"FW,MF",Japan,25,1997,0.9,11,19,57.9,167,77,8,8,100.0,2,3,66.7,1,7,14.3,0,0.0,0.0,0.0,0,1,0,0,1
Yann Sommer,GK,Switzerland,33,1988,3.0,108,118,91.5,2261,1333,29,29,100.0,63,64,98.4,15,24,62.5,0,0.0,0.0,0.0,0,0,0,0,0
Borna Sosa,DF,Croatia,24,1998,4.7,220,278,79.1,3068,1123,143,154,92.9,61,83,73.5,10,23,43.5,0,0.4,0.5,-0.4,2,11,3,2,17
Harry Souttar,DF,Australia,23,1998,4.0,138,167,82.6,2588,1257,54,56,96.4,64,69,92.8,14,35,40.0,0,0.0,0.1,0.0,1,9,0,0,6
Djibril Sow,MF,Switzerland,25,1997,2.9,84,97,86.6,1414,276,34,40,85.0,41,43,95.3,7,8,87.5,1,0.2,0.2,+0.8,3,5,4,0,12
Josip Stanišić,DF,Croatia,22,2000,1.0,36,49,73.5,611,129,20,24,83.3,13,15,86.7,3,5,60.0,0,0.0,0.0,0.0,0,0,0,0,1
Renato Steffen,FW,Switzerland,30,1991,0.4,13,15,86.7,170,43,7,8,87.5,5,5,100.0,0,1,0.0,0,0.0,0.1,0.0,0,1,1,0,3
Raheem Sterling,FW,England,27,1994,1.7,45,55,81.8,644,96,21,23,91.3,21,25,84.0,0,2,0.0,1,0.1,0.1,+0.9,1,2,0,0,6
John Stones,DF,England,28,1994,4.8,435,454,95.8,8447,2913,152,156,97.4,231,235,98.3,48,58,82.8,0,0.1,0.1,-0.1,1,20,0,0,25
Luis Suárez,FW,Uruguay,35,1987,1.6,25,40,62.5,301,97,19,25,76.0,3,6,50.0,1,4,25.0,1,0.1,0.1,+0.9,1,2,1,0,2
Niklas Süle,DF,Germany,26,1995,3.0,231,255,90.6,3990,1348,105,113,92.9,99,108,91.7,21,25,84.0,0,0.0,0.1,0.0,0,26,0,0,29
Kamaldeen Sulemana,FW,Ghana,20,2002,0.6,10,19,52.6,124,31,8,10,80.0,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,1,0,1
Josip Šutalo,DF,Croatia,22,2000,1.0,62,66,93.9,1178,314,22,23,95.7,34,36,94.4,5,6,83.3,0,0.0,0.0,0.0,0,1,0,0,2
Karol Świderski,FW,Poland,25,1997,0.5,7,7,100.0,113,6,3,3,100.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
Wojciech Szczęsny,GK,Poland,32,1990,4.0,84,142,59.2,3118,2632,10,10,100.0,31,31,100.0,43,101,42.6,0,0.0,0.0,0.0,0,7,0,0,0
Damian Szymański,MF,Poland,26,1995,0.3,8,8,100.0,165,29,4,4,100.0,2,2,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,1
Sebastian Szymański,MF,Poland,23,1999,1.5,26,41,63.4,442,138,14,20,70.0,9,12,75.0,2,3,66.7,0,0.0,0.1,0.0,0,3,0,0,4
Dušan Tadić,"MF,FW",Serbia,33,1988,2.9,90,127,70.9,1402,501,50,59,84.7,31,40,77.5,6,17,35.3,2,0.7,1.1,+1.3,10,8,9,2,14
Nicolás Tagliafico,DF,Argentina,29,1992,4.1,146,179,81.6,2006,518,99,110,90.0,40,47,85.1,5,12,41.7,0,0.2,0.2,-0.2,2,6,1,0,8
Montassar Talbi,DF,Tunisia,24,1998,3.0,118,137,86.1,2488,843,29,35,82.9,76,82,92.7,12,18,66.7,0,0.0,0.0,0.0,0,11,2,0,14
Hassan Al Tambakti,DF,Saudi Arabia,23,1999,2.0,40,55,72.7,694,326,17,18,94.4,19,24,79.2,3,9,33.3,0,0.0,0.0,0.0,0,1,0,0,3
Ao Tanaka,MF,Japan,23,1998,1.9,48,69,69.6,846,220,17,26,65.4,24,31,77.4,5,10,50.0,0,0.1,0.4,-0.1,1,2,3,1,8
Shogo Taniguchi,DF,Japan,30,1991,2.3,72,85,84.7,1299,480,40,42,95.2,23,27,85.2,9,14,64.3,0,0.0,0.0,0.0,0,10,0,0,5
Mehdi Taremi,FW,IR Iran,29,1992,3.0,58,78,74.4,956,157,22,29,75.9,26,32,81.3,6,8,75.0,1,0.7,0.1,+0.3,9,8,0,0,9
Kenneth Taylor,MF,Netherlands,20,2002,0.1,8,8,100.0,112,37,6,6,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0
Aurélien Tchouaméni,MF,France,22,2000,6.9,424,474,89.5,7447,1871,183,196,93.4,205,221,92.8,30,42,71.4,0,1.0,0.4,-1.0,6,48,3,0,50
Yeltsin Tejeda,MF,Costa Rica,30,1992,3.0,78,99,78.8,1348,378,39,46,84.8,30,37,81.1,8,12,66.7,1,0.1,0.0,+0.9,1,6,1,0,9
Alex Telles,DF,Brazil,29,1992,0.7,33,42,78.6,507,135,15,17,88.2,15,18,83.3,1,5,20.0,0,0.0,0.0,0.0,0,3,0,0,4
Sorba Thomas,MF,Wales,22,1999,0.0,3,4,75.0,64,24,0,0,,1,1,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,1,1,0
Marcus Thuram,"FW,MF",France,24,1997,1.7,27,40,67.5,366,86,20,25,80.0,4,10,40.0,2,3,66.7,2,0.3,0.1,+1.7,4,1,5,0,6
Youri Tielemans,MF,Belgium,25,1997,1.1,53,64,82.8,901,200,25,28,89.3,23,28,82.1,5,8,62.5,0,0.1,0.1,-0.1,1,6,1,0,6
Jurriën Timber,DF,Netherlands,20,2001,4.3,283,313,90.4,4444,1337,144,151,95.4,116,126,92.1,18,29,62.1,0,0.0,0.1,0.0,0,32,0,0,24
Karl Toko Ekambi,"FW,MF",Cameroon,29,1992,1.8,43,53,81.1,784,115,23,27,85.2,13,13,100.0,7,10,70.0,0,0.3,0.4,-0.3,3,3,0,0,2
Nouhou Tolo,DF,Cameroon,24,1997,3.0,83,109,76.1,1368,510,44,47,93.6,33,44,75.0,6,14,42.9,0,0.0,0.0,0.0,0,5,1,1,10
