Player,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Majid Hosseini,DF,IR Iran,25,1996,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ajdin Hrustic,"MF,FW",Australia,25,1996,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Atiba Hutchinson,MF,Canada,39,1983,1.8,2,1.13,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Pierre Højbjerg,MF,Denmark,26,1995,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Romario Ibarra,MF,Ecuador,27,1994,0.8,1,1.32,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Ivan Ilić,MF,Serbia,21,2001,0.4,2,5.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Hwang In-beom,MF,Korea Republic,25,1996,3.7,6,1.62,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jackson Irvine,"MF,FW",Australia,29,1993,3.9,3,0.76,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ko Itakura,DF,Japan,25,1997,3.0,2,0.67,0,1,0,1,0,0,1,0.33,0,1,0,0,0,0
Hiroki Ito,DF,Japan,23,1999,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Junya Ito,"MF,FW",Japan,29,1993,3.6,10,3.06,4,2,1,1,1,1,2,0.61,2,0,0,0,0,0
Yahya Jabrane,MF,Morocco,30,1991,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nicolas Jackson,FW,Senegal,20,2001,0.2,2,10.59,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lee Jae-sung,"MF,FW",Korea Republic,29,1992,2.3,4,1.71,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alireza Jahanbakhsh,MF,IR Iran,28,1993,0.7,4,6.10,3,0,0,1,0,0,2,3.05,1,0,0,1,0,0
Kristijan Jakić,FW,Croatia,25,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ismail Jakobs,DF,Senegal,22,1999,3.1,6,1.94,4,2,0,0,0,0,1,0.32,0,1,0,0,0,0
Abolfazl Jalali,DF,IR Iran,23,1998,0.2,1,4.74,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Daniel James,"FW,MF",Wales,24,1997,1.7,2,1.17,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Vincent Janssen,FW,Netherlands,27,1994,1.0,3,3.14,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ardon Jashari,FW,Switzerland,19,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Issam Jebali,FW,Tunisia,30,1991,2.0,5,2.47,2,0,0,2,0,1,0,0.00,0,0,0,0,0,0
Artur Jędrzejczyk,DF,Poland,34,1987,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mathias Jensen,MF,Denmark,26,1996,0.9,5,5.36,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
