Player,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Sofiane Boufal,FW,Morocco,28,1993,5.3,11,5,7,4,0,3,6,50.0,3,9,0,9,2,13,1,0
Yassine Bounou,GK,Morocco,31,1991,6.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
Martin Braithwaite,"FW,MF",Denmark,31,1991,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mohammed Al-Breik,DF,Saudi Arabia,29,1992,0.7,1,0,1,0,0,0,0,,0,2,0,2,1,2,4,0
Gleison Bremer,DF,Brazil,25,1997,1.2,1,1,1,0,0,0,1,0.0,1,1,0,1,1,2,6,0
Dylan Bronn,DF,Tunisia,26,1995,1.8,4,2,1,2,1,3,3,100.0,0,2,1,1,0,4,0,0
Marcelo Brozović,MF,Croatia,29,1992,6.1,13,7,8,2,3,3,10,30.0,7,13,7,6,4,17,7,0
Tajon Buchanan,"MF,DF",Canada,23,1999,2.9,1,1,1,0,0,1,5,20.0,4,3,0,3,3,4,0,0
Ante Budimir,FW,Croatia,30,1991,0.6,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
Osman Bukari,MF,Ghana,23,1998,0.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Ali Al-Bulaihi,DF,Saudi Arabia,32,1989,2.4,4,2,2,2,0,2,4,50.0,2,1,1,0,3,7,1,0
Firas Al-Buraikan,"MF,FW",Saudi Arabia,22,2000,3.0,3,3,2,0,1,2,2,100.0,0,5,2,3,2,5,4,0
Sergio Busquets,MF,Spain,33,1988,4.0,7,4,3,3,1,3,5,60.0,2,2,0,2,1,8,1,0
Martín Cáceres,DF,Uruguay,35,1987,1.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,0
Moisés Caicedo,MF,Ecuador,20,2001,3.0,6,5,2,4,0,0,3,0.0,3,4,0,4,2,8,2,1
Francisco Calvo,DF,Costa Rica,29,1992,2.0,7,4,6,1,0,4,7,57.1,3,3,1,2,2,9,2,0
Eduardo Camavinga,DF,France,19,2002,1.6,14,9,7,5,2,4,5,80.0,1,4,0,4,3,17,6,0
Joel Campbell,"FW,MF",Costa Rica,29,1992,3.0,9,5,2,5,2,1,2,50.0,1,3,0,3,0,9,4,0
João Cancelo,DF,Portugal,28,1994,3.4,7,3,1,2,4,4,5,80.0,1,1,1,0,2,9,8,0
Agustín Canobbio,MF,Uruguay,23,1998,0.1,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
Yannick Carrasco,"FW,DF",Belgium,28,1993,1.3,5,4,4,0,1,5,7,71.4,2,2,0,2,1,6,4,0
