Player,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Hong Chul,DF,Korea Republic,31,1990,0.5,20,18,2,0,0,2,2,2,0,0,0,0,17,0,0
José Cifuentes,MF,Ecuador,23,1999,0.7,44,42,2,0,1,0,2,2,0,0,0,0,33,0,2
Pathé Ciss,MF,Senegal,28,1994,1.6,57,57,0,0,1,1,0,0,0,0,0,0,46,0,1
Sebastián Coates,DF,Uruguay,31,1990,2.0,93,90,3,3,0,1,0,0,0,0,0,0,76,0,0
Rubin Colwill,MF,Wales,20,2002,0.1,4,4,0,0,0,1,0,0,0,0,0,0,2,0,0
Kingsley Coman,"FW,MF",France,26,1996,1.9,72,64,8,2,0,0,13,1,5,2,3,0,56,0,1
Eray Cömert,DF,Switzerland,24,1998,0.5,42,41,1,1,0,0,0,0,0,0,0,0,38,0,0
Anthony Contreras,"FW,MF",Costa Rica,22,2000,1.4,26,23,3,0,0,0,1,1,0,0,0,0,15,0,2
Andreas Cornelius,FW,Denmark,29,1993,1.0,34,33,1,0,0,0,1,0,0,0,0,0,21,0,0
Ángel Correa,MF,Argentina,27,1995,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Diogo Costa,GK,Portugal,22,1999,5.0,160,117,41,6,0,0,0,0,0,0,0,0,113,2,1
Thibaut Courtois,GK,Belgium,30,1992,3.0,123,84,39,3,0,0,0,0,0,0,0,0,108,0,0
Jason Cummings,FW,Australia,26,1995,0.4,6,4,2,0,0,0,0,0,0,0,0,0,4,0,1
Aymen Dahmen,GK,Tunisia,25,1997,3.0,77,54,23,5,0,2,0,0,0,0,0,0,48,0,0
Diogo Dalot,DF,Portugal,23,1999,2.9,147,127,19,1,0,2,9,18,0,0,0,0,112,1,2
Mikkel Damsgaard,"MF,FW",Denmark,21,2000,1.7,72,72,0,0,0,1,3,0,0,0,0,0,55,0,0
Danilo,DF,Brazil,30,1991,3.1,269,245,23,2,0,2,8,21,0,0,0,0,230,1,2
Achraf Dari,DF,Morocco,23,1999,2.1,111,107,4,4,0,0,0,0,0,0,0,0,99,0,0
Jonathan David,"FW,MF",Canada,22,2000,2.1,60,53,6,0,0,0,0,0,0,0,0,0,41,1,3
Alphonso Davies,"MF,DF",Canada,21,2000,3.0,114,84,27,5,1,1,10,15,5,3,1,0,82,3,5
Ben Davies,DF,Wales,29,1993,2.6,161,135,25,8,0,5,0,17,0,0,0,0,122,1,7
Nasser Al-Dawsari,FW,Saudi Arabia,23,1998,0.1,11,11,0,0,0,0,1,0,0,0,0,0,11,0,0
Salem Al-Dawsari,MF,Saudi Arabia,30,1991,3.0,111,104,5,3,0,2,3,0,2,1,0,0,86,2,5
Giorgian De Arrascaeta,MF,Uruguay,28,1994,1.2,52,47,5,2,2,0,6,1,2,1,1,0,32,0,4
Kevin De Bruyne,"FW,MF",Belgium,30,1991,3.0,136,118,17,5,4,2,18,5,7,0,6,0,93,1,8
Charles De Ketelaere,FW,Belgium,21,2001,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Nicolás De La Cruz,MF,Uruguay,25,1997,0.4,25,21,3,2,0,0,1,0,1,1,0,0,20,1,1
Rodrigo De Paul,MF,Argentina,28,1994,6.7,562,530,28,17,2,1,12,7,4,1,0,0,470,4,10
Miloš Degenek,DF,Australia,28,1994,2.0,101,71,30,4,0,0,1,26,0,0,0,0,67,0,5
Thomas Delaney,MF,Denmark,30,1991,0.5,29,28,1,1,0,0,1,0,0,0,0,0,24,0,1
Ousmane Dembélé,FW,France,25,1997,4.8,192,190,2,0,1,2,19,2,0,0,0,0,145,0,8
Leander Dendoncker,"DF,MF",Belgium,27,1995,1.8,122,119,3,2,0,0,0,1,0,0,0,0,119,0,0
Sergiño Dest,DF,United States,21,2000,3.4,200,176,24,2,0,1,9,22,0,0,0,0,172,0,5
Ángel Di María,"MF,FW",Argentina,34,1988,3.2,167,151,16,4,0,2,27,2,10,4,2,0,129,0,7
Boulaye Dia,FW,Senegal,25,1996,3.5,53,51,1,0,0,0,1,0,0,0,0,0,39,1,2
Abdou Diallo,DF,Senegal,26,1996,3.7,186,165,20,12,0,4,3,8,0,0,0,0,139,1,1
Rúben Dias,DF,Portugal,25,1997,4.0,274,255,19,16,0,2,0,1,0,0,0,0,248,0,1
Krépin Diatta,"FW,MF",Senegal,23,1999,2.0,73,71,1,0,0,1,4,0,1,0,1,0,60,1,0
Famara Diedhiou,FW,Senegal,29,1992,1.0,14,14,0,0,0,0,0,0,0,0,0,0,10,0,2
Bamba Dieng,FW,Senegal,22,2000,1.1,16,15,1,0,0,0,1,0,0,0,0,0,9,0,1
Eric Dier,DF,England,28,1994,0.4,41,40,1,1,0,0,0,0,0,0,0,0,40,0,0
Axel Disasi,DF,France,24,1998,1.0,78,61,17,1,0,0,2,16,0,0,0,0,61,0,1
Alexander Djiku,"DF,FW",Ghana,27,1994,1.1,28,27,1,1,0,0,0,0,0,0,0,0,22,0,0
Ritsu Doan,FW,Japan,23,1998,2.4,56,48,7,2,0,1,9,0,5,4,0,0,36,1,4
Jeremy Doku,"MF,FW",Belgium,20,2002,0.2,14,14,0,0,0,0,3,0,0,0,0,0,8,0,2
Kasper Dolberg,FW,Denmark,24,1997,1.3,18,15,3,0,0,0,1,0,0,0,0,0,15,0,0
Mohamed Dräger,DF,Tunisia,25,1996,1.5,50,33,17,0,0,0,3,17,0,0,0,0,36,0,4
Óscar Duarte,DF,Costa Rica,33,1989,3.0,98,89,8,4,0,1,0,3,0,0,0,0,68,1,2
Mitchell Duke,FW,Australia,31,1991,3.0,63,60,3,0,0,0,1,0,0,0,0,0,36,0,2
Denzel Dumfries,DF,Netherlands,26,1996,5.3,217,167,50,0,0,0,8,50,0,0,0,0,149,0,8
Paulo Dybala,FW,Argentina,28,1993,0.2,12,12,0,0,0,0,0,0,0,0,0,0,8,0,0
Enzo Ebosse,DF,Cameroon,23,1999,1.0,38,33,5,4,0,0,0,1,0,0,0,0,34,0,1
Ederson,GK,Brazil,28,1993,1.0,31,25,6,0,0,0,0,0,0,0,0,0,28,0,0
Jorge Eduardo Sánchez,DF,Mexico,24,1997,1.9,87,62,25,0,0,0,2,25,0,0,0,0,69,0,2
Nico Elvedi,DF,Switzerland,25,1996,2.0,142,139,3,3,0,0,0,0,0,0,0,0,131,0,3
Breel Embolo,FW,Switzerland,25,1997,3.6,62,54,7,0,0,0,0,0,0,0,0,0,46,1,2
Youssef En-Nesyri,FW,Morocco,25,1997,6.0,81,70,9,0,0,0,0,0,0,0,0,0,50,2,0
Wataru Endo,MF,Japan,29,1993,3.4,192,188,4,3,1,0,2,0,0,0,0,0,155,0,7
Devis Epassy,GK,Cameroon,29,1993,2.0,83,51,32,7,0,1,0,0,0,0,0,0,57,0,0
Christian Eriksen,MF,Denmark,30,1992,3.0,230,196,32,10,0,3,30,2,20,3,9,8,188,2,2
Michael Estrada,FW,Ecuador,26,1996,2.5,50,48,1,0,1,0,0,1,0,0,0,0,28,1,1
Pervis Estupiñán,DF,Ecuador,24,1998,3.0,190,145,44,12,0,0,19,29,3,0,3,0,148,1,4
Stephen Eustáquio,MF,Canada,25,1996,1.4,93,89,4,3,0,1,1,0,1,0,0,0,83,0,0
Saeid Ezatolahi,MF,IR Iran,25,1996,2.4,88,83,5,5,0,1,4,0,0,0,0,0,66,0,1
Abde Ezzalzouli,"FW,MF",Morocco,20,2001,1.0,13,12,1,0,0,0,1,1,0,0,0,0,10,0,0
Fabinho,MF,Brazil,28,1993,1.0,57,54,3,3,0,0,0,0,0,0,0,0,51,0,1
Collins Fai,DF,Cameroon,29,1992,3.0,146,118,28,4,1,1,13,24,0,0,0,0,99,0,4
Salman Al-Faraj,MF,Saudi Arabia,32,1989,0.5,16,13,3,1,0,0,1,1,1,0,0,0,12,0,2
Christian Fassnacht,FW,Switzerland,28,1993,0.1,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0
Abdul Fatawu Issahaku,FW,Ghana,18,2004,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Ansu Fati,FW,Spain,19,2002,0.5,29,28,1,0,0,0,1,0,1,0,0,0,25,0,1
João Félix,FW,Portugal,22,1999,3.7,122,119,2,0,1,0,4,2,0,0,0,0,91,1,3
Bruno Fernandes,"FW,MF",Portugal,27,1994,4.0,233,200,33,11,3,17,26,6,16,2,9,0,188,0,7
Edimilson Fernandes,"FW,DF",Switzerland,26,1996,1.6,82,68,14,1,0,0,5,13,0,0,0,0,65,0,2
Enzo Fernández,MF,Argentina,21,2001,6.3,471,459,12,11,3,2,2,1,0,0,0,0,412,0,6
Jesús Ferreira,FW,United States,21,2000,0.5,19,18,1,0,0,0,0,0,0,0,0,0,16,0,1
Phil Foden,"FW,MF",England,22,2000,2.9,117,103,14,0,0,3,14,1,13,7,4,1,90,0,2
Youssouf Fofana,MF,France,23,1999,2.5,112,110,2,2,0,0,0,0,0,0,0,0,96,0,2
Juan Foyth,DF,Argentina,24,1998,0.1,4,3,1,0,0,0,0,1,0,0,0,0,3,0,0
Alan Franco,MF,Ecuador,23,1998,0.5,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0
Przemysław Frankowski,MF,Poland,27,1995,2.7,74,71,3,0,1,0,8,1,2,1,1,0,49,0,8
Fred,MF,Brazil,29,1993,1.6,83,80,3,2,0,0,0,1,0,0,0,0,71,0,1
