Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Thomas Foket,BEL,DF,Anderlecht,30-038,1994,1.2,2,0,1,1,0,1,1,100.0,0,1,0,1,2,4,3,0
Núrio Fortuna,ANG,"MF,DF",Gent,29-223,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Marlon Fossey,USA,DF,Standard Liège,26-054,1998,10.1,12,8,4,6,2,4,6,66.7,2,10,3,7,12,24,32,0
Iver Fossum,NOR,MF,Kortrijk,28-110,1996,2.2,9,5,3,4,2,6,10,60.0,4,4,0,4,1,10,2,0
Daam Foulon,BEL,"DF,MF",Mechelen,25-224,1999,10.4,19,10,10,5,4,13,25,52.0,12,6,2,4,6,25,23,0
Guillaume François,BEL,"FW,DF",Union SG,34-152,1990,1.2,2,0,0,2,0,1,1,100.0,0,0,0,0,3,5,2,0
Matija Frigan,CRO,FW,Westerlo,21-265,2003,7.1,2,1,0,0,2,0,1,0.0,1,1,1,0,1,3,4,0
Haruya Fujii,JPN,DF,Kortrijk,23-312,2000,9.2,14,7,10,4,0,6,11,54.5,5,10,5,5,8,22,43,0
Joel Fujita,JPN,MF,Sint-Truiden,22-260,2002,9.7,17,9,10,6,1,4,17,23.5,13,14,2,12,14,31,17,1
Mohammed Fuseini,GHA,FW,Union SG,22-170,2002,9.0,5,4,3,1,1,1,8,12.5,7,5,0,5,5,10,1,0
Hugo Gambor,CTA,DF,Gent,21-308,2002,5.9,16,9,9,6,1,7,8,87.5,1,9,1,8,16,32,6,0
Omri Gandelman,ISR,MF,Gent,24-170,2000,7.2,16,10,5,6,5,7,13,53.8,6,7,2,5,4,20,7,1
Wouter George,BEL,DF,OH Leuven,22-244,2002,0.1,2,0,0,2,0,1,3,33.3,2,1,0,1,0,2,0,0
Pieter Gerkens,BEL,MF,Gent,29-081,1995,4.2,7,6,2,3,2,3,9,33.3,6,7,2,5,6,13,10,0
Faisal Al Ghamdi,KSA,MF,Beerschot,23-081,2001,3.7,9,7,6,2,1,4,7,57.1,3,2,1,1,2,11,7,0
Óscar Gil,ESP,DF,OH Leuven,27-190,1997,4.9,10,4,7,3,0,4,9,44.4,5,9,1,8,5,15,14,0
Bruno Godeau,BEL,DF,Sint-Truiden,32-176,1992,11.8,19,16,14,4,1,14,20,70.0,6,19,13,6,14,33,77,0
Bryan Goncalves,FRA,DF,Dender,28-106,1996,3.4,5,2,4,1,0,4,8,50.0,4,4,3,1,4,9,21,0
Parfait Guiagon,CIV,FW,Charleroi,23-254,2001,8.8,14,12,1,9,4,4,9,44.4,5,6,0,6,1,15,3,0
Muhammed Gümüskaya,TUR,FW,Westerlo,23-306,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Patrik Gunnarsson,ISL,GK,Kortrijk,23-353,2000,10.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,4,1
Andri Guðjohnsen,ISL,FW,Gent,22-278,2002,6.7,6,5,0,4,2,1,2,50.0,1,4,0,4,0,6,2,0
Anouar Ait El Hadj,BEL,MF,Union SG,22-196,2002,4.9,13,9,3,7,3,6,15,40.0,9,7,0,7,2,15,0,0
Geoffry Hairemans,BEL,"MF,FW",Mechelen,33-012,1991,2.6,4,2,0,2,2,1,5,20.0,4,6,1,5,2,6,3,0
Dogucan Haspolat,TUR,MF,Westerlo,24-265,2000,12.0,38,25,10,25,3,14,30,46.7,16,20,6,14,27,65,29,0
Ibe Hautekiet,BEL,DF,Standard Liège,22-203,2002,9.3,16,12,8,6,2,6,12,50.0,6,11,5,6,17,33,29,0
Ewan Henderson,SCO,MF,Beerschot,24-220,2000,6.1,7,5,1,3,3,4,7,57.1,3,8,3,5,3,10,8,0
Lennard Hens,BEL,MF,Dender,28-268,1996,6.8,18,11,2,11,5,8,24,33.3,16,14,2,12,11,29,5,0
Daan Heymans,BEL,MF,Charleroi,25-140,1999,11.5,20,14,3,13,4,4,9,44.4,5,8,1,7,5,25,8,0
Bryan Heynen,BEL,MF,Genk,27-270,1997,8.1,15,11,7,7,1,5,14,35.7,9,12,5,7,11,26,20,0
David Hrnčár,SVK,"DF,MF",Dender,26-328,1997,7.5,12,6,8,4,0,7,13,53.8,6,5,1,4,10,22,19,0
