Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Francesco Acerbi,ITA,DF,Inter,Serie A,36-269,1988,6.3,6,4,5,1,0,2,3,66.7,1,6,6,0,11,17,24,0
Akor Adams,NGA,FW,Montpellier,Ligue 1,24-281,2000,8.8,1,1,0,1,0,0,1,0.0,1,2,1,1,1,2,3,1
Che Adams,SCO,FW,Torino,Serie A,28-115,1996,7.5,5,3,1,2,2,0,1,0.0,1,5,3,2,0,5,2,0
Tyler Adams,USA,MF,Bournemouth,Premier League,25-265,1999,0.4,1,0,1,0,0,1,1,100.0,0,2,1,1,1,2,1,0
Junior Adamu,AUT,FW,Freiburg,Bundesliga,23-152,2001,7.8,1,0,0,0,1,0,3,0.0,3,6,0,6,5,6,8,0
Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,27-042,1997,1.9,2,2,2,0,0,1,1,100.0,0,2,2,0,1,3,8,0
Martin Adeline,FRA,MF,Reims,Ligue 1,20-339,2003,0.3,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,22-292,2002,3.4,7,5,3,1,3,2,2,100.0,0,6,0,6,1,8,0,0
Simon Adingra,CIV,"FW,MF",Brighton,Premier League,22-309,2002,1.6,4,2,2,2,0,3,5,60.0,2,3,0,3,2,6,0,0
Amine Adli,MAR,MF,Leverkusen,Bundesliga,24-179,2000,2.3,7,4,1,1,5,3,5,60.0,2,3,0,3,0,7,3,0
Yacine Adli,FRA,MF,Fiorentina,Serie A,24-099,2000,3.6,9,5,3,4,2,4,9,44.4,5,4,0,4,2,11,9,0
Adryelson,BRA,DF,Lyon,Ligue 1,26-227,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Vasilije Adžić,MNE,MF,Juventus,Serie A,18-177,2006,0.2,2,2,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0
Michel Aebischer,SUI,MF,Bologna,Serie A,27-304,1997,4.2,7,4,1,4,2,4,8,50.0,4,3,1,2,5,12,2,0
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26-267,1998,5.9,9,5,2,3,4,4,8,50.0,4,5,0,5,4,13,4,0
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27-141,1997,10.0,22,15,17,3,2,16,20,80.0,4,19,12,7,9,31,44,1
Asher Agbinone,ENG,MF,Crystal Palace,Premier League,19-038,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23-315,2000,8.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Lucien Agoume,FRA,MF,Sevilla,La Liga,22-270,2002,6.7,17,5,8,7,2,8,11,72.7,3,14,6,8,8,25,9,0
Felix Agu,GER,DF,Werder Bremen,Bundesliga,25-039,1999,7.9,8,4,5,2,1,4,9,44.4,5,6,2,4,6,14,22,0
Álvaro Aguado,ESP,MF,Espanyol,La Liga,28-188,1996,3.2,4,2,2,2,0,2,5,40.0,3,5,0,5,2,6,5,1
Nayef Aguerd,MAR,DF,Real Sociedad,La Liga,28-220,1996,7.7,11,8,6,5,0,4,7,57.1,3,6,2,4,6,17,30,0
Ruben Aguilar,FRA,DF,Lens,Ligue 1,31-193,1993,3.0,9,6,5,4,0,7,9,77.8,2,5,1,4,5,14,2,0
Honest Ahanor,ITA,DF,Genoa,Serie A,16-256,2008,0.9,2,1,0,2,0,2,4,50.0,2,0,0,0,0,2,2,0
Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30-230,1994,7.8,21,15,11,6,4,10,20,50.0,10,11,6,5,13,34,7,0
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,29-037,1995,0.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,Ligue 1,19-133,2005,1.0,3,3,1,2,0,1,1,100.0,0,1,0,1,1,4,0,0
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,28-028,1996,9.6,20,14,14,5,1,13,20,65.0,7,10,4,6,13,33,28,1
Rayan Aït-Nouri,ALG,DF,Wolves,Premier League,23-152,2001,9.3,18,9,15,2,1,9,16,56.3,7,10,2,8,11,29,21,1
Kristoffer Ajer,NOR,DF,Brentford,Premier League,26-202,1998,7.1,6,5,5,1,0,2,8,25.0,6,8,1,7,6,12,19,0
Ludovic Ajorque,FRA,FW,Brest,Ligue 1,30-254,1994,7.8,9,6,1,4,4,4,8,50.0,4,3,1,2,2,11,5,0
Manuel Akanji,SUI,DF,Manchester City,Premier League,29-109,1995,8.7,7,5,3,2,2,4,7,57.1,3,5,3,2,4,11,24,0
Ümit Akdag,ROU,DF,Toulouse,Ligue 1,21-030,2003,1.6,3,2,1,2,0,3,5,60.0,2,2,2,0,6,9,4,0
Nathan Aké,NED,DF,Manchester City,Premier League,29-261,1995,0.8,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,1,1
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,20-203,2004,6.0,12,7,4,4,4,6,11,54.5,5,8,0,8,3,15,12,0
Sergio Akieme,ESP,DF,Reims,Ligue 1,26-325,1997,6.9,8,7,7,1,0,5,8,62.5,3,9,4,5,4,12,19,1
Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,22-254,2002,6.4,11,7,7,3,1,4,12,33.3,8,3,0,3,3,14,2,0
Clément Akpa,CIV,DF,Auxerre,Ligue 1,22-347,2001,7.0,13,8,7,2,4,8,13,61.5,5,14,4,10,10,23,31,1
David Akpan Ankeye,NGA,"FW,MF",Genoa,Serie A,22-265,2002,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,29-200,1995,8.0,10,3,8,1,1,4,11,36.4,7,22,16,6,4,14,37,0
Andreas Albers,DEN,FW,St. Pauli,Bundesliga,34-227,1990,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Raúl Albiol,ESP,DF,Villarreal,La Liga,39-062,1985,7.2,3,3,2,1,0,2,4,50.0,2,8,8,0,4,7,47,1
Carlos Alcaraz,ARG,MF,Southampton,Premier League,21-341,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Omar Alderete,PAR,DF,Getafe,La Liga,27-315,1996,11.0,17,10,12,4,1,9,11,81.8,2,12,7,5,11,28,57,1
Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,26-305,1998,3.4,6,3,2,3,1,4,8,50.0,4,7,1,6,0,6,2,0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,26-029,1998,9.4,30,23,19,8,3,20,32,62.5,12,8,3,5,8,38,12,0
Alfon,ESP,"FW,MF",Celta Vigo,La Liga,25-185,1999,2.4,2,0,0,2,0,0,2,0.0,2,2,0,2,2,4,1,0
Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,20-291,2004,6.3,4,3,0,1,3,0,3,0.0,3,3,0,3,1,5,2,0
Faride Alidou,GER,"FW,MF",Hellas Verona,Serie A,23-110,2001,0.8,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,1
Alisson,BRA,GK,Liverpool,Premier League,32-034,1992,5.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Tadeo Allende,ARG,FW,Celta Vigo,La Liga,25-259,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jim Allevinah,GAB,FW,Angers,Ligue 1,29-252,1995,5.0,5,3,3,0,2,1,7,14.3,6,2,0,2,3,8,7,0
Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,24-159,2000,5.0,13,7,5,5,3,5,8,62.5,3,6,1,5,3,16,2,0
Iker Almena,ESP,"FW,DF",Girona,La Liga,20-185,2004,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,30-269,1994,1.2,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Pontus Almqvist,SWE,"FW,MF",Parma,Serie A,25-118,1999,3.6,7,5,4,2,1,3,5,60.0,2,3,0,3,6,13,1,0
Marcos Alonso,ESP,"DF,MF",Celta Vigo,La Liga,33-313,1990,7.1,11,7,7,2,2,8,11,72.7,3,4,2,2,7,18,30,1
Giorgio Altare,ITA,DF,Venezia,Serie A,26-088,1998,3.8,5,4,4,1,0,1,7,14.3,6,5,3,2,8,13,18,0
Adrià Altimira,ESP,"DF,FW",Leganés,La Liga,23-222,2001,4.8,11,5,4,5,2,7,13,53.8,6,5,2,3,7,18,9,1
Sergi Altimira,ESP,MF,Betis,La Liga,23-072,2001,6.2,13,7,4,7,2,7,13,53.8,6,7,1,6,3,16,9,0
Edson Álvarez,MEX,"MF,DF",West Ham,Premier League,27-012,1997,4.5,11,7,7,3,1,6,7,85.7,1,7,2,5,8,19,8,0
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,21-126,2003,9.7,14,5,8,5,1,6,10,60.0,4,9,1,8,6,20,18,1
Julián Álvarez,ARG,"FW,MF",Atlético Madrid,La Liga,24-279,2000,7.8,3,1,1,0,2,1,5,20.0,4,7,0,7,0,3,3,0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,29-286,1995,5.0,7,5,4,2,1,3,5,60.0,2,3,1,2,12,19,18,1
Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,22-185,2002,1.1,3,3,3,0,0,1,1,100.0,0,4,0,4,2,5,5,0
Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,27-356,1996,7.4,12,7,4,7,1,0,6,0.0,6,12,0,12,7,19,2,1
Amath,SEN,"FW,DF",Valladolid,La Liga,28-112,1996,3.3,1,0,1,0,0,1,5,20.0,4,5,1,4,2,3,2,0
Jordan Amavi,FRA,DF,Brest,Ligue 1,30-241,1994,6.3,21,15,9,9,3,13,19,68.4,6,7,2,5,7,28,11,0
Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,21-097,2003,0.8,0,0,0,0,0,0,0,,0,2,2,0,1,1,4,0
Kelvin Amian,FRA,DF,Nantes,Ligue 1,26-271,1998,6.4,22,12,20,2,0,12,14,85.7,2,6,2,4,1,23,13,0
Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,28-268,1996,8.7,22,15,13,6,3,14,22,63.6,8,4,3,1,8,30,22,0
Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,28-009,1996,7.1,8,1,3,5,0,1,14,7.1,13,6,2,4,5,13,13,0
Samuel Amo-Ameyaw,ENG,DF,Southampton,Premier League,18-110,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mathis Amougou,FRA,MF,Saint-Étienne,Ligue 1,18-292,2006,7.0,11,6,7,4,0,4,9,44.4,5,4,0,4,11,22,2,0
Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,24-180,2000,6.4,5,3,1,0,4,2,4,50.0,2,7,0,7,2,7,2,0
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,28-076,1996,2.0,3,2,1,2,0,2,2,100.0,0,1,1,0,0,3,2,0
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,28-158,1996,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,7,0
Joachim Andersen,DEN,DF,Fulham,Premier League,28-158,1996,5.7,5,3,5,0,0,3,6,50.0,3,6,4,2,10,15,37,0
Elliot Anderson,ENG,"MF,FW",Nott'ham Forest,Premier League,21-365,2002,6.6,18,14,9,5,4,10,18,55.6,8,18,4,14,4,22,13,1
André,BRA,MF,Wolves,Premier League,23-112,2001,4.0,10,5,6,2,2,7,8,87.5,1,12,3,9,2,12,6,0
Benjamin André,FRA,MF,Lille,Ligue 1,34-094,1990,7.9,25,10,11,12,2,16,26,61.5,10,10,1,9,10,35,15,0
Marcos André,BRA,FW,Valladolid,La Liga,28-016,1996,2.9,0,0,0,0,0,0,3,0.0,3,3,1,2,1,1,2,0
Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,30-044,1994,6.5,13,7,5,8,0,4,8,50.0,4,4,1,3,8,21,9,0
Angeliño,ESP,DF,Roma,Serie A,27-306,1997,10.0,17,6,6,9,2,5,8,62.5,3,8,3,5,9,26,28,0
Lorenzo Anghelè,ITA,FW,Juventus,Serie A,19-253,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Faustino Anjorin,ENG,MF,Empoli,Serie A,22-348,2001,4.8,13,5,3,8,2,1,7,14.3,6,7,1,6,4,17,9,0
Waldemar Anton,GER,DF,Dortmund,Bundesliga,28-108,1996,7.5,12,9,7,4,1,4,6,66.7,2,12,8,4,7,19,26,1
Michail Antonio,JAM,FW,West Ham,Premier League,34-222,1990,6.7,0,0,0,0,0,0,1,0.0,1,4,0,4,0,0,1,0
Antoniu,ESP,"MF,DF",Espanyol,La Liga,22-061,2002,0.7,3,0,1,1,1,1,1,100.0,0,0,0,0,1,4,2,1
Antony,BRA,FW,Manchester Utd,Premier League,24-255,2000,0.3,2,0,2,0,0,1,3,33.3,2,1,0,1,1,3,0,0
Anuar,MAR,"FW,MF",Valladolid,La Liga,29-295,1995,2.8,4,3,2,2,0,0,2,0.0,2,4,1,3,3,7,3,0
Dennis Appiah,FRA,DF,Saint-Étienne,Ligue 1,32-149,1992,7.2,18,16,10,8,0,12,25,48.0,13,9,4,5,6,24,21,0
Aritz Arambarri,ESP,DF,Leganés,La Liga,26-279,1998,2.0,1,1,1,0,0,1,1,100.0,0,2,2,0,3,4,8,0
Mauro Arambarri,URU,MF,Getafe,La Liga,29-036,1995,8.2,9,4,1,6,2,4,9,44.4,5,7,1,6,3,12,12,0
Jon Aramburu,VEN,DF,Real Sociedad,La Liga,22-105,2002,7.7,33,25,18,10,5,22,30,73.3,8,14,3,11,5,38,30,0
Julian Araujo,MEX,DF,Bournemouth,Premier League,23-084,2001,3.9,7,3,3,4,0,4,10,40.0,6,3,0,3,4,11,12,0
Cameron Archer,ENG,FW,Southampton,Premier League,23-107,2001,5.8,6,4,3,1,2,1,3,33.3,2,4,1,3,1,7,1,0
Carlens Arcus,HAI,DF,Angers,Ligue 1,28-130,1996,8.2,20,11,12,7,1,12,23,52.2,11,12,2,10,16,36,19,1
Alphonse Areola,FRA,GK,West Ham,Premier League,31-252,1993,7.5,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,5,0
Adu Ares,ESP,FW,Athletic Club,La Liga,23-024,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Jesús Areso,ESP,DF,Osasuna,La Liga,25-126,1999,10.8,15,13,10,3,2,12,20,60.0,8,11,2,9,4,19,30,0
David Argüelles,ESP,MF,Getafe,La Liga,22-309,2002,0.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
Joe Aribo,NGA,MF,Southampton,Premier League,28-107,1996,5.9,8,5,2,3,3,2,4,50.0,2,5,3,2,6,14,9,1
Adam Armstrong,ENG,"FW,MF",Southampton,Premier League,27-269,1997,4.1,3,1,1,1,1,1,5,20.0,4,1,0,1,2,5,1,0
Harrison Armstrong,ENG,MF,Everton,Premier League,17-291,2007,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
José Arnaiz,ESP,FW,Osasuna,La Liga,29-204,1995,0.2,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Hákon Arnar Haraldsson,ISL,MF,Lille,Ligue 1,21-209,2003,1.9,5,2,2,2,1,3,7,42.9,4,0,0,0,1,6,0,0
Marko Arnautović,AUT,FW,Inter,Serie A,35-200,1989,0.4,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,1,0
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,30-162,1994,7.4,12,8,3,7,2,5,11,45.5,6,6,4,2,6,18,17,0
Jann-Fiete Arp,GER,FW,Holstein Kiel,Bundesliga,24-304,2000,3.1,5,4,3,1,1,1,5,20.0,4,2,0,2,0,5,0,0
Kepa Arrizabalaga,ESP,GK,Bournemouth,Premier League,30-033,1994,5.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,2
Arthur,BRA,DF,Leverkusen,Bundesliga,21-233,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Takuma Asano,JPN,FW,Mallorca,La Liga,29-361,1994,3.5,5,3,1,3,1,2,3,66.7,1,3,0,3,2,7,4,0
Marco Asensio,ESP,"FW,MF",Paris S-G,Ligue 1,28-289,1996,4.6,1,1,0,1,0,0,4,0.0,4,1,0,1,0,1,0,0
Kristjan Asllani,ALB,MF,Inter,Serie A,22-241,2002,1.6,4,0,3,1,0,2,6,33.3,4,3,1,2,1,5,3,0
Iago Aspas,ESP,"FW,MF",Celta Vigo,La Liga,37-096,1987,9.0,8,3,3,3,2,6,13,46.2,7,9,1,8,3,11,4,0
Yaser Asprilla,COL,"FW,MF",Girona,La Liga,20-352,2003,3.8,8,4,4,3,1,3,7,42.9,4,0,0,0,3,11,4,0
Lorenz Assignon,TOG,"DF,MF",Rennes,Ligue 1,24-136,2000,5.1,7,4,3,4,0,4,10,40.0,6,6,3,3,7,14,23,0
Dehmaine Assoumani,FRA,"MF,FW",Nantes,Ligue 1,19-202,2005,0.4,4,1,0,2,2,2,2,100.0,0,0,0,0,0,4,1,0
Valentin Atangana Edoa,FRA,MF,Reims,Ligue 1,19-072,2005,9.5,19,14,9,9,1,8,11,72.7,3,7,3,4,14,33,16,0
Arthur Atta,FRA,MF,Udinese,Serie A,21-296,2003,0.3,2,2,0,1,1,0,0,,0,0,0,0,0,2,0,0
Noah Atubolu,GER,GK,Freiburg,Bundesliga,22-164,2002,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,2
Emil Audero,ITA,GK,Como,Serie A,27-292,1997,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,1
Tommaso Augello,ITA,DF,Cagliari,Serie A,30-067,1994,8.2,15,8,7,5,3,10,12,83.3,2,10,4,6,8,23,36,0
Carlos Augusto,BRA,DF,Inter,Serie A,25-303,1999,2.1,3,2,2,1,0,2,4,50.0,2,1,1,0,1,4,6,0
Yann Aurel Bisseck,GER,DF,Inter,Serie A,23-342,2000,4.3,4,3,4,0,0,2,3,66.7,1,3,1,2,3,7,15,1
Ezequiel Ávila,ARG,FW,Betis,La Liga,30-273,1994,4.2,4,2,1,1,2,1,3,33.3,2,4,0,4,1,5,3,0
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,27-085,1997,1.2,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,2,0
Yasin Ayari,SWE,MF,Brighton,Premier League,21-030,2003,5.0,20,10,3,12,5,7,14,50.0,7,5,1,4,6,26,6,0
Florian Ayé,FRA,FW,Auxerre,Ligue 1,27-291,1997,3.3,1,1,0,0,1,0,1,0.0,1,3,0,3,3,4,5,0
André Ayew,GHA,FW,Le Havre,Ligue 1,34-324,1989,2.3,1,1,0,0,1,1,2,50.0,1,1,0,1,1,2,4,0
Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,33-055,1991,0.2,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Jordan Ayew,GHA,"FW,MF",Leicester City,Premier League,33-055,1991,4.6,9,4,3,5,1,2,5,40.0,3,4,0,4,3,12,1,0
Neil El Aynaoui,FRA,MF,Lens,Ligue 1,23-126,2001,0.5,1,1,0,1,0,0,2,0.0,2,2,2,0,1,2,1,0
Ayman Azhil,MAR,MF,Dortmund,Bundesliga,23-209,2001,0.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Adam Aznou,MAR,DF,Bayern Munich,Bundesliga,18-156,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
César Azpilicueta,ESP,DF,Atlético Madrid,La Liga,35-069,1989,4.3,8,3,4,4,0,8,12,66.7,4,2,1,1,1,9,11,0
Paulo Azzi,BRA,DF,Cagliari,Serie A,30-113,1994,4.7,11,9,3,6,2,5,9,55.6,4,5,2,3,5,16,11,0
Papa Ba,ESP,MF,Girona,La Liga,20-054,2004,0.5,1,1,1,0,0,0,0,,0,1,0,1,0,1,1,0
Shavy Babicka,GAB,"MF,FW",Toulouse,Ligue 1,24-157,2000,4.2,8,7,3,3,2,4,5,80.0,1,8,0,8,0,8,1,1
Aliou Badara Baldé,GUI,"MF,FW",Bochum,Bundesliga,21-329,2002,1.0,1,1,1,0,0,0,0,,0,2,0,2,0,1,0,0
Loïc Bade,FRA,DF,Sevilla,La Liga,24-208,2000,8.2,19,11,16,3,0,8,10,80.0,2,6,3,3,9,28,45,1
Milan Badelj,CRO,MF,Genoa,Serie A,35-254,1989,6.5,9,4,5,4,0,5,12,41.7,7,8,3,5,7,16,11,0
Benoît Badiashile,FRA,DF,Chelsea,Premier League,23-224,2001,0.4,1,1,0,1,0,0,0,,0,0,0,0,1,2,2,0
Alex Baena,ESP,"MF,FW",Villarreal,La Liga,23-108,2001,8.2,4,3,1,2,1,1,8,12.5,7,11,1,10,7,11,6,1
Leon Bailey,JAM,"FW,MF",Aston Villa,Premier League,27-088,1997,4.9,2,0,0,1,1,0,1,0.0,1,2,0,2,1,3,6,0
Eric Bailly,CIV,DF,Villarreal,La Liga,30-207,1994,5.9,9,2,5,4,0,2,3,66.7,1,11,6,5,6,15,24,0
Theo Bair,CAN,FW,Auxerre,Ligue 1,25-070,1999,3.5,2,1,0,1,1,0,0,,0,4,1,3,0,2,3,0
Cédric Bakambu,COD,FW,Betis,La Liga,33-208,1991,2.4,1,0,0,1,0,0,1,0.0,1,3,0,3,0,1,1,0
Mitchel Bakker,NED,MF,Atalanta,Serie A,24-138,2000,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Mitchel Bakker,NED,"DF,FW",Lille,Ligue 1,24-138,2000,1.3,6,5,1,2,3,2,2,100.0,0,0,0,0,6,12,3,0
Ridle Baku,GER,"FW,MF",Wolfsburg,Bundesliga,26-211,1998,7.0,9,5,2,4,3,3,10,30.0,7,14,1,13,8,17,7,0
Dilane Bakwa,FRA,"DF,FW",Strasbourg,Ligue 1,22-071,2002,9.6,10,6,6,1,3,4,7,57.1,3,10,0,10,4,14,11,0
Tommaso Baldanzi,ITA,"MF,DF",Roma,Serie A,21-227,2003,3.5,5,1,3,1,1,0,3,0.0,3,2,0,2,4,9,2,0
Alejandro Balde,ESP,DF,Barcelona,La Liga,21-018,2003,9.1,5,4,2,2,1,3,4,75.0,1,4,2,2,4,9,10,0
Carlos Baleba,CMR,MF,Brighton,Premier League,20-307,2004,6.4,19,10,2,11,6,11,18,61.1,7,10,3,7,14,33,2,0
Leonardo Balerdi,ARG,DF,Marseille,Ligue 1,25-284,1999,6.0,12,9,9,2,1,7,12,58.3,5,11,8,3,8,20,13,2
Iván Balliu,ALB,DF,Rayo Vallecano,La Liga,32-309,1992,6.6,10,8,2,5,3,3,10,30.0,7,4,1,3,6,16,18,0
Botond Balogh,HUN,DF,Parma,Serie A,22-152,2002,10.4,18,7,13,5,0,10,12,83.3,2,20,15,5,11,29,62,1
Folarin Balogun,USA,FW,Monaco,Ligue 1,23-125,2001,4.5,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
Mario Balotelli,ITA,FW,Genoa,Serie A,34-085,1990,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,34-194,1990,2.8,5,2,4,1,0,2,3,66.7,1,2,2,0,5,10,12,0
Jonathan Bamba,CIV,FW,Celta Vigo,La Liga,28-224,1996,5.3,7,3,1,4,2,3,8,37.5,5,5,0,5,4,11,4,0
Mohamed Bamba,CIV,MF,Reims,Ligue 1,20-028,2004,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Samuel Bamba,GER,"FW,MF",Bochum,Bundesliga,20-266,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lameck Banda,ZAM,"FW,MF",Lecce,Serie A,23-281,2001,5.3,5,4,4,1,0,3,10,30.0,7,6,0,6,1,6,6,0
Daniel Bandeira,POR,MF,Hellas Verona,Serie A,24-208,2000,3.3,4,0,1,3,0,3,5,60.0,2,2,1,1,6,10,8,0
Mattia Bani,ITA,DF,Genoa,Serie A,30-331,1993,4.0,2,1,2,0,0,1,1,100.0,0,3,2,1,8,10,12,0
Scott Banks,SCO,"FW,MF",St. Pauli,Bundesliga,23-040,2001,0.6,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,2,0
Antonín Barák,CZE,MF,Fiorentina,Serie A,29-338,1994,0.6,2,0,0,2,0,0,2,0.0,2,1,1,0,0,2,0,0
