Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Jonas Svensson,NOR,DF,Beşiktaş,31-225,1993,1.7,3,1,2,1,0,3,3,100.0,0,2,1,1,4,7,6,0
Mile Svilar,SRB,GK,Roma,25-051,1999,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ross Sykes,ENG,DF,Union SG,25-205,1999,0.9,1,0,1,0,0,1,1,100.0,0,0,0,0,3,4,0,0
Gábor Szalai,HUN,DF,Ferencváros,24-130,2000,1.0,3,2,3,0,0,3,3,100.0,0,0,0,0,0,3,5,0
Sebastian Szymański,POL,MF,Fenerbahçe,25-160,1999,2.0,1,1,1,0,0,0,4,0.0,4,2,1,1,2,3,1,0
Haris Tabakovic,BIH,FW,Hoffenheim,30-119,1994,0.7,2,2,0,2,0,1,1,100.0,0,0,0,0,0,2,5,0
Dušan Tadić,SRB,FW,Fenerbahçe,35-332,1988,1.2,1,0,1,0,0,1,2,50.0,1,2,0,2,0,1,0,0
Nicolás Tagliafico,ARG,DF,Lyon,32-047,1992,2.0,3,1,0,3,0,2,3,66.7,1,2,0,2,4,7,3,0
Benjamin Tahirovic,BIH,MF,Ajax,21-228,2003,0.5,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0
Taison,BRA,FW,PAOK,36-278,1988,2.0,2,1,0,0,2,1,2,50.0,1,5,0,5,1,3,0,0
Florin Tănase,ROU,FW,FCSB,29-292,1994,1.2,2,1,1,1,0,0,0,,0,2,0,2,0,2,2,0
Stefan Târnovanu,ROU,GK,FCSB,24-161,2000,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
James Tavernier,ENG,DF,Rangers,32-352,1991,1.7,6,5,3,3,0,4,9,44.4,5,5,1,4,2,8,4,0
Kenneth Taylor,NED,MF,Ajax,22-154,2002,1.6,4,4,2,1,1,2,2,100.0,0,0,0,0,2,6,2,0
Loum Tchaouna,FRA,FW,Lazio,21-039,2003,1.1,4,3,1,3,0,1,4,25.0,3,2,0,2,0,4,1,0
Georgi Terziev,BUL,DF,Ludogorets,32-182,1992,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0
Tanner Tessmann,USA,MF,Lyon,23-023,2001,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
Arthur Theate,BEL,DF,Eint Frankfurt,24-145,2000,2.0,5,3,2,3,0,3,4,75.0,1,5,4,1,3,8,11,0
Tarik Tissoudali,MAR,FW,PAOK,31-198,1993,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Umut Tohumcu,GER,MF,Hoffenheim,20-067,2004,1.4,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
Corentin Tolisso,FRA,MF,Lyon,30-075,1994,2.0,3,2,2,1,0,3,8,37.5,5,3,1,2,7,10,3,1
