Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Lucas Calegari,BRA,DF,Famalicão,22-254,2002,9.5,26,14,15,11,0,11,16,68.8,5,9,4,5,4,30,20,0
Diogo Calila,POR,"MF,DF",Santa Clara,26-028,1998,5.3,11,5,6,3,2,5,6,83.3,1,6,0,6,1,12,12,0
Ibrahima Camará,GUI,MF,Boavista,25-287,1999,7.4,10,6,2,7,1,7,13,53.8,6,8,0,8,11,21,23,0
André Candeias,POR,"FW,MF",Farense,21-292,2003,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Zé Carlos,POR,MF,Vitória,23-008,2001,0.2,4,2,1,3,0,3,3,100.0,0,0,0,0,1,5,1,0
Zé Carlos,POR,DF,Gil Vicente FC,26-099,1998,8.6,14,9,8,4,2,11,19,57.9,8,8,5,3,23,37,35,2
Álvaro Carreras,ESP,DF,Benfica,21-229,2003,8.1,18,11,7,9,2,10,15,66.7,5,7,1,6,11,29,18,0
João Carvalho,POR,"FW,MF",Estoril,27-243,1997,4.3,2,1,1,0,1,1,4,25.0,3,2,0,2,0,2,4,0
Pedro Carvalho,POR,DF,Estoril,21-267,2003,2.9,4,2,1,3,0,1,5,20.0,4,1,0,1,5,9,11,0
Vitor Carvalho,BRA,MF,Braga,27-164,1997,9.4,20,15,5,14,1,11,19,57.9,8,9,2,7,14,34,17,0
Cassiano,BRA,FW,Casa Pia,35-144,1989,3.9,7,3,4,2,1,2,5,40.0,3,4,0,4,1,8,4,0
Jesús Castillo,PER,MF,Gil Vicente FC,23-149,2001,5.8,11,6,3,7,1,8,16,50.0,8,8,3,5,7,18,11,0
André Castro,POR,MF,Moreirense,36-219,1988,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Cristian Castro,COL,DF,AVS Futebol,23-287,2001,9.9,7,5,5,0,2,5,9,55.6,4,5,2,3,9,16,58,2
Geny Catamo,MOZ,"MF,DF",Sporting CP,23-286,2001,6.4,10,5,3,4,3,8,13,61.5,5,7,0,7,3,13,8,0
Cauê,BRA,FW,Gil Vicente FC,21-357,2002,5.3,4,1,1,2,1,0,1,0.0,1,6,1,5,2,6,8,0
César,BRA,GK,Boavista,32-285,1992,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
