Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Kyogo Furuhashi,JPN,FW,Celtic,29-292,1995,2.7,49,6,11,17,21,8,49,4,2,50.0,2,50.0,17,106,46,2,1,2,1,1,30,10
Matteo Gabbia,ITA,DF,Milan,25-017,1999,2.0,172,11,65,101,6,4,172,0,0,,0,,129,685,464,0,2,0,1,0,141,0
Artur Gajdoš,SVK,MF,Slovan Bratislava,20-292,2004,0.2,21,0,5,7,9,1,21,1,1,100.0,0,0.0,12,50,18,0,0,0,0,0,10,0
Cody Gakpo,NED,FW,Liverpool,25-184,1999,2.8,128,2,9,46,75,23,128,14,5,35.7,8,57.1,95,801,491,16,11,9,8,1,104,42
Javi Galán,ESP,DF,Atlético Madrid,29-354,1994,1.5,94,5,48,33,16,0,94,4,3,75.0,1,25.0,51,315,159,1,1,0,5,2,44,4
Conor Gallagher,ENG,MF,Atlético Madrid,24-275,2000,2.5,139,3,29,76,34,0,139,4,2,50.0,2,50.0,73,324,94,0,1,0,2,1,87,4
Silvère Ganvoula M'Boussy,CGO,FW,Young Boys,28-138,1996,3.1,68,7,8,27,35,13,68,4,3,75.0,1,25.0,30,201,110,5,3,4,8,2,48,13
Aleix García,ESP,MF,Leverkusen,27-132,1997,2.8,243,12,59,132,52,2,243,1,0,0.0,1,100.0,130,369,110,0,1,0,1,0,198,2
Eric García,ESP,MF,Barcelona,23-303,2001,0.1,5,0,0,5,0,0,5,0,0,,0,,1,6,4,0,0,0,0,0,2,0
Fran Garcia,ESP,DF,Real Madrid,25-085,1999,0.9,77,1,13,37,28,0,77,0,0,,0,,48,221,145,2,2,0,2,0,50,12
Jastin García,ESP,DF,Girona,20-297,2004,0.1,12,0,4,8,0,0,12,5,3,60.0,2,40.0,12,47,11,0,0,0,1,2,9,1
Federico Gatti,ITA,DF,Juventus,26-136,1998,2.6,210,28,112,92,7,1,210,0,0,,0,,156,992,492,0,1,0,4,0,156,0
Gavi,ESP,MF,Barcelona,20-094,2004,0.3,35,0,2,26,8,1,35,1,0,0.0,1,100.0,17,75,50,1,1,0,0,0,29,1
Jusuf Gazibegović,BIH,DF,Sturm Graz,24-241,2000,4.0,203,11,70,86,50,2,203,4,1,25.0,3,75.0,98,482,288,4,6,0,3,0,99,12
Paulo Gazzaniga,ARG,GK,Girona,32-310,1992,4.0,166,146,166,0,0,0,166,0,0,,0,,101,464,281,0,0,0,1,0,99,0
Lutsharel Geertruida,NED,DF,RB Leipzig,24-112,2000,3.0,150,7,50,68,33,1,150,2,0,0.0,2,100.0,90,357,179,3,6,0,0,2,98,6
Niklas Geyrhofer,AUT,DF,Sturm Graz,24-270,2000,2.0,115,25,80,32,3,1,115,1,1,100.0,0,0.0,74,196,94,0,0,0,1,0,71,0
Alaa Ghram,TUN,DF,Shakhtar,23-106,2001,0.5,37,4,22,15,0,0,37,1,1,100.0,0,0.0,17,75,24,0,0,0,1,0,16,0
Bryan Gil,ESP,"FW,MF",Girona,23-270,2001,2.4,125,2,25,49,54,5,125,12,4,33.3,7,58.3,87,668,297,10,5,3,5,4,93,24
Santiago Giménez,MEX,FW,Feyenoord,23-203,2001,1.0,21,0,0,9,12,2,21,4,1,25.0,3,75.0,11,143,24,1,1,1,1,2,12,4
Jamie Gittens,ENG,FW,Dortmund,20-091,2004,2.7,124,2,12,43,74,15,124,18,9,50.0,8,44.4,94,727,381,17,11,8,7,7,102,22
Omri Glazer,ISR,GK,Red Star,28-241,1996,2.0,68,57,68,0,0,0,68,0,0,,0,,38,183,113,0,0,0,0,0,34,0
Oscar Gloukh,ISR,"FW,MF",RB Salzburg,20-220,2004,3.8,232,1,20,97,121,12,232,19,14,73.7,4,21.1,192,1425,840,29,30,6,9,8,192,25
