Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
David Jurásek,CZE,DF,Hoffenheim,24-090,2000,0.1,8,0,2,4,3,0,8,0,0,,0,,4,29,26,0,0,0,0,0,6,2
Matěj Jurásek,CZE,"FW,MF",Slavia Prague,21-067,2003,1.3,58,0,4,17,38,2,58,4,1,25.0,2,50.0,33,198,74,1,2,0,2,0,43,17
Mathias Jørgensen,DEN,DF,Anderlecht,34-196,1990,2.0,126,33,70,55,2,2,126,0,0,,0,,55,283,193,1,0,0,1,2,79,0
Sebastian Jørgensen,DEN,MF,Malmö,24-140,2000,0.1,2,0,0,1,1,0,2,0,0,,0,,2,5,5,0,0,0,0,0,2,0
Ayoub El Kaabi,MAR,FW,Olympiacos,31-132,1993,2.9,94,1,7,45,43,12,93,2,0,0.0,1,50.0,40,127,45,0,0,0,7,1,66,12
Elton Kabangu,BEL,FW,Union SG,26-271,1998,0.1,7,0,1,2,4,1,7,0,0,,0,,2,3,0,0,0,0,0,0,4,1
Vladyslav Kabayev,UKR,FW,Dynamo Kyiv,29-065,1995,2.1,107,2,13,50,46,6,107,10,5,50.0,5,50.0,82,554,225,9,10,4,8,3,89,24
Pavel Kadeřábek,CZE,DF,Hoffenheim,32-194,1992,0.7,64,1,12,40,12,2,64,0,0,,0,,27,103,49,1,0,0,0,0,38,9
İrfan Kahveci,TUR,FW,Fenerbahçe,29-113,1995,1.5,85,1,17,42,27,1,85,11,2,18.2,9,81.8,42,230,42,1,1,0,2,3,52,9
Rami Kaib,TUN,"MF,FW",Elfsborg,27-181,1997,0.1,6,0,0,3,3,0,6,1,0,0.0,1,100.0,4,34,23,1,1,0,0,0,6,2
Lukáš Kalvach,CZE,MF,Viktoria Plzeň,29-109,1995,2.9,128,9,28,58,43,2,128,2,0,0.0,2,100.0,35,101,22,0,1,0,6,0,56,7
Gavriel Kanichowsky,ISR,MF,Maccabi Tel Aviv,27-073,1997,2.0,116,5,29,57,33,2,116,2,1,50.0,1,50.0,63,317,128,1,2,0,2,3,73,3
Ahmetcan Kaplan,TUR,DF,Ajax,21-294,2003,0.4,19,2,5,14,0,0,19,0,0,,0,,14,46,22,0,0,0,0,0,16,0
Oleksandr Karavayev,UKR,DF,Dynamo Kyiv,32-156,1992,1.0,64,5,20,33,12,1,64,1,0,0.0,1,100.0,25,193,151,3,2,0,1,0,34,2
Neraysho Kasanwirjo,NED,"DF,FW",Rangers,22-261,2002,1.5,81,3,32,37,13,1,81,2,0,0.0,2,100.0,48,227,111,2,2,0,0,0,48,4
