Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Bruma,POR,"FW,MF",Braga,30-012,1994,4.8,284,1,18,88,184,28,283,41,28,68.3,12,29.3,199,1150,671,23,13,12,9,4,226,52
Jonathan Buatu Mananga,ANG,DF,Gil Vicente FC,31-039,1993,10.0,717,110,415,294,12,7,717,1,0,0.0,1,100.0,439,2377,1085,6,2,0,3,1,545,0
Leonel Bucca,ARG,"MF,FW",Estrela,25-230,1999,5.4,271,18,70,156,46,9,271,9,5,55.6,4,44.4,115,640,265,4,5,0,18,7,148,7
Adrián Butzke,ESP,FW,Nacional,25-220,1999,4.5,142,5,10,82,53,16,142,3,0,0.0,3,100.0,69,313,148,2,5,0,13,4,98,17
Arthur Cabral,BRA,FW,Benfica,26-194,1998,1.0,38,1,1,2,35,12,38,5,1,20.0,4,80.0,22,100,16,0,0,0,4,1,28,10
Jovane Cabral,CPV,"FW,MF",Estrela,26-144,1998,3.5,134,1,23,68,46,5,134,9,3,33.3,4,44.4,70,410,169,5,4,0,14,3,85,17
Lucas Calegari,BRA,DF,Famalicão,22-252,2002,9.5,579,24,234,252,101,6,579,12,6,50.0,6,50.0,270,992,525,12,5,0,7,2,288,39
Diogo Calila,POR,"MF,DF",Santa Clara,26-026,1998,5.3,242,8,60,92,93,10,242,2,1,50.0,1,50.0,101,587,276,7,2,1,10,1,135,31
Ibrahima Camará,GUI,MF,Boavista,25-285,1999,7.4,295,23,66,211,20,4,295,8,5,62.5,2,25.0,120,495,202,0,1,0,4,5,137,2
André Candeias,POR,"FW,MF",Farense,21-290,2003,0.4,15,0,1,4,11,3,15,1,0,0.0,1,100.0,9,53,39,2,1,1,0,0,13,9
Zé Carlos,POR,MF,Vitória,23-006,2001,0.2,17,1,4,10,3,0,17,1,1,100.0,0,0.0,8,57,1,0,1,0,0,0,4,2
Zé Carlos,POR,DF,Gil Vicente FC,26-097,1998,8.6,638,41,291,267,89,7,638,15,3,20.0,12,80.0,289,1334,740,12,13,2,11,5,383,18
