Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Agustín Rogel,URU,DF,,26-365,1997,7,6,466,5.2,0,0,0,0,0,0,1,1,0.8,0.8,0.0,0.8,0,10,0,0.00,0.00,0.00,0.00,0.00,0.15,0.01,0.16,0.15,0.16
Robert Rojas,PAR,DF,da Gama,28-169,1996,5,2,175,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guilherme Romão,BRA,DF,Goianiense,27-009,1997,24,24,"2,113",23.5,1,3,4,1,0,0,5,0,1.7,1.7,2.6,4.3,57,108,104,0.04,0.13,0.17,0.04,0.17,0.07,0.11,0.18,0.07,0.18
Ángel Romero,PAR,FW,,32-104,1992,20,15,"1,260",14.0,5,0,5,5,0,1,6,0,4.9,4.1,1.1,5.2,22,46,112,0.36,0.00,0.36,0.36,0.36,0.35,0.08,0.43,0.29,0.37
Lucas Romero,ARG,MF,,30-181,1994,25,24,"1,949",21.7,0,2,2,0,0,0,6,1,0.5,0.5,0.7,1.2,12,114,21,0.00,0.09,0.09,0.00,0.09,0.02,0.03,0.05,0.02,0.05
Óscar Romero,PAR,"MF,FW",(RJ),32-104,1992,17,6,650,7.2,1,3,4,0,1,1,5,0,1.3,0.5,1.3,1.9,11,48,51,0.14,0.42,0.55,0.00,0.42,0.19,0.18,0.37,0.08,0.26
Rômulo,BRA,DF,Mineiro,20-259,2004,8,5,495,5.5,1,0,1,1,0,0,4,1,0.5,0.5,0.6,1.1,8,34,4,0.18,0.00,0.18,0.18,0.18,0.09,0.10,0.19,0.09,0.19
Romulo,BRA,MF,,24-229,2000,20,12,"1,142",12.7,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,10,45,8,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02
Romulo,BRA,"FW,MF",,23-009,2001,8,1,152,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.4,4,5,27,0.00,0.00,0.00,0.00,0.00,0.04,0.22,0.26,0.04,0.26
Ronald,BRA,MF,,27-120,1997,21,9,931,10.3,1,2,3,1,0,0,6,0,0.7,0.7,1.4,2.1,19,30,44,0.10,0.19,0.29,0.10,0.29,0.07,0.13,0.20,0.07,0.20
Ronald,BRA,"MF,DF",,21-248,2003,10,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Ronaldo,BRA,GK,Goianiense,28-055,1996,23,23,"2,069",23.0,0,1,1,0,0,0,2,1,0.0,0.0,0.3,0.3,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01
Ronaldo,BRA,"MF,DF",,27-359,1996,4,4,331,3.7,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.5,2,12,3,0.27,0.00,0.27,0.27,0.27,0.12,0.01,0.12,0.12,0.12
Budiga Roni,BRA,"MF,DF",Goianiense,25-184,1999,15,9,888,9.9,1,0,1,1,0,0,3,0,0.7,0.7,0.2,0.8,3,33,17,0.10,0.00,0.10,0.10,0.10,0.07,0.02,0.09,0.07,0.09
Rony,BRA,FW,,29-158,1995,28,13,"1,394",15.5,4,2,6,4,0,0,4,0,7.4,7.4,2.7,10.1,18,20,103,0.26,0.13,0.39,0.26,0.39,0.48,0.18,0.65,0.48,0.65
Matheus Rossetto,BRA,MF,,28-135,1996,14,11,903,10.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.3,22,58,8,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.03
Rossi,BRA,"FW,MF",da Gama,31-177,1993,11,9,507,5.6,0,1,1,0,0,0,3,0,0.0,0.0,0.8,0.9,7,11,45,0.00,0.18,0.18,0.00,0.18,0.00,0.15,0.15,0.00,0.15
Agustín Rossi,ARG,GK,,29-056,1995,26,26,"2,340",26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ruan,BRA,DF,Paulo,25-131,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Ruan,BRA,"FW,MF",,19-166,2005,6,0,99,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,5,11,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21
Rubens,BRA,"DF,MF",Mineiro,23-117,2001,11,7,614,6.8,0,1,1,0,0,0,2,0,0.4,0.4,1.1,1.5,8,16,33,0.00,0.15,0.15,0.00,0.15,0.06,0.16,0.22,0.06,0.22
Alan Ruschel,BRA,DF,,35-054,1989,22,22,"1,868",20.8,1,1,2,1,0,0,4,1,0.7,0.7,1.3,2.1,28,91,61,0.05,0.05,0.10,0.05,0.10,0.04,0.06,0.10,0.04,0.10
José Sabino,BRA,DF,Paulo,27-357,1996,6,6,540,6.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,2,23,1,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
Daniel Sales,BRA,DF,,18-115,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rodrigo Sam,BRA,DF,,29-084,1995,12,7,758,8.4,1,0,1,1,0,0,4,1,0.4,0.4,0.1,0.5,2,21,1,0.12,0.00,0.12,0.12,0.12,0.05,0.01,0.06,0.05,0.06
Philipe Sampaio,BRA,DF,Goianiense,29-340,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0,3,0,0.00,0.00,0.00,0.00,0.00,0.09,0.16,0.24,0.09,0.24
Alex Sandro,BRA,DF,,33-264,1991,2,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.7,6,10,14,0.00,0.00,0.00,0.00,0.00,0.03,0.47,0.50,0.03,0.50
Alex Santana,BRA,"MF,FW",Paranaense,29-156,1995,4,0,101,1.1,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,2,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Alex Santana,BRA,MF,,29-156,1995,4,4,346,3.8,0,0,0,0,0,0,2,0,0.6,0.6,0.0,0.6,3,15,4,0.00,0.00,0.00,0.00,0.00,0.16,0.01,0.17,0.16,0.17
Ademir Santos,BRA,"FW,MF",,29-243,1995,22,4,600,6.7,1,1,2,1,0,0,0,0,0.9,0.9,1.6,2.5,36,14,75,0.15,0.15,0.30,0.15,0.30,0.14,0.23,0.37,0.14,0.37
Allyson Aires dos Santos,BRA,DF,,33-359,1990,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eduardo Santos,BRA,DF,Bull Bragantino,26-323,1997,16,12,"1,195",13.3,1,0,1,1,0,0,4,0,0.3,0.3,0.2,0.5,9,42,7,0.08,0.00,0.08,0.08,0.08,0.02,0.01,0.04,0.02,0.04
Juan Santos,BRA,"FW,MF",Paulo,22-224,2002,10,3,263,2.9,0,1,1,0,0,0,0,0,0.7,0.7,0.2,0.9,6,4,21,0.00,0.34,0.34,0.00,0.34,0.22,0.07,0.30,0.22,0.30
Júnior Santos,BRA,FW,(RJ),30-005,1994,18,15,"1,327",14.7,3,1,4,3,0,0,2,0,5.4,5.4,1.4,6.8,40,28,117,0.20,0.07,0.27,0.20,0.27,0.37,0.09,0.46,0.37,0.46
Kayke Santos,BRA,FW,Paranaense,16-173,2008,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
