Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Yerson Candelo,COL,DF,Criciúma,32-236,1992,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23
Luan Cândido,BRA,DF,Red Bull Bragantino,23-258,2001,21,21,"1,797",20.0,1,0,1,0,1,1,5,0,1.5,0.7,0.1,0.9,7,46,12,0.05,0.00,0.05,0.00,0.00,0.08,0.01,0.08,0.04,0.04
Germán Cano,ARG,FW,Fluminense,36-258,1988,17,17,"1,253",13.9,2,0,2,2,0,0,3,0,4.8,4.8,1.3,6.1,4,15,29,0.14,0.00,0.14,0.14,0.14,0.34,0.09,0.43,0.34,0.43
Agustín Canobbio,URU,"FW,MF",Ath Paranaense,26-016,1998,16,12,"1,049",11.7,4,1,5,4,0,0,5,1,3.1,3.1,2.2,5.4,43,51,120,0.34,0.09,0.43,0.34,0.43,0.27,0.19,0.46,0.27,0.46
Juninho Capixaba,BRA,"DF,MF",Red Bull Bragantino,27-103,1997,15,15,"1,183",13.1,0,0,0,0,0,0,3,0,0.7,0.7,0.6,1.4,24,66,44,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.10,0.06,0.10
Felipe Carballo,URU,MF,Grêmio,28-013,1996,9,5,478,5.3,0,0,0,0,0,0,3,0,0.4,0.4,0.0,0.4,8,28,25,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08
Tomás Cardona,ARG,DF,Fortaleza,29-007,1995,16,15,"1,349",15.0,0,0,0,0,0,0,3,0,0.3,0.3,0.0,0.3,11,46,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Edson Carioca,BRA,"FW,MF",Juventude,27-105,1997,10,3,350,3.9,1,1,2,1,0,0,0,0,1.2,1.2,0.2,1.3,9,8,20,0.26,0.26,0.51,0.26,0.51,0.37,0.05,0.42,0.37,0.42
Carlinhos,BRA,FW,Flamengo,27-248,1997,13,5,423,4.7,2,0,2,2,0,0,2,1,2.4,2.4,0.1,2.6,6,1,21,0.43,0.00,0.43,0.43,0.43,0.52,0.03,0.55,0.52,0.55
Antonio Carlos,BRA,DF,Fluminense,31-224,1993,13,11,"1,080",12.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.5,8,40,2,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Jan Carlos Hurtado,VEN,FW,Atl Goianiense,24-226,2000,10,7,596,6.6,2,0,2,2,0,0,1,1,1.5,1.5,0.5,2.0,4,6,29,0.30,0.00,0.30,0.30,0.30,0.22,0.08,0.30,0.22,0.30
João Carlos,BRA,"MF,FW",Criciúma,23-118,2001,5,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,5,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.35,0.35,0.35
