Player,Nation,Pos,Squad,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Matheus Mendes,BRA,GK,Atlético Mineiro,23,1999,2.0,1,0,0,0,0,1.5,0.20,+0.5,+0.26,18,41,43.9,43,4,55.8,42.0,23,73.9,49.7,38,2,5.3,0,0.00,9.5
Carlos Miguel,BRA,GK,Corinthians,24,1998,1.2,0,0,0,0,0,1.1,0.18,+1.1,+0.86,7,14,50.0,31,7,29.0,33.0,11,45.5,33.7,36,1,2.8,0,0.00,11.8
Fernando Miguel,BRA,GK,Fortaleza,37,1985,5.1,5,0,0,1,0,6.3,0.22,+1.3,+0.25,18,54,33.3,77,20,42.9,36.5,38,55.3,39.4,73,2,2.7,1,0.19,10.7
Mateus Pasinato,BRA,GK,América (MG),30,1992,10.0,20,1,1,1,0,18.6,0.31,-1.4,-0.14,46,100,46.0,175,50,37.1,35.3,69,50.7,42.4,160,14,8.8,9,0.90,12.1
João Paulo,BRA,GK,Santos,27,1995,35.7,51,4,2,8,1,52.9,0.27,+2.9,+0.08,142,429,33.1,641,118,42.9,37.0,272,56.6,43.8,560,25,4.5,23,0.64,12.6
Lucas Perri,BRA,GK,Botafogo (RJ),25,1997,37.5,36,0,0,2,1,48.1,0.30,+13.1,+0.35,204,533,38.3,822,196,48.3,39.3,244,55.7,43.7,579,34,5.9,44,1.17,16.2
Rafael Pires,BRA,GK,São Paulo,33,1989,33.0,34,6,1,1,1,37.6,0.27,+4.6,+0.14,118,305,38.7,785,143,29.2,31.4,212,35.8,34.1,438,19,4.3,26,0.79,13.4
Luan Polli,BRA,GK,Coritiba,29,1993,4.3,9,1,1,1,0,6.9,0.20,-2.1,-0.49,23,57,40.4,78,17,48.7,39.9,30,63.3,48.1,62,4,6.5,7,1.64,16.3
Marcelo Rangel,BRA,GK,Goiás,34,1988,3.0,8,2,0,1,1,6.1,0.29,-0.9,-0.31,6,24,25.0,52,12,26.9,32.8,29,34.5,30.2,49,2,4.1,0,0.00,6.4
Pedro Rangel,BRA,GK,Fluminense,22,2000,2.0,5,0,0,1,0,3.0,0.30,-2.0,-1.02,4,8,50.0,40,13,7.5,20.2,15,33.3,27.9,28,1,3.6,1,0.50,10.8
João Ricardo Riedi,BRA,GK,Fortaleza,34,1988,31.9,39,3,0,9,2,37.8,0.26,+0.8,+0.03,123,353,34.8,494,143,39.1,35.1,252,63.5,44.5,440,32,7.3,8,0.25,9.0
Sergio Rochet,URU,GK,Internacional,29,1993,19.0,25,5,1,3,1,23.1,0.22,-0.9,-0.05,65,212,30.7,394,78,35.8,34.6,143,49.7,42.3,329,22,6.7,17,0.89,13.2
Agustín Rossi,ARG,GK,Flamengo,27,1995,15.0,12,2,0,0,0,14.5,0.23,+2.5,+0.17,70,174,40.2,415,68,32.5,31.6,94,41.5,36.5,198,8,4.0,9,0.60,12.9
Santos,BRA,GK,Flamengo,32,1990,5.4,8,1,0,1,0,5.7,0.20,-2.3,-0.42,18,44,40.9,161,28,24.2,28.0,33,15.2,22.6,65,7,10.8,7,1.29,16.7
Cleiton Schwengber,BRA,GK,Red Bull Bragantino,25,1997,33.0,27,6,0,4,1,38.5,0.28,+12.5,+0.38,151,449,33.6,784,145,48.0,39.4,244,29.9,31.2,383,15,3.9,63,1.91,18.2
Tadeu,BRA,GK,Goiás,30,1992,35.0,45,3,1,9,0,49.1,0.30,+4.1,+0.12,256,584,43.8,901,160,50.8,40.6,293,43.0,39.5,674,48,7.1,19,0.54,11.3
Vladimir,BRA,GK,Santos,33,1989,2.3,13,0,0,1,2,6.7,0.33,-4.3,-1.86,3,17,17.6,35,15,17.1,28.5,18,61.1,48.6,38,0,0.0,0,0.00,9.4
Walter,BRA,GK,Cuiabá,35,1987,35.0,35,4,0,3,2,40.0,0.26,+7.0,+0.20,177,394,44.9,667,138,37.0,34.8,264,55.7,41.9,556,36,6.5,15,0.43,9.8
Wéverton,BRA,GK,Palmeiras,35,1987,35.0,30,3,1,3,1,34.9,0.24,+5.9,+0.17,143,379,37.7,949,198,32.0,34.0,239,31.4,33.1,397,34,8.6,20,0.57,12.8
