Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Felipe Avenatti,URU,"FW,MF",,30,1993,27,17,"1,568",17.4,3,0,3,2,1,1,5,1,4.5,4.3,0.9,5.2,11,61,83,0.17,0.00,0.17,0.11,0.11,0.26,0.05,0.31,0.25,0.30
Gastón Ávila,ARG,DF,,21,2001,2,2,180,2.0,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,2,16,11,0.00,0.50,0.50,0.00,0.50,0.03,0.09,0.13,0.03,0.13
Youssouph Badji,SEN,"FW,MF",,21,2001,20,8,938,10.4,0,0,0,0,0,0,2,0,2.7,2.7,0.4,3.1,11,21,92,0.00,0.00,0.00,0.00,0.00,0.26,0.04,0.30,0.26,0.30
Bilal Bafdili,BEL,"MF,FW",,18,2004,11,1,171,1.9,2,0,2,2,0,0,2,0,1.3,1.3,0.0,1.3,4,7,16,1.05,0.00,1.05,1.05,1.05,0.70,0.00,0.70,0.70,0.70
Jonas Bager,DEN,DF,,27,1996,19,16,"1,507",16.7,0,1,1,0,0,0,6,0,0.2,0.2,0.6,0.7,6,58,5,0.00,0.06,0.06,0.00,0.06,0.01,0.03,0.04,0.01,0.04
Brandon Baiye,BEL,MF,,22,2000,28,24,"2,071",23.0,1,0,1,1,0,0,2,0,1.0,1.0,0.8,1.8,19,69,20,0.04,0.00,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.08
Michel-Ange Balikwisha,BEL,"FW,MF",,22,2001,23,20,"1,784",19.8,5,5,10,5,0,0,2,0,4.4,4.4,4.0,8.4,85,102,202,0.25,0.25,0.50,0.25,0.50,0.22,0.20,0.42,0.22,0.42
William Balikwisha,COD,MF,Liège,24,1999,20,12,"1,089",12.1,1,1,2,1,0,0,3,1,1.9,1.9,1.3,3.2,59,70,83,0.08,0.08,0.17,0.08,0.17,0.16,0.10,0.26,0.16,0.26
Sacha Banse,BFA,MF,Liège,22,2001,3,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ezechiel Banzuzi,NED,MF,Leuven,18,2005,27,20,"1,746",19.4,2,0,2,2,0,0,6,0,2.1,2.1,1.6,3.7,18,62,50,0.10,0.00,0.10,0.10,0.10,0.11,0.08,0.19,0.11,0.19
Víctor Barberá,ESP,"FW,MF",Brugge,18,2004,4,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25
Joselpho Barnes,GHA,"FW,MF",,21,2001,24,3,430,4.8,1,0,1,1,0,0,2,0,3.3,3.3,0.3,3.6,9,4,52,0.21,0.00,0.21,0.21,0.21,0.69,0.06,0.75,0.69,0.75
Jacob Barrett Laursen,DEN,DF,Liège,28,1994,2,2,151,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Norman Bassette,BEL,"FW,MF",,18,2004,15,6,576,6.4,3,0,3,3,0,0,0,0,2.2,2.2,0.7,2.9,14,5,51,0.47,0.00,0.47,0.47,0.47,0.34,0.12,0.46,0.34,0.46
