Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Daniel Ruiz Rivera,COL,"FW,MF",Santos,21,2001,2.7,68,104,65.4,1211,401,34,41,82.9,17,24,70.8,13,22,59.1,0,0.5,0.5,-0.5,10,5,2,1,10
Rwan,BRA,"MF,FW",Vasco da Gama,21,2001,0.4,8,10,80.0,107,37,6,7,85.7,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,1,0,3
Victor Sá,BRA,FW,Botafogo (RJ),28,1994,23.6,581,726,80.0,8688,1809,330,380,86.8,203,245,82.9,31,46,67.4,4,1.9,2.2,+2.1,37,34,23,8,42
Arthur Sales,BRA,"FW,MF",Bahia,20,2002,3.2,97,124,78.2,1271,229,63,69,91.3,26,36,72.2,4,6,66.7,0,0.3,0.4,-0.3,3,7,1,0,7
Andreas Samaris,GRE,MF,Coritiba,33,1989,2.0,83,92,90.2,1714,511,25,31,80.6,42,44,95.5,15,16,93.8,0,0.0,0.0,0.0,1,5,0,0,8
Philipe Sampaio,BRA,DF,Botafogo (RJ),28,1994,5.5,270,309,87.4,5268,1794,73,80,91.3,168,182,92.3,24,39,61.5,0,0.0,0.1,0.0,1,11,1,1,16
Sander,BRA,DF,Goiás,32,1990,17.1,755,1004,75.2,12955,5446,359,402,89.3,311,401,77.6,74,151,49.0,3,1.8,2.1,+1.2,28,60,21,14,85
Sandry,BRA,MF,Santos,20,2002,2.1,85,106,80.2,1778,470,32,34,94.1,33,42,78.6,18,26,69.2,0,0.1,0.1,-0.1,2,7,2,1,10
Alex Santana,BRA,MF,Ath Paranaense,27,1995,11.1,378,434,87.1,6235,1530,194,212,91.5,144,160,90.0,30,42,71.4,0,0.2,0.3,-0.2,7,48,2,0,46
Santos,BRA,GK,Flamengo,32,1990,5.4,162,194,83.5,3664,2083,31,31,100.0,99,101,98.0,29,59,49.2,0,0.0,0.0,0.0,0,2,0,0,2
Ademir Santos,BRA,"FW,MF",Bahia,27,1995,19.3,415,610,68.0,6748,2163,224,273,82.1,132,181,72.9,43,90,47.8,1,2.1,2.4,-1.1,31,47,23,8,74
Allyson Aires dos Santos,BRA,DF,Cuiabá,32,1990,12.6,452,503,89.9,8413,3156,176,186,94.6,222,239,92.9,50,70,71.4,0,0.0,0.1,0.0,1,15,1,0,17
Andrey Santos,BRA,MF,Vasco da Gama,18,2004,4.7,107,138,77.5,1608,432,63,74,85.1,39,43,90.7,5,12,41.7,0,0.1,0.1,-0.1,2,10,1,0,14
