Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Rafael Rodrigues,POR,DF,AVS Futebol,22-252,2002,6,1,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,4,9,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15
Ignacio Rodríguez,URU,DF,AVS Futebol,20-361,2003,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Benjamín Rollheiser,ARG,"MF,FW",Benfica,24-226,2000,4,1,108,1.2,1,1,2,1,0,0,1,0,0.6,0.6,0.1,0.7,3,7,14,0.83,0.83,1.67,0.83,1.67,0.52,0.06,0.58,0.52,0.58
Baptiste Roux,FRA,"DF,MF",AVS Futebol,24-345,1999,9,9,802,8.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,1,24,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Alan Ruiz,ARG,"MF,FW",Estrela,31-078,1993,9,4,388,4.3,0,1,1,0,0,0,3,0,0.4,0.4,0.6,0.9,8,22,13,0.00,0.23,0.23,0.00,0.23,0.09,0.13,0.22,0.09,0.22
Gustavo sá,POR,MF,Famalicão,19-360,2004,10,9,632,7.0,1,1,2,1,0,0,2,0,0.8,0.8,1.1,1.9,10,28,29,0.14,0.14,0.28,0.14,0.28,0.12,0.15,0.27,0.12,0.27
Josué Sá,POR,DF,Gil Vicente FC,32-141,1992,3,0,33,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Safira,BRA,FW,Santa Clara,29-233,1995,9,8,634,7.0,2,2,4,1,1,2,4,0,2.9,1.3,2.1,3.5,5,11,24,0.28,0.28,0.57,0.14,0.43,0.41,0.30,0.71,0.19,0.49
Sala,ESP,FW,Estoril,21-179,2003,6,0,95,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,1,4,10,0.00,0.00,0.00,0.00,0.00,0.10,0.32,0.41,0.10,0.41
Samu,POR,MF,Vitória,28-198,1996,10,6,524,5.8,0,0,0,0,0,0,0,0,0.6,0.6,1.0,1.5,5,36,25,0.00,0.00,0.00,0.00,0.00,0.10,0.17,0.26,0.10,0.26
Renato Sanches,POR,MF,Benfica,27-079,1997,4,0,80,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,19,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Caio Santana,BRA,"FW,MF",Estrela,20-228,2004,6,0,94,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Aderlan Santos,BRA,DF,Rio Ave,35-210,1989,10,10,874,9.7,0,0,0,0,0,0,2,0,0.8,0.8,0.0,0.8,2,13,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08
Bruno Santos,POR,FW,Farense,21-203,2003,3,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Gabriel Santos,BRA,"FW,MF",Nacional,25-234,1999,3,0,89,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,3,1,4,0.00,0.00,0.00,0.00,0.00,0.27,0.10,0.37,0.27,0.37
Léo Santos,BRA,DF,Nacional,25-332,1998,3,2,201,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Nuno Santos,POR,"MF,DF",Sporting CP,29-266,1995,7,4,354,3.9,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,13,23,59,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.19,0.05,0.19
Nuno Santos,POR,"MF,FW",Vitória,25-248,1999,10,6,523,5.8,1,0,1,1,0,0,2,0,0.8,0.8,0.1,0.9,8,30,38,0.17,0.00,0.17,0.17,0.17,0.14,0.01,0.16,0.14,0.16
Pedro Santos,POR,"MF,FW",Arouca,24-024,2000,9,1,236,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,9,13,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.03,0.04
Pedro Santos,POR,"FW,MF",Moreirense,21-269,2003,8,1,184,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,1,1,8,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.12,0.02,0.12
Guilherme Schettine,BRA,FW,Moreirense,29-026,1995,9,2,288,3.2,1,1,2,1,0,0,1,0,1.2,1.2,0.7,1.9,8,4,9,0.31,0.31,0.62,0.31,0.62,0.37,0.23,0.60,0.37,0.60
Andreas Schjelderup,NOR,FW,Benfica,20-157,2004,3,0,36,0.4,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,1,0,2,2.50,0.00,2.50,2.50,2.50,1.56,0.05,1.61,1.56,1.61
Telasco Segovia,VEN,MF,Casa Pia,21-217,2003,8,4,371,4.1,0,0,0,0,0,0,3,0,0.7,0.7,0.0,0.8,4,23,9,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18
Patrick Sequeira,CRC,GK,Casa Pia,25-249,1999,9,9,810,9.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Serginho,POR,MF,Santa Clara,24-340,1999,6,0,79,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,4,5,0.00,0.00,0.00,0.00,0.00,0.11,0.13,0.24,0.11,0.24
Sidney,BRA,DF,Santa Clara,27-293,1997,10,10,900,10.0,1,1,2,1,0,0,4,0,0.4,0.4,0.5,0.9,7,33,6,0.10,0.10,0.20,0.10,0.20,0.04,0.05,0.09,0.04,0.09
Alysson Silva,BRA,DF,Santa Clara,22-040,2002,2,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
António Silva,POR,DF,Benfica,21-006,2003,5,5,450,5.0,1,1,2,1,0,0,1,0,0.3,0.3,0.2,0.6,9,27,0,0.20,0.20,0.40,0.20,0.40,0.06,0.05,0.11,0.06,0.11
Gustavo da Silva,BRA,"FW,MF",Vitória,25-157,1999,7,1,179,2.0,2,0,2,2,0,0,3,0,1.4,1.4,0.3,1.7,3,4,13,1.01,0.00,1.01,1.01,1.01,0.72,0.13,0.85,0.72,0.85
Joel silva,POR,"MF,FW",Boavista,21-268,2003,10,9,865,9.6,1,0,1,1,0,0,2,0,1.1,1.1,0.3,1.4,16,24,40,0.10,0.00,0.10,0.10,0.10,0.12,0.03,0.15,0.12,0.15
Luís Manuel Costa Silva,POR,MF,AVS Futebol,32-037,1992,2,1,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Raul Silva,BRA,DF,Farense,35-001,1989,4,4,346,3.8,1,0,1,1,0,0,2,0,0.4,0.4,0.6,1.0,4,8,3,0.26,0.00,0.26,0.26,0.26,0.11,0.16,0.27,0.11,0.27
