Player,Nation,Pos,Squad,Comp,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Adryelson,BRA,DF,Lyon,Ligue 1,26-223,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vasilije Adžić,MNE,MF,Juventus,Serie A,18-173,2006,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
Michel Aebischer,SUI,MF,Bologna,Serie A,27-300,1997,7,5,378,4.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,4,19,9,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26-263,1998,8,4,452,5.0,1,0,1,1,0,0,0,0,1.3,1.3,0.6,1.8,9,10,27,0.20,0.00,0.20,0.20,0.20,0.25,0.11,0.37,0.25,0.37
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27-137,1997,9,9,810,9.0,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,8,61,0,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
Asher Agbinone,ENG,MF,Crystal Palace,Premier League,19-034,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.58,1.00,1.58,0.58,1.58
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23-311,2000,8,8,666,7.4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lucien Agoume,FRA,MF,Sevilla,La Liga,22-266,2002,11,7,606,6.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,9,30,11,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Felix Agu,GER,DF,Werder Bremen,Bundesliga,25-035,1999,8,8,664,7.4,2,0,2,2,0,0,0,0,0.7,0.7,0.7,1.4,16,12,56,0.27,0.00,0.27,0.27,0.27,0.09,0.09,0.18,0.09,0.18
Álvaro Aguado,ESP,MF,Espanyol,La Liga,28-184,1996,7,2,228,2.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,7,19,2,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10
Nayef Aguerd,MAR,DF,Real Sociedad,La Liga,28-216,1996,7,7,604,6.7,0,0,0,0,0,0,1,0,1.8,1.8,0.0,1.9,9,24,0,0.00,0.00,0.00,0.00,0.00,0.27,0.01,0.28,0.27,0.28
Ruben Aguilar,FRA,DF,Lens,Ligue 1,31-189,1993,5,3,270,3.0,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.8,2,14,28,0.00,0.33,0.33,0.00,0.33,0.05,0.23,0.28,0.05,0.28
Honest Ahanor,ITA,DF,Genoa,Serie A,16-252,2008,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30-226,1994,8,8,628,7.0,1,0,1,1,0,0,2,0,0.9,0.9,0.2,1.1,8,28,6,0.14,0.00,0.14,0.14,0.14,0.12,0.03,0.15,0.12,0.15
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,29-033,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,Ligue 1,19-129,2005,3,1,87,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,4,6,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,28-024,1996,9,9,773,8.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,22,37,13,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.01,0.04
Rayan Aït-Nouri,ALG,DF,Wolves,Premier League,23-148,2001,9,9,743,8.3,3,2,5,3,0,0,4,0,1.0,1.0,1.0,2.1,15,31,31,0.36,0.24,0.61,0.36,0.61,0.13,0.12,0.25,0.13,0.25
Kristoffer Ajer,NOR,DF,Brentford,Premier League,26-198,1998,8,8,636,7.1,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,14,25,12,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07
Ludovic Ajorque,FRA,FW,Brest,Ligue 1,30-250,1994,9,7,612,6.8,2,0,2,2,0,0,2,0,1.2,1.2,0.7,1.9,1,8,33,0.29,0.00,0.29,0.29,0.29,0.18,0.10,0.29,0.18,0.29
Manuel Akanji,SUI,DF,Manchester City,Premier League,29-105,1995,8,8,691,7.7,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,19,67,3,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
Ümit Akdag,ROU,DF,Toulouse,Ligue 1,21-026,2003,2,2,140,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,17,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nathan Aké,NED,DF,Manchester City,Premier League,29-257,1995,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,20-199,2004,10,6,539,6.0,0,0,0,0,0,0,1,0,0.5,0.5,1.0,1.5,29,11,60,0.00,0.00,0.00,0.00,0.00,0.08,0.16,0.24,0.08,0.24
Sergio Akieme,ESP,DF,Reims,Ligue 1,26-321,1997,6,6,529,5.9,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,15,12,22,0.17,0.00,0.17,0.17,0.17,0.03,0.01,0.05,0.03,0.05
Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,22-250,2002,8,5,482,5.4,0,2,2,0,0,0,0,0,1.0,1.0,1.1,2.2,26,41,41,0.00,0.37,0.37,0.00,0.37,0.19,0.21,0.40,0.19,0.40
Clément Akpa,CIV,DF,Auxerre,Ligue 1,22-343,2001,8,6,543,6.0,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,15,26,23,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.07
David Akpan Ankeye,NGA,"FW,MF",Genoa,Serie A,22-261,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,29-196,1995,8,8,720,8.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,32,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andreas Albers,DEN,FW,St. Pauli,Bundesliga,34-223,1990,5,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,1,4,0.00,0.00,0.00,0.00,0.00,0.31,0.32,0.62,0.31,0.62
Raúl Albiol,ESP,DF,Villarreal,La Liga,39-058,1985,9,8,648,7.2,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,11,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Carlos Alcaraz,ARG,MF,Southampton,Premier League,21-337,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48
Omar Alderete,PAR,DF,Getafe,La Liga,27-311,1996,10,10,900,10.0,0,0,0,0,0,0,2,0,0.4,0.4,0.8,1.2,11,45,0,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12
Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,26-301,1998,6,3,305,3.4,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,2,8,7,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,26-025,1998,9,9,752,8.4,0,1,1,0,0,0,2,0,0.4,0.4,2.2,2.6,20,46,25,0.00,0.12,0.12,0.00,0.12,0.05,0.26,0.31,0.05,0.31
Alfon,ESP,"FW,MF",Celta Vigo,La Liga,25-181,1999,6,2,217,2.4,0,0,0,0,0,0,0,1,0.9,0.9,0.8,1.7,13,7,31,0.00,0.00,0.00,0.00,0.00,0.38,0.33,0.71,0.38,0.71
Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,20-287,2004,7,7,488,5.4,2,0,2,2,0,0,1,0,1.5,1.5,1.0,2.5,14,11,40,0.37,0.00,0.37,0.37,0.37,0.28,0.18,0.46,0.28,0.46
Faride Alidou,GER,"FW,MF",Hellas Verona,Serie A,23-106,2001,3,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Alisson,BRA,GK,Liverpool,Premier League,32-030,1992,6,6,528,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jim Allevinah,GAB,FW,Angers,Ligue 1,29-248,1995,6,5,394,4.4,0,1,1,0,0,0,1,0,0.7,0.7,0.8,1.6,10,17,23,0.00,0.23,0.23,0.00,0.23,0.17,0.19,0.36,0.17,0.36
Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,24-155,2000,9,5,454,5.0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,10,34,18,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.10,0.03,0.10
Iker Almena,ESP,"FW,DF",Girona,La Liga,20-181,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.00,1.87,1.87,0.00,1.87,0.06,1.27,1.33,0.06,1.33
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,30-265,1994,5,1,105,1.2,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.5,1,5,10,0.00,0.00,0.00,0.00,0.00,0.31,0.15,0.46,0.31,0.46
Pontus Almqvist,SWE,"FW,MF",Parma,Serie A,25-114,1999,9,1,282,3.1,1,1,2,1,0,0,0,0,0.6,0.6,0.9,1.4,15,4,25,0.32,0.32,0.64,0.32,0.64,0.18,0.27,0.45,0.18,0.45
Marcos Alonso,ESP,"DF,MF",Celta Vigo,La Liga,33-309,1990,7,5,552,6.1,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,16,41,19,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
Giorgio Altare,ITA,DF,Venezia,Serie A,26-084,1998,5,3,300,3.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,9,3,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
Adrià Altimira,ESP,"FW,DF",Leganés,La Liga,23-218,2001,6,4,358,4.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,7,10,16,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03
Sergi Altimira,ESP,MF,Betis,La Liga,23-068,2001,8,5,511,5.7,0,1,1,0,0,0,2,0,0.3,0.2,0.2,0.4,7,30,7,0.00,0.18,0.18,0.00,0.18,0.05,0.03,0.09,0.04,0.07
Edson Álvarez,MEX,"MF,DF",West Ham,Premier League,27-008,1997,7,4,364,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,17,3,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,21-122,2003,11,9,852,9.5,1,1,2,1,0,0,3,0,0.7,0.7,0.6,1.2,44,28,88,0.11,0.11,0.21,0.11,0.21,0.07,0.06,0.13,0.07,0.13
Julián Álvarez,ARG,"FW,MF",Atlético Madrid,La Liga,24-275,2000,11,7,635,7.1,3,1,4,3,0,0,1,0,2.0,2.0,0.6,2.6,18,10,39,0.43,0.14,0.57,0.43,0.57,0.29,0.08,0.37,0.29,0.37
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,29-282,1995,5,5,450,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,36,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,22-181,2002,5,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,27-352,1996,9,8,607,6.7,2,1,3,1,1,1,1,0,2.5,1.7,0.2,1.9,11,26,14,0.30,0.15,0.44,0.15,0.30,0.37,0.03,0.40,0.25,0.28
Amath,SEN,"FW,DF",Valladolid,La Liga,28-108,1996,6,5,293,3.3,0,1,1,0,0,0,0,0,0.4,0.4,0.2,0.6,7,10,17,0.00,0.31,0.31,0.00,0.31,0.11,0.06,0.17,0.11,0.17
Jordan Amavi,FRA,DF,Brest,Ligue 1,30-237,1994,7,5,479,5.3,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,12,19,6,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04
Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,21-093,2003,3,1,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kelvin Amian,FRA,DF,Nantes,Ligue 1,26-267,1998,7,6,557,6.2,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,14,26,23,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,28-264,1996,9,8,748,8.3,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.5,10,29,23,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,28-005,1996,7,7,562,6.2,2,2,4,1,1,1,3,1,1.4,0.6,2.2,2.8,10,47,20,0.32,0.32,0.64,0.16,0.48,0.22,0.36,0.58,0.09,0.45
Samuel Amo-Ameyaw,ENG,DF,Southampton,Premier League,18-106,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.18,0.62,0.80,0.18,0.80
Mathis Amougou,FRA,MF,Saint-Étienne,Ligue 1,18-288,2006,9,8,630,7.0,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,4,28,6,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,24-176,2000,6,5,486,5.4,1,4,5,1,0,0,2,0,1.8,1.8,1.2,3.1,17,9,46,0.19,0.74,0.93,0.19,0.93,0.34,0.23,0.57,0.34,0.57
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,28-072,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,28-154,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Joachim Andersen,DEN,DF,Fulham,Premier League,28-154,1996,5,5,423,4.7,0,0,0,0,0,0,0,1,0.1,0.1,0.2,0.4,3,16,0,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08
Elliot Anderson,ENG,"MF,FW",Nott'ham Forest,Premier League,21-361,2002,9,8,569,6.3,0,2,2,0,0,0,2,0,0.8,0.8,1.2,1.9,16,26,26,0.00,0.32,0.32,0.00,0.32,0.12,0.18,0.30,0.12,0.30
André,BRA,MF,Wolves,Premier League,23-108,2001,7,5,363,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,0,10,0,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.05,0.02,0.05
Benjamin André,FRA,MF,Lille,Ligue 1,34-090,1990,7,7,622,6.9,0,0,0,0,0,0,4,0,0.2,0.2,0.3,0.5,5,50,9,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.08,0.03,0.08
Marcos André,BRA,FW,Valladolid,La Liga,28-012,1996,5,3,252,2.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,2,4,7,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,30-040,1994,6,6,499,5.5,2,0,2,2,0,0,2,0,0.6,0.6,0.1,0.7,3,26,6,0.36,0.00,0.36,0.36,0.36,0.11,0.01,0.12,0.11,0.12
Angeliño,ESP,DF,Roma,Serie A,27-302,1997,10,10,809,9.0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,21,74,37,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08
Lorenzo Anghelè,ITA,FW,Juventus,Serie A,19-249,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Faustino Anjorin,ENG,MF,Empoli,Serie A,22-344,2001,7,6,420,4.7,0,1,1,0,0,0,1,0,0.2,0.2,0.6,0.9,11,22,8,0.00,0.21,0.21,0.00,0.21,0.04,0.14,0.18,0.04,0.18
Waldemar Anton,GER,DF,Dortmund,Bundesliga,28-104,1996,8,8,675,7.5,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,10,42,7,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Michail Antonio,JAM,FW,West Ham,Premier League,34-218,1990,9,8,558,6.2,1,1,2,1,0,0,1,0,1.9,1.9,1.6,3.4,17,12,39,0.16,0.16,0.32,0.16,0.32,0.30,0.25,0.56,0.30,0.56
Antoniu,ESP,"MF,DF",Espanyol,La Liga,22-057,2002,4,0,59,0.7,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,1,0,4,0.00,0.00,0.00,0.00,0.00,0.34,0.14,0.48,0.34,0.48
Antony,BRA,FW,Manchester Utd,Premier League,24-251,2000,2,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,0,1,0.00,0.00,0.00,0.00,0.00,0.47,0.22,0.70,0.47,0.70
Anuar,MAR,"FW,MF",Valladolid,La Liga,29-291,1995,3,2,198,2.2,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,1,1,7,0.45,0.00,0.45,0.45,0.45,0.26,0.06,0.32,0.26,0.32
Dennis Appiah,FRA,DF,Saint-Étienne,Ligue 1,32-145,1992,8,6,617,6.9,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,15,31,31,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07
Aritz Arambarri,ESP,DF,Leganés,La Liga,26-275,1998,2,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Mauro Arambarri,URU,MF,Getafe,La Liga,29-032,1995,11,7,648,7.2,4,0,4,2,2,2,4,0,2.6,1.1,0.0,1.1,4,15,9,0.56,0.00,0.56,0.28,0.28,0.37,0.01,0.37,0.15,0.15
