Player,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Kaan Ayhan,"MF,DF",Türkiye,29,1994,4.0,13,3.27,9,1,0,0,1,2,2,0.50,1,0,0,0,0,1
Alex Baena,"MF,FW",Spain,22,2001,0.3,2,6.67,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Alexander Bah,"DF,MF",Denmark,26,1997,3.1,8,2.57,4,2,0,0,1,1,1,0.32,0,1,0,0,0,0
Nedim Bajrami,"FW,MF",Albania,24,1999,2.7,3,1.10,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Johan Bakayoko,"FW,DF",Belgium,20,2003,0.5,2,3.75,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jure Balkovec,DF,Slovenia,29,1994,1.3,1,0.99,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Iván Balliu,DF,Albania,32,1992,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nicușor Bancu,DF,Romania,31,1992,3.0,7,2.33,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Antonín Barák,MF,Czechia,29,1994,0.5,4,8.78,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bradley Barcola,"FW,MF",France,21,2002,1.1,9,9.20,4,0,4,0,0,1,0,0.00,0,0,0,0,0,0
Abdülkerim Bardakcı,DF,Türkiye,29,1994,4.0,7,1.75,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nicolò Barella,MF,Italy,26,1997,3.7,5,1.36,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alessandro Bastoni,DF,Italy,24,1999,4.0,5,1.25,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Martin Baturina,FW,Croatia,20,2003,0.1,2,25.71,0,0,2,0,0,0,0,0.00,0,0,0,0,0,0
Christoph Baumgartner,"MF,FW",Austria,24,1999,3.2,10,3.11,6,0,3,0,1,0,1,0.31,1,0,0,0,0,0
Altay Bayındır,GK,Türkiye,25,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jan Bednarek,DF,Poland,27,1996,3.0,1,0.33,0,0,0,1,0,0,1,0.33,0,0,0,1,0,0
Maximilian Beier,FW,Germany,21,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jude Bellingham,"MF,FW",England,20,2003,7.4,19,2.67,17,0,0,1,0,1,4,0.56,4,0,0,0,0,0
László Bénes,MF,Slovakia,26,1997,0.8,3,6.59,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Bartosz Bereszyński,DF,Poland,31,1992,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Steven Bergwijn,FW,Netherlands,26,1997,1.0,2,2.00,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Medon Berisha,MF,Albania,20,2003,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Victor Bernth Kristiansen,"DF,MF",Denmark,21,2002,1.7,3,1.73,2,1,0,0,0,0,1,0.58,1,0,0,0,0,0
Matúš Bero,"MF,DF",Slovakia,28,1995,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jaka Bijol,DF,Slovenia,24,1999,4.3,2,0.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Veljko Birmančević,DF,Serbia,25,1998,0.3,1,3.46,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Daley Blind,FW,Netherlands,33,1990,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bendegúz Bolla,DF,Hungary,24,1999,2.3,3,1.32,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Endre Botka,DF,Hungary,29,1994,1.0,2,2.00,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
