Player,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Daley Blind,FW,Netherlands,33,1990,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bendegúz Bolla,DF,Hungary,24,1999,2.3,63,56,7,0,0,0,8,7,0,0,0,0,45,0,2
Endre Botka,DF,Hungary,29,1994,1.0,45,33,12,0,0,0,0,12,0,0,0,0,37,0,1
Jarrod Bowen,FW,England,27,1996,0.4,14,12,2,0,0,0,3,0,2,2,0,0,10,0,0
Róbert Boženík,FW,Slovakia,24,1999,2.3,38,34,4,0,0,0,2,0,0,0,0,0,25,0,2
Volodymyr Brazhko,MF,Ukraine,22,2002,2.0,81,81,0,0,0,0,0,0,0,0,0,0,71,0,0
David Brekalo,MF,Slovenia,25,1998,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Brian Brobbey,FW,Netherlands,21,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armando Broja,FW,Albania,22,2001,1.2,15,15,0,0,0,0,0,0,0,0,0,0,9,0,1
Marcelo Brozović,MF,Croatia,31,1992,2.5,188,183,5,4,1,1,4,1,0,0,0,0,170,0,1
Jacob Bruun Larsen,FW,Denmark,25,1998,0.1,6,5,0,0,0,0,1,0,0,0,0,0,3,1,0
Ante Budimir,FW,Croatia,32,1991,1.4,16,15,1,0,0,0,1,0,0,0,0,0,8,0,1
Adam Buksa,FW,Poland,27,1996,1.7,13,11,2,0,0,0,0,0,0,0,0,0,11,0,0
Andrei Burcă,DF,Romania,30,1993,4.0,141,132,9,5,0,3,1,4,0,0,0,0,113,0,2
Riccardo Calafiori,DF,Italy,21,2002,3.0,232,228,4,4,0,3,1,0,0,0,0,0,215,0,2
Hakan Çalhanoğlu,MF,Türkiye,29,1994,3.9,261,238,23,9,0,2,16,0,13,6,4,0,232,0,0
Eduardo Camavinga,MF,France,21,2002,1.9,86,86,0,0,0,0,0,0,0,0,0,0,74,0,2
Andrea Cambiaso,"FW,DF",Italy,23,2000,0.8,48,46,2,0,0,0,5,1,1,1,0,0,38,0,1
Emre Can,MF,Germany,30,1994,1.1,70,68,2,2,0,0,0,0,0,0,0,0,65,0,1
João Cancelo,"DF,MF",Portugal,29,1994,3.8,259,230,27,1,2,4,9,26,0,0,0,0,224,2,7
Yannick Carrasco,"DF,FW",Belgium,30,1993,2.4,98,93,5,1,1,0,3,4,0,0,0,0,84,0,1
Dani Carvajal,DF,Spain,32,1992,5.2,325,286,39,5,0,1,10,34,0,0,0,0,291,0,5
Timothy Castagne,DF,Belgium,28,1995,4.0,221,187,34,3,0,0,5,31,0,0,0,0,187,0,4
Koen Casteels,GK,Belgium,31,1992,4.0,143,103,39,4,0,0,0,0,0,0,0,0,119,1,0
Žan Celar,"FW,MF",Slovenia,24,1999,0.7,18,17,1,0,0,0,0,0,0,0,0,0,15,0,0
Zeki Çelik,"DF,MF",Türkiye,26,1997,1.2,55,46,9,2,0,0,6,7,0,0,0,0,44,0,5
Václav Černý,MF,Czechia,26,1997,0.6,33,29,4,0,0,1,5,0,4,1,3,0,26,0,1
Giorgi Chakvetadze,"MF,FW",Georgia,24,1999,2.7,93,88,5,0,0,1,4,1,4,3,1,0,79,0,1
Federico Chiesa,"FW,MF",Italy,26,1997,2.9,104,100,3,1,1,1,17,0,2,1,1,0,69,1,9
Tomáš Chorý,MF,Czechia,29,1995,0.4,6,6,0,0,0,0,0,0,0,0,0,0,2,0,1
Andreas Christensen,DF,Denmark,27,1996,3.9,231,228,3,3,0,0,0,0,0,0,0,0,218,0,1
Ryan Christie,"MF,FW",Scotland,28,1995,1.1,20,17,3,0,0,0,1,1,0,0,0,0,15,0,1
Mojmir Chytil,FW,Czechia,24,1999,1.2,15,14,1,0,0,0,2,0,0,0,0,0,6,0,3
Alexandru Cicâldău,MF,Romania,26,1997,0.2,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0
Florinel Coman,MF,Romania,25,1998,1.3,28,26,2,0,0,0,1,2,0,0,0,0,20,0,2
Kingsley Coman,MF,France,27,1996,0.2,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0
Francisco Conceição,"FW,MF",Portugal,21,2002,2.0,129,127,2,0,0,0,16,2,0,0,0,0,101,0,5
