Player,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Jaka Bijol,DF,Slovenia,24,1999,4.3,0,1,0,0.0,0.23,0.00,0.00,,7.1,0,0,0,0.0,0.0,0.01,0.0,0.0
Veljko Birmančević,DF,Serbia,25,1998,0.3,0,1,0,0.0,3.46,0.00,0.00,,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0
Daley Blind,FW,Netherlands,33,1990,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bendegúz Bolla,DF,Hungary,24,1999,2.3,0,3,1,33.3,1.32,0.44,0.00,0.00,22.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Endre Botka,DF,Hungary,29,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jarrod Bowen,FW,England,27,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Róbert Boženík,FW,Slovakia,24,1999,2.3,0,3,1,33.3,1.30,0.43,0.00,0.00,17.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Volodymyr Brazhko,MF,Ukraine,22,2002,2.0,0,2,1,50.0,0.99,0.49,0.00,0.00,30.6,0,0,0,0.0,0.0,0.02,0.0,0.0
David Brekalo,MF,Slovenia,25,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Brian Brobbey,FW,Netherlands,21,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Armando Broja,FW,Albania,22,2001,1.2,0,2,2,100.0,1.67,1.67,0.00,0.00,13.8,0,0,0,0.2,0.2,0.11,-0.2,-0.2
Marcelo Brozović,MF,Croatia,31,1992,2.5,0,3,2,66.7,1.20,0.80,0.00,0.00,24.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Jacob Bruun Larsen,FW,Denmark,25,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ante Budimir,FW,Croatia,32,1991,1.4,0,5,3,60.0,3.69,2.21,0.00,0.00,9.3,0,0,0,0.8,0.5,0.10,-0.8,-0.5
Adam Buksa,FW,Poland,27,1996,1.7,1,3,1,33.3,1.81,0.60,0.33,1.00,12.8,0,0,0,0.2,0.2,0.05,+0.8,+0.8
Andrei Burcă,DF,Romania,30,1993,4.0,0,1,0,0.0,0.25,0.00,0.00,,9.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Riccardo Calafiori,DF,Italy,21,2002,3.0,0,3,0,0.0,1.00,0.00,0.00,,11.1,0,0,0,0.3,0.3,0.10,-0.3,-0.3
