Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Róbert Boženík,FW,Slovakia,24,1999,2.3,0,0,0,5,1,0,2,0,3,0,0,0,6,3,10,23.1
Volodymyr Brazhko,MF,Ukraine,22,2002,2.0,0,0,0,2,3,0,0,5,5,0,0,0,9,0,3,0.0
David Brekalo,MF,Slovenia,25,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Brian Brobbey,FW,Netherlands,21,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Armando Broja,FW,Albania,22,2001,1.2,1,0,0,2,5,0,0,0,1,0,0,0,1,2,1,66.7
Marcelo Brozović,MF,Croatia,31,1992,2.5,1,0,0,2,0,0,4,4,0,0,0,0,2,1,1,50.0
Jacob Bruun Larsen,FW,Denmark,25,1998,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Ante Budimir,FW,Croatia,32,1991,1.4,0,0,0,5,1,0,1,0,2,0,0,0,1,7,11,38.9
Adam Buksa,FW,Poland,27,1996,1.7,0,0,0,2,4,0,0,0,0,0,0,0,0,3,7,30.0
Andrei Burcă,DF,Romania,30,1993,4.0,1,0,0,1,1,0,1,1,2,0,0,0,8,6,8,42.9
Riccardo Calafiori,DF,Italy,21,2002,3.0,2,0,0,4,2,0,1,6,1,0,0,1,13,7,2,77.8
