Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Hakan Çalhanoğlu,MF,Türkiye,29,1994,3.9,2,0,0,7,3,1,16,1,4,0,0,0,22,3,3,50.0
Eduardo Camavinga,MF,France,21,2002,1.9,1,0,0,8,6,0,0,1,2,0,0,0,5,2,0,100.0
Andrea Cambiaso,"FW,DF",Italy,23,2000,0.8,0,0,0,2,1,0,5,0,4,0,0,0,4,0,0,
Emre Can,MF,Germany,30,1994,1.1,0,0,0,2,2,0,0,1,3,0,0,0,2,0,1,0.0
João Cancelo,"DF,MF",Portugal,29,1994,3.8,1,0,0,1,4,0,9,4,4,0,0,0,22,4,4,50.0
Yannick Carrasco,"DF,FW",Belgium,30,1993,2.4,0,0,0,2,1,1,3,0,2,0,0,0,11,0,0,
Dani Carvajal,DF,Spain,32,1992,5.2,3,1,1,5,3,0,10,6,5,0,0,0,18,6,8,42.9
Timothy Castagne,DF,Belgium,28,1995,4.0,0,0,0,2,0,0,5,2,1,0,0,0,14,3,5,37.5
Koen Casteels,GK,Belgium,31,1992,4.0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100.0
Žan Celar,"FW,MF",Slovenia,24,1999,0.7,1,0,0,1,0,2,0,1,1,0,0,0,1,2,0,100.0
Zeki Çelik,"DF,MF",Türkiye,26,1997,1.2,1,0,0,3,0,0,6,0,0,0,0,0,4,2,2,50.0
Václav Černý,MF,Czechia,26,1997,0.6,0,0,0,1,0,1,5,0,1,0,0,0,2,0,0,
Giorgi Chakvetadze,"MF,FW",Georgia,24,1999,2.7,0,0,0,4,1,0,4,1,5,0,0,0,10,3,3,50.0
Federico Chiesa,"FW,MF",Italy,26,1997,2.9,0,0,0,3,1,0,17,3,4,0,0,0,9,0,1,0.0
Tomáš Chorý,MF,Czechia,29,1995,0.4,0,1,0,2,1,0,0,0,0,0,0,0,0,2,6,25.0
Andreas Christensen,DF,Denmark,27,1996,3.9,0,0,0,2,3,0,0,6,2,0,0,0,10,9,3,75.0
Ryan Christie,"MF,FW",Scotland,28,1995,1.1,0,0,0,3,4,0,1,0,0,0,0,0,4,4,2,66.7
Mojmir Chytil,FW,Czechia,24,1999,1.2,0,0,0,2,3,0,2,0,0,0,0,0,3,3,5,37.5
Alexandru Cicâldău,MF,Romania,26,1997,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Florinel Coman,MF,Romania,25,1998,1.3,0,0,0,0,1,0,1,1,1,0,0,0,2,1,0,100.0
Kingsley Coman,MF,France,27,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Francisco Conceição,"FW,MF",Portugal,21,2002,2.0,1,0,0,2,3,0,16,0,1,0,0,0,9,0,1,0.0
Diogo Costa,GK,Portugal,24,1999,5.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
Vladimír Coufal,"DF,FW",Czechia,31,1992,3.0,1,0,0,1,1,0,22,2,4,0,0,0,12,3,5,37.5
Bryan Cristante,MF,Italy,28,1995,1.5,1,0,0,3,1,0,3,2,0,0,0,0,4,3,1,75.0
Kevin Csoboth,DF,Hungary,23,2000,0.1,2,0,0,2,2,0,0,0,0,0,0,0,2,0,0,
Marc Cucurella,DF,Spain,25,1998,6.1,0,0,0,8,12,0,5,8,9,0,0,0,21,9,6,60.0
