Player,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Kevin De Bruyne,MF,Belgium,32,1991,4.0,271,3,26,115,132,12,271,13,6,46.2,5,38.5,160,654,402,7,10,2,5,5,187,21
Charles De Ketelaere,FW,Belgium,22,2001,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Zeno Debast,DF,Belgium,20,2003,1.2,124,13,61,59,4,1,124,0,0,,0,,85,302,181,0,0,0,1,0,87,0
Thomas Delaney,MF,Denmark,32,1991,0.9,43,1,15,21,7,1,43,0,0,,0,,19,61,30,2,0,0,2,1,21,4
Ousmane Dembélé,"FW,MF",France,26,1997,4.0,228,2,13,72,147,25,228,32,15,46.9,11,34.4,160,1451,880,32,18,12,8,0,161,46
Merih Demiral,DF,Türkiye,25,1998,2.3,140,34,86,44,10,3,140,0,0,,0,,51,271,139,0,0,0,0,1,75,0
Giovanni Di Lorenzo,"DF,FW",Italy,30,1993,4.0,353,9,84,196,74,5,353,1,1,100.0,0,0.0,259,910,410,4,7,0,3,1,261,9
Rúben Dias,DF,Portugal,26,1997,4.7,443,38,160,255,30,4,443,1,1,100.0,0,0.0,316,1633,874,6,6,0,1,1,357,4
Federico Dimarco,"DF,FW",Italy,26,1997,2.5,145,5,34,56,56,5,145,3,1,33.3,2,66.7,94,413,215,6,3,2,1,4,96,13
Berat Djimsiti,DF,Albania,30,1993,3.0,171,34,107,58,6,3,171,1,1,100.0,0,0.0,87,286,157,1,0,0,0,0,118,0
Jeremy Doku,"FW,MF",Belgium,21,2002,3.6,166,2,16,63,90,28,166,36,16,44.4,16,44.4,121,1150,669,30,12,20,10,10,134,31
Kasper Dolberg,FW,Denmark,26,1997,0.4,12,0,1,5,7,0,12,0,0,,0,,4,10,0,0,0,0,0,0,9,3
Gianluigi Donnarumma,GK,Italy,24,1999,4.0,117,102,116,1,0,0,117,0,0,,0,,75,410,177,0,0,0,0,0,57,0
