Player,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Johan Bakayoko,"FW,DF",Belgium,20,2003,0.5,2,1,1,1,0,0,3,0.0,3,0,0,0,0,2,0,0
Jure Balkovec,DF,Slovenia,29,1994,1.3,6,3,2,3,1,2,5,40.0,3,2,0,2,2,8,8,0
Iván Balliu,DF,Albania,32,1992,1.0,0,0,0,0,0,0,0,,0,1,1,0,2,2,2,0
Nicușor Bancu,DF,Romania,31,1992,3.0,2,2,2,0,0,1,1,100.0,0,6,2,4,0,2,11,0
Antonín Barák,MF,Czechia,29,1994,0.5,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0
Bradley Barcola,"FW,MF",France,21,2002,1.1,4,4,1,1,2,1,4,25.0,3,6,0,6,0,4,0,0
Abdülkerim Bardakcı,DF,Türkiye,29,1994,4.0,4,2,4,0,0,3,6,50.0,3,5,3,2,2,6,20,0
Nicolò Barella,MF,Italy,26,1997,3.7,10,5,3,7,0,5,8,62.5,3,3,0,3,3,13,2,1
Alessandro Bastoni,DF,Italy,24,1999,4.0,5,2,2,3,0,2,3,66.7,1,4,2,2,1,6,17,0
Martin Baturina,FW,Croatia,20,2003,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Christoph Baumgartner,"MF,FW",Austria,24,1999,3.2,4,1,2,1,1,1,2,50.0,1,1,0,1,1,5,3,0
Altay Bayındır,GK,Türkiye,25,1998,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jan Bednarek,DF,Poland,27,1996,3.0,2,1,2,0,0,2,6,33.3,4,8,7,1,3,5,13,0
Maximilian Beier,FW,Germany,21,2002,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jude Bellingham,"MF,FW",England,20,2003,7.4,15,11,3,5,7,2,9,22.2,7,7,1,6,4,19,7,1
László Bénes,MF,Slovakia,26,1997,0.8,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0
Bartosz Bereszyński,DF,Poland,31,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Steven Bergwijn,FW,Netherlands,26,1997,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
Medon Berisha,MF,Albania,20,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Victor Bernth Kristiansen,"DF,MF",Denmark,21,2002,1.7,4,3,3,1,0,1,2,50.0,1,2,0,2,0,4,4,1
Matúš Bero,"MF,DF",Slovakia,28,1995,0.5,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0
Jaka Bijol,DF,Slovenia,24,1999,4.3,11,6,10,1,0,5,6,83.3,1,10,7,3,6,17,38,0
Veljko Birmančević,DF,Serbia,25,1998,0.3,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
Daley Blind,FW,Netherlands,33,1990,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Bendegúz Bolla,DF,Hungary,24,1999,2.3,4,3,3,0,1,2,4,50.0,2,3,1,2,1,5,9,0
Endre Botka,DF,Hungary,29,1994,1.0,3,1,2,1,0,1,1,100.0,0,0,0,0,1,4,3,0
Jarrod Bowen,FW,England,27,1996,0.4,1,1,0,1,0,0,1,0.0,1,1,0,1,1,2,1,0
Róbert Boženík,FW,Slovakia,24,1999,2.3,3,3,0,3,0,0,1,0.0,1,1,0,1,0,3,3,0
Volodymyr Brazhko,MF,Ukraine,22,2002,2.0,8,5,5,3,0,1,1,100.0,0,2,1,1,5,13,4,0
David Brekalo,MF,Slovenia,25,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Brian Brobbey,FW,Netherlands,21,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Armando Broja,FW,Albania,22,2001,1.2,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0
Marcelo Brozović,MF,Croatia,31,1992,2.5,1,0,1,0,0,0,2,0.0,2,3,1,2,4,5,4,0
Jacob Bruun Larsen,FW,Denmark,25,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ante Budimir,FW,Croatia,32,1991,1.4,2,2,0,1,1,1,1,100.0,0,3,1,2,0,2,2,0
Adam Buksa,FW,Poland,27,1996,1.7,0,0,0,0,0,0,0,,0,4,0,4,0,0,3,0
Andrei Burcă,DF,Romania,30,1993,4.0,4,2,3,1,0,3,4,75.0,1,7,4,3,1,5,23,0
Riccardo Calafiori,DF,Italy,21,2002,3.0,3,1,3,0,0,2,6,33.3,4,2,1,1,6,9,9,0
Hakan Çalhanoğlu,MF,Türkiye,29,1994,3.9,5,4,3,2,0,3,6,50.0,3,3,1,2,1,6,6,0
Eduardo Camavinga,MF,France,21,2002,1.9,5,2,3,1,1,2,5,40.0,3,9,1,8,1,6,5,0
Andrea Cambiaso,"FW,DF",Italy,23,2000,0.8,4,4,4,0,0,3,4,75.0,1,1,1,0,0,4,0,0
Emre Can,MF,Germany,30,1994,1.1,4,3,2,2,0,2,2,100.0,0,2,2,0,1,5,2,0
João Cancelo,"DF,MF",Portugal,29,1994,3.8,6,4,2,2,2,4,8,50.0,4,2,0,2,4,10,8,1
Yannick Carrasco,"DF,FW",Belgium,30,1993,2.4,4,2,0,4,0,3,7,42.9,4,0,0,0,0,4,3,0
Dani Carvajal,DF,Spain,32,1992,5.2,9,5,4,3,2,3,8,37.5,5,7,3,4,6,15,6,2
Timothy Castagne,DF,Belgium,28,1995,4.0,1,1,0,1,0,0,2,0.0,2,5,2,3,2,3,14,0
Koen Casteels,GK,Belgium,31,1992,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Žan Celar,"FW,MF",Slovenia,24,1999,0.7,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,2,0
Zeki Çelik,"DF,MF",Türkiye,26,1997,1.2,3,0,2,1,0,3,4,75.0,1,1,0,1,0,3,0,0
Václav Černý,MF,Czechia,26,1997,0.6,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,1,0
Giorgi Chakvetadze,"MF,FW",Georgia,24,1999,2.7,10,5,7,2,1,6,9,66.7,3,7,2,5,1,11,3,0
Federico Chiesa,"FW,MF",Italy,26,1997,2.9,6,4,4,1,1,3,5,60.0,2,0,0,0,3,9,2,0
Tomáš Chorý,MF,Czechia,29,1995,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Andreas Christensen,DF,Denmark,27,1996,3.9,4,2,4,0,0,3,3,100.0,0,3,1,2,6,10,11,0
Ryan Christie,"MF,FW",Scotland,28,1995,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Mojmir Chytil,FW,Czechia,24,1999,1.2,0,0,0,0,0,0,0,,0,2,0,2,0,0,2,0
Alexandru Cicâldău,MF,Romania,26,1997,0.2,2,0,2,0,0,1,1,100.0,0,1,0,1,0,2,0,0
Florinel Coman,MF,Romania,25,1998,1.3,1,1,1,0,0,0,0,,0,1,0,1,1,2,2,0
Kingsley Coman,MF,France,27,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Francisco Conceição,"FW,MF",Portugal,21,2002,2.0,2,1,0,2,0,0,3,0.0,3,1,0,1,0,2,0,0
Diogo Costa,GK,Portugal,24,1999,5.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Vladimír Coufal,"DF,FW",Czechia,31,1992,3.0,5,4,4,1,0,4,9,44.4,5,7,6,1,2,7,13,0
Bryan Cristante,MF,Italy,28,1995,1.5,0,0,0,0,0,0,0,,0,1,1,0,2,2,1,0
Kevin Csoboth,DF,Hungary,23,2000,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Marc Cucurella,DF,Spain,25,1998,6.1,12,9,3,6,3,5,8,62.5,3,9,4,5,8,20,12,0
Mirlind Daku,FW,Albania,26,1998,0.1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Diogo Dalot,"DF,MF",Portugal,24,1999,1.7,1,1,1,0,0,0,0,,0,2,1,1,1,2,1,0
Mikkel Damsgaard,FW,Denmark,23,2000,0.4,1,1,1,0,0,0,0,,0,1,0,1,1,2,1,0
Kevin Danso,DF,Austria,25,1998,2.4,0,0,0,0,0,0,1,0.0,1,4,3,1,0,0,13,0
Márton Dárdai,DF,Hungary,21,2002,1.9,4,1,4,0,0,2,5,40.0,3,2,0,2,0,4,3,0
Matteo Darmian,DF,Italy,34,1989,1.8,1,1,1,0,0,1,2,50.0,1,4,3,1,1,2,6,0
Zuriko Davitashvili,"FW,MF",Georgia,22,2001,1.3,4,3,2,0,2,2,3,66.7,1,3,0,3,0,4,1,0
Paweł Dawidowicz,DF,Poland,28,1995,2.0,1,0,1,0,0,0,1,0.0,1,4,3,1,0,1,7,0
Kevin De Bruyne,MF,Belgium,32,1991,4.0,5,1,3,0,2,1,3,33.3,2,2,0,2,0,5,2,0
Charles De Ketelaere,FW,Belgium,22,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Zeno Debast,DF,Belgium,20,2003,1.2,3,1,2,1,0,1,1,100.0,0,3,1,2,0,3,8,0
Thomas Delaney,MF,Denmark,32,1991,0.9,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0
Ousmane Dembélé,"FW,MF",France,26,1997,4.0,8,5,0,5,3,3,3,100.0,0,7,0,7,1,9,2,1
Merih Demiral,DF,Türkiye,25,1998,2.3,2,2,2,0,0,2,2,100.0,0,8,6,2,4,6,26,1
Giovanni Di Lorenzo,"DF,FW",Italy,30,1993,4.0,13,9,9,3,1,7,12,58.3,5,4,1,3,6,19,6,1
Rúben Dias,DF,Portugal,26,1997,4.7,2,1,2,0,0,1,3,33.3,2,7,4,3,3,5,12,0
Federico Dimarco,"DF,FW",Italy,26,1997,2.5,4,2,0,2,2,2,2,100.0,0,4,2,2,2,6,2,1
Berat Djimsiti,DF,Albania,30,1993,3.0,1,0,1,0,0,0,1,0.0,1,8,5,3,2,3,16,0
Jeremy Doku,"FW,MF",Belgium,21,2002,3.6,3,2,3,0,0,1,4,25.0,3,1,0,1,1,4,1,1
Kasper Dolberg,FW,Denmark,26,1997,0.4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Gianluigi Donnarumma,GK,Italy,24,1999,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
David Doudera,FW,Czechia,25,1998,1.0,3,2,3,0,0,3,4,75.0,1,1,0,1,0,3,2,0
Artem Dovbyk,FW,Ukraine,26,1997,2.7,2,2,0,0,2,0,0,,0,0,0,0,1,3,2,0
Denis Drăguș,FW,Romania,24,1999,3.2,2,1,1,0,1,0,5,0.0,5,4,1,3,1,3,8,0
Radu Drăgușin,DF,Romania,21,2002,4.0,1,1,1,0,0,1,3,33.3,2,6,4,2,6,7,33,0
Vanja Drkušič,DF,Slovenia,24,1999,4.3,12,7,11,1,0,11,13,84.6,2,3,2,1,1,13,16,0
Kwadwo Duah,FW,Switzerland,26,1997,1.2,1,1,0,0,1,1,1,100.0,0,0,0,0,1,2,0,0
Martin Dúbravka,GK,Slovakia,35,1989,4.3,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,1
Ondrej Duda,MF,Slovakia,29,1994,3.5,7,3,2,4,1,4,6,66.7,2,8,3,5,3,10,5,0
Denzel Dumfries,DF,Netherlands,27,1996,5.0,7,5,4,0,3,4,7,57.1,3,5,2,3,3,10,6,0
Dávid Ďuriš,"FW,MF",Slovakia,24,1999,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lasha Dvali,DF,Georgia,28,1995,4.0,8,3,7,1,0,4,7,57.1,3,6,5,1,1,9,24,0
Timi Elšnik,MF,Slovenia,25,1998,4.0,13,7,7,4,2,5,7,71.4,2,6,3,3,4,17,5,0
Breel Embolo,FW,Switzerland,26,1997,3.3,3,3,0,2,1,0,0,,0,3,0,3,1,4,3,0
Christian Eriksen,"MF,FW",Denmark,31,1992,3.9,6,2,1,3,2,3,4,75.0,1,3,0,3,2,8,2,0
Eberechi Eze,"DF,MF",England,25,1998,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Wout Faes,DF,Belgium,25,1998,4.0,10,7,5,5,0,3,3,100.0,0,5,3,2,4,14,11,2
Nicolò Fagioli,MF,Italy,22,2001,1.1,3,1,2,0,1,1,2,50.0,1,1,1,0,0,3,0,0
João Félix,"MF,FW",Portugal,24,1999,1.2,0,0,0,0,0,0,4,0.0,4,0,0,0,0,0,0,0
Bruno Fernandes,MF,Portugal,29,1994,4.2,8,5,5,3,0,2,3,66.7,1,6,1,5,2,10,2,0
Attila Fiola,DF,Hungary,33,1990,2.0,3,1,2,0,1,2,2,100.0,0,1,1,0,0,3,9,0
Phil Foden,"FW,MF",England,23,2000,6.9,7,4,2,3,2,1,4,25.0,3,7,0,7,1,8,4,0
Youssouf Fofana,MF,France,25,1999,0.5,1,1,1,0,0,0,3,0.0,3,0,0,0,1,2,1,0
Michael Folorunsho,FW,Italy,25,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Przemysław Frankowski,DF,Poland,28,1995,3.0,7,5,6,0,1,3,12,25.0,9,1,0,1,1,8,12,0
Davide Frattesi,MF,Italy,24,1999,2.1,2,1,1,1,0,1,2,50.0,1,0,0,0,0,2,1,0
Remo Freuler,MF,Switzerland,31,1992,5.1,8,5,3,3,2,1,7,14.3,6,8,0,8,4,12,10,0
Jeremie Frimpong,FW,Netherlands,23,2000,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Chris Führich,FW,Germany,26,1998,0.2,1,1,0,0,1,1,1,100.0,0,2,0,2,0,1,0,0
Niclas Füllkrug,FW,Germany,30,1993,1.8,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,3,0
Mijat Gaćinović,DF,Serbia,28,1995,0.5,1,1,1,0,0,1,2,50.0,1,2,0,2,0,1,0,0
Cody Gakpo,FW,Netherlands,24,1999,5.8,9,8,3,4,2,2,12,16.7,10,5,0,5,4,13,5,0
Conor Gallagher,MF,England,23,2000,1.3,1,0,1,0,0,0,2,0.0,2,3,1,2,1,2,4,1
Dániel Gazdag,MF,Hungary,27,1996,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Lutsharel Geertruida,DF,Netherlands,23,2000,1.2,4,3,3,1,0,0,0,,0,2,0,2,0,4,0,0
Billy Gilmour,MF,Scotland,22,2001,2.0,1,1,0,1,0,0,0,,0,2,0,2,0,1,2,0
Olivier Giroud,FW,France,37,1986,0.7,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0
Klaus Gjasula,MF,Albania,34,1989,0.2,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
Adam Gnezda Čerin,MF,Slovenia,24,1999,4.3,9,5,8,1,0,4,9,44.4,5,7,0,7,5,14,10,0
Anthony Gordon,FW,England,22,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jon Gorenc Stanković,MF,Slovenia,28,1996,1.0,1,1,1,0,0,0,1,0.0,1,3,3,0,0,1,2,0
Michael Gregoritsch,FW,Austria,29,1994,1.4,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0
Antoine Griezmann,"MF,FW",France,32,1991,4.4,5,3,2,2,1,4,6,66.7,2,4,0,4,1,6,2,1
Florian Grillitsch,MF,Austria,28,1995,2.2,2,1,1,0,1,1,3,33.3,2,0,0,0,6,8,0,0
Álex Grimaldo,DF,Spain,28,1995,1.3,1,1,1,0,0,1,2,50.0,1,1,0,1,3,4,4,0
Pascal Groß,MF,Germany,32,1991,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Kamil Grosicki,MF,Poland,35,1988,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Nemanja Gudelj,MF,Serbia,32,1991,1.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0
Marc Guéhi,DF,England,23,2000,6.3,3,2,1,1,1,1,2,50.0,1,11,6,5,2,5,13,0
Péter Gulácsi,GK,Hungary,33,1990,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0
Arda Güler,"FW,MF",Türkiye,18,2005,3.8,9,5,5,2,2,7,11,63.6,4,0,0,0,3,12,0,0
İlkay Gündoğan,MF,Germany,33,1990,4.3,5,4,1,3,1,0,2,0.0,2,0,0,0,1,6,0,0
Angus Gunn,GK,Scotland,28,1996,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Mert Günok,GK,Türkiye,34,1989,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,2
Joško Gvardiol,DF,Croatia,22,2002,3.0,5,3,3,1,1,2,4,50.0,2,2,1,1,5,10,4,0
Giorgi Gwelesiani,DF,Georgia,32,1991,1.8,3,3,3,0,0,3,5,60.0,2,3,3,0,2,5,15,1
Norbert Gyömbér,DF,Slovakia,31,1992,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
Ianis Hagi,MF,Romania,25,1998,2.1,5,3,2,1,2,2,4,50.0,2,1,0,1,0,5,4,0
Dávid Hancko,DF,Slovakia,26,1997,4.1,10,5,6,4,0,4,11,36.4,7,7,2,5,3,13,10,0
Grant Hanley,DF,Scotland,32,1991,2.5,2,0,1,1,0,0,0,,0,2,1,1,1,3,11,0
Lukáš Haraslín,FW,Slovakia,27,1996,2.9,4,4,2,1,1,4,6,66.7,2,1,0,1,3,7,5,0
Kai Havertz,"FW,MF",Germany,24,1999,4.3,2,1,1,1,0,2,2,100.0,0,4,0,4,0,2,8,0
Jack Hendry,DF,Scotland,28,1995,2.9,2,1,1,1,0,2,2,100.0,0,2,2,0,1,3,10,0
Benjamin Henrichs,DF,Germany,26,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Theo Hernández,DF,France,26,1997,6.3,10,6,7,2,1,6,9,66.7,3,6,5,1,3,13,12,2
Morten Hjulmand,MF,Denmark,24,1999,2.7,3,1,1,2,0,2,5,40.0,3,3,1,2,1,4,3,1
Adam Hložek,MF,Czechia,21,2002,1.2,1,0,0,0,1,0,1,0.0,1,0,0,0,1,2,1,0
Tomáš Holeš,DF,Czechia,30,1993,3.0,10,5,5,3,2,7,10,70.0,3,4,2,2,2,12,12,0
Arbër Hoxha,"FW,MF",Albania,25,1998,0.6,2,2,1,1,0,2,2,100.0,0,0,0,0,0,2,0,0
Robin Hranáč,DF,Czechia,24,2000,3.0,2,1,1,1,0,2,2,100.0,0,3,1,2,0,2,12,1
Elseid Hysaj,DF,Albania,29,1994,2.0,1,1,0,1,0,1,5,20.0,4,3,2,1,0,1,2,0
Pierre Højbjerg,MF,Denmark,28,1995,3.9,10,7,5,5,0,7,13,53.8,6,5,0,5,3,13,5,0
Rasmus Højlund,FW,Denmark,20,2003,3.2,3,1,0,1,2,1,4,25.0,3,0,0,0,1,4,1,0
Ivan Ilić,MF,Serbia,22,2001,2.2,6,4,4,1,1,3,3,100.0,0,4,3,1,0,6,3,1
Josip Iličić,"FW,MF",Slovenia,36,1988,0.3,2,1,1,0,1,1,1,100.0,0,0,0,0,0,2,0,0
Gonçalo Inácio,DF,Portugal,22,2001,1.3,2,2,1,1,0,2,5,40.0,3,6,0,6,1,3,5,0
Luka Ivanušec,MF,Croatia,25,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Erik Janža,DF,Slovenia,30,1993,3.0,4,4,3,1,0,1,5,20.0,4,1,1,0,2,6,8,0
Jorginho,MF,Italy,32,1991,2.4,6,2,6,0,0,3,8,37.5,5,3,0,3,4,10,1,0
Joselu,FW,Spain,33,1990,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0
Diogo Jota,"FW,MF",Portugal,27,1996,1.1,3,2,0,2,1,0,0,,0,1,0,1,0,3,0,0
Luka Jović,"MF,FW",Serbia,26,1997,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Josip Juranović,DF,Croatia,28,1995,1.0,3,3,1,2,0,2,3,66.7,1,1,1,0,1,4,1,0
David Jurásek,DF,Czechia,23,2000,1.8,3,2,2,1,0,2,5,40.0,3,1,1,0,1,4,2,0
Matěj Jurásek,"DF,MF",Czechia,20,2003,0.5,2,1,0,1,1,2,4,50.0,2,0,0,0,0,2,1,0
Ferdi Kadioglu,"DF,MF",Türkiye,24,1999,5.0,18,12,9,7,2,10,13,76.9,3,5,1,4,7,25,10,0
İrfan Kahveci,FW,Türkiye,28,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Otar Kakabadze,"DF,MF",Georgia,28,1995,4.0,12,8,10,1,1,10,18,55.6,8,3,1,2,4,16,8,0
Harry Kane,FW,England,30,1993,6.7,4,3,2,2,0,1,3,33.3,2,2,2,0,1,5,0,0
N'Golo Kanté,MF,France,32,1991,5.7,12,9,6,3,3,4,5,80.0,1,6,1,5,6,18,7,0
Žan Karničnik,DF,Slovenia,29,1994,4.3,8,4,7,1,0,7,12,58.3,5,5,3,2,8,16,11,0
Guram Kashia,DF,Georgia,36,1987,4.0,7,4,5,2,0,4,4,100.0,0,13,12,1,1,8,31,1
Milos Kerkez,DF,Hungary,20,2003,2.6,4,2,3,1,0,3,5,60.0,2,0,0,0,0,4,7,1
Semih Kılıçsoy,FW,Türkiye,18,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Joshua Kimmich,DF,Germany,28,1995,5.3,7,4,5,0,2,4,12,33.3,8,6,2,4,6,13,6,0
Otar Kiteishvili,MF,Georgia,27,1996,1.4,4,4,4,0,0,2,6,33.3,4,3,1,2,0,4,3,0
Jakub Kiwior,DF,Poland,23,2000,3.0,7,4,6,1,0,3,5,60.0,2,4,2,2,5,12,9,0
László Kleinheisler,MF,Hungary,29,1994,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Giorgi Kochorashvili,MF,Georgia,24,1999,4.0,9,5,5,4,0,5,6,83.3,1,6,4,2,5,14,6,1
Orkun Kökçü,MF,Türkiye,23,2000,2.5,3,2,2,0,1,1,4,25.0,3,3,1,2,1,4,2,0
Randal Kolo Muani,FW,France,25,1998,2.2,1,0,1,0,0,1,1,100.0,0,2,1,1,1,2,4,0
Yukhym Konoplia,DF,Ukraine,24,1999,0.8,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0
Ezri Konsa,DF,England,26,1997,1.0,2,0,2,0,0,1,1,100.0,0,3,2,1,0,2,8,0
Filip Kostić,DF,Serbia,31,1992,0.5,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,1,0
Jules Koundé,DF,France,25,1998,6.3,18,12,7,5,6,10,17,58.8,7,5,0,5,2,20,22,0
Mateo Kovačić,MF,Croatia,29,1994,2.5,8,6,2,5,1,2,5,40.0,3,2,1,1,3,11,0,0
Matej Kovar,GK,Czechia,23,2000,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Andrej Kramarić,FW,Croatia,32,1991,2.7,0,0,0,0,0,0,0,,0,3,1,2,1,1,1,0
Ladislav Krejčí,DF,Czechia,24,1999,3.0,3,2,3,0,0,0,3,0.0,3,1,1,0,5,8,9,0
Toni Kroos,MF,Germany,34,1990,5.2,9,4,4,4,1,3,5,60.0,2,3,0,3,7,16,5,0
Jan Kuchta,FW,Czechia,27,1997,1.1,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,2,0
Juraj Kucka,MF,Slovakia,36,1987,3.9,1,1,0,1,0,1,7,14.3,6,3,1,2,2,3,4,0
Jasmin Kurtić,FW,Slovenia,35,1989,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Khvicha Kvaratskhelia,FW,Georgia,22,2001,3.8,4,3,0,4,0,3,6,50.0,3,2,2,0,0,4,2,0
Nika Kvekveskiri,MF,Georgia,31,1992,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
Giorgi Kvilitaia,FW,Georgia,30,1993,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Saba Kvirkvelia,DF,Georgia,31,1992,2.0,4,3,3,1,0,3,3,100.0,0,2,2,0,1,5,17,1
Qazim Laçi,"MF,FW",Albania,28,1996,1.8,4,3,1,2,1,1,2,50.0,1,3,0,3,3,7,5,0
