Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Vladen Kovačević,BIH,GK,RKS Raków,25,1998,6,6,540,6.0,10,1.67,35,25,77.1,1,1,4,1,16.7,2,2,0,0,0.0
Maksym Koval,UKR,GK,Sheriff Tiraspol,30,1992,6,6,540,6.0,17,2.83,37,22,59.5,0,1,5,0,0.0,2,2,0,0,0.0
Matej Kovar,CZE,GK,Leverkusen,23,2000,12,12,"1,080",12.0,12,1.00,53,41,83.0,8,3,1,5,41.7,3,3,0,0,0.0
Tobias Lawal,AUT,GK,LASK,23,2000,6,6,540,6.0,12,2.00,28,16,67.9,1,0,5,1,16.7,3,3,0,0,0.0
Yuri Lodygin,RUS,GK,Panathinaikos,33,1990,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
Niklas Lomb,GER,GK,Leverkusen,30,1993,1,1,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,0,0,0,0,
Pau López,ESP,GK,Marseille,28,1994,13,13,"1,200",13.3,21,1.58,62,41,69.4,5,4,4,3,23.1,2,2,0,0,0.0
Andrey Lunyov,RUS,GK,Qarabağ,31,1991,10,10,924,10.3,18,1.75,58,41,72.4,4,2,4,2,20.0,2,2,0,0,0.0
Mike Maignan,FRA,GK,Milan,28,1995,6,6,470,5.2,8,1.53,21,13,71.4,3,0,3,1,16.7,2,2,0,0,0.0
Steve Mandanda,FRA,GK,Rennes,38,1985,7,7,630,7.0,10,1.43,27,17,70.4,4,0,3,2,28.6,2,2,0,0,0.0
Aleš Mandous,CZE,GK,Slavia Prague,31,1992,6,6,540,6.0,4,0.67,16,12,75.0,5,0,1,4,66.7,0,0,0,0,
Matheus,BRA,GK,Braga,31,1992,2,2,210,2.3,6,2.57,11,5,54.5,1,0,1,0,0.0,1,1,0,0,0.0
Anthony Moris,LUX,GK,Union SG,33,1990,6,6,540,6.0,8,1.33,25,17,76.0,2,2,2,1,16.7,2,2,0,0,0.0
Fernando Muslera,URU,GK,Galatasaray,37,1986,2,2,180,2.0,6,3.00,12,6,50.0,1,0,1,0,0.0,0,0,0,0,
Juan Musso,ARG,GK,Atalanta,29,1994,12,12,"1,080",12.0,8,0.67,33,25,84.8,7,4,1,5,41.7,3,3,0,0,0.0
Itamar Nitzan,ISR,GK,Maccabi Haifa,36,1987,1,1,90,1.0,3,3.00,11,8,72.7,0,0,1,0,0.0,0,0,0,0,
Alexandros Paschalakis,GRE,GK,Olympiacos,34,1989,6,6,540,6.0,14,2.33,28,14,53.6,2,1,3,0,0.0,1,1,0,0,0.0
Oliver Petersen,NOR,GK,Molde,21,2001,5,4,410,4.6,9,1.98,25,17,64.0,2,1,1,0,0.0,0,0,0,0,
Diant Ramaj,GER,GK,Ajax,21,2001,4,4,360,4.0,9,2.25,23,14,69.6,1,0,3,0,0.0,2,2,0,0,0.0
Pepe Reina,ESP,GK,Villarreal,40,1982,7,7,630,7.0,11,1.57,26,15,61.5,4,1,2,2,28.6,3,1,1,1,50.0
Guillaume Restes,FRA,GK,Toulouse,18,2005,8,8,720,8.0,11,1.37,30,20,70.0,3,3,2,3,37.5,2,2,0,0,0.0
Dmytro Riznyk,UKR,GK,Shakhtar,24,1999,2,2,180,2.0,5,2.50,11,6,54.5,0,1,1,0,0.0,0,0,0,0,
Francesco Rossi,ITA,GK,Atalanta,32,1991,1,0,7,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
Brice Samba,FRA,GK,Lens,29,1994,2,2,210,2.3,3,1.29,12,9,75.0,0,1,1,1,50.0,0,0,0,0,
Kjell Scherpen,NED,GK,Sturm Graz,23,2000,6,6,540,6.0,9,1.50,29,20,72.4,1,1,4,1,16.7,1,1,0,0,0.0
Rui Silva,POR,GK,Betis,29,1994,4,4,360,4.0,5,1.25,10,5,50.0,2,0,2,1,25.0,0,0,0,0,
Nikola Simić,SRB,GK,TSC Bačka Top,26,1996,1,1,90,1.0,3,3.00,8,5,62.5,0,0,1,0,0.0,0,0,0,0,
Marco Sportiello,ITA,GK,Milan,31,1992,1,0,70,0.8,1,1.29,1,0,0.0,0,0,0,0,,0,0,0,0,
Jindřich Staněk,CZE,GK,Slavia Prague,27,1996,2,2,180,2.0,7,3.50,14,7,50.0,0,0,2,0,0.0,0,0,0,0,
Cican Stankovic,AUT,GK,AEK Athens,30,1992,4,4,326,3.6,5,1.38,19,14,94.7,1,1,2,0,0.0,4,4,0,0,0.0
Jason Steele,ENG,GK,Brighton,32,1990,5,5,450,5.0,9,1.80,18,9,50.0,2,1,2,2,40.0,0,0,0,0,
Mile Svilar,SRB,GK,Roma,23,1999,14,14,"1,290",14.3,12,0.84,65,54,81.5,7,4,3,5,35.7,0,0,0,0,
Anatolii Trubin,UKR,GK,Benfica,21,2001,6,6,570,6.3,5,0.79,23,18,78.3,3,2,1,2,33.3,0,0,0,0,
Vaná,BRA,GK,Aris Limassol FC,32,1991,6,6,540,6.0,13,2.17,41,27,68.3,1,1,4,0,0.0,1,0,1,0,100.0
Bart Verbruggen,NED,GK,Brighton,20,2002,3,3,270,3.0,0,0.00,9,9,100.0,3,0,0,3,100.0,0,0,0,0,
Peter Vindahl Jensen,DEN,GK,Sparta Prague,25,1998,10,10,900,10.0,22,2.20,57,35,64.9,4,1,5,2,20.0,2,2,0,0,0.0
Timon Wellenreuther,GER,GK,Feyenoord,27,1995,2,2,210,2.3,2,0.86,7,5,71.4,0,2,0,0,0.0,0,0,0,0,
