Player,Nation,Pos,Squad,Comp,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Darko Brašanac,SRB,MF,Leganés,La Liga,32-248,1992,5.6,125,171,73.1,1811,446,72,85,84.7,40,60,66.7,6,14,42.9,0,0.0,0.1,0.0,1,6,1,0,15
Lilian Brassier,FRA,DF,Marseille,Ligue 1,24-350,1999,5.0,326,384,84.9,5013,1559,161,168,95.8,151,176,85.8,8,23,34.8,0,0.0,0.1,0.0,0,19,2,0,21
Matthias Braunöder,AUT,MF,Como,Serie A,22-204,2002,1.5,47,53,88.7,847,198,21,23,91.3,20,21,95.2,5,7,71.4,0,0.0,0.0,0.0,0,5,0,0,8
Iker Bravo,ESP,"MF,FW",Udinese,Serie A,19-278,2005,0.6,20,21,95.2,301,109,11,12,91.7,4,4,100.0,3,3,100.0,0,0.1,0.1,-0.1,2,2,0,0,2
Tim Breithaupt,GER,MF,Augsburg,Bundesliga,22-253,2002,1.3,58,67,86.6,1042,369,20,24,83.3,34,36,94.4,3,4,75.0,1,0.4,0.3,+0.6,1,10,1,1,10
Gleison Bremer,BRA,DF,Juventus,Serie A,27-213,1997,6.0,468,504,92.9,9245,3225,142,149,95.3,279,295,94.6,46,57,80.7,0,0.0,0.1,0.0,0,26,0,0,21
Brenner,BRA,"MF,FW",Udinese,Serie A,24-275,2000,4.1,77,102,75.5,1258,241,40,44,90.9,26,33,78.8,10,17,58.8,2,0.5,0.1,+1.5,4,5,1,1,4
Ben Brereton,CHI,FW,Southampton,Premier League,25-182,1999,4.3,118,148,79.7,1702,354,75,83,90.4,34,49,69.4,7,11,63.6,0,0.1,0.1,-0.1,3,8,1,1,8
Marco Brescianini,ITA,MF,Atalanta,Serie A,24-271,2000,4.1,91,112,81.3,1320,287,56,62,90.3,33,40,82.5,1,3,33.3,0,0.3,0.3,-0.3,3,5,4,0,13
Maximilian Breunig,GER,"FW,MF",Heidenheim,Bundesliga,24-064,2000,2.5,33,59,55.9,562,102,12,23,52.2,14,19,73.7,4,5,80.0,0,0.2,0.1,-0.2,3,4,0,0,6
David Brooks,WAL,MF,Bournemouth,Premier League,27-101,1997,0.1,7,7,100.0,136,65,3,3,100.0,3,3,100.0,1,1,100.0,0,0.3,0.3,-0.3,1,0,3,1,3
Moritz Broschinski,GER,FW,Bochum,Bundesliga,24-024,2000,3.1,32,53,60.4,436,88,17,24,70.8,8,12,66.7,2,5,40.0,1,0.4,0.4,+0.6,2,2,1,1,4
Jacob Bruun Larsen,DEN,"DF,FW",Hoffenheim,Bundesliga,26-028,1998,1.0,27,38,71.1,452,150,15,18,83.3,6,9,66.7,5,8,62.5,0,0.0,0.2,0.0,1,2,0,0,4
Ante Budimir,CRO,FW,Osasuna,La Liga,33-087,1991,6.6,62,102,60.8,839,116,40,63,63.5,20,28,71.4,0,2,0.0,1,0.3,0.5,+0.7,3,3,0,0,5
