Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Geny Catamo,MOZ,"MF,DF",Sporting CP,23-284,2001,6.4,286,351,81.5,4471,1259,150,172,87.2,115,133,86.5,15,25,60.0,2,3.0,2.1,-1.0,10,17,15,1,35
Cauê,BRA,FW,Gil Vicente FC,21-355,2002,5.3,71,97,73.2,927,168,37,47,78.7,17,24,70.8,4,4,100.0,0,0.1,0.1,-0.1,1,8,2,0,8
César,BRA,GK,Boavista,32-283,1992,4.0,58,106,54.7,2185,1891,8,8,100.0,14,14,100.0,36,82,43.9,0,0.0,0.0,0.0,0,1,0,0,0
Tidjany Chabrol,FRA,FW,Gil Vicente FC,22-113,2002,3.7,104,120,86.7,1448,258,62,71,87.3,31,34,91.2,4,4,100.0,1,0.3,0.4,+0.7,2,7,6,0,12
Till Cissokho,FRA,DF,Estrela,24-271,2000,4.0,168,201,83.6,3504,1304,47,56,83.9,93,99,93.9,28,40,70.0,0,0.0,0.0,0.0,0,5,0,0,8
Clayton,BRA,DF,AVS Futebol,24-215,2000,2.0,82,92,89.1,1732,822,19,21,90.5,48,50,96.0,13,19,68.4,0,0.0,0.0,0.0,0,5,0,0,8
Clayton,BRA,FW,Rio Ave,25-299,1999,9.6,111,163,68.1,1754,238,58,82,70.7,42,49,85.7,7,14,50.0,1,0.8,0.4,+0.2,5,8,3,0,15
Diego Collado,ESP,"MF,FW",Gil Vicente FC,23-301,2001,0.2,6,7,85.7,72,4,4,4,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Fábio Conceição,POR,"DF,MF",Rio Ave,23-191,2001,3.2,94,117,80.3,1563,472,43,45,95.6,41,51,80.4,8,14,57.1,0,0.4,0.4,-0.4,6,8,6,3,11
Leo Cordeiro,BRA,MF,Estrela,29-039,1995,8.5,340,405,84.0,5625,1584,159,179,88.8,147,166,88.6,22,35,62.9,0,0.2,0.2,-0.2,8,46,3,0,39
Félix Correia,POR,"FW,MF",Gil Vicente FC,23-288,2001,9.9,269,392,68.6,5014,1670,115,139,82.7,88,117,75.2,49,90,54.4,2,1.6,1.6,+0.4,18,26,17,2,52
Alberto costa,POR,DF,Vitória,21-037,2003,1.5,52,65,80.0,804,361,30,33,90.9,19,26,73.1,2,5,40.0,0,0.3,0.4,-0.3,4,4,4,1,6
Bruno Xavier Almeida Costa,POR,"MF,FW",Nacional,27-200,1997,2.1,68,79,86.1,1627,665,16,20,80.0,35,38,92.1,17,18,94.4,0,0.7,0.8,-0.7,10,6,1,1,9
Diogo Costa,POR,GK,Porto,25-047,1999,10.0,321,383,83.8,7889,5011,63,63,100.0,180,180,100.0,78,140,55.7,0,0.0,0.0,0.0,0,7,0,0,0
Gonçalo Costa,POR,DF,Estoril,24-261,2000,0.3,13,22,59.1,233,124,6,8,75.0,6,9,66.7,1,4,25.0,0,0.2,0.2,-0.2,2,0,1,0,2
Hélder Costa,ANG,FW,Estoril,30-298,1994,2.3,50,69,72.5,714,144,26,34,76.5,17,17,100.0,3,9,33.3,0,0.2,0.2,-0.2,2,3,2,1,7
