Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Colin Dagba,FRA,"MF,DF",Beerschot,26-038,1998,1.3,23,31,74.2,348,111,6,8,75.0,12,13,92.3,1,2,50.0,0,0.0,0.0,0.0,0,3,0,0,0
Jón Dagur Þorsteinsson,ISL,"MF,FW",OH Leuven,25-326,1998,1.0,15,38,39.5,291,193,8,15,53.3,4,10,40.0,3,11,27.3,0,0.1,0.1,-0.1,1,2,1,0,4
Jesper Daland,NOR,DF,Cercle Brugge,24-285,2000,2.0,72,110,65.5,1650,577,12,23,52.2,43,55,78.2,17,32,53.1,0,0.0,0.0,0.0,0,7,1,0,10
Tobi David,CAN,FW,Union SG,23-106,2001,1.3,12,25,48.0,197,50,6,9,66.7,3,10,30.0,1,2,50.0,0,0.0,0.1,0.0,0,1,0,0,2
Maxim De Cuyper,BEL,DF,Club Brugge,23-300,2000,9.1,582,740,78.6,12135,4369,219,240,91.3,245,295,83.1,106,175,60.6,1,2.9,3.3,-1.9,29,66,25,13,86
Dion De Neve,BEL,DF,Kortrijk,22-127,2002,7.0,149,230,64.8,2028,814,88,104,84.6,42,75,56.0,7,26,26.9,0,1.0,0.9,-1.0,10,13,12,5,18
Kamiel Van De Perre,BEL,MF,Union SG,20-248,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Nils De Wilde,BEL,MF,Cercle Brugge,21-264,2003,0.3,12,16,75.0,180,91,6,8,75.0,6,8,75.0,0,0,,0,0.0,0.0,0.0,1,2,1,0,2
Ortwin De Wolf,BEL,GK,Mechelen,27-177,1997,10.0,298,394,75.6,8381,5656,44,44,100.0,160,164,97.6,94,186,50.5,0,0.0,0.0,0.0,0,12,0,0,0
Max Dean,ENG,FW,Gent,20-239,2004,3.7,44,71,62.0,914,247,18,28,64.3,17,23,73.9,8,10,80.0,1,0.3,0.1,+0.7,1,8,2,0,11
Tristan Degreef,BEL,"MF,FW",Anderlecht,19-272,2005,1.1,28,41,68.3,441,111,13,21,61.9,10,12,83.3,2,4,50.0,0,0.0,0.1,0.0,0,0,2,2,3
Brecht Dejaegere,BEL,MF,Kortrijk,33-141,1991,3.5,71,104,68.3,1173,358,32,42,76.2,31,39,79.5,5,10,50.0,0,0.2,0.3,-0.2,2,9,2,0,16
Maxime Delanghe,BEL,GK,Cercle Brugge,23-147,2001,1.0,6,22,27.3,381,371,0,0,,0,0,,6,22,27.3,0,0.0,0.0,0.0,0,1,0,0,0
Mathias Delorge,BEL,MF,Gent,20-078,2004,9.9,471,587,80.2,9562,2288,171,204,83.8,209,240,87.1,78,117,66.7,1,0.4,0.8,+0.6,10,58,7,2,65
Isaías Delpupo,ARG,FW,Sint-Truiden,21-200,2003,0.1,1,1,100.0,14,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Bas van den Eynden,BEL,DF,Mechelen,22-284,2002,5.0,223,256,87.1,5049,1758,46,48,95.8,128,138,92.8,48,64,75.0,0,0.0,0.0,0.0,1,6,0,0,7
Leander Dendoncker,BEL,"MF,DF",Anderlecht,29-185,1995,4.0,260,295,88.1,4710,1186,101,113,89.4,126,136,92.6,25,27,92.6,0,0.2,0.1,-0.2,5,20,1,0,22
Kévin Denkey,TOG,FW,Cercle Brugge,23-322,2000,9.2,124,200,62.0,1763,350,68,107,63.6,46,62,74.2,3,6,50.0,1,1.2,0.7,-0.2,8,11,6,0,17
Alfie Devine,ENG,MF,Westerlo,20-077,2004,3.5,91,119,76.5,1582,374,37,48,77.1,41,51,80.4,8,12,66.7,0,0.0,0.1,0.0,2,7,2,0,16
Julien Devriendt,BEL,GK,Dender,25-327,1998,1.0,15,26,57.7,521,361,1,1,100.0,5,5,100.0,9,20,45.0,0,0.0,0.0,0.0,0,1,0,0,0
Gilles Dewaele,BEL,DF,Kortrijk,28-247,1996,3.4,79,112,70.5,1359,446,38,50,76.0,30,42,71.4,7,13,53.8,0,0.0,0.0,0.0,0,8,0,0,11
Ibrahim Diakité,GUI,"DF,MF",Cercle Brugge,20-352,2003,2.3,62,102,60.8,971,436,30,40,75.0,25,42,59.5,4,14,28.6,0,0.0,0.0,0.0,0,5,0,0,6
Guillaume Dietsch,FRA,GK,Dender,23-183,2001,0.5,4,5,80.0,102,56,0,0,,3,3,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0
Alouis Diriken,BEL,MF,Sint-Truiden,20-287,2004,1.6,37,43,86.0,608,124,13,16,81.3,24,26,92.3,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
Kasper Dolberg,DEN,FW,Anderlecht,27-011,1997,7.9,94,138,68.1,1258,233,61,77,79.2,22,39,56.4,6,7,85.7,0,0.8,0.3,-0.8,7,5,5,1,10
Mahamadou Doumbia,MLI,MF,Antwerp,20-155,2004,9.4,274,321,85.4,5147,1186,93,107,86.9,140,154,90.9,32,47,68.1,0,0.6,0.2,-0.6,7,23,4,0,25
Vetle Dragsnes,NOR,DF,Charleroi,30-254,1994,9.5,420,525,80.0,6886,2547,189,220,85.9,195,233,83.7,22,48,45.8,1,1.4,1.2,-0.4,12,23,13,6,35
Anders Dreyer,DEN,"FW,MF",Anderlecht,26-168,1998,6.9,177,245,72.2,3089,794,77,97,79.4,70,90,77.8,20,40,50.0,1,1.3,1.3,-0.3,18,12,9,3,22
Olivier Dumont,BEL,"FW,MF",Sint-Truiden,22-225,2002,1.9,46,59,78.0,770,200,22,24,91.7,18,23,78.3,4,6,66.7,0,0.4,0.6,-0.4,3,5,1,0,7
Dennis Eckert,GER,FW,Standard Liège,27-282,1997,2.4,36,58,62.1,516,134,20,29,69.0,10,18,55.6,3,6,50.0,0,0.2,0.1,-0.2,2,4,1,0,8
Dennis Eckert,GER,FW,Union SG,27-282,1997,2.2,30,39,76.9,418,62,18,21,85.7,11,12,91.7,0,1,0.0,0,0.1,0.1,-0.1,1,1,3,0,5
Samuel Edozie,ENG,FW,Anderlecht,21-263,2003,3.0,88,108,81.5,1128,319,58,64,90.6,25,36,69.4,2,3,66.7,0,0.4,0.3,-0.4,6,1,8,2,11
Malamine Efekele,FRA,"MF,FW",Cercle Brugge,20-090,2004,1.6,14,21,66.7,223,58,6,9,66.7,8,11,72.7,0,0,,0,0.1,0.1,-0.1,2,1,2,0,3
Jurgen Ekkelenkamp,NED,MF,Antwerp,24-195,2000,0.7,23,28,82.1,352,61,9,11,81.8,11,12,91.7,1,2,50.0,0,0.0,0.0,0.0,0,3,0,0,3
Matthieu Epolo,BEL,GK,Standard Liège,20-276,2004,10.0,155,294,52.7,5571,4730,19,21,90.5,50,54,92.6,85,214,39.7,0,0.0,0.0,0.0,0,9,0,0,0
Alieu Fadera,GAM,MF,Genk,22-349,2001,2.0,87,108,80.6,1347,272,47,51,92.2,31,39,79.5,6,10,60.0,0,0.4,0.6,-0.4,2,3,3,1,5
Noah Fadiga,SEN,"DF,MF",Gent,24-319,1999,7.1,213,265,80.4,3010,757,121,141,85.8,77,90,85.6,6,13,46.2,0,0.5,0.3,-0.5,6,10,5,0,21
Matias Fernandez-Pardo,BEL,"MF,FW",Gent,19-257,2005,1.8,33,46,71.7,494,130,14,18,77.8,10,16,62.5,4,6,66.7,0,0.0,0.0,0.0,0,4,1,0,6
Andrés Ferrari,URU,FW,Sint-Truiden,21-288,2003,0.5,5,7,71.4,76,0,3,4,75.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Fabio Ferraro,BEL,"DF,MF",Dender,22-044,2002,8.9,281,384,73.2,4828,1455,131,160,81.9,119,153,77.8,22,52,42.3,1,0.7,0.6,+0.3,7,21,10,4,30
Nacho Ferri,ESP,FW,Kortrijk,20-012,2004,6.7,73,127,57.5,1001,353,38,57,66.7,25,44,56.8,2,6,33.3,0,0.6,0.5,-0.6,4,10,4,1,16
Karol Fila,POL,DF,Dender,26-126,1998,2.8,92,105,87.6,1513,505,46,48,95.8,39,41,95.1,5,14,35.7,0,0.1,0.2,-0.1,2,6,5,2,12
Mathias Fixelles,BEL,MF,Westerlo,28-067,1996,0.0,2,3,66.7,38,12,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Alexis Flips,FRA,FW,Anderlecht,24-273,2000,0.0,1,3,33.3,12,1,1,2,50.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Alexis Flips,FRA,"FW,MF",Charleroi,24-273,2000,1.0,45,60,75.0,762,278,17,22,77.3,23,28,82.1,3,6,50.0,0,0.2,0.4,-0.2,3,7,1,0,7
Thomas Foket,BEL,DF,Anderlecht,30-022,1994,1.2,53,65,81.5,922,336,23,28,82.1,25,29,86.2,5,6,83.3,0,0.3,0.3,-0.3,2,5,5,3,6
Núrio Fortuna,ANG,"MF,DF",Gent,29-207,1995,0.1,5,8,62.5,81,38,3,4,75.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0.0,0,3,0,0,1
Marlon Fossey,USA,DF,Standard Liège,26-038,1998,8.8,289,373,77.5,4500,1595,151,175,86.3,110,145,75.9,19,32,59.4,0,0.7,1.3,-0.7,13,13,15,4,29
Iver Fossum,NOR,MF,Kortrijk,28-094,1996,2.0,47,63,74.6,805,273,21,27,77.8,20,25,80.0,5,8,62.5,0,0.1,0.1,-0.1,1,5,0,0,9
Daam Foulon,BEL,"DF,MF",Mechelen,25-208,1999,8.4,340,424,80.2,6018,1906,130,143,90.9,179,207,86.5,24,53,45.3,1,0.4,0.4,+0.6,6,24,5,2,43
Guillaume François,BEL,"FW,DF",Union SG,34-136,1990,1.2,29,48,60.4,555,341,13,20,65.0,8,10,80.0,6,12,50.0,0,0.2,0.3,-0.2,3,8,3,2,9
Matija Frigan,CRO,FW,Westerlo,21-249,2003,5.4,66,103,64.1,1240,239,18,36,50.0,29,37,78.4,11,14,78.6,1,0.7,0.3,+0.3,5,10,3,0,10
Haruya Fujii,JPN,DF,Kortrijk,23-296,2000,7.2,274,363,75.5,5534,2007,85,114,74.6,152,171,88.9,34,67,50.7,0,0.1,0.2,-0.1,2,41,4,1,34
Joel Fujita,JPN,MF,Sint-Truiden,22-244,2002,7.7,353,416,84.9,6387,1789,134,145,92.4,181,207,87.4,28,49,57.1,0,0.5,0.6,-0.5,12,37,6,1,45
Mohammed Fuseini,GHA,FW,Union SG,22-154,2002,8.3,96,137,70.1,1201,414,67,84,79.8,24,35,68.6,1,3,33.3,1,1.5,1.2,-0.5,12,7,8,0,16
Hugo Gambor,CTA,DF,Gent,21-292,2002,4.9,225,280,80.4,4119,1572,91,104,87.5,117,140,83.6,17,28,60.7,0,0.4,0.3,-0.4,1,25,1,1,35
Omri Gandelman,ISR,MF,Gent,24-154,2000,5.8,103,152,67.8,1474,452,59,80,73.8,32,43,74.4,4,12,33.3,1,0.5,0.2,+0.5,6,12,1,0,16
