Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Slavoljub Srnić,SRB,"MF,DF",Red Star,30,1992,2.8,73,96,76.0,1097,407,41,47,87.2,23,33,69.7,5,9,55.6,0,0.0,0.0,0.0,1,3,2,0,11
Jerry St. Juste,NED,DF,Sporting CP,25,1996,4.8,274,297,92.3,4913,1697,110,121,90.9,142,148,95.9,21,24,87.5,0,0.1,0.1,-0.1,3,21,0,0,19
Taras Stepanenko,UKR,MF,Shakhtar,32,1989,3.7,121,156,77.6,1967,444,58,71,81.7,49,60,81.7,9,13,69.2,0,0.1,0.0,-0.1,2,7,0,0,10
Jens Stryger Larsen,DEN,DF,Trabzonspor,31,1991,4.8,293,337,86.9,4496,1419,152,165,92.1,119,129,92.2,13,20,65.0,0,0.1,0.2,-0.1,3,20,2,1,16
Luka Sučić,CRO,MF,RB Salzburg,19,2002,1.4,67,89,75.3,1096,302,27,34,79.4,32,40,80.0,5,9,55.6,0,0.0,0.1,0.0,1,7,1,0,9
Heorhiy Sudakov,UKR,MF,Shakhtar,19,2002,4.3,223,249,89.6,3712,1183,113,122,92.6,80,85,94.1,20,24,83.3,1,0.3,0.5,+0.7,5,17,6,1,22
Kamaldeen Sulemana,GHA,"FW,MF",Rennes,20,2002,2.1,34,49,69.4,517,119,22,23,95.7,8,13,61.5,3,7,42.9,2,0.2,0.2,+1.8,4,3,1,1,3
Suso,ESP,"MF,DF",Sevilla,28,1993,3.2,138,180,76.7,2361,596,65,71,91.5,55,71,77.5,16,29,55.2,0,0.5,0.8,-0.5,10,13,8,6,20
Erik Sviatchenko,DEN,DF,Midtjylland,30,1991,5.5,216,273,79.1,4809,1524,41,56,73.2,138,155,89.0,32,52,61.5,0,0.0,0.1,0.0,1,14,0,0,16
Mile Svilar,SRB,GK,Roma,22,1999,1.0,24,29,82.8,652,532,7,7,100.0,11,11,100.0,6,11,54.5,0,0.0,0.0,0.0,0,1,0,0,0
Serhiy Sydorchuk,UKR,MF,Dynamo Kyiv,31,1991,6.0,264,322,82.0,4291,1073,122,127,96.1,121,131,92.4,11,39,28.2,0,0.0,0.4,0.0,1,18,1,0,17
