Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Ferrán Torres,ESP,AT,Barcelona,24-229,2000,8,5,328,3.6,1,2,3,1,0,0,0,1,0.8,0.8,0.2,1.0,4,9,18,0.27,0.55,0.82,0.27,0.82,0.22,0.07,0.28,0.22,0.28
Lucas Torró,ESP,MT,Osasuna,30-088,1994,9,9,772,8.6,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,1,29,9,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Hamari Traoré,MLI,DF,Real Sociedad,32-262,1992,4,4,311,3.5,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,4,11,7,0.00,0.29,0.29,0.00,0.29,0.00,0.05,0.05,0.00,0.05
Óscar Trejo,ARG,"MT,AT",Rayo Vallecano,36-172,1988,3,2,130,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.8,1.1,1,10,6,0.00,0.00,0.00,0.00,0.00,0.18,0.57,0.76,0.18,0.76
Viktor Tsyhankov,UKR,"MT,AT",Girona,26-335,1997,6,6,440,4.9,1,1,2,1,0,0,1,0,0.8,0.8,0.8,1.6,11,21,58,0.20,0.20,0.41,0.20,0.41,0.16,0.17,0.33,0.16,0.33
Beñat Turrientes,ESP,MT,Real Sociedad,22-258,2002,8,5,430,4.8,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,10,24,21,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
Chrisantus Uche,NGA,"AT,MT",Getafe,21-149,2003,9,9,748,8.3,1,0,1,1,0,0,2,0,1.5,1.5,0.2,1.7,14,10,44,0.12,0.00,0.12,0.12,0.12,0.18,0.02,0.20,0.18,0.20
Naci Ünüvar,NED,"MT,DF",Espanyol,21-124,2003,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,4,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.38,0.24,0.38
Óscar Valentín,ESP,MT,Rayo Vallecano,30-056,1994,9,7,633,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,33,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Germán Valera,ESP,"MT,AT",Valencia,22-213,2002,3,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,1,4,0.00,0.00,0.00,0.00,0.00,0.09,0.07,0.16,0.09,0.16
Martin Valjent,SVK,DF,Mallorca,28-309,1995,6,6,520,5.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,15,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Jesús Vallejo,ESP,DF,Real Madrid,27-284,1997,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
