Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Sebastiaan Bornauw,BEL,DF,Wolfsburg,25-207,1999,6,6,540,6.0,2,0,2,2,0,0,1,0,0.6,0.6,0.0,0.6,0,8,1,0.33,0.00,0.33,0.33,0.33,0.10,0.00,0.10,0.10,0.10
Carlo Boukhalfa,MAR,MT,St. Pauli,25-165,1999,5,3,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,2,6,7,0.38,0.00,0.38,0.38,0.38,0.13,0.04,0.17,0.13,0.17
Julian Brandt,GER,MT,Dortmund,28-166,1996,6,6,472,5.2,0,3,3,0,0,0,0,0,0.8,0.8,1.2,2.0,20,38,43,0.00,0.57,0.57,0.00,0.57,0.15,0.23,0.38,0.15,0.38
Tim Breithaupt,GER,MT,Augsburg,22-251,2002,2,2,120,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.4,1,10,1,0.00,0.75,0.75,0.00,0.75,0.04,0.29,0.33,0.04,0.33
Maximilian Breunig,GER,"AT,MT",Heidenheim,24-062,2000,6,2,225,2.5,2,0,2,1,1,1,0,0,2.5,1.7,0.2,1.8,2,6,7,0.80,0.00,0.80,0.40,0.40,0.98,0.07,1.05,0.67,0.74
Moritz Broschinski,GER,AT,Bochum,24-022,2000,6,3,282,3.1,0,1,1,0,0,0,0,0,0.7,0.7,0.4,1.1,6,4,26,0.00,0.32,0.32,0.00,0.32,0.23,0.13,0.35,0.23,0.35
Jacob Bruun Larsen,DEN,"DF,AT",Hoffenheim,26-026,1998,5,0,92,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,7,4,18,0.00,0.00,0.00,0.00,0.00,0.32,0.01,0.34,0.32,0.34
Marius Bülter,GER,AT,Hoffenheim,31-200,1993,6,6,429,4.8,3,1,4,3,0,0,0,0,1.3,1.3,1.2,2.6,15,8,30,0.63,0.21,0.84,0.63,0.84,0.28,0.26,0.54,0.28,0.54
Jonathan Burkardt,GER,"AT,MT",Mainz 05,24-096,2000,6,6,536,6.0,5,0,5,5,0,0,0,0,2.9,2.9,0.2,3.1,6,10,26,0.84,0.00,0.84,0.84,0.84,0.49,0.03,0.52,0.49,0.52
Oliver Burke,SCO,DF,Werder Bremen,27-191,1997,1,0,5,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,1.95,0.00,1.95,1.95,1.95
