Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Woyo Coulibaly,FRA,DF,Parma,25-148,1999,7,6,546,6.1,0,1,1,0,0,0,1,1,0.1,0.1,0.8,0.9,22,19,17,0.00,0.16,0.16,0.00,0.16,0.01,0.14,0.15,0.01,0.15
Bryan Cristante,ITA,MT,Roma,29-226,1995,7,7,593,6.6,1,0,1,1,0,0,2,0,0.4,0.4,0.2,0.6,10,44,6,0.15,0.00,0.15,0.15,0.15,0.05,0.04,0.09,0.05,0.09
Domen Črnigoj,SVN,MT,Venezia,28-332,1995,3,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Juan Cuadrado,COL,DF,Atalanta,36-142,1988,2,0,64,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,7,13,0.00,0.00,0.00,0.00,0.00,0.25,0.11,0.36,0.25,0.36
Patrick Cutrone,ITA,AT,Como,26-286,1998,7,7,561,6.2,4,0,4,4,0,1,0,0,2.5,1.7,0.3,2.0,16,4,47,0.64,0.00,0.64,0.64,0.64,0.39,0.05,0.45,0.27,0.32
Wylan Cyprien,FRA,MT,Parma,29-261,1995,2,0,28,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,0,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.63,0.63,0.63
Danilo D'Ambrosio,ITA,DF,Monza,36-036,1988,4,0,43,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Lucas Da Cunha,FRA,"MT,AT",Como,23-128,2001,5,3,200,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,9,10,16,0.00,0.00,0.00,0.00,0.00,0.06,0.12,0.18,0.06,0.18
Thijs Dallinga,NED,"AT,MT",Bologna,24-073,2000,4,1,118,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,0,0,8,0.00,0.00,0.00,0.00,0.00,0.22,0.04,0.26,0.22,0.26
Flavius Daniliuc,AUT,DF,Hellas Verona,23-171,2001,4,2,250,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,10,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Danilo,BRA,DF,Juventus,33-092,1991,3,1,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09
