Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Mitchel Bakker,NED,DF,Lille,24-117,2000,4,0,74,0.8,1,0,1,1,0,0,0,0,1.3,1.3,0.0,1.4,2,5,12,1.22,0.00,1.22,1.22,1.22,1.61,0.06,1.67,1.61,1.67
Dilane Bakwa,FRA,"AT,MT",Strasbourg,22-050,2002,7,7,616,6.8,0,2,2,0,0,0,0,0,1.0,1.0,2.0,3.0,20,19,37,0.00,0.29,0.29,0.00,0.29,0.15,0.29,0.44,0.15,0.44
Leonardo Balerdi,ARG,DF,Marseille,25-263,1999,4,4,274,3.0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,1,14,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Folarin Balogun,USA,AT,Monaco,23-104,2001,6,5,402,4.5,3,0,3,3,0,0,0,0,3.7,3.7,0.6,4.3,12,8,50,0.67,0.00,0.67,0.67,0.67,0.83,0.14,0.97,0.83,0.97
Abdoulaye Bamba,CIV,DF,Angers,34-173,1990,3,3,242,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Bradley Barcola,FRA,AT,Paris S-G,22-043,2002,7,6,464,5.2,6,0,6,6,0,0,0,0,3.6,3.6,1.1,4.7,30,14,69,1.16,0.00,1.16,1.16,1.16,0.71,0.21,0.92,0.71,0.92
Melvin Bard,FRA,"MT,DF",Nice,23-344,2000,4,4,332,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,6,14,10,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02
Gabriel Bares,SUI,MT,Montpellier,24-047,2000,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dylan Batubinsika,COD,DF,Saint-Étienne,28-243,1996,7,7,630,7.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,2,13,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Haris Belkebla,ALG,MT,Angers,30-261,1994,4,4,349,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,15,4,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Yassin Belkhdim,FRA,MT,Angers,22-244,2002,7,3,284,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,6,6,11,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05
Eliesse Ben Seghir,MAR,"MT,AT",Monaco,19-242,2005,7,6,463,5.1,2,2,4,2,0,0,0,0,1.0,1.0,2.2,3.1,34,34,44,0.39,0.39,0.78,0.39,0.78,0.19,0.42,0.61,0.19,0.61
Saïd Benrahma,ALG,"AT,MT",Lyon,29-066,1995,4,4,342,3.8,0,1,1,0,0,0,0,0,0.1,0.1,1.0,1.1,21,15,52,0.00,0.26,0.26,0.00,0.26,0.04,0.25,0.29,0.04,0.29
Lucas Beraldo,BRA,DF,Paris S-G,20-326,2003,5,5,442,4.9,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,3,23,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
