Player,Nation,Pos,Squad,Comp,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Ludovic Ajorque,FRA,FW,Brest,Ligue 1,30-234,1994,7,6,491,5.5,2,0,2,2,0,0,1,0,1.2,1.2,0.3,1.5,1,6,24,0.37,0.00,0.37,0.37,0.37,0.23,0.05,0.28,0.23,0.28
Manuel Akanji,SUI,DF,Manchester City,Premier League,29-089,1995,7,7,601,6.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,14,63,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04
Ümit Akdag,ROU,DF,Toulouse,Ligue 1,21-010,2003,1,1,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nathan Aké,NED,DF,Manchester City,Premier League,29-241,1995,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ilias Akhomach,MAR,MF,Villarreal,La Liga,20-183,2004,8,4,390,4.3,0,0,0,0,0,0,1,0,0.3,0.3,0.8,1.1,20,6,44,0.00,0.00,0.00,0.00,0.00,0.07,0.18,0.25,0.07,0.25
Sergio Akieme,ESP,DF,Reims,Ligue 1,26-305,1997,4,4,360,4.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,10,8,7,0.25,0.00,0.25,0.25,0.25,0.04,0.01,0.05,0.04,0.05
Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,22-234,2002,6,4,380,4.2,0,1,1,0,0,0,0,0,1.0,1.0,0.8,1.8,17,29,32,0.00,0.24,0.24,0.00,0.24,0.23,0.18,0.42,0.23,0.42
Clément Akpa,CIV,DF,Auxerre,Ligue 1,22-327,2001,6,5,431,4.8,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,15,26,23,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.08,0.02,0.08
David Akpan Ankeye,NGA,FW,Genoa,Serie A,22-245,2002,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,29-180,1995,6,6,540,6.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,26,8,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Andreas Albers,DEN,FW,St. Pauli,Bundesliga,34-207,1990,4,0,24,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,1,4,0.00,0.00,0.00,0.00,0.00,0.35,0.35,0.70,0.35,0.70
Raúl Albiol,ESP,DF,Villarreal,La Liga,39-042,1985,7,6,468,5.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,5,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Carlos Alcaraz,ARG,MF,Southampton,Premier League,21-321,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48
Omar Alderete,PAR,DF,Getafe,La Liga,27-295,1996,8,8,720,8.0,0,0,0,0,0,0,1,0,0.4,0.4,0.6,1.0,7,35,0,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.13,0.04,0.13
Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,26-285,1998,6,3,305,3.4,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,2,8,7,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,26-009,1998,7,7,582,6.5,0,1,1,0,0,0,2,0,0.3,0.3,2.1,2.4,19,41,25,0.00,0.15,0.15,0.00,0.15,0.05,0.32,0.38,0.05,0.38
Alfon,ESP,"FW,MF",Celta Vigo,La Liga,25-165,1999,4,2,187,2.1,0,0,0,0,0,0,0,1,0.7,0.7,0.3,1.1,9,6,20,0.00,0.00,0.00,0.00,0.00,0.35,0.17,0.52,0.35,0.52
Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,20-271,2004,6,6,428,4.8,2,0,2,2,0,0,0,0,1.2,1.2,0.7,1.9,13,9,37,0.42,0.00,0.42,0.42,0.42,0.25,0.15,0.40,0.25,0.40
Faride Alidou,GER,"FW,MF",Hellas Verona,Serie A,23-090,2001,2,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Alisson,BRA,GK,Liverpool,Premier League,32-014,1992,6,6,528,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
